"type","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","M. Hardman","WR","KC","LV","2021-11-15T01:20:00Z","3.5","over","-140","-0.18681666666666658","undefined","undefined","under","106","0.11806019417475738","undefined","undefined"
"rush_yd","K. Cousins","QB","MIN","LAC","2021-11-14T21:05:00Z","4.5","over","-119","0.11738994515278889","undefined","undefined","under","-109","-0.182281410601714","undefined","undefined"
"recv_rec","O. Howard","TE","TB","WAS","2021-11-14T18:00:00Z","2.5","over","-115","-0.18812896934883727","undefined","undefined","under","-116","0.11621520812777775","undefined","undefined"
"recv_rec","A. Jones","RB","GB","SEA","2021-11-14T21:25:00Z","3.5","over","-141","-0.18010373443983396","undefined","undefined","under","108","0.11427884615384615","undefined","undefined"
"recv_rec","M. Valdes-Scantling","WR","GB","SEA","2021-11-14T21:25:00Z","2.5","over","-115","-0.1813823460465116","undefined","undefined","under","-114","0.11378814493457956","undefined","undefined"
"recv_yd","D. Robinson","WR","KC","LV","2021-11-15T01:20:00Z","8.5","over","-113","0.11312363483162424","undefined","undefined","under","-117","-0.18274230431515698","undefined","undefined"
"recv_rec","M. Alie-Cox","TE","IND","JAX","2021-11-14T18:00:00Z","1.5","over","-178","-0.17269378346043168","undefined","undefined","under","138","0.11225576387394953","undefined","undefined"
"pass_td","D. Carr","QB","LV","KC","2021-11-15T01:20:00Z","1.5","over","-185","-0.17398771929824564","undefined","undefined","under","141","0.10992074688796688","undefined","undefined"
"recv_rec","G. Kittle","TE","SF","LA","2021-11-16T01:15:00Z","4.5","over","-165","-0.1738037735849059","undefined","undefined","under","125","0.10671111111111109","undefined","undefined"
"recv_rec","D. Swift","RB","DET","PIT","2021-11-14T18:00:00Z","4.5","over","-161","-0.17171992337164765","undefined","undefined","under","123","0.10642466367713","undefined","undefined"
"recv_rec","D. Henderson","RB","LA","SF","2021-11-16T01:15:00Z","2.5","over","-132","-0.1729064818103448","undefined","undefined","under","-101","0.10146019312338306","undefined","undefined"
"recv_rec","L. Shenault Jr.","WR","JAX","IND","2021-11-14T18:00:00Z","3.5","over","-161","-0.16449655172413796","undefined","undefined","under","124","0.10121607142857147","undefined","undefined"
"pass_td","M. Stafford","QB","LA","SF","2021-11-16T01:15:00Z","2.5","over","151","0.10015378486055782","undefined","undefined","under","-200","-0.16523333333333323","undefined","undefined"
"pass_td","T. Bridgewater","QB","DEN","PHI","2021-11-14T21:25:00Z","1.5","over","-172","-0.16281617647058821","undefined","undefined","under","132","0.09942241379310346","undefined","undefined"
"recv_yd","A. Collins","RB","SEA","GB","2021-11-14T21:25:00Z","7.5","over","-117","0.09835398872917855","undefined","undefined","under","-114","-0.170238596877683","undefined","undefined"
"recv_rec","E. Sanders","WR","BUF","NYJ","2021-11-14T18:00:00Z","3.5","over","-122","-0.16470450450450452","undefined","undefined","under","-107","0.09824009661835753","undefined","undefined"
"recv_rec","C. Davis","WR","NYJ","BUF","2021-11-14T18:00:00Z","3.5","over","-134","-0.16444957264957272","undefined","undefined","under","102","0.09675049504950495","undefined","undefined"
"pass_td","C. Wentz","QB","IND","JAX","2021-11-14T18:00:00Z","1.5","over","-160","-0.1567846153846154","undefined","undefined","under","123","0.09296950672645737","undefined","undefined"
"pass_td","J. Allen","QB","BUF","NYJ","2021-11-14T18:00:00Z","2.5","over","143","0.09077736625514393","undefined","undefined","under","-186","-0.15264965034965028","undefined","undefined"
"recv_rec","J. Crowder","WR","NYJ","BUF","2021-11-14T18:00:00Z","3.5","over","-153","-0.1578430830039526","undefined","undefined","under","116","0.09013703703703713","undefined","undefined"
"recv_rec","D. Johnson","WR","PIT","DET","2021-11-14T18:00:00Z","6.5","over","110","0.08950952380952382","undefined","undefined","under","-143","-0.15417736625514417","undefined","undefined"
"recv_rec","D. Knox","TE","BUF","NYJ","2021-11-14T18:00:00Z","3.5","over","118","-0.15626146788990836","undefined","undefined","under","-156","0.08816406249999997","undefined","undefined"
"recv_rec","D. Peoples-Jones","WR","CLV","NE","2021-11-14T18:00:00Z","2.5","over","-113","-0.1491144751173708","undefined","undefined","under","-113","0.08808135688262919","undefined","undefined"
"recv_rec","T. Pollard","RB","DAL","ATL","2021-11-14T18:00:00Z","1.5","over","-156","-0.15179039184765625","undefined","undefined","under","120","0.08788881960454548","undefined","undefined"
"rush_yd","M. Rudolph","QB","PIT","DET","2021-11-14T18:00:00Z","6.5","over","-120","0.08725672208079027","undefined","undefined","under","-110","-0.15652250830266096","undefined","undefined"
"rush_yd","D. Carr","QB","LV","KC","2021-11-15T01:20:00Z","5.5","over","-119","0.08610141718143183","undefined","undefined","under","-112","-0.15774782834251272","undefined","undefined"
"rush_att","N. Harris","RB","PIT","DET","2021-11-14T18:00:00Z","20.5","over","-114","0.08562990654205604","undefined","undefined","under","-114","-0.15107009345794387","undefined","undefined"
"pass_att","J. Garoppolo","QB","SF","LA","2021-11-16T01:15:00Z","32.5","over","-129","-0.15320611376369592","undefined","undefined","under","-102","0.08495049524862375","undefined","undefined"
"pass_td","K. Cousins","QB","MIN","LAC","2021-11-14T21:05:00Z","1.5","over","-162","-0.14702061068702277","undefined","undefined","under","125","0.08425555555555558","undefined","undefined"
"recv_rec","K. Bourne","WR","NE","CLV","2021-11-14T18:00:00Z","2.5","over","-113","-0.1449674281690141","undefined","undefined","under","-113","0.08392819383098593","undefined","undefined"
"recv_yd","A. Dillon","RB","GB","SEA","2021-11-14T21:25:00Z","8.5","over","-118","0.08379198773836372","undefined","undefined","under","-110","-0.14886837456980778","undefined","undefined"
"recv_rec","C. Beasley","WR","BUF","NYJ","2021-11-14T18:00:00Z","4.5","over","-135","-0.150368085106383","undefined","undefined","under","103","0.08328916256157637","undefined","undefined"
"pass_int","J. Goff","QB","DET","PIT","2021-11-14T18:00:00Z","0.5","over","-143","-0.14737736625514414","undefined","undefined","under","110","0.08270952380952379","undefined","undefined"
"recv_rec","H. Henry","TE","NE","CLV","2021-11-14T18:00:00Z","2.5","over","-121","-0.14600892257918557","undefined","undefined","under","-109","0.07696614526363643","undefined","undefined"
"pass_int","P. Walker","QB","CAR","ARZ","2021-11-14T21:05:00Z","0.5","over","-210","-0.13545161290322572","undefined","undefined","under","162","0.07635877862595425","undefined","undefined"
"recv_rec","A. Trautman","TE","NO","TEN","2021-11-14T18:00:00Z","2.5","over","-106","-0.1431127711650485","undefined","undefined","under","-124","0.07497117083214266","undefined","undefined"
"recv_rec","T. Conklin","TE","MIN","LAC","2021-11-14T21:05:00Z","3.5","over","-119","-0.14343333333333325","undefined","undefined","under","-111","0.07398104265402827","undefined","undefined"
"recv_rec","A. Thielen","WR","MIN","LAC","2021-11-14T21:05:00Z","4.5","over","-148","-0.13521451612903224","undefined","undefined","under","115","0.07333023255813953","undefined","undefined"
"recv_rec","K. Allen","WR","LAC","MIN","2021-11-14T21:05:00Z","6.5","over","-138","0.07252605042016813","undefined","undefined","under","105","-0.14015609756097563","undefined","undefined"
"recv_yd","C. Patterson","RB","ATL","DAL","2021-11-14T18:00:00Z","43.5","over","-116","-0.13126336178282488","undefined","undefined","under","-110","0.07045812313656741","undefined","undefined"
"pass_td","P. Walker","QB","CAR","ARZ","2021-11-14T21:05:00Z","1.5","over","198","0.06932953020134225","undefined","undefined","under","-260","-0.12712222222222225","undefined","undefined"
"recv_rec","G. Swaim","TE","TEN","NO","2021-11-14T18:00:00Z","2.5","over","115","-0.13646862011627908","undefined","undefined","under","-152","0.06818442047619044","undefined","undefined"
"recv_rec","S. Diggs","WR","BUF","NYJ","2021-11-14T18:00:00Z","6.5","over","115","0.06793720930232561","undefined","undefined","under","-152","-0.1362349206349206","undefined","undefined"
"pass_int","T. Brady","QB","TB","WAS","2021-11-14T18:00:00Z","0.5","over","-120","-0.13529999999999998","undefined","undefined","under","-110","0.06604285714285707","undefined","undefined"
"recv_yd","D. Harris","WR","NO","TEN","2021-11-14T18:00:00Z","40.5","over","-116","-0.13184310732932875","undefined","undefined","under","-113","0.06427462148791818","undefined","undefined"
"pass_td","R. Wilson","QB","SEA","GB","2021-11-14T21:25:00Z","1.5","over","-143","-0.12971851851851868","undefined","undefined","under","109","0.06277894736842099","undefined","undefined"
"recv_rec","H. Hurst","TE","ATL","DAL","2021-11-14T18:00:00Z","2.5","over","-115","-0.1303276891627908","undefined","undefined","under","-114","0.06274007763457956","undefined","undefined"
"recv_rec","T. Kelce","TE","KC","LV","2021-11-15T01:20:00Z","6.5","over","-102","0.06234851485148518","undefined","undefined","under","-131","-0.1344129870129871","undefined","undefined"
"recv_rec","B. Edwards","WR","LV","KC","2021-11-15T01:20:00Z","3.5","over","130","-0.13208260869565225","undefined","undefined","under","-174","0.062263503649635066","undefined","undefined"
"recv_yd","D. Knox","TE","BUF","NYJ","2021-11-14T18:00:00Z","35.5","over","-116","-0.1308437233845809","undefined","undefined","under","-114","0.06112754414121102","undefined","undefined"
"rush_yd","J. Howard","RB","PHI","DEN","2021-11-14T21:25:00Z","40.5","over","-113","-0.1283997411769181","undefined","undefined","under","-116","0.06084363442259677","undefined","undefined"
"recv_rec","M. Williams","WR","LAC","MIN","2021-11-14T21:05:00Z","4.5","over","-115","-0.13033023255813964","undefined","undefined","under","-115","0.06056976744186038","undefined","undefined"
"rush_recv_yd","J. McNichols","RB","TEN","NO","2021-11-14T18:00:00Z","44.5","over","-114","0.06040395294427925","undefined","undefined","under","-114","-0.12584050635647825","undefined","undefined"
"recv_rec","M. Jones Jr.","WR","JAX","IND","2021-11-14T18:00:00Z","3.5","over","-138","-0.1277899159663864","undefined","undefined","under","105","0.06014634146341463","undefined","undefined"
"recv_rec","M. Carter","RB","NYJ","BUF","2021-11-14T18:00:00Z","4.5","over","123","-0.12348565022421532","undefined","undefined","under","-160","0.05967692307692307","undefined","undefined"
"recv_yd","B. Edwards","WR","LV","KC","2021-11-15T01:20:00Z","41.5","over","-112","-0.12914103452377462","undefined","undefined","under","-118","0.059574067608749726","undefined","undefined"
"recv_yd","C. McCaffrey","RB","CAR","ARZ","2021-11-14T21:05:00Z","39.5","over","-114","-0.12670690144661378","undefined","undefined","under","-115","0.05909794626051923","undefined","undefined"
"recv_rec","R. Higgins","WR","CLV","NE","2021-11-14T18:00:00Z","2.5","over","124","-0.1278828920642857","undefined","undefined","under","-166","0.057401087148872154","undefined","undefined"
"recv_rec","R. Cobb","WR","GB","SEA","2021-11-14T21:25:00Z","2.5","over","113","-0.12328213812112676","undefined","undefined","under","-148","0.057024197906451524","undefined","undefined"
"recv_rec","D. Williams","RB","KC","LV","2021-11-15T01:20:00Z","3.5","over","130","-0.12006956521739137","undefined","undefined","under","-169","0.05702156133828995","undefined","undefined"
"rush_recv_yd","C. Patterson","RB","ATL","DAL","2021-11-14T18:00:00Z","91.5","over","-117","-0.11990421171733612","undefined","undefined","under","-110","0.05692694092661876","undefined","undefined"
"pass_int","M. White","QB","NYJ","BUF","2021-11-14T18:00:00Z","1.5","over","146","0.05629593495934965","undefined","undefined","under","-190","-0.11797241379310353","undefined","undefined"
"rush_yd","T. Pollard","RB","DAL","ATL","2021-11-14T18:00:00Z","40.5","over","-114","-0.1211321482428791","undefined","undefined","under","-115","0.05355558402447702","undefined","undefined"
"pass_int","J. Allen","QB","BUF","NYJ","2021-11-14T18:00:00Z","0.5","over","158","0.052303100775193845","undefined","undefined","under","-206","-0.11310261437908498","undefined","undefined"
"rush_recv_yd","A. Peterson","RB","TEN","NO","2021-11-14T18:00:00Z","42.5","over","-111","0.05221272199933058","undefined","undefined","under","-115","-0.11314724182854685","undefined","undefined"
"recv_rec","R. Seals-Jones","TE","WAS","TB","2021-11-14T18:00:00Z","3.5","over","114","-0.11588971962616823","undefined","undefined","under","-148","0.051825806451612944","undefined","undefined"
"recv_yd","M. Carter","RB","NYJ","BUF","2021-11-14T18:00:00Z","29.5","over","-113","-0.11268778577271205","undefined","undefined","under","-113","0.05163819792316471","undefined","undefined"
"recv_yd","D. Swift","RB","DET","PIT","2021-11-14T18:00:00Z","40.5","over","-114","-0.12098171750414399","undefined","undefined","under","-116","0.051288641076799535","undefined","undefined"
"pass_td","D. Prescott","QB","DAL","ATL","2021-11-14T18:00:00Z","2.5","over","105","0.05124390243902438","undefined","undefined","under","-137","-0.11710126582278485","undefined","undefined"
"recv_rec","N. Harris","RB","PIT","DET","2021-11-14T18:00:00Z","3.5","over","-118","-0.11928440366972476","undefined","undefined","under","-112","0.049698113207547245","undefined","undefined"
"pass_comp","J. Garoppolo","QB","SF","LA","2021-11-16T01:15:00Z","21.5","over","-129","-0.1223314410480349","undefined","undefined","under","-104","0.049194117647058944","undefined","undefined"
"recv_rec","J. Meyers","WR","NE","CLV","2021-11-14T18:00:00Z","4.5","over","-136","-0.11067118644067797","undefined","undefined","under","106","0.048963106796116485","undefined","undefined"
"rush_att","T. Pollard","RB","DAL","ATL","2021-11-14T18:00:00Z","9.5","over","100","-0.11779987735870506","undefined","undefined","under","-132","0.04882055009783681","undefined","undefined"
"recv_rec","A. Cooper","WR","DAL","ATL","2021-11-14T18:00:00Z","4.5","over","-149","-0.11669357429718874","undefined","undefined","under","113","0.04881643192488261","undefined","undefined"
"recv_rec","E. Mitchell","RB","SF","LA","2021-11-16T01:15:00Z","2.5","over","135","-0.11333092996808503","undefined","undefined","under","-177","0.04880973477797834","undefined","undefined"
"recv_rec","R. Woods","WR","LA","SF","2021-11-16T01:15:00Z","5.5","over","110","0.04750952380952389","undefined","undefined","under","-143","-0.11217736625514413","undefined","undefined"
"rush_att","D. Johnson","RB","CLV","NE","2021-11-14T18:00:00Z","17.5","over","-118","0.047169724770642296","undefined","undefined","under","-112","-0.1167490566037736","undefined","undefined"
"recv_rec","J. Jeudy","WR","DEN","PHI","2021-11-14T21:25:00Z","5.5","over","-103","-0.11543842364532031","undefined","undefined","under","-128","0.04665263157894739","undefined","undefined"
"recv_yd","B. Aiyuk","WR","SF","LA","2021-11-16T01:15:00Z","48.5","over","-115","-0.11537337551299337","undefined","undefined","under","-115","0.04563310296994216","undefined","undefined"
"recv_rec","J. McKissic","RB","WAS","TB","2021-11-14T18:00:00Z","4.5","over","120","-0.11084545454545452","undefined","undefined","under","-157","0.0454050583657587","undefined","undefined"
"rush_yd","C. Patterson","RB","ATL","DAL","2021-11-14T18:00:00Z","43.5","over","-118","-0.11048297521008071","undefined","undefined","under","-110","0.04536041117680634","undefined","undefined"
"rush_att","J. Allen","QB","BUF","NYJ","2021-11-14T18:00:00Z","6.5","over","-121","-0.11421128557479049","undefined","undefined","under","-109","0.045168868813929564","undefined","undefined"
"pass_td","M. Ryan","QB","ATL","DAL","2021-11-14T18:00:00Z","1.5","over","-168","-0.10870298507462683","undefined","undefined","under","129","0.04516244541484715","undefined","undefined"
"recv_rec","N. Westbrook-Ikhine","WR","TEN","NO","2021-11-14T18:00:00Z","1.5","over","-130","-0.1054022867608696","undefined","undefined","under","102","0.0451471581930693","undefined","undefined"
"recv_yd","T. Hill","WR","KC","LV","2021-11-15T01:20:00Z","72.5","over","-115","0.04491440435819294","undefined","undefined","under","-115","-0.11468227187203733","undefined","undefined"
"rush_yd","A. Collins","RB","SEA","GB","2021-11-14T21:25:00Z","52.5","over","-113","-0.11007766768875693","undefined","undefined","under","-115","0.04462959888676454","undefined","undefined"
"recv_rec","A. Brown","WR","TEN","NO","2021-11-14T18:00:00Z","6.5","over","108","0.044478846153846174","undefined","undefined","under","-141","-0.11030373443983399","undefined","undefined"
"recv_yd","J. Agnew","WR","JAX","IND","2021-11-14T18:00:00Z","38.5","over","-113","-0.11175965787197273","undefined","undefined","under","-116","0.04419801975466209","undefined","undefined"
"rush_att","A. Gibson","RB","WAS","TB","2021-11-14T18:00:00Z","11.5","over","-117","0.04383984689032261","undefined","undefined","under","-115","-0.11787966879758144","undefined","undefined"
"recv_yd","A. Ekeler","RB","LAC","MIN","2021-11-14T21:05:00Z","36.5","over","-120","-0.11535094416773778","undefined","undefined","under","-111","0.043813746757164096","undefined","undefined"
"recv_yd","N. Fant","TE","DEN","PHI","2021-11-14T21:25:00Z","35.5","over","-112","-0.11337880740428014","undefined","undefined","under","-118","0.04380386449658136","undefined","undefined"
"rush_att","A. Dillon","RB","GB","SEA","2021-11-14T21:25:00Z","8.5","over","-115","-0.11323706099393038","undefined","undefined","under","-115","0.043462620143019715","undefined","undefined"
"recv_yd","D. Peoples-Jones","WR","CLV","NE","2021-11-14T18:00:00Z","44.5","over","-114","-0.11208468281993395","undefined","undefined","under","-116","0.04230127264639072","undefined","undefined"
"recv_yd","N. Westbrook-Ikhine","WR","TEN","NO","2021-11-14T18:00:00Z","31.5","over","-114","-0.10764430976679085","undefined","undefined","under","-114","0.04220051313414164","undefined","undefined"
"recv_rec","J. McNichols","RB","TEN","NO","2021-11-14T18:00:00Z","3.5","over","126","-0.10543362831858405","undefined","undefined","under","-164","0.041750000000000065","undefined","undefined"
"recv_yd","J. McKissic","RB","WAS","TB","2021-11-14T18:00:00Z","30.5","over","-114","-0.11139687638015605","undefined","undefined","under","-116","0.041617706447268255","undefined","undefined"
"pass_int","D. Carr","QB","LV","KC","2021-11-15T01:20:00Z","0.5","over","-109","-0.10893110047846888","undefined","undefined","under","-121","0.03988868778280541","undefined","undefined"
"recv_rec","E. Elliott","RB","DAL","ATL","2021-11-14T18:00:00Z","3.5","over","124","-0.10282857142857138","undefined","undefined","under","-161","0.039541762452107165","undefined","undefined"
"rush_att","E. Mitchell","RB","SF","LA","2021-11-16T01:15:00Z","14.5","over","-123","0.038711142735425974","undefined","undefined","under","-108","-0.10953994046346138","undefined","undefined"
"recv_yd","T. Smith","WR","NO","TEN","2021-11-14T18:00:00Z","36.5","over","-107","-0.1090924384123122","undefined","undefined","under","-124","0.03859590665925128","undefined","undefined"
"recv_yd","T. Higbee","TE","LA","SF","2021-11-16T01:15:00Z","40.5","over","-118","-0.10819233608954054","undefined","undefined","under","-112","0.03858992136485939","undefined","undefined"
"pass_att","T. Lawrence","QB","JAX","IND","2021-11-14T18:00:00Z","36.5","over","-114","-0.11031709585449517","undefined","undefined","under","-117","0.03842189551646036","undefined","undefined"
"recv_yd","Z. Pascal","WR","IND","JAX","2021-11-14T18:00:00Z","39.5","over","-115","-0.10544157672822785","undefined","undefined","under","-114","0.03782578595004049","undefined","undefined"
"recv_yd","D. Moore","WR","CAR","ARZ","2021-11-14T21:05:00Z","60.5","over","-113","0.037481095943385","undefined","undefined","under","-113","-0.09851425740491493","undefined","undefined"
"recv_rec","A. Dillon","RB","GB","SEA","2021-11-14T21:25:00Z","1.5","over","-112","-0.10604596276415101","undefined","undefined","under","-118","0.03645142222513764","undefined","undefined"
"recv_yd","E. Sanders","WR","BUF","NYJ","2021-11-14T18:00:00Z","50.5","over","-115","-0.10553160882427393","undefined","undefined","under","-115","0.035770579167414995","undefined","undefined"
"recv_yd","A. Firkser","TE","TEN","NO","2021-11-14T18:00:00Z","12.5","over","-114","0.03484954419400854","undefined","undefined","under","-117","-0.1066933865221007","undefined","undefined"
"recv_yd","T. Hockenson","TE","DET","PIT","2021-11-14T18:00:00Z","52.5","over","-115","-0.10363740338354449","undefined","undefined","under","-115","0.03386246834857631","undefined","undefined"
"recv_yd","C. Beasley","WR","BUF","NYJ","2021-11-14T18:00:00Z","49.5","over","-115","-0.10346479113589507","undefined","undefined","under","-115","0.0337386053317793","undefined","undefined"
"recv_rec","J. Landry","WR","CLV","NE","2021-11-14T18:00:00Z","4.5","over","-128","-0.09375964912280699","undefined","undefined","under","100","0.03234999999999999","undefined","undefined"
"recv_yd","M. Pruitt","TE","TEN","NO","2021-11-14T18:00:00Z","11.5","over","-109","0.032245686049404254","undefined","undefined","under","-121","-0.1012270296155377","undefined","undefined"
"pass_int","J. Garoppolo","QB","SF","LA","2021-11-16T01:15:00Z","0.5","over","-124","-0.1027267857142859","undefined","undefined","under","-107","0.03224009661835747","undefined","undefined"
