"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"55","Nate Lashley",22420124,7000,59.65,0.007,0.0065,54,-5e-04,-0.0714,43.16,3.5,68.5,21.5,0.93,1,0.05,9.09,15
"56","Doc Redman",22420126,7000,53.29,0.0043,0.0052,67,9e-04,0.2093,42.95,1.7,68.5,21.5,0.74,1,-0.14,12.13,15
"57","Branden Grace",22420127,7000,47.08,0.0068,0.0077,46,0.000900000000000001,0.1324,44.91,0.99,70.5,22,1.1,1,0.22,12.14,15
"58","Greyson Sigg",22420128,7000,62,0.0073,0.0074,48,1e-04,0.0137,46.96,4.9,72,22.5,1.06,1,0.18,10.34,15
"59","Mackenzie Hughes",22420129,7000,59,0.0062,0.0058,60,-4e-04,-0.0645,43.04,1.4,67.5,22,0.83,1,-0.05,9.2,10
"60","Adam Svensson",22420130,6900,53.33,0.005,0.0046,71,-4e-04,-0.08,48.01,2.4,73,23,0.67,1,-0.13,9.17,10
"61","Tyler Duncan",22420131,6900,56,0.0063,0.0072,49,9e-04,0.1429,42.89,2.9,68.5,21.5,1.04,1,0.24,12.18,15
"62","Stephan Jaeger",22420132,6900,45.78,0.0067,0.0062,56,-5e-04,-0.0746,34.82,1.1,61,19.5,0.9,1,0.1,9.13,10
"63","Sung Kang",22420133,6900,51.32,0.0061,0.0067,53,6e-04,0.0984,34.33,0.79,60,19,0.97,1,0.17,11.42,10
"64","Scott Piercy",22420134,6900,50.56,0.0033,0.0031,88,-2e-04,-0.0606,41.65,0.52,67.5,21.5,0.45,1,-0.35,9.37,10
"65","Brian Stuard",22420135,6900,51.05,0.006,0.0064,55,4e-04,0.0667,43.52,1.9,68.5,21.5,0.93,1,0.13,10.94,15
"66","Kyoung-Hoon Lee",22420136,6900,61.6,0.0061,0.0061,58,0,0,49.37,2,74.5,23.5,0.88,1,0.08,10.06,10
"67","Chad Ramey",22420137,6800,58.25,0.0037,0.005,68,0.0013,0.3514,39.1,2.4,65,21,0.74,1,0.02,13.85,15
"68","Ryan Armour",22420139,6800,47.8,0.0097,0.009,42,-0.000700000000000001,-0.0722,52.49,0.73,75.5,24,1.32,1,0.6,9.1,10
"69","Zach Johnson",22420140,6800,41.63,0.0044,0.0042,74,-0.000200000000000001,-0.0455,43.13,0.41,68.5,22,0.62,1,-0.1,9.55,10
"70","Sam Ryder",22420141,6800,55.33,0.0045,0.0042,74,-3e-04,-0.0667,43.26,0.8,68.5,22.5,0.62,1,-0.1,9.37,10
"71","Austin Smotherman",22420142,6800,54,0.0026,0.0029,90,3e-04,0.1154,42.91,1.2,68.5,22,0.43,1,-0.29,10.52,10
"72","Lee Hodges",22420143,6800,53.94,0.0032,0.0034,82,2e-04,0.0625,45.64,0.64,71,22,0.5,1,-0.22,10.27,10
"73","Andrew Putnam",22420144,6700,54.56,0.0056,0.0057,63,1e-04,0.0179,41.67,0.9,67.5,21.5,0.85,1,0.21,10.36,10
"74","Chez Reavie",22420145,6700,49.24,0.0035,0.0043,72,8e-04,0.2286,43.54,0.75,69,21.93,0.64,1,0,12.12,15
"75","Kiradech Aphibarnrat",22420146,6700,51.25,0.0021,0.0023,100,2e-04,0.0952,35.54,0.55,61.5,19,0.34,1,-0.3,10.27,10
"76","Kramer Hickok",22420147,6700,49.11,0.005,0.0057,63,7e-04,0.14,47.22,0.59,72,23,0.85,1,0.21,11.75,10
"77","Danny Lee",22420148,6700,49.96,0.003,0.0028,92,-2e-04,-0.0667,41.27,0.74,67.58,21.5,0.42,1,-0.22,9.48,10
"78","Rory Sabbatini",22420149,6700,57.09,0.0037,0.0034,82,-3e-04,-0.0811,46.74,0.78,71.58,23,0.51,1,-0.13,9.37,10
"79","Joseph Bramlett",22420150,6700,50.36,0.0033,0.0035,80,2e-04,0.0606,46.54,1.2,71.5,23,0.52,1,-0.12,10.35,10
"81","Hank Lebioda",22420152,6600,44.42,0.0035,0.0032,86,-3e-04,-0.0857,44.6,0.77,69.5,22.5,0.48,1,-0.09,9.41,10
"82","Charl Schwartzel",22420153,6600,43.23,0.0023,0.0027,94,4e-04,0.1739,38.39,2,64,20.5,0.41,1,-0.16,10.98,15
"83","Nick Taylor",22420154,6600,54.79,0.0062,0.0058,60,-4e-04,-0.0645,48.21,1.4,72.5,23.43,0.88,1,0.31,9.47,10
"84","Harry Higgs",22420155,6600,49.29,0.0038,0.004,76,2e-04,0.0526,41.2,1.7,67,21,0.61,1,0.04,10.46,10
