"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"37","Tylan Wallace","BAL",3000,0,NA,55.5,NA,0.7,0.7,NA,"CLE",6,26,1.4,1.4,0,23,10,17,0.243,15,12,0.757,29,-0.046,0,2.3,"Tylan Wallace 3000 0"
"38","Rashod Bateman","BAL",3000,0,NA,61.6,NA,4.7,2.38,NA,"CLE",6,26,-0.23,2.42,2.65,23,10,57,0.243,15,57,0.757,29,-0.046,2,9.1,"Rashod Bateman 3000 0"
"39","Binjimen Victor","BAL",3000,0,NA,NA,NA,NA,NA,NA,"CLE",6,26,NA,NA,NA,23,10,NA,0.243,15,NA,0.757,29,-0.046,NA,NA,"Binjimen Victor 3000 0"
"40","Andy Isabella","BAL",3000,0,NA,52.9,NA,1.7,0.46,NA,"CLE",6,26,-0.29,0,0.29,23,10,7,0.243,15,34,0.757,29,-0.046,0,2.5,"Andy Isabella 3000 0"
"41","Shemar Bridges","BAL",3000,0,NA,NA,NA,NA,NA,NA,"CLE",6,26,NA,NA,NA,23,10,NA,0.243,15,NA,0.757,29,-0.046,NA,NA,"Shemar Bridges 3000 0"
"42","Jaelon Darden","CLE",3000,0,NA,53.3,NA,0.3,0.7,NA,"BAL",8,15,-1.04,0,1.04,10,23,9,0.311,16,25,0.689,14,-0.042,0,7.5,"Jaelon Darden 3000 0"
"43","Anthony Schwartz","CLE",3000,0,NA,50.8,NA,1,0.82,NA,"BAL",8,15,-1.6,0.11,1.71,10,23,31,0.311,16,28,0.689,14,-0.042,0,7.5,"Anthony Schwartz 3000 0"
"44","Jakeem Grant Sr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,"BAL",8,15,NA,NA,NA,10,23,NA,0.311,16,NA,0.689,14,-0.042,NA,NA,"Jakeem Grant Sr. 3000 0"
"45","Isaiah Weston","CLE",3000,0,NA,NA,NA,NA,NA,NA,"BAL",8,15,NA,NA,NA,10,23,NA,0.311,16,NA,0.689,14,-0.042,NA,NA,"Isaiah Weston 3000 0"
"46","Mike Harley Jr.","CLE",3000,0,NA,NA,NA,NA,NA,NA,"BAL",8,15,NA,NA,NA,10,23,NA,0.311,16,NA,0.689,14,-0.042,NA,NA,"Mike Harley Jr. 3000 0"
"47","Daylen Baldwin","CLE",3000,0,NA,NA,NA,NA,NA,NA,"BAL",8,15,NA,NA,NA,10,23,NA,0.311,16,NA,0.689,14,-0.042,NA,NA,"Daylen Baldwin 3000 0"
"48","Bisi Johnson","MIN",3000,0,NA,NA,NA,NA,NA,NA,"IND",13,12,NA,NA,NA,24,9,NA,0.242,27,NA,0.758,2,0.024,NA,NA,"Bisi Johnson 3000 0"
"49","Thomas Hennigan","MIN",3000,0,NA,NA,NA,NA,NA,NA,"IND",13,12,NA,NA,NA,24,9,NA,0.242,27,NA,0.758,2,0.024,NA,NA,"Thomas Hennigan 3000 0"
"50","Trishton Jackson","MIN",3000,0,NA,NA,NA,NA,NA,NA,"IND",13,12,NA,NA,NA,24,9,NA,0.242,27,NA,0.758,2,0.024,NA,NA,"Trishton Jackson 3000 0"
"51","Blake Proehl","MIN",3000,0,NA,NA,NA,NA,NA,NA,"IND",13,12,NA,NA,NA,24,9,NA,0.242,27,NA,0.758,2,0.024,NA,NA,"Blake Proehl 3000 0"
"52","Dan Chisena","MIN",3000,0,NA,NA,NA,NA,NA,NA,"IND",13,12,NA,NA,NA,24,9,NA,0.242,27,NA,0.758,2,0.024,NA,NA,"Dan Chisena 3000 0"
"53","Keke Coutee","IND",3000,0,NA,37.5,NA,0.5,10,NA,"MIN",27,27,NA,NA,10,31,2,0,0.186,3,2,0.814,17,0.145,0,10,"Keke Coutee 3000 0"
"54","Vyncint Smith","IND",3000,0,NA,NA,NA,NA,NA,NA,"MIN",27,27,NA,NA,NA,31,2,NA,0.186,3,NA,0.814,17,0.145,NA,NA,"Vyncint Smith 3000 0"
"55","Dezmon Patmon","IND",3000,0,NA,55.4,NA,6,1.6,NA,"MIN",27,27,-3.43,0,3.43,31,2,4,0.186,3,7,0.814,17,0.145,0,3.5,"Dezmon Patmon 3000 0"
"56","Ethan Fernea","IND",3000,0,NA,NA,NA,NA,NA,NA,"MIN",27,27,NA,NA,NA,31,2,NA,0.186,3,NA,0.814,17,0.145,NA,NA,"Ethan Fernea 3000 0"
