tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Phillips, Trent",26913,6100,0.001,CUT,0,0,0,0,26.5,0,26.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Ghim, Doug",24550,7200,0.0227,CUT,0,0,0,0,26.5,0,26.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Champ, Cameron",23542,7500,0.0531,CUT,0,0,0,0,25.5,0,25.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hughes, Mackenzie",15556,7100,0.0144,CUT,0,0,0,0,25.5,0,25.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kizzire, Patton",13470,7000,0.0127,CUT,0,0,0,0,25.5,0,25.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Watney, Nick",7955,6000,0.0042,CUT,0,0,0,0,25.5,0,25.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Garnett, Brice",11451,6800,0.0087,CUT,0,0,0,0,25.0,0,25.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Baddeley, Aaron",6252,6200,0.0029,CUT,0,0,0,0,25.0,0,25.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Novak, Andrew",23475,6500,0.0014,CUT,0,0,0,0,24.5,0,24.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Varner III, Harold",16602,9000,0.1283,CUT,0,0,0,0,24.0,0,24.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Villegas, Camilo",9171,6300,0.0022,CUT,0,0,0,0,23.5,0,23.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Gutschewski, Scott",7305,6500,0.0009,CUT,0,0,0,0,23.5,0,23.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Knous, Jim",16382,6100,0.0003,CUT,0,0,0,0,23.5,0,23.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Higgo, Garrick",24342,6400,0.0014,CUT,0,0,0,0,23.5,0,23.5
