player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ryan Tannehill,7014,QB,TEN,2,2.84,2.66,3.18,5.57,69,31,84.6,26,27,4.2,1.96,1,0,0.0,74.1,20,5,9.1,28,40.6,2,8,,77.2,67.3,76.0,66.5,,,0,1,29,20.0,86.0,3.6,1,0,0,0,1,3,10.3,164,6.1,64.3,28,31,14.4,3.44,2,2,5.7,51.6,16,20,11.1,41,59.4,2,9,,79.8,70.8,77.6,73.0,,49.1,0,2,45,35.0,55.8,17.1,7,3,0,1,0,1,2.2,280,9.0
Lamar Jackson,46416,QB,BLT,2,2.86,2.45,3.0,5.05,69,3,81.3,32,33,5.1,1.82,0,2,5.6,75.8,25,4,3.8,34,49.3,1,12,,25.7,71.7,76.9,70.6,,,0,0,37,25.0,111.9,2.9,1,0,0,1,2,1,2.7,210,6.4,81.0,21,22,11.9,3.87,0,1,4.0,72.7,16,15,5.9,35,50.7,1,13,,21.3,77.8,77.3,75.0,,69.4,1,1,41,20.0,80.9,8.6,3,10,0,0,0,3,7.3,196,8.9
Joshua Dobbs,11890,QB,ARZ,2,2.59,2.55,3.57,4.4,66,1,71.9,32,33,4.8,1.88,1,0,0.0,66.7,22,8,4.3,33,50.0,1,8,,78.7,48.8,77.0,49.5,,,0,0,38,0.0,84.9,0.0,0,0,0,0,1,3,7.9,136,4.1,80.8,26,28,11.7,3.39,0,1,3.4,71.4,20,14,4.8,32,48.5,1,13,,77.9,76.2,76.6,71.2,,74.5,1,0,34,21.4,94.9,9.4,3,1,0,1,0,1,2.9,224,8.0
Dak Prescott,10769,QB,DAL,2,2.35,2.31,5.3,4.4,65,9,86.5,37,38,3.6,1.89,0,1,2.6,76.3,29,8,9.4,38,58.5,3,15,,78.9,67.2,77.1,66.4,,,1,0,39,0.0,93.6,0.0,0,0,0,0,0,1,2.6,255,6.7,72.7,22,24,10.2,3.13,1,1,3.6,62.5,15,10,6.3,26,40.0,1,9,,77.4,73.7,76.1,71.1,,63.9,1,0,30,10.0,106.8,3.8,1,1,0,0,2,0,0.0,143,6.0
Desmond Ridder,55086,QB,ATL,2,2.88,2.69,2.96,4.62,60,2,85.2,27,27,2.6,1.82,0,0,0.0,81.5,22,5,4.3,28,46.7,1,9,,25.7,48.8,76.0,49.5,,,0,1,29,20.0,90.9,3.6,1,0,0,0,1,3,10.3,177,6.6,68.4,19,23,12.9,3.8,0,1,3.7,52.2,12,20,7.7,32,53.3,1,9,,78.6,44.0,76.9,44.5,,56.1,0,0,37,20.0,91.8,12.5,4,5,0,4,1,2,5.4,175,7.6
Zach Wilson,82096,QB,NYJ,2,3.17,3.02,3.54,4.2,57,22,95.2,21,23,4.7,1.99,0,0,0.0,73.9,17,6,15.0,24,42.1,3,9,,76.6,69.2,75.6,68.3,,,1,0,26,16.7,130.2,4.2,1,0,0,1,2,0,0.0,207,9.0,47.4,19,24,12.0,4.03,0,1,4.2,37.5,9,25,0.0,33,57.9,0,6,,77.9,32.2,76.5,29.3,,66.2,2,4,33,16.0,11.6,12.1,4,5,0,3,0,4,12.1,103,4.3
Jordan Love,40306,QB,GB,2,2.64,2.5,2.9,4.93,57,12,64.3,28,29,6.5,1.86,1,1,3.4,58.6,17,3,5.6,30,52.6,1,11,,77.4,54.5,76.1,54.7,,,0,0,30,33.3,113.6,3.3,1,0,0,0,4,1,3.3,161,5.6,59.1,22,23,13.3,3.52,0,1,4.0,52.2,12,9,7.7,27,47.4,1,10,,25.7,73.4,76.0,69.6,,70.6,1,0,29,11.1,117.1,3.7,1,3,0,0,2,1,3.4,235,10.2
Anthony Richardson,124393,QB,IND,2,2.85,2.49,4.88,5.05,55,14,74.1,27,29,5.0,1.94,2,0,0.0,65.5,19,3,5.0,29,52.7,1,10,,77.4,67.7,76.1,66.9,,,0,0,30,0.0,98.3,0.0,0,0,0,0,1,1,3.3,210,7.2,80.0,15,18,3.8,3.85,0,0,0.0,61.1,11,12,8.3,26,47.3,1,7,,77.0,43.0,75.9,44.5,,54.5,2,1,28,33.3,45.8,15.4,4,4,0,1,0,1,3.6,69,3.8
Jimmy Garoppolo,8697,QB,LV,2,2.97,2.82,,4.85,54,23,81.8,22,22,5.2,1.82,0,1,4.2,81.8,18,2,0.0,22,40.7,0,7,,76.1,74.5,75.3,73.2,,,0,1,24,0.0,114.8,0.0,0,0,0,0,3,0,0.0,145,6.6,73.1,26,28,11.5,3.76,1,0,0.0,64.3,18,6,5.3,32,59.3,1,16,,78.1,77.7,76.6,75.9,,65.1,0,2,34,0.0,61.6,0.0,0,4,0,1,0,1,2.9,240,8.6
Gardner Minshew,41401,QB,IND,2,2.42,2.26,,4.35,27,14,82.4,17,18,4.5,1.91,0,0,0.0,72.2,13,5,7.1,18,66.7,1,4,,74.5,61.4,74.3,61.2,,,0,0,18,0.0,80.8,0.0,0,0,0,1,0,0,0.0,80,4.4,85.7,7,7,8.9,3.43,0,0,0.0,85.7,6,3,0.0,9,33.3,0,5,,70.9,79.5,71.9,89.1,,48.0,0,0,9,0.0,158.3,0.0,0,2,0,0,1,0,0.0,91,13.0
Tyrod Taylor,6332,QB,NYG,2,2.93,2.37,,4.6,4,21,100.0,2,2,-5.5,1.85,0,0,0.0,100.0,2,1,0.0,2,50.0,0,0,,63.6,62.4,66.9,62.1,,,0,0,2,0.0,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,0.0,1,1,9.0,4.0,0,0,0.0,0.0,0,1,,2,50.0,0,0,,65.5,40.5,68.2,46.0,,54.6,0,0,3,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Aaron Rodgers,2241,QB,NYJ,1,4.15,5.2,3.1,,2,22,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.15,0,0,0.0,0.0,0,2,,2,100.0,0,0,,65.5,39.2,68.2,41.1,,,0,0,3,50.0,39.6,50.0,1,0,0,1,0,0,0.0,0,0.0
Taysom Hill,12112,TE,NO,1,1.6,1.6,,,1,20,100.0,1,1,5.0,1.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,60.4,60.3,64.6,60.1,,,0,0,1,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Christian Kirk,47546,WR,JAX,1,3.2,3.2,,,1,15,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-1.0,3.2,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,60.4,62.2,64.9,60.0,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0
Cooper Rush,12324,QB,DAL,1,1.4,1.4,,,1,9,0.0,1,1,10.0,1.4,0,0,0.0,0.0,0,0,,1,100.0,0,0,,60.4,48.2,64.6,49.5,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Jake Browning,46401,QB,CIN,1,2.2,2.2,,,1,7,0.0,1,1,15.0,2.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,,60.4,54.5,64.6,55.1,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
