player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
A.J. Klein,7930,LB,BUF,1,7,0,4,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,6.0,100.0,100.0,5.0,5.0,0,0,0.0,45.2,0,7,,0,0,95.8,1,5,71.4,5,0,0,1,0,7,1,1.4,7.0
Jordan Poyer,8000,S,BUF,1,30,0,4,0,,,100.0,,,0,0,,59.9,0,,,0,0,0.0,0,4,13.3,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,69.0,0,,,0,0,0.0,0,18,60.0,18,0,0,0,0,0,0,0.0,
Tony Jefferson,8361,S,NYG,1,15,0,21,0,,,66.7,,,0,0,,61.7,0,,,0,0,0.0,0,4,26.7,6,0,0,0,0,0,0,0.0,,0,0,2.0,100.0,66.7,8.0,8.0,0,0,0.0,48.8,0,6,100.0,1,0,91.7,1,8,53.3,12,0,0,1,0,6,4,0.8,6.0
Chris Banjo,8419,S,ARZ,1,4,0,1,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.5,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
Khalil Mack,8640,ED,LAC,1,2,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,14.3,,,0,0,,61.5,0,,,0,0,0.0,0,2,100.0,14,0,0,0,0,0,0,0.0,
Anthony Barr,8644,LB,DAL,1,29,0,9,0,,,76.9,,,0,0,,66.3,0,,,0,0,0.0,0,10,34.5,13,0,0,0,0,0,0,0.0,,0,0,8.5,50.0,100.0,19.0,9.5,1,0,0.0,42.1,0,20,0.0,0,0,85.4,1,19,65.5,19,1,1,2,0,20,20,1.1,20.0
C.J. Mosley,8652,LB,NYJ,1,36,0,22,0,-3.0,100.0,100.0,7.0,7.0,0,0,0.0,65.4,0,-2,,0,0,79.2,1,7,19.4,7,0,0,1,0,-2,1,-0.3,-2.0,0,0,-1.8,50.0,95.8,11.0,5.5,0,0,0.0,65.6,0,9,0.0,0,0,56.3,2,23,63.9,24,1,1,4,0,12,20,0.5,6.0
Jimmie Ward,8665,S,SF,1,26,0,28,0,15.0,100.0,100.0,6.0,6.0,0,0,0.0,40.3,0,20,,0,0,158.3,1,7,26.9,7,0,0,1,1,20,5,3.3,20.0,0,0,-0.7,100.0,89.5,5.7,5.7,0,0,0.0,82.5,1,4,0.0,0,0,39.6,3,17,65.4,19,2,3,3,0,9,11,0.5,3.0
Bradley Roby,8666,CB,NO,1,31,0,20,0,5.0,100.0,100.0,7.0,7.0,0,0,0.0,76.8,0,5,0.0,0,0,87.5,1,9,29.0,9,1,1,1,0,5,0,0.7,5.0,0,0,12.2,50.0,100.0,7.0,3.5,1,1,16.7,35.9,0,18,33.3,1,1,72.2,3,21,67.7,21,0,2,6,0,41,7,2.0,13.7
Demarcus Lawrence,8669,ED,DAL,1,1,0,9,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,,,5.0,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,100.0,20,1,1,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,LAC,1,3,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,-9.0,100.0,21.4,3.0,3.0,0,0,0.0,78.1,0,-9,0.0,0,0,79.2,1,3,100.0,14,2,1,1,0,-9,0,-3.0,-9.0
Christian Kirksey,8706,LB,HST,1,27,0,13,0,2.0,100.0,80.0,8.0,8.0,0,0,0.0,48.0,0,5,,0,0,87.5,1,8,29.6,10,0,0,1,0,5,3,0.6,5.0,0,1,7.5,100.0,100.0,4.5,4.5,0,0,0.0,56.6,0,15,0.0,0,0,107.3,4,18,66.7,18,1,3,4,0,39,9,2.2,9.8
Adrian Phillips,9177,S,NE,1,30,0,19,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,1,,,100.0,,,0,0,,70.0,0,,0.0,0,0,0.0,0,23,76.7,23,0,0,0,0,0,0,0.0,
Daniel Sorensen,9253,S,NO,1,24,0,20,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,5,20.8,5,0,0,0,0,0,0,0.0,,0,0,25.5,0.0,100.0,,9.0,0,0,0.0,37.9,1,,,0,0,0.0,0,19,79.2,19,0,0,2,0,0,0,0.0,
Joe Thomas,9272,LB,CHI,1,32,0,6,0,,,77.8,,,0,0,,66.0,0,,,0,0,0.0,0,7,21.9,9,0,0,0,0,0,0,0.0,,0,1,3.0,60.0,91.3,6.7,4.0,0,0,0.0,56.4,0,11,66.7,2,0,69.6,3,21,65.6,23,0,0,5,0,21,9,1.1,7.0
K'Waun Williams,9332,CB,DEN,1,14,0,10,0,11.0,100.0,60.0,3.0,3.0,0,0,0.0,50.6,0,16,0.0,0,0,118.8,1,3,21.4,5,0,1,1,0,16,5,5.3,16.0,0,0,4.5,100.0,88.9,4.0,4.0,0,0,0.0,40.6,0,14,0.0,0,0,118.8,2,8,57.1,9,0,1,2,0,26,17,3.3,13.0
Danny Shelton,9445,DI,KC,1,2,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,40.0,,,0,0,,58.0,0,,,0,0,0.0,0,2,100.0,5,0,0,0,0,0,0,0.0,
Shaq Thompson,9458,LB,CAR,1,48,0,5,0,,,80.0,,,0,0,,63.9,0,,,0,0,0.0,0,4,8.3,5,0,0,0,0,0,0,0.0,,0,1,2.8,83.3,97.1,6.0,5.0,0,0,0.0,48.4,0,18,16.7,1,0,95.1,5,33,68.8,34,2,4,6,0,41,35,1.4,8.2
Landon Collins,9466,S,NYG,1,23,0,21,0,16.0,0.0,50.0,,3.0,0,1,100.0,84.8,0,,,0,1,39.6,0,3,13.0,6,1,0,1,0,0,0,0.0,,0,0,2.0,100.0,70.6,4.0,4.0,0,0,0.0,63.4,0,5,25.0,1,0,84.7,3,12,52.2,17,2,3,3,0,13,7,1.1,4.3
