player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Trey Lance,91399,QB,SF,2,3.15,2.89,4.65,5.2,38,28,70.0,10,11,1.4,1.84,1,0,0.0,54.5,6,2,14.3,11,28.9,1,1,,,,72.4,28.6,72.9,29.4,,,,,0,1,12,0.0,30.5,0.0,0,0,0,0,0,1,8.3,55,5.0,61.1,18,20,11.4,3.82,0,2,10.0,45.0,9,13,18.2,26,68.4,2,7,,,,76.6,64.5,75.6,68.3,,,50.8,,1,0,26,15.4,68.5,7.7,2,4,0,1,0,0,0.0,139,7.0
Dak Prescott,10769,QB,DAL,1,2.49,2.5,2.35,,31,9,61.5,13,14,4.1,1.93,0,0,0.0,50.0,7,4,12.5,15,48.4,1,2,,,,73.5,35.0,73.7,36.7,,,,,1,0,15,25.0,61.6,6.7,1,0,0,0,0,1,6.7,60,4.3,50.0,14,15,10.5,3.03,0,0,0.0,46.7,7,8,0.0,16,51.6,0,4,,,,74.8,42.2,74.5,43.6,,,,,0,1,19,12.5,33.8,6.3,1,0,0,1,0,1,5.3,74,4.9
P.J. Walker,12134,QB,CAR,2,1.93,1.7,2.83,4.5,26,5,80.0,20,21,2.9,1.66,1,0,0.0,71.4,15,2,6.3,22,84.6,1,6,,,,75.6,58.8,75.0,58.7,,,,,0,0,22,50.0,85.4,4.5,1,0,0,0,0,0,0.0,120,5.7,0.0,1,1,20.0,3.43,0,0,0.0,0.0,0,3,,4,15.4,0,0,,,,66.9,43.9,69.2,46.7,,,58.3,,0,0,4,66.7,39.6,50.0,2,1,0,0,0,0,0.0,0,0.0
Jordan Love,40306,QB,GB,2,2.04,2.04,,,8,12,100.0,6,6,4.5,1.82,0,0,0.0,66.7,4,0,33.3,6,75.0,2,2,,,,68.9,67.7,70.6,67.0,,,,,0,0,6,,89.6,0.0,0,0,0,0,0,0,0.0,46,7.7,100.0,2,2,7.5,2.7,0,0,0.0,100.0,2,1,0.0,2,25.0,0,2,,,,63.6,54.7,66.9,55.1,,,,,0,0,2,0.0,118.8,0.0,0,0,0,0,0,0,0.0,27,13.5
Brian Hoyer,5277,QB,NE,1,1.97,1.92,2.3,,7,19,80.0,5,5,1.0,1.78,0,0,0.0,80.0,4,2,0.0,6,85.7,0,1,,,,68.9,51.3,70.6,51.9,,,,,0,0,6,50.0,79.2,16.7,1,0,0,0,0,0,0.0,10,2.0,100.0,1,1,20.0,3.1,0,0,0.0,100.0,1,1,0.0,1,14.3,0,1,,,,60.4,76.7,64.6,74.9,,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,27,27.0
Case Keenum,7323,QB,BUF,2,1.87,1.87,,,7,4,33.3,6,6,6.8,1.73,0,0,0.0,33.3,2,0,0.0,6,85.7,0,0,,,,68.9,27.6,70.6,28.6,,,,,0,0,6,,42.4,0.0,0,0,0,0,0,1,16.7,8,1.3,0.0,1,1,17.0,2.7,0,0,0.0,0.0,0,0,,1,14.3,0,0,,,,60.4,44.8,64.6,46.4,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Trace McSorley,32819,QB,ARZ,1,3.56,2.53,4.7,5.05,7,1,100.0,1,1,6.0,2.2,0,0,0.0,100.0,1,0,0.0,1,14.3,0,1,,,,60.4,72.7,64.6,71.3,,,,,0,0,1,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,50.0,2,3,3.5,3.78,0,0,0.0,33.3,1,3,0.0,6,85.7,0,1,,,,68.9,54.9,70.6,50.2,,,62.9,,1,0,6,33.3,42.4,16.7,1,2,0,0,0,0,0.0,2,0.7
Malik Willis,60341,QB,TEN,1,3.7,3.18,,4.75,6,31,50.0,2,2,5.0,2.3,0,0,0.0,50.0,1,2,0.0,2,33.3,0,0,,,,63.6,62.4,66.9,62.1,,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,6,3.0,0.0,1,2,13.0,4.4,0,0,0.0,0.0,0,2,,4,66.7,0,1,,,,66.9,62.3,69.2,44.1,,,74.1,,0,0,4,0.0,39.6,0.0,0,2,0,1,0,0,0.0,0,0.0
Taysom Hill,12112,TE,NO,2,2.52,2.52,,,5,20,100.0,3,3,9.0,2.03,0,1,33.3,100.0,3,0,0.0,3,60.0,0,3,,,,65.5,80.8,68.2,78.8,,,,,0,0,3,,158.3,0.0,0,0,0,0,1,0,0.0,38,12.7,0.0,1,2,44.0,3.25,0,0,0.0,0.0,0,1,,2,40.0,0,0,,,,63.6,57.0,66.9,57.2,,,,,0,0,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Tyrod Taylor,6332,QB,NYG,1,3.3,2.27,,4.85,5,21,100.0,2,2,6.5,1.9,0,0,0.0,50.0,1,0,50.0,2,40.0,1,1,,,,63.6,74.6,66.9,73.2,,,,,0,0,2,,66.7,0.0,0,0,0,0,0,0,0.0,11,5.5,0.0,1,1,50.0,4.23,0,0,0.0,0.0,0,2,,3,60.0,0,2,,,,13.5,28.5,68.2,39.9,,,47.0,,0,1,3,0.0,0.0,0.0,0,2,0,0,0,2,66.7,0,0.0
