datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Werbylo, Trevor","Trevor Werbylo",150,28225791,6300,28.146,2:05 pm,0,48.3,1,0,49.4,-0.03,100,0,
"Westmoreland, Kyle","Kyle Westmoreland",150,28225786,6300,29.453,2:05 pm,0,52.1,1.4,0,53.5,0.2,100,0.628265541239512,
"Gligic, Michael","Michael Gligic",150,28225793,6300,28.431,8:50 am,1,49.6,1.1,0,50.7,0.03,100,0.320007227813518,
"Herman, Jim","Jim Herman",150,28225796,6200,26.681,12:59 pm,0,45.8,0.8,0,46.6,-0.11,100,0,
"McGirt, William","William McGirt",150,28225800,6200,26.231,8:28 am,1,45.4,0.8,0,46.1,-0.13,100,0,
"Gainey, Tommy","Tommy Gainey",150,28239481,6200,25.226,12:37 pm,0,42.4,0.6,0,43,-0.25,100,0,
"Knox, Russell","Russell Knox",150,28225795,6200,25.759,8:39 am,1,44.8,0.7,0,45.5,-0.15,100,0.938288952348079,
"Watney, Nick","Nick Watney",150,28225803,6200,23.439,8:28 am,1,39.7,0.4,0,40.1,-0.37,100,0,
"Dufner, Jason","Jason Dufner",150,28225799,6200,26.592,8:06 am,1,45.7,0.8,0,46.5,-0.11,100,0,
"Papineau, Étienne","Etienne Papineau",150,28225798,6200,23.431,9:12 am,1,38.8,0.4,0,39.3,-0.4,100,0,
"Macdonald, Stuart","Stuart Macdonald",150,28225797,6200,25.191,2:27 pm,0,42.2,0.6,0,42.8,-0.26,100,0,
"Kraft, Kelly","Kelly Kraft",150,28225801,6200,26.013,12:37 pm,0,44.6,0.7,0,45.4,-0.16,100,0,
"Ogilvy, Geoff","Geoff Ogilvy",150,28225802,6200,23.565,1:21 pm,0,39.5,0.4,0,40,-0.37,100,0,
"Villegas, Camilo","Camilo Villegas",150,28225804,6100,26.560,7:00 am,1,45.5,0.8,0,46.3,-0.09,100,0,
"Durham, Taylor","Taylor Durham",0,28225813,6100,11.710,9:12 am,1,23.1,0,0,23.1,-1,100,0,
"Hearn, David","David Hearn",150,28225810,6100,22.289,8:17 am,1,37.7,0.3,0,38.1,-0.41,100,0,
"Carey, David","David Carey",150,28225811,6100,17.937,2:16 pm,0,31.5,0.1,0,31.6,-0.67,100,0,
"Travale, Johnny","Johnny Travale",150,28225808,6100,19.530,9:12 am,1,33.7,0.2,0,33.9,-0.58,100,0,
"Bae, Sangmoon","Sang-Moon Bae",150,28239478,6100,26.133,12:15 pm,0,44.5,0.7,0,45.2,-0.14,100,0,
"Brown, Scott","Scott Brown",150,28239479,6100,25.687,12:15 pm,0,43.9,0.7,0,44.6,-0.16,100,0,
"Gay, Brian","Brian Gay",150,28225806,6100,18.891,12:48 pm,0,33.2,0.2,0,33.3,-0.6,100,0,
"Block, Michael","Michael Block",59,28225805,6100,21.276,1:54 pm,0,36.2,0.3,0,36.5,-0.48,100,0,
"Kuest, Peter","Peter Kuest",150,28225809,6100,28.477,9:01 am,1,49.2,1.1,0,50.3,0.1,100,1.76488351666302,
"Stuard, Brian","Brian Stuard",150,28225807,6100,24.280,12:26 pm,0,41.5,0.5,0,42,-0.26,100,0.0362841149630551,
"Carrera, Luis","Luis Carrera",150,28225812,6100,18.116,9:01 am,1,31.8,0.1,0,31.9,-0.66,100,0,
"Crane, Ben","Ben Crane",150,28239480,6000,20.948,8:39 am,1,35.6,0.2,0,35.8,-0.47,100,0,
"Barnes, Ricky","Ricky Barnes",150,28225815,6000,24.374,7:11 am,1,40.9,0.5,0,41.4,-0.25,100,0,
"Hall, Ryan","Ryan Hall",150,28225820,6000,26.825,2:16 pm,0,45.9,0.8,0,46.7,-0.05,100,0.144618493193056,
"Landry, Andrew","Andrew Landry",150,28225814,6000,24.291,7:44 am,1,40.9,0.5,0,41.4,-0.25,100,0,
"McGreevy, Max","Max McGreevy",150,28225817,6000,24.950,8:17 am,1,42.5,0.5,0,43.1,-0.19,100,0,
"Kim, Daniel","Daniel Kim",83,28225821,6000,13.032,9:12 am,1,25.3,0,0,25.3,-0.88,100,0,
"Szirmak, Sebastian","Sebastian Szirmak",150,28225823,6000,16.354,9:12 am,1,29.5,0.1,0,29.6,-0.72,100,0,
"Lamely, Derek","Derek Lamely",50,28239482,6000,21.088,9:01 am,1,35.6,0.2,0,35.9,-0.47,100,0,
"Bryan, Wesley","Wesley Bryan",150,28225818,6000,22.112,12:26 pm,0,37.5,0.3,0,37.8,-0.39,100,0.360731682328329,
"Ernst, Derek","Derek Ernst",150,28225819,6000,22.964,7:00 am,1,39,0.4,0,39.4,-0.33,100,0,
"Nesbitt, Drew","Drew Nesbitt",140,28225822,6000,21.654,9:01 am,1,36.3,0.3,0,36.6,-0.44,100,0.131682515268692,
"Weir, Mike","Mike Weir",150,28225816,6000,21.022,1:21 pm,0,35.9,0.2,0,36.2,-0.46,100,0.154544956439054,
