"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"98","Eamonn Dennis","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"99","Jake Thaw","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"100","Christian Bartholomew","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"101","Will Rolapp","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"102","Sam Staruch","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"103","Matthew Hibner","MICH",3000,NA,0,"Healthy","-7.5","58",15,51.2,1.07,"TCU",51,52
"104","Chase Curtis","TCU",3000,NA,0,"Healthy","7.5","58",23,58.1,1.76,"MICH",4,5
"105","Hilton Harris","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"106","Alex Honig","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"107","D'Andre Rogers","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"108","Cristian Dixon","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"109","Dylan Adams","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"110","Colton Dobson","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"111","Stayton Ankrom","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"112","Louis Hansen","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"113","Noah Howes","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"114","Peyton O'Leary","MICH",3000,NA,0,"Healthy","-7.5","58",6,57.1,0.67,"TCU",51,52
"115","Joe Taylor","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"116","Drew Scott","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"117","Christopher Chosen","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"118","Keagan Cunningham","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"119","DJ Allen","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"120","Major Everhart","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"121","Marlin Klein","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"122","Logan Forbes","MICH",3000,NA,0,"Healthy","-7.5","58",NA,NA,NA,"TCU",51,52
"123","Joe Staubach","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"124","Hunter Krepp","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"125","Parker Clark","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
"126","Austin Scheets","TCU",3000,NA,0,"Healthy","7.5","58",NA,NA,NA,"MICH",4,5
