Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/19/2022,11/20/2022,CHARLESTON CITY METERS,Travel,Sale,-2.00,
11/19/2022,11/20/2022,CHARLESTON CITY METERS,Travel,Sale,-3.25,
11/19/2022,11/20/2022,CHARLESTON CITY METERS,Travel,Sale,-4.00,
11/18/2022,11/20/2022,UBER   TRIP,Travel,Sale,-11.93,
11/19/2022,11/20/2022,DD/BR #302068,Food & Drink,Sale,-7.23,
11/16/2022,11/17/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-32.96,
11/15/2022,11/16/2022,NJ EZPASS,Travel,Sale,-55.00,
11/15/2022,11/16/2022,SP HEART AND SOIL,Personal,Sale,-76.63,
11/14/2022,11/15/2022,J. CREW FACTORY #87,Shopping,Sale,-14.50,
11/15/2022,11/15/2022,DISCORD* NITROCLASSICM,Professional Services,Sale,-4.99,
11/10/2022,11/11/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-2.49,
11/11/2022,11/11/2022,Peacock E1B4B PremPlus,Bills & Utilities,Sale,-5.00,
11/10/2022,11/11/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-33.62,
11/07/2022,11/08/2022,THE DAILY WIRE,Bills & Utilities,Sale,-14.00,
11/06/2022,11/07/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
11/05/2022,11/07/2022,COMFORT INNS,Travel,Sale,-173.99,
11/06/2022,11/07/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-56.99,
11/06/2022,11/07/2022,HP *INSTANT INK,Shopping,Sale,-6.39,
11/04/2022,11/06/2022,SPIFFYS DRY CLEANING,Personal,Sale,-20.65,
11/04/2022,11/06/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-79.26,
11/05/2022,11/06/2022,TST* 10th Ave Burrito Co.,Food & Drink,Sale,-63.44,
11/04/2022,11/06/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
11/05/2022,11/06/2022,DR. SQUATCH  INC.,Shopping,Sale,-22.39,
11/05/2022,11/06/2022,HOTELSCOM7242459951808,Travel,Sale,-150.26,
11/05/2022,11/06/2022,APPLE.COM/BILL,Shopping,Sale,-0.99,
11/04/2022,11/04/2022,LYFT   *1 RIDE 11-02,Travel,Sale,-75.95,
11/02/2022,11/03/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-147.62,
11/02/2022,11/03/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-41.48,
11/02/2022,11/03/2022,BJS WHOLESALE #0027,Shopping,Sale,-19.38,
11/01/2022,11/03/2022,LUFTHANSA   2204001923521,Travel,Sale,-75.11,
11/02/2022,11/03/2022,MICROSOFT YEARLY PLAN,Shopping,Sale,-74.63,
11/01/2022,11/03/2022,LUFTHANSA   2204001923520,Travel,Sale,-75.11,
11/01/2022,11/02/2022,Flgh .Muenchen Cee'u,Shopping,Sale,-29.83,
10/30/2022,11/01/2022,CONFORTI LUIGI,Groceries,Sale,-59.50,
