Player,Roster Position,%Drafted,FPTS
Curtis Samuel,WR,0.19%,0.8
Durham Smythe,TE,0.19%,0
Jeff Wilson Jr.,RB,0.18%,0
Giovani Bernard,RB,0.14%,2
John Ross III,WR,0.13%,0
Kyle Rudolph,TE,0.12%,3.8
Denzel Mims,WR,0.10%,1.4
Braxton Berrios,FLEX,0.10%,2.1
Ray-Ray McCloud III,WR,0.10%,1.7
Trent Sherfield,WR,0.10%,3.6
Khalil Herbert,RB,0.09%,3.7
Pharaoh Brown,FLEX,0.09%,5.3
O.J. Howard,FLEX,0.08%,0
Tavon Austin,FLEX,0.08%,1.9
Jalen Guyton,WR,0.07%,18.9
Chris Conley,WR,0.07%,0
Carlos Hyde,FLEX,0.07%,8.3
Jaret Patterson,RB,0.07%,0.2
Jakeem Grant Sr.,WR,0.06%,17.2
Jalen Hurts,QB,0.06%,0
Kylen Granson,FLEX,0.06%,1.6
Breshad Perriman,WR,0.06%,1.5
Colt McCoy,QB,0.06%,0
Jordan Akins,FLEX,0.05%,0
Royce Freeman,RB,0.05%,3.1
Will Dissly,TE,0.05%,2.7
Samaje Perine,FLEX,0.04%,6.1
Godwin Igwebuike,FLEX,0.04%,3.1
Joshua Palmer,WR,0.04%,0
Wendell Smallwood,FLEX,0.04%,4.5
Salvon Ahmed,RB,0.04%,2.3
Kyle Juszczyk,RB,0.04%,4.1
John Bates,TE,0.03%,7.2
C.J. Ham,RB,0.03%,2.9
Cyril Grayson,FLEX,0.03%,0
Collin Johnson,WR,0.03%,0
Zach Gentry,TE,0.03%,3
Antoine Wesley,WR,0.03%,0
JaMycal Hasty,RB,0.03%,0
Pharoh Cooper,WR,0.03%,4.1
Deon Jackson,FLEX,0.02%,7.9
Joe Flacco,QB,0.02%,0
Chris Myarick,FLEX,0.02%,0
Isaiah Ford,WR,0.02%,7.2
Jack Stoll,TE,0.02%,0
Alex Collins,RB,0.02%,0
J.D. McKissic,RB,0.02%,0
Ben Skowronek,WR,0.02%,4.5
Peyton Barber,FLEX,0.02%,1.2
Cam Sims,WR,0.02%,0
Eno Benjamin,FLEX,0.01%,2.3
Keke Coutee,WR,0.01%,0
JJ Arcega-Whiteside,WR,0.01%,0
Jesse James,TE,0.01%,0
Jordan Matthews,TE,0.01%,0
Davion Davis,WR,0.01%,0
Dee Eskridge,WR,0.01%,12.5
Trayveon Williams,FLEX,0.01%,0
Sterling Shepard,WR,0.01%,0
David Johnson,RB,0.01%,0
Anthony Miller,WR,0.01%,0
Rashaad Penny,FLEX,0.01%,7.2
Chris Herndon,FLEX,0.01%,0
Jaylen Samuels,RB,0.01%,0.2
Phillip Lindsay,FLEX,0.01%,0
Dede Westbrook,FLEX,0.01%,0.8
Eli Penny,RB,0.01%,0
Rodney Adams,WR,0.01%,0
Ross Dwelley,FLEX,0.01%,0
Preston Williams,WR,0.01%,0
Kenny Yeboah,TE,0.01%,0
Jesper Horsted,FLEX,0.01%,0
Greg Ward,WR,0.01%,0
Dezmon Patmon,WR,0.01%,0
Dalvin Cook,FLEX,0.01%,0
Stephen Anderson,FLEX,0.01%,0
Ricky Seals-Jones,TE,0.01%,0
Farrod Green,TE,0.01%,0
Duke Johnson,FLEX,0.01%,0
Danny Amendola,FLEX,0.01%,0
Qadree Ollison,FLEX,0.01%,2.5
Antonio Brown,WR,0.01%,0
Marlon Mack,FLEX,0.01%,0
Lee Smith,FLEX,0.01%,0
Patrick Laird,RB,0.01%,0
KhaDarel Hodge,FLEX,0.01%,1.9
Davis Mills,QB,0.01%,3.06
Antony Auclair,FLEX,0.01%,0
Craig Reynolds,RB,0.01%,0
Jonathan Williams,RB,0.01%,0
Deebo Samuel,WR,0.01%,0
Gary Brightwell,RB,0.01%,0
Kadarius Toney,WR,0.01%,0
D'Andre Swift,RB,0.01%,0
Justin Jackson,FLEX,0.01%,4.1
DeMichael Harris,WR,0.01%,0
Connor Wedington,WR,0.00%,0
Darren Waller,TE,0.00%,0
Brock Wright,TE,0.00%,10.8
Drew Sample,FLEX,0.00%,0
Richard Rodgers,TE,0.00%,0
Tyler Ott,FLEX,0.00%,0
Allen Robinson II,WR,0.00%,0
Kirk Merritt,WR,0.00%,0
Chase Edmonds,RB,0.00%,0
Jacob Hollister,FLEX,0.00%,0
Michael Jacobson,TE,0.00%,0
Mekhi Sargent,RB,0.00%,0.5
Ke'Shawn Vaughn,RB,0.00%,0
Trinity Benson,WR,0.00%,0
Tyree Jackson,FLEX,0.00%,0
Quintez Cephus,WR,0.00%,0
Tanner Hudson,TE,0.00%,0
Isaiah McKoy,WR,0.00%,0
Ty'Son Williams,RB,0.00%,0
Keelan Cole Sr.,WR,0.00%,0
D.J. Montgomery,WR,0.00%,0
Travis Benjamin,WR,0.00%,-1
River Cracraft,WR,0.00%,0
John Hightower,WR,0.00%,0
Charlie Woerner,TE,0.00%,0
Daniel Jones,QB,0.00%,0
Marquise Goodwin,WR,0.00%,0
Calvin Ridley,WR,0.00%,0
Travis Homer,RB,0.00%,19
Mike Strachan,WR,0.00%,0
Pooka Williams Jr.,WR,0.00%,0
Joshua Kelley,RB,0.00%,0
Benny Snell Jr.,RB,0.00%,1.3
David Sills,WR,0.00%,0
Jacoby Brissett,QB,0.00%,0
Daniel Helm,TE,0.00%,0
Demetrius Harris,FLEX,0.00%,2.7
Frank Darby,WR,0.00%,0
Nate McCrary,RB,0.00%,-0.1
Michael Carter,RB,0.00%,0
Trey Lance,QB,0.00%,0
Trey Edmunds,RB,0.00%,0
Cethan Carter,TE,0.00%,0
Josh Hokit,RB,0.00%,0
Larry Rountree III,FLEX,0.00%,0
Mason Schreck,FLEX,0.00%,0
Eli Wolf,TE,0.00%,0
Paul Quessenberry,TE,0.00%,0
Tavien Feaster,RB,0.00%,0
Phillip Dorsett II,FLEX,0.00%,0
Hunter Long,FLEX,0.00%,1.8
Geronimo Allison,WR,0.00%,0
Geno Smith,QB,0.00%,0
Wayne Gallman Jr.,FLEX,0.00%,0
Derek Watt,FLEX,0.00%,0
Kevin Rader,FLEX,0.00%,0
Marcus Mariota,QB,0.00%,0
Trishton Jackson,WR,0.00%,0
Ryan Nall,FLEX,0.00%,0
Landen Akers,WR,0.00%,0
Deon Yelder,TE,0.00%,0
Stanley Morgan,FLEX,0.00%,0
Robert Woods,WR,0.00%,0
Josh Johnson,RB,0.00%,0
K.J. Hill,WR,0.00%,0
Josh Oliver,FLEX,0.00%,0
Luke Stocker,TE,0.00%,0
Kendall Blanton,TE,0.00%,1.6
Trenton Cannon,RB,0.00%,0
Sammis Reyes,FLEX,0.00%,0
Derrius Guice,RB,0.00%,0
Andre Roberts,WR,0.00%,0
Andrew DePaola,TE,0.00%,0
Dare Ogunbowale,RB,0.00%,0
Alex Bachman,FLEX,0.00%,0
Kalen Ballage,RB,0.00%,0
Chris Manhertz,FLEX,0.00%,0
A.J. Rose Jr.,FLEX,0.00%,0
Corey Coleman,WR,0.00%,0
Marken Michel,FLEX,0.00%,0
Gerrid Doaks,RB,0.00%,0
John Brown,WR,0.00%,0
Dillon Stoner,WR,0.00%,0
Damon Hazelton,FLEX,0.00%,0
Jeff Driskel,QB,0.00%,0
James Proche,WR,0.00%,0
Cody White,WR,0.00%,0
Nick Boyle,FLEX,0.00%,0
Jordan Howard,RB,0.00%,0
Jason Huntley,FLEX,0.00%,0
Bernhard Seikovits,TE,0.00%,0
Zach Davidson,TE,0.00%,0
Temarrick Hemingway,FLEX,0.00%,0
Isaiah Coulter,WR,0.00%,0
Dazz Newsome,WR,0.00%,0
Dax Milne,WR,0.00%,0
Dax Raymond,TE,0.00%,0
Parker Hesse,FLEX,0.00%,0
Codey McElroy,FLEX,0.00%,0
Eric Ebron,FLEX,0.00%,0
Jake Hausmann,TE,0.00%,0
Ryan Izzo,FLEX,0.00%,0
Ben Ellefson,TE,0.00%,0
Tyler Mabry,TE,0.00%,0
Tyron Johnson,WR,0.00%,0
Dante Pettis,FLEX,0.00%,0
B.J. Emmons,FLEX,0.00%,0
Ihmir Smith-Marsette,WR,0.00%,0
Jordan Wilkins,FLEX,0.00%,0
Andre Baccellia,WR,0.00%,0
Travis Fulgham,WR,0.00%,0
Darren Fells,FLEX,0.00%,0
Raheem Mostert,RB,0.00%,0
Eric Tomlinson,FLEX,0.00%,0
Parris Campbell,WR,0.00%,0
Tyler Huntley,QB,0.00%,0
Nick Eubanks,TE,0.00%,0
Myron Mitchell,FLEX,0.00%,0
Penny Hart,WR,0.00%,0.9
Tylan Wallace,FLEX,0.00%,0
Jake Funk,RB,0.00%,0
Jason Cabinda,FLEX,0.00%,0
Dan Arnold,TE,0.00%,0
Darrell Daniels,TE,0.00%,0
DJ Turner,WR,0.00%,0
Brandon Dillon,TE,0.00%,0
Irv Smith Jr.,FLEX,0.00%,0
Warren Jackson,WR,0.00%,0
Nick Foles,QB,0.00%,0
Nsimba Webster,WR,0.00%,0
Nathan Cottrell,RB,0.00%,0
Javian Hawkins,FLEX,0.00%,0
Jamal Agnew,WR,0.00%,0
KeeSean Johnson,WR,0.00%,0
Jalen Richard,RB,0.00%,0
Marvin Hall,WR,0.00%,0
Patrick Scales,TE,0.00%,0
Michael Bandy,WR,0.00%,0
Tre' McKitty,FLEX,0.00%,0
Jonathan Ward,RB,0.00%,0
Mitchell Wilcox,TE,0.00%,0
Kelvin Harmon,WR,0.00%,0
La'Mical Perine,FLEX,0.00%,0
Scottie Phillips,FLEX,0.00%,0
Keith Smith,RB,0.00%,1.2
Trey Ragas,FLEX,0.00%,0
Dan Chisena,WR,0.00%,0
Alex Ellis,TE,0.00%,0
Matt Bushman,FLEX,0.00%,0
Cody Thompson,WR,0.00%,0
Quartney Davis,WR,0.00%,0
Jake Bargas,RB,0.00%,0
Sandro Platzgummer,FLEX,0.00%,0
Brycen Hopkins,FLEX,0.00%,0
Reid Sinnett,QB,0.00%,0
Trent Taylor,FLEX,0.00%,0
Jeff Smith,WR,0.00%,0
Justin Fields,QB,0.00%,0
Trenton Irwin,FLEX,0.00%,0
Vyncint Smith,FLEX,0.00%,0
Trey Sermon,RB,0.00%,0
Hunter Kampmoyer,FLEX,0.00%,0
Josh Hammond,FLEX,0.00%,0
Sutton Smith,FLEX,0.00%,0
Anthony McFarland Jr.,RB,0.00%,0
J.P. Holtz,FLEX,0.00%,0
Jake Luton,QB,0.00%,0
Deshaun Watson,QB,0.00%,0
Rysen John,WR,0.00%,0
Levine Toilolo,TE,0.00%,0
Mike Thomas,WR,0.00%,0
Javon Wims,WR,0.00%,0
Mike White,QB,0.00%,0
Will Fuller V,WR,0.00%,0
Dyami Brown,WR,0.00%,1.6
Jaydon Mickens,WR,0.00%,3
Luke Farrell,FLEX,0.00%,0
Aaron Fuller,WR,0.00%,0
Adam Shaheen,TE,0.00%,0
Brandon Powell,FLEX,0.00%,0
Austin Trammell,WR,0.00%,0
Chris Evans,RB,0.00%,0
Kyle Allen,QB,0.00%,0
Andy Isabella,WR,0.00%,0
Chris Carson,RB,0.00%,0
Darius Bradwell,FLEX,0.00%,0
Jeff Cotton Jr.,WR,0.00%,0
Sean Mannion,QB,0.00%,0
Darwin Thompson,FLEX,0.00%,0
John Raine,FLEX,0.00%,0
Josh Johnson,QB,0.00%,0
Mohamed Sanu Sr.,WR,0.00%,0
Noah Togiai,TE,0.00%,0
John Hurst,FLEX,0.00%,0
Kenji Bahar,QB,0.00%,0
J.K. Dobbins,RB,0.00%,0
Damien Williams,FLEX,0.00%,0
Artavis Pierce,RB,0.00%,0
Jordan Veasy,FLEX,0.00%,0
Maurice Ffrench,WR,0.00%,0
Steven Sims Jr.,WR,0.00%,0
Hayden Hurst,FLEX,0.00%,0
Cullen Gillaspia,FLEX,0.00%,0
Gus Edwards,RB,0.00%,0
Beau Brinkley,TE,0.00%,0
Kaden Smith,TE,0.00%,0
Blaine Gabbert,QB,0.00%,0
Tim Boyle,QB,0.00%,0
Malcolm Brown,FLEX,0.00%,0
Clark Harris,FLEX,0.00%,0
