player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Zach Gentry,36049,TE,PIT,16,22,0,25,3.3,0,75.0,50.0,1,2,0.0,0,2,0,70.5,57.8,0,11,23.1,12,52,3,67.3,35,86.5,4,18.2,0,21,8,2.7,7.0,0.6,0,2.3,0,83.3,0.0,0,1,6.3,1,3,0,65.6,46.2,0,32,23.5,39,166,15,72.9,121,87.0,18,81.8,0,88,85,5.7,5.9,0.73
Michael Thomas,10681,WR,NO,3,22,0,20,11.5,0,75.0,100.0,2,2,0.0,0,3,0,70.5,77.0,0,21,0.0,0,21,3,90.5,19,145.8,4,18.2,1,40,5,1.7,13.3,2.11,0,10.5,0,68.8,66.7,4,6,8.3,1,8,0,63.2,71.6,0,20,0.0,0,73,11,95.9,70,89.3,16,72.7,0,115,20,1.8,10.5,1.64
Steven Sims,48341,WR,PIT,11,22,0,25,8.8,0,60.0,0.0,0,1,0.0,0,1,0,70.5,53.0,0,15,0.0,0,32,3,90.6,29,71.3,5,22.7,0,23,17,5.7,7.7,0.79,0,3.1,0,62.5,50.0,1,2,0.0,0,3,0,78.0,53.2,0,11,0.0,0,97,10,99.0,96,68.0,16,72.7,0,53,44,4.4,5.3,0.55
Jake Ferguson,61081,TE,DAL,15,21,0,9,4.0,3,66.7,,0,0,0.0,0,2,0,70.5,77.2,0,30,33.3,13,39,2,61.5,24,148.6,3,14.3,1,37,27,13.5,18.5,1.54,0,2.6,1,92.9,,0,0,0.0,0,5,0,80.6,76.1,0,24,31.2,29,93,13,66.7,62,101.8,14,66.7,0,118,83,6.4,9.1,1.9
Ray-Ray McCloud III,47895,WR,SF,16,21,0,28,7.0,0,75.0,100.0,1,1,0.0,0,1,0,72.1,63.4,0,15,1.9,1,52,3,86.5,45,134.4,4,19.0,1,29,8,2.7,9.7,0.64,0,15.9,0,60.0,50.0,1,2,18.2,2,7,0,41.4,70.6,0,42,0.0,0,96,9,95.8,92,104.0,15,71.4,0,187,71,7.9,20.8,2.03
Ezekiel Elliott,10638,HB,DAL,14,21,0,9,0.0,1,100.0,,0,0,0.0,0,1,0,70.5,53.9,0,31,22.0,18,82,3,73.2,60,118.8,3,14.3,0,41,41,13.7,13.7,0.68,0,-0.3,0,86.7,50.0,1,2,0.0,0,3,0,80.0,53.4,0,11,13.5,21,155,13,83.2,129,79.4,15,71.4,0,46,44,3.4,3.5,0.36
Damiere Byrd,9964,WR,ATL,13,21,0,2,18.0,1,50.0,,0,0,0.0,0,2,0,68.3,70.4,0,47,0.0,0,33,2,87.9,29,135.4,4,19.0,1,66,30,15.0,33.0,2.28,0,22.3,1,53.3,20.0,1,5,11.1,1,6,0,54.9,60.1,2,21,0.0,0,109,8,97.2,106,40.0,15,71.4,0,119,36,4.5,14.9,1.12
Kyle Juszczyk,7912,FB,SF,15,21,0,28,-1.8,2,100.0,,0,0,0.0,0,2,0,72.1,68.3,0,18,20.9,9,43,4,69.8,30,137.5,4,19.0,1,30,37,9.3,7.5,1.0,0,3.0,2,78.6,100.0,1,1,8.3,1,4,0,60.2,53.5,0,35,9.9,15,152,11,86.8,132,99.4,14,66.7,0,110,78,7.1,10.0,0.83
Sterling Shepard,10674,WR,NYG,3,21,0,21,6.0,0,75.0,100.0,1,1,25.0,1,0,0,36.2,55.9,0,16,0.0,0,17,3,94.1,16,92.7,4,19.0,0,27,5,1.7,9.0,1.69,0,11.7,1,58.8,25.0,1,4,9.1,1,4,0,58.5,62.2,0,65,0.0,0,87,10,90.8,79,101.8,17,81.0,1,127,47,4.7,12.7,1.61
Darrell Henderson,41193,HB,JAX,10,21,0,15,30.0,0,0.0,,0,0,,0,0,0,,47.3,0,0,19.6,9,46,0,76.1,35,39.6,1,4.8,0,0,0,,,0.0,0,-0.6,1,88.9,,0,0,0.0,0,4,0,82.2,54.6,0,15,15.7,27,172,16,82.6,142,88.7,18,85.7,0,95,106,6.6,5.9,0.67
Adam Trautman,109795,TE,NO,14,21,0,20,4.4,1,66.7,50.0,1,2,0.0,0,4,0,75.6,74.3,0,20,25.5,12,47,6,72.3,34,88.7,9,42.9,0,67,53,8.8,11.2,1.97,0,3.8,0,88.9,0.0,0,1,0.0,0,1,0,76.5,56.7,0,12,33.3,41,123,8,63.4,78,98.1,9,42.9,0,68,42,5.3,8.5,0.87
Javonte Williams,77803,HB,DEN,4,21,0,10,6.0,0,0.0,0.0,0,1,,0,0,0,,51.8,0,0,33.3,6,18,0,66.7,12,39.6,1,4.8,0,0,0,,,0.0,0,-0.8,3,75.0,0.0,0,1,10.0,1,3,0,57.0,61.7,0,13,17.8,8,45,9,80.0,36,81.9,12,57.1,0,50,63,7.0,5.6,1.39
Johnny Mundt,12206,TE,MIN,16,21,0,18,1.4,0,80.0,100.0,1,1,20.0,1,4,0,41.6,60.1,0,12,29.2,14,48,4,66.7,32,132.9,5,23.8,1,32,29,7.3,8.0,1.0,0,1.5,2,100.0,,0,0,0.0,0,4,0,79.4,57.6,0,17,25.2,31,123,12,73.2,90,97.6,12,57.1,0,89,71,5.9,7.4,0.99
Kenyan Drake,10707,HB,BLT,11,20,0,3,-1.7,0,83.3,,0,0,16.7,1,3,0,45.8,63.7,0,8,20.3,12,59,5,76.3,45,120.8,6,30.0,1,21,34,6.8,4.2,0.47,0,0.3,1,66.7,,0,0,20.0,2,2,0,38.7,43.1,1,15,18.9,20,106,8,73.6,78,35.8,12,60.0,0,37,61,7.6,4.6,0.47
Keelan Cole,51593,WR,LV,13,20,0,23,27.7,0,66.7,0.0,0,1,0.0,0,2,0,68.3,55.5,0,21,1.8,1,57,2,94.7,54,109.7,3,15.0,0,41,1,0.5,20.5,0.76,0,13.4,1,40.0,0.0,0,2,20.0,1,3,0,41.6,50.8,0,18,0.8,1,129,4,95.3,123,53.8,10,50.0,0,44,19,4.8,11.0,0.36
Trenton Irwin,48080,WR,CIN,8,20,0,7,10.5,1,66.7,50.0,1,2,0.0,0,4,0,72.1,73.4,0,32,0.0,0,48,4,93.8,45,141.0,6,30.0,1,63,24,6.0,15.8,1.4,0,12.3,1,66.7,50.0,2,4,0.0,0,5,0,76.5,65.6,0,23,0.0,0,118,8,92.4,109,122.6,12,60.0,1,107,26,3.3,13.4,0.98
John Bates,42275,TE,WAS,15,20,0,32,5.0,0,0.0,,0,0,100.0,1,0,0,28.8,35.6,0,0,37.3,19,51,0,52.9,27,39.6,2,10.0,0,0,0,,,0.0,0,6.4,0,77.8,0.0,0,1,0.0,0,4,1,80.6,57.9,0,20,33.6,41,122,14,63.1,77,110.2,18,90.0,1,108,53,3.8,7.7,1.4
Ashton Dulin,91479,WR,IND,11,20,0,14,11.0,0,83.3,100.0,3,3,0.0,0,5,0,73.4,79.1,1,18,3.6,1,28,5,92.9,26,66.7,6,30.0,0,57,8,1.6,11.4,2.19,0,15.8,0,62.5,33.3,1,3,0.0,0,4,0,73.4,60.7,1,23,0.0,0,71,5,93.0,66,92.2,8,40.0,1,73,12,2.4,14.6,1.11
Amari Rodgers,61212,WR,HST,12,19,0,13,9.1,1,85.7,100.0,1,1,0.0,0,5,0,75.6,75.7,0,37,0.0,0,42,6,88.1,37,118.8,7,36.8,0,93,37,6.2,15.5,2.51,0,14.5,0,63.6,33.3,1,3,12.5,1,6,0,52.5,64.8,0,28,0.0,0,81,7,97.5,79,121.4,11,57.9,1,95,23,3.3,13.6,1.2
KhaDarel Hodge,26104,WR,ATL,15,19,0,2,11.0,0,100.0,,0,0,0.0,0,1,0,68.3,74.3,0,18,0.0,0,10,1,90.0,9,118.8,1,5.3,0,18,7,7.0,18.0,2.0,0,11.4,2,70.6,50.0,2,4,7.7,1,6,0,61.8,79.9,0,39,0.0,0,54,12,94.4,51,125.6,17,89.5,1,184,54,4.5,15.3,3.61
