player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Angelo Blackson,9533,DI,CHI,15,0,0,6,51.7,1,4,196,99.5,4.6,9,1,1.3,0,211,210,5,0,51.5,1,4,80,100.0,7.5,6,3.1,0,86,86,5
Trey Flowers,9534,ED,MIA,4,0,0,17,72.4,1,7,44,100.0,18.2,8,0,9.1,0,46,46,8,0,61.2,1,4,21,100.0,19.0,4,11.9,0,22,22,5
Za'Darius Smith,9555,ED,MIN,16,3,0,18,84.7,15,53,467,93.8,21.8,102,5,9.4,10,528,495,78,3,87.4,9,37,240,97.6,26.7,64,12.9,8,255,249,54
Kwon Alexander,9557,LB,NYJ,16,0,0,22,74.1,1,3,18,7.2,16.7,3,0,16.7,1,263,19,5,0,60.9,1,1,6,6.3,0.0,0,16.7,0,95,6,2
Damien Wilson,9560,LB,CAR,11,0,0,5,69.8,0,2,9,12.0,22.2,2,1,33.3,2,75,9,4,0,54.1,0,1,3,18.8,33.3,1,16.7,0,16,3,1
Grady Jarrett,9570,DI,ATL,16,1,1,2,75.2,9,27,442,99.8,12.0,53,3,5.7,7,464,463,43,0,78.0,5,17,210,100.0,17.1,36,8.1,6,221,221,28
Adrian Amos,9575,S,GB,16,0,0,12,61.1,2,2,9,1.8,22.2,2,3,33.3,1,503,9,5,0,56.2,0,0,2,1.0,0.0,0,0.0,0,209,2,0
Bobby McCain,9578,S,WAS,16,0,0,32,58.2,1,2,18,3.2,0.0,0,1,8.3,0,561,18,3,0,59.3,1,1,8,3.2,0.0,0,12.5,0,251,8,2
Tyeler Davison,9587,DI,LAC,6,0,0,27,56.3,0,1,15,100.0,13.3,2,0,3.3,0,18,18,1,0,54.5,0,1,4,100.0,25.0,1,12.5,0,5,5,1
David Mayo,9602,LB,WAS,8,0,0,32,73.8,0,1,1,1.5,100.0,1,0,150.0,1,68,1,2,0,76.3,0,0,0,0.0,,1,,1,24,0,1
Quandre Diggs,9633,S,SEA,16,0,0,29,60.4,1,1,5,0.8,20.0,1,2,20.0,0,624,5,2,0,58.4,0,0,1,0.3,0.0,0,0.0,0,308,1,0
Christian Ringo,9643,DI,NO,2,0,0,20,65.4,0,0,14,100.0,14.3,2,0,0.0,0,15,15,0,0,65.5,0,0,5,100.0,20.0,1,0.0,0,5,5,0
Christian Covington,9649,DI,LAC,4,0,0,27,56.6,0,3,51,98.1,7.8,4,0,2.9,0,52,51,3,0,66.7,0,1,10,90.9,20.0,2,5.0,0,11,10,1
Rakeem Nunez-Roches,9650,DI,TB,16,0,0,30,54.4,1,5,249,97.4,4.8,12,3,2.0,2,269,262,8,0,64.9,1,4,78,100.0,10.3,8,5.8,2,81,81,7
Troy Hill,9881,CB,LA,11,1,0,26,70.6,0,0,6,1.6,0.0,0,2,0.0,0,386,6,0,0,,0,0,0,0.0,,0,,0,159,0,0
DeShawn Williams,9891,DI,DEN,16,4,0,10,58.6,4,7,305,99.7,6.9,21,0,3.4,5,326,325,16,1,61.7,4,4,118,99.2,11.9,14,6.8,4,128,127,12
Dean Marlowe,9966,S,BUF,5,0,0,4,58.0,0,0,3,3.9,0.0,0,1,0.0,0,76,3,0,0,,0,0,0,0.0,,0,,0,30,0,0
Alex Singleton,9994,LB,DEN,14,2,0,10,71.4,3,10,60,14.9,18.3,11,2,10.8,0,430,64,13,1,76.6,3,4,32,18.2,25.0,8,10.9,0,192,35,7
Bryce Callahan,10000,CB,LAC,15,0,0,27,58.2,2,5,19,4.9,15.8,3,2,18.4,0,407,20,7,0,58.4,1,3,7,3.1,28.6,2,28.6,0,223,7,4
T.Y. McGill,10156,DI,SF,8,0,0,28,60.3,2,8,95,99.0,11.6,11,1,5.3,0,97,96,10,0,58.1,0,4,37,100.0,10.8,4,5.4,0,37,37,4
Efe Obada,10235,ED,WAS,16,2,0,32,58.3,6,15,174,99.0,14.9,26,2,7.8,3,193,191,24,1,56.5,2,12,70,100.0,22.9,16,11.4,1,78,78,15
Erik Harris,10346,S,ATL,2,0,0,2,59.6,0,0,2,11.1,0.0,0,0,0.0,0,18,2,0,0,,0,0,0,0.0,,0,,0,5,0,0
Joey Bosa,10637,ED,LAC,4,0,1,27,86.6,2,9,87,97.9,26.4,23,1,8.6,2,95,93,13,0,67.2,1,7,46,98.0,23.9,11,8.7,0,51,50,8
Jalen Ramsey,10639,CB,LA,16,2,1,26,91.2,1,5,23,3.8,8.7,2,5,21.7,2,605,23,8,0,86.2,1,2,11,4.5,9.1,1,31.8,2,242,11,5
DeForest Buckner,10641,DI,IND,16,3,0,14,74.3,10,29,456,99.6,14.0,64,3,6.3,9,486,484,48,2,78.5,8,20,219,100.0,19.2,42,9.6,7,234,234,35
Leonard Floyd,10643,ED,LA,16,0,2,26,65.6,10,31,436,86.1,14.4,63,2,6.5,8,526,453,49,0,60.0,6,16,175,87.8,16.0,28,9.1,5,213,187,27
Eli Apple,10644,CB,CIN,14,0,1,7,64.3,0,1,3,0.6,33.3,1,4,16.7,0,538,3,1,0,,0,0,0,0.0,,0,,0,245,0,0
Sheldon Rankins,10646,DI,NYJ,14,0,0,22,68.1,4,15,278,97.6,9.0,25,0,4.9,4,296,289,23,0,75.1,2,12,99,100.0,18.2,18,11.1,4,105,105,18
