player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Kade Hensley,147105,K,COAST CAR,3,20,18,61.3,3.64,26.9,22.5,0,5,141,62.4,1226,11,0,0,55.0,247,65.44,4
Mason Shipley,147243,K,TEXAS ST,3,13,12,65.8,3.74,27.8,25.7,0,0,314,66.5,855,7,0,0,53.8,180,44.83,6
Scott Taylor Renfroe,147275,K,TROY,3,7,6,63.7,3.7,22.9,21.0,0,1,318,73.2,446,3,0,0,42.9,63,22.19,3
Zach Long,147276,K,TROY,3,7,7,66.3,3.43,27.4,19.0,0,0,318,67.2,464,2,0,0,28.6,38,24.01,5
Trey Gronotte,147367,K,ARMY,1,3,3,66.0,3.64,31.3,44.0,0,1,114,69.1,198,1,0,0,33.3,44,10.93,1
Noe Ruelas,147413,K,UCONN,4,14,14,66.8,3.67,25.6,22.2,0,1,146,71.8,935,6,0,0,42.9,133,51.4,6
CJ Kolodziey,147443,P,UMASS,3,11,7,57.0,3.6,27.0,13.3,0,0,216,61.2,627,6,0,0,54.5,80,25.23,4
Brett Money,147469,K,NEW MEX ST,1,1,1,61.0,3.32,25.0,,0,1,242,59.8,61,0,0,0,0.0,0,3.32,0
Brendan Farrell,151065,K,VIRGINIA,3,12,12,68.5,3.84,24.3,19.3,0,0,335,76.2,822,3,0,0,25.0,58,46.07,9
Ben VonGunten,151493,K,BALL ST,3,15,14,64.5,3.72,21.2,15.0,0,3,117,68.9,968,8,0,0,53.3,120,52.01,4
Derek McCormick,154708,K,LA MONROE,1,1,1,59.0,3.82,25.0,,0,1,209,59.8,59,0,0,0,0.0,0,3.82,0
Matthew Dapore,154709,K,AIR FORCE,2,12,11,66.8,3.91,24.9,18.3,0,0,101,69.5,801,4,0,0,33.3,73,43.03,7
Damian Ramos,155532,K,LSU,3,19,15,65.5,3.35,26.5,24.3,0,0,211,64.5,1245,8,0,0,42.1,194,50.22,10
Atticus Sappington,155544,K,OREGON ST,3,16,16,65.4,3.81,31.3,34.5,0,1,265,71.9,1046,8,0,0,50.0,276,60.98,7
Robert Gunn III,156228,K,CLEMSON,3,5,5,70.8,4.1,25.0,,0,0,140,73.4,354,0,0,0,0.0,0,20.5,5
Mac Chiumento,156264,P,FLORIDA ST,1,1,1,75.0,4.13,25.0,,0,0,167,60.1,75,0,0,0,0.0,0,4.13,1
Drew Stevens,156447,K,IOWA,3,10,10,66.6,3.92,24.6,21.0,0,0,192,74.2,666,3,0,0,30.0,63,39.16,7
Jayden Fielding,156492,K,OHIO STATE,3,24,24,67.0,3.68,24.7,18.3,0,3,260,75.1,1608,6,0,0,25.0,110,88.4,14
Dominic Zvada,156657,K,ARK STATE,1,1,1,62.0,3.11,21.0,18.0,0,0,113,60.0,62,1,0,0,100.0,18,3.11,0
Rece Verhoff,156821,K,MARSHALL,3,21,21,65.6,3.89,26.7,21.8,0,3,214,63.5,1377,4,0,0,19.0,87,81.59,10
Zac Yoakam,156986,K,NOTRE DAME,3,11,11,67.5,3.64,24.6,22.7,0,1,258,75.2,743,3,0,0,27.3,68,40.01,7
Jace Gilbert,157560,K,IOWA STATE,3,17,17,62.1,3.71,25.7,21.7,0,2,193,65.6,1056,10,0,0,58.8,217,63.12,5
Keegan Shackford,157588,K,IOWA STATE,1,2,2,67.0,4.3,24.5,18.0,0,0,193,58.3,134,1,0,0,50.0,18,8.6,1
Aidan Laros,157988,K,CHARLOTTE,4,19,18,64.9,3.95,27.1,16.8,0,1,136,71.2,1233,4,1,0,21.1,67,71.09,12
Tanner Gillis,158005,P,MEMPHIS,1,5,5,61.4,2.84,29.0,29.3,0,0,218,59.5,307,4,0,0,80.0,117,14.22,1
Brady Denaburg,158297,K,SYRACUSE,2,11,9,66.5,3.32,25.0,,0,1,304,70.6,731,0,0,0,0.0,0,29.92,10
Michael Luckhurst,158321,K,CAL,2,2,2,67.5,3.74,25.0,,0,0,130,65.8,135,0,0,0,0.0,0,7.47,2
Jack Stone,158398,K,MICH STATE,3,18,16,62.7,3.81,22.7,19.1,0,1,223,77.1,1129,11,0,0,61.1,210,60.96,6
Gavin Lahm,158700,K,WISCONSIN,1,11,11,67.8,3.99,23.1,14.5,0,4,349,70.6,746,2,0,0,18.2,29,43.84,5
Jarrett Reeser,158804,P,S DIEGO ST,1,1,1,67.0,3.86,25.0,,0,0,284,60.1,67,0,0,0,0.0,0,3.86,1
Joseph Firebaugh,162477,K,UCLA,1,1,1,66.0,4.29,25.0,,0,0,324,60.1,66,0,0,0,0.0,0,4.29,1
Grady Gross,162487,K,WASHINGTON,2,15,15,64.4,3.49,24.9,16.6,0,3,340,78.6,966,5,0,0,33.3,83,52.37,7
Alejandro Quintero,162782,P,INDIANA,1,1,1,66.0,3.38,25.0,,0,0,190,60.1,66,0,0,0,0.0,0,3.38,1
Julio Macias,162885,K,PURDUE,1,2,2,66.5,3.72,25.0,,0,2,273,65.8,133,0,0,0,0.0,0,7.43,0
Jude McAtamney,162910,K,RUTGERS,3,21,21,66.6,3.77,25.9,21.2,0,1,278,73.6,1398,6,0,0,28.6,127,79.24,13
Carter Davis,162930,P,FAU,4,25,23,63.2,3.85,23.6,16.1,0,0,165,60.5,1579,14,0,0,56.0,226,88.64,9
Buck Buchanan,162953,K,LA TECH,3,17,14,64.7,3.62,26.0,20.4,0,0,208,65.6,1100,7,0,0,41.2,143,50.73,9
Niko Paxos,163072,K,AKRON,3,9,9,63.8,3.7,23.1,18.5,0,1,102,65.1,574,6,0,0,66.7,111,33.3,2
Will Hryszko,163135,K,KENT STATE,1,6,6,59.3,3.72,25.0,,0,4,201,65.3,356,0,0,0,0.0,0,22.31,2
Christian Schanefelt,163665,K,OLE MISS,1,3,3,62.0,3.75,25.0,14.0,0,1,226,65.2,186,1,0,0,33.3,14,11.26,1
Luke Laminack,163833,K,TCU,2,17,17,70.9,3.75,26.4,26.0,0,0,305,81.8,1205,3,0,0,17.6,78,63.69,14
Will Stone,163861,K,TEXAS,3,21,19,64.2,3.74,22.8,17.8,0,5,311,74.4,1348,6,0,0,28.6,107,71.1,9
Reagan Tubbs,169014,K,AIR FORCE,1,1,1,55.0,3.47,21.0,11.0,0,0,101,60.0,55,1,0,0,100.0,11,3.47,0
