player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Nick Lampert,143861,WR,DUKE,1,-1.0,0,100.0,,0,0,0,0.0,0,0,154,0,66.7,61.0,61.4,,60.8,0.0,0,0,7,0.0,0,1,0,1,100.0,1,100.0,1,95.8,1,0,0.0,0,7,8,8.0,7.0,7.0
Jarrad Baker,98553,WR,UCF,1,6.0,0,0.0,,0,0,0,100.0,1,0,323,0,16.4,,38.2,,44.8,0.0,0,0,0,0.0,0,1,0,0,100.0,1,0.0,0,39.6,1,0,100.0,1,0,0,,,0.0
Luke Deal,98496,TE,AUBURN,3,6.0,0,0.0,0.0,0,1,0,,0,0,115,0,,,46.6,74.3,49.3,65.5,19,0,0,34.5,10,29,0,0,65.5,19,31.0,9,39.6,1,0,3.4,1,0,0,,,0.0
Kahlil Brantley,143935,TE,MIAMI FL,1,3.0,0,100.0,,0,0,0,0.0,0,1,220,0,66.7,61.0,84.1,,83.1,100.0,3,0,8,0.0,0,3,0,1,100.0,3,0.0,0,100.0,1,0,0.0,0,8,5,5.0,8.0,2.67
Luke Baker,98435,TE,SO MISS,3,4.0,2,100.0,,0,0,0,0.0,0,1,296,0,66.7,61.0,58.9,39.8,60.2,82.1,32,0,17,15.4,6,39,1,1,82.1,32,7.7,3,118.8,1,0,10.3,4,17,13,13.0,17.0,0.53
Garrett Shrader,98212,QB,SYRACUSE,3,14.0,0,0.0,,0,0,0,,0,0,304,0,,77.2,90.5,,54.3,0.0,0,0,0,0.0,0,111,1,0,0.9,1,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Dez Melton,98104,TE,LOUISVILLE,2,4.0,0,100.0,,0,0,0,0.0,0,0,210,0,66.7,61.0,72.2,,82.5,100.0,3,0,8,0.0,0,3,0,1,100.0,3,0.0,0,100.0,1,0,0.0,0,8,4,4.0,8.0,2.67
Ced Seabrough,144004,TE,NC STATE,3,-2.0,1,100.0,,0,0,0,0.0,0,1,248,0,66.7,61.0,43.2,68.0,52.1,68.2,15,0,4,9.1,2,22,0,1,86.4,19,22.7,5,83.3,1,0,4.5,1,4,6,6.0,4.0,0.21
Fred Seabrough Jr.,144005,TE,NC STATE,1,3.0,0,100.0,,0,0,0,0.0,0,1,248,0,66.7,61.0,45.4,,56.0,57.1,4,0,3,0.0,0,7,0,1,100.0,7,42.9,3,79.2,1,0,0.0,0,3,0,0.0,3.0,0.43
Isaiah Washington,98102,WR,RUTGERS,2,39.0,0,100.0,,0,0,0,0.0,0,1,278,0,66.7,61.0,67.7,,67.9,0.0,0,0,43,0.0,0,5,0,1,100.0,5,0.0,0,158.3,1,1,100.0,5,43,4,4.0,43.0,8.6
Tristen Tewes,98099,TE,N ILLINOIS,1,2.0,0,100.0,,0,0,0,0.0,0,0,254,0,66.7,61.0,40.7,,47.2,91.7,22,0,2,0.0,0,24,1,1,95.8,23,8.3,2,79.2,1,0,0.0,0,2,0,0.0,2.0,0.09
Cameron Hite,98029,TE,WAKE,3,-1.0,0,100.0,,0,0,0,0.0,0,1,339,0,66.7,61.0,68.9,71.4,59.3,78.6,22,0,17,21.4,6,28,0,1,75.0,21,14.3,4,158.3,1,1,0.0,0,17,18,18.0,17.0,0.81
Chance Black,144069,HB,VA TECH,3,1.0,0,0.0,,0,0,0,,0,0,337,0,,79.4,63.2,15.3,49.3,0.0,0,0,0,21.4,3,14,0,0,78.6,11,0.0,0,39.6,1,0,7.1,1,0,0,,,0.0
Jaylen Jones,144085,WR,VA TECH,1,9.0,1,100.0,,0,0,0,0.0,0,1,337,0,66.7,61.0,68.5,,67.5,0.0,0,0,20,0.0,0,5,0,1,100.0,5,40.0,2,118.8,1,0,60.0,3,20,11,11.0,20.0,4.0
Cadarrius Thompson,98007,WR,GA STATE,1,39.0,0,0.0,0.0,0,1,0,,0,0,175,0,,,55.7,,56.0,0.0,0,0,0,0.0,0,5,0,0,60.0,3,40.0,2,39.6,1,0,60.0,3,0,0,,,0.0
Kurtis Rourke,97998,QB,OHIO,3,2.0,0,100.0,,0,0,0,0.0,0,1,259,1,66.7,59.9,71.8,,89.7,0.0,0,0,17,0.0,0,111,0,1,0.9,1,0.0,0,118.8,1,0,0.0,0,17,15,15.0,17.0,17.0
Leon Haughton Jr.,162793,WR,MARYLAND,1,20.0,0,100.0,,0,0,0,0.0,0,1,215,0,66.7,61.0,68.9,,67.8,0.0,0,0,25,0.0,0,5,0,1,100.0,5,0.0,0,118.8,1,0,100.0,5,25,5,5.0,25.0,5.0
Shaleak Knotts,162798,WR,MARYLAND,1,-2.0,2,100.0,100.0,1,1,0,0.0,0,0,215,0,66.7,61.0,57.4,,57.2,0.0,0,0,-4,0.0,0,6,0,1,83.3,5,0.0,0,79.2,1,0,100.0,6,-4,-2,-2.0,-4.0,-0.8
Preston Bacon,97869,WR,NWESTERN,3,12.0,0,0.0,0.0,0,1,0,,0,0,256,0,,,54.2,,54.7,0.0,0,0,0,0.0,0,11,0,0,90.9,10,0.0,0,39.6,1,0,100.0,11,0,0,,,0.0
Nick Ragano,144202,WR,WAKE,1,5.0,0,100.0,100.0,1,1,0,0.0,0,1,339,0,66.7,61.0,69.0,,69.0,0.0,0,0,5,0.0,0,4,0,1,100.0,4,50.0,2,87.5,1,0,50.0,2,5,0,0.0,5.0,1.25
Chamon Metayer,144230,TE,CINCINNATI,2,3.0,0,100.0,,0,0,0,0.0,0,1,138,0,70.7,64.6,80.7,69.5,68.4,83.3,10,0,32,25.0,3,12,0,1,58.3,7,16.7,2,118.8,1,0,0.0,0,32,29,29.0,32.0,4.57
Myles Montgomery,144232,HB,CINCINNATI,3,0.0,0,100.0,,0,0,0,0.0,0,0,138,0,66.7,23.6,65.4,75.0,62.2,0.0,0,0,4,37.5,3,8,0,1,50.0,4,0.0,0,83.3,1,0,0.0,0,4,4,4.0,4.0,1.0
Matt Byrnes,144244,TE,HOUSTON,2,6.0,0,0.0,0.0,0,1,0,,0,0,182,0,,64.2,41.4,16.4,51.8,100.0,6,0,0,16.7,1,6,0,0,83.3,5,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Anton Hall Jr.,144311,FB,NAVY,1,17.0,0,100.0,,0,0,0,0.0,0,1,237,0,66.7,17.8,40.9,,83.3,0.0,0,0,62,0.0,0,4,0,1,75.0,3,0.0,0,158.3,1,1,0.0,0,62,45,45.0,62.0,20.67
Bryce Bohanon,144404,WR,TULANE,2,0.0,1,100.0,,0,0,0,0.0,0,1,319,0,66.7,61.0,58.3,,55.8,0.0,0,0,15,0.0,0,8,0,1,100.0,8,87.5,7,118.8,1,0,12.5,1,15,15,15.0,15.0,1.88
Iverson Celestine,144406,HB,TULANE,3,-1.0,0,0.0,0.0,0,1,0,,0,0,319,0,,25.5,50.8,71.7,52.6,0.0,0,0,0,5.7,2,35,0,0,88.6,31,0.0,0,39.6,1,0,2.9,1,0,0,,,0.0
Lucas Desjardins,144412,WR,TULANE,1,4.0,0,100.0,,0,0,0,0.0,0,0,319,0,66.7,61.0,58.0,,57.4,0.0,0,0,8,0.0,0,4,0,1,100.0,4,50.0,2,100.0,1,0,50.0,2,8,4,4.0,8.0,2.0
Michael Lavergne,144424,WR,TULANE,1,5.0,0,100.0,,0,0,0,0.0,0,1,319,0,66.7,61.0,78.0,,74.2,0.0,0,0,9,0.0,0,1,0,1,100.0,1,100.0,1,104.2,1,0,0.0,0,9,4,4.0,9.0,9.0
Kendric Blake Jr.,97861,WR,CHARLOTTE,1,16.0,0,100.0,,0,0,0,0.0,0,1,136,0,66.7,61.0,68.5,,66.8,0.0,0,0,16,0.0,0,5,0,1,100.0,5,20.0,1,118.8,1,0,80.0,4,16,0,0.0,16.0,3.2
Torry Locklin,97792,HB,KANSAS,2,28.0,0,100.0,,0,0,0,0.0,0,1,198,0,70.7,65.3,64.4,67.5,68.8,11.1,1,0,60,11.1,1,9,0,1,66.7,6,55.6,5,158.3,1,1,0.0,0,60,32,32.0,60.0,10.0
Bill Jackson,144448,HB,TULSA,3,2.0,0,0.0,,0,0,0,100.0,1,0,320,0,16.8,75.5,56.5,29.4,33.0,0.0,0,0,0,9.1,2,22,0,0,77.3,17,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Case Hatch,97745,TE,ARIZONA ST,3,0.0,0,0.0,,0,0,0,100.0,1,0,110,0,16.4,,64.1,46.7,32.3,80.0,16,0,0,30.0,6,20,0,0,65.0,13,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Jerry Johnson III,97649,FB,RICE,3,-3.0,0,100.0,,0,0,0,0.0,0,0,275,0,66.7,61.0,54.2,74.4,60.7,0.0,0,0,-3,44.4,4,9,0,1,55.6,5,0.0,0,79.2,1,0,11.1,1,-3,0,0.0,-3.0,-0.6
Jaylen Coleman,97624,HB,DUKE,3,-6.0,0,100.0,,0,0,0,0.0,0,0,154,0,66.7,78.9,70.9,77.9,55.3,0.0,0,0,2,20.7,6,29,1,1,79.3,23,3.4,1,79.2,1,0,0.0,0,2,8,8.0,2.0,0.09
Gavin Yates,144514,TE,BAYLOR,1,3.0,0,100.0,,0,0,0,0.0,0,1,118,0,66.7,61.0,58.1,,79.3,0.0,0,0,10,0.0,0,1,0,1,100.0,1,0.0,0,108.3,1,0,0.0,0,10,7,7.0,10.0,10.0
Trey Sanders,97433,HB,ALABAMA,2,4.0,0,100.0,,0,0,0,0.0,0,1,103,0,66.7,70.7,61.1,,65.4,0.0,0,0,10,0.0,0,9,3,1,88.9,8,11.1,1,108.3,1,0,0.0,0,10,6,6.0,10.0,1.25
RJ Garcia II,144591,WR,KANSAS ST,3,13.0,0,100.0,,0,0,0,0.0,0,0,199,0,66.7,61.0,60.7,,60.7,0.0,0,0,14,0.0,0,14,0,1,92.9,13,78.6,11,118.8,1,0,21.4,3,14,1,1.0,14.0,1.08
Cody Jackson,144621,WR,HOUSTON,3,13.0,0,0.0,,0,0,0,,0,0,182,0,,,53.0,,52.9,0.0,0,0,0,0.0,0,16,0,0,100.0,16,0.0,0,39.6,1,0,100.0,16,0,0,,,0.0
Deion Hankins,97310,HB,UTEP,4,4.0,0,100.0,,0,0,0,0.0,0,0,330,0,70.7,78.0,67.1,75.7,58.6,0.0,0,0,15,67.5,54,80,0,1,30.0,24,0.0,0,118.8,1,0,0.0,0,15,11,11.0,15.0,0.63
Chase Jackson,144680,WR,TCU,1,-3.0,0,100.0,,0,0,0,0.0,0,0,305,0,66.7,61.0,57.7,,58.2,0.0,0,0,2,0.0,0,3,0,1,100.0,3,100.0,3,79.2,1,0,0.0,0,2,5,5.0,2.0,0.67
Trent Battle,144683,HB,TCU,2,1.0,0,100.0,,0,0,0,0.0,0,0,305,0,66.7,17.4,47.3,73.4,63.1,0.0,0,0,3,20.0,1,5,0,1,80.0,4,0.0,0,79.2,1,0,0.0,0,3,2,2.0,3.0,0.75
Deon Fountain,97281,WR,COAST CAR,2,29.0,0,100.0,100.0,1,1,0,0.0,0,1,141,0,66.7,61.0,61.5,,65.1,0.0,0,0,32,0.0,0,16,0,1,100.0,16,93.8,15,118.8,1,0,6.3,1,32,3,3.0,32.0,2.0
Gunnar Helm,144726,TE,TEXAS,3,5.0,0,100.0,,0,0,0,0.0,0,1,311,0,66.7,63.6,53.2,57.0,62.9,89.5,17,0,7,31.6,6,19,0,1,63.2,12,0.0,0,95.8,1,0,10.5,2,7,2,2.0,7.0,0.58
Micah Barnett,162988,FB,RICE,1,-3.0,0,100.0,,0,0,0,0.0,0,0,275,0,66.7,61.0,60.7,,65.8,0.0,0,0,6,0.0,0,1,0,1,100.0,1,0.0,0,91.7,1,0,0.0,0,6,9,9.0,6.0,6.0
Charvis Thornton,97246,HB,LA TECH,3,5.0,0,0.0,,0,0,0,,0,0,208,0,,76.2,65.3,23.2,42.8,0.0,0,0,0,8.8,3,34,0,0,82.4,28,0.0,0,39.6,1,0,8.8,3,0,0,,,0.0
Messiah Travis,97214,WR,N ILLINOIS,2,11.0,0,100.0,,0,0,0,0.0,0,1,254,0,66.7,61.0,66.6,,68.9,0.0,0,0,13,0.0,0,4,0,1,100.0,4,0.0,0,118.8,1,0,100.0,4,13,2,2.0,13.0,3.25
Ulysses Bentley IV,97200,HB,OLE MISS,3,6.0,0,0.0,,0,0,0,,0,0,226,0,,75.2,66.5,38.8,52.5,0.0,0,0,0,16.7,6,36,0,0,80.6,29,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Charles Robinson,144764,TE,TEXAS TECH,1,23.0,0,0.0,0.0,0,1,0,,0,0,315,0,,,59.8,,60.0,100.0,1,1,0,0.0,0,1,0,0,100.0,1,0.0,0,0.0,1,0,0.0,0,0,0,,,0.0
Iverson Hooks,163020,WR,UAB,1,-4.0,0,100.0,,0,0,0,0.0,0,1,321,0,66.7,61.0,72.8,,72.7,0.0,0,0,13,0.0,0,2,0,1,100.0,2,50.0,1,118.8,1,0,50.0,1,13,17,17.0,13.0,6.5
