player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Leshon Williams,129487,HB,IOWA,2,3,0,192,-4.0,0,0.0,,0,0,,0,0,0,,56.7,0,0,0.0,0,4,0,100.0,4,39.6,1,33.3,0,0,0,,,0.0,0,3.0,1,100.0,,0,0,0.0,0,1,0,70.7,64.4,0,15,29.6,8,27,2,70.4,19,114.6,2,66.7,0,23,17,8.5,11.5,1.21
Jackson McDonald,98374,TE,FIU,2,3,0,166,13.0,0,0.0,0.0,0,1,,0,0,0,,57.3,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,4.0,0,50.0,0.0,0,1,0.0,0,0,0,66.7,54.7,0,7,0.0,0,9,1,100.0,9,58.3,2,66.7,0,7,2,2.0,7.0,0.78
Dekel Crowdus,146733,WR,KENTUCKY,1,3,0,202,,0,,,0,0,,0,0,0,,57.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,20.0,0,66.7,,0,0,0.0,0,1,0,70.7,65.0,0,12,0.0,0,7,2,100.0,7,81.3,3,100.0,0,17,7,3.5,8.5,2.43
La'Vell Wright,146736,HB,KENTUCKY,3,3,0,202,,0,,,0,0,,0,0,0,,55.8,0,0,33.3,2,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,0.3,0,66.7,,0,0,33.3,1,1,0,32.3,46.2,0,13,28.0,7,25,2,72.0,18,75.7,3,100.0,0,13,15,7.5,6.5,0.72
Te'Vailance Hunt,78109,WR,ARK STATE,1,3,0,113,4.0,0,0.0,0.0,0,1,,0,0,0,,57.7,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,0,5.0,0,50.0,,0,0,0.0,0,0,0,66.7,56.4,0,5,0.0,0,12,1,100.0,12,56.3,2,66.7,0,5,1,1.0,5.0,0.42
Jeremy Tate Jr.,78051,TE,MIDDLE TN,3,3,0,224,2.0,0,0.0,,0,0,,0,0,0,,54.9,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,4.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,53.1,0,4,0.0,0,15,1,100.0,15,83.3,1,33.3,0,4,0,0.0,4.0,0.27
Calvin Tyler Jr.,52133,HB,UTAH ST,3,3,0,329,0.0,0,100.0,,0,0,0.0,0,0,1,66.7,29.8,0,8,45.2,14,31,1,48.4,15,100.0,1,33.3,0,8,8,8.0,8.0,0.53,0,-6.0,1,100.0,,0,0,0.0,0,0,0,66.7,56.4,0,2,44.4,8,18,1,50.0,9,79.2,1,33.3,0,2,8,8.0,2.0,0.22
Jack Bech,146771,WR,LSU,3,3,0,211,,0,,,0,0,,0,0,0,,55.0,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,0,11.3,1,66.7,,0,0,0.0,0,1,0,70.7,62.3,0,17,0.0,0,15,2,93.3,14,127.8,3,100.0,1,22,-1,-0.5,11.0,1.57
Jakolbe Baldwin,143984,WR,NC STATE,1,3,0,248,4.0,0,0.0,0.0,0,1,,0,0,0,,59.1,0,0,0.0,0,1,0,100.0,1,39.6,1,33.3,0,0,0,,,0.0,0,5.5,1,50.0,,0,0,50.0,1,0,0,24.5,57.0,0,8,0.0,0,6,1,100.0,6,60.4,2,66.7,0,8,3,3.0,8.0,1.33
Teddy Knox,146842,WR,SMU,3,3,0,287,6.0,0,0.0,,0,0,,0,0,0,,58.5,1,0,0.0,0,2,0,100.0,2,0.0,1,33.3,0,0,0,,,0.0,0,-5.5,0,50.0,,0,0,0.0,0,0,0,66.7,55.8,0,-6,0.0,0,11,1,100.0,11,56.3,2,66.7,0,-6,-2,-2.0,-6.0,-0.55
