player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jakob Johnson,32565,FB,LV,2,1,0,23,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,0.0,0,100.0,,0,0,0.0,0,0,0,64.7,60.9,0,1,42.9,3,7,1,57.1,4,79.2,1,100.0,0,1,1,1.0,1.0,0.25
Dante Pettis,48113,WR,CHI,2,1,0,6,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,21.0,0,100.0,,0,0,0.0,0,1,0,64.7,67.4,0,51,0.0,0,20,1,95.0,19,158.3,1,100.0,1,51,30,30.0,51.0,2.68
Mike Boone,31615,HB,DEN,2,1,0,10,,0,,,0,0,,0,0,0,,57.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,58.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Miles Boykin,48209,WR,PIT,1,1,0,25,33.0,0,0.0,,0,0,,0,0,0,,59.1,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Ben Ellefson,27766,TE,MIN,2,1,0,18,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,100.0,4,4,0,0.0,0,0.0,0,0.0,0,0,0,,,
Sony Michel,27589,HB,LAC,2,1,0,27,,0,,,0,0,,0,0,0,,58.1,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,3.0,0,100.0,,0,0,0.0,0,0,0,64.7,59.1,0,6,0.0,0,7,1,100.0,7,91.7,1,100.0,0,6,3,3.0,6.0,0.86
Patrick Ricard,48862,FB,BLT,2,1,0,3,,0,,,0,0,,0,0,0,,51.0,0,0,53.8,7,13,0,46.2,6,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,52.6,0,7,47.6,10,21,1,52.4,11,95.8,1,100.0,0,7,5,5.0,7.0,0.64
Dan Arnold,51842,TE,JAX,2,1,0,15,,0,,,0,0,,0,0,0,,59.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.9,0,8,22.2,2,9,1,77.8,7,100.0,1,100.0,0,8,9,9.0,8.0,1.14
Giovanni Ricci,13756,TE,CAR,2,1,0,5,,0,,,0,0,,0,0,0,,52.8,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,100.0,,0,0,0.0,0,1,0,64.7,74.3,0,16,0.0,0,7,1,100.0,7,118.8,1,100.0,0,16,9,9.0,16.0,2.29
Brock Wright,60994,TE,DET,2,1,0,11,,0,,,0,0,,0,0,0,,58.2,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,15.0,0,100.0,,0,0,0.0,0,1,0,64.7,77.3,0,25,28.6,4,14,1,71.4,10,118.8,1,100.0,0,25,10,10.0,25.0,2.5
