player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Kuchar, Matt",150,+31396,+23290,-0.257
"Knox, Russell",150,+31900,,0.00
"Dahmen, Joel",150,+32687,,0.00
"Palmer, Ryan",150,+32958,+23752,-0.278
"Bekker, Oliver",150,+33798,,0.00
"Kizzire, Patton",150,+33798,,0.00
"Wiesberger, Bernd",150,+36264,+29690,-0.181
"Jones, Matt",150,+36937,+29690,-0.196
"Kisner, Kevin",150,+38735,+18396,-0.524
"Canter, Laurie",150,+41137,,0.00
"Burmester, Dean",150,+41137,,0.00
"Reed, Patrick",150,+41567,+8693,-0.789
"Molinari, Francesco",150,+42453,+23752,-0.439
"Hughes, Mackenzie",150,+43378,+29077,-0.329
"Steele, Brendan",150,+44344,,0.00
"Ortiz, Carlos",150,+44844,+23752,-0.469
"Fowler, Rickie",150,+48680,+9397,-0.805
"Stallings, Scott",150,+49900,,0.00
"Harding, Justin",150,+50533,,0.00
"Herbert, Lucas",150,+50533,,0.00
"Glover, Lucas",150,+50533,,0.00
"Larrazabal, Pablo",150,+51848,,0.00
"Stenson, Henrik",150,+51848,+29690,-0.427
"Arnaus, Adri",150,+51848,,0.00
"Lee, Min Woo",150,+51848,,0.00
"Grace, Branden",150,+53233,+20781,-0.608
"Cink, Stewart",150,+53954,+29690,-0.449
"Poulter, Ian",150,+55456,+20781,-0.624
"Hoshino, Rikuya",150,+61438,,0.00
"Streelman, Kevin",150,+61438,+29690,-0.516
"Hickok, Kramer",150,+62400,,0.00
"Kim, Joohyung",150,+68866,,0.00
"Higgs, Harry",150,+75372,,0.00
"Ramey, Chad",150,+76823,,0.00
"Swafford, Hudson",150,+78331,,0.00
"Westwood, Lee",150,+79900,+15536,-0.805
"Kanaya, Takumi",150,+85006,,0.00
"Hossler, Beau",150,+88789,,0.00
"Hojgaard, Nicolai",150,+92923,,0.00
"Schwartzel, Charl",150,+92923,+23576,-0.745
"Schenk, Adam",150,+105163,,0.00
"Harrington, Padraig",150,+128932,,0.00
"Kaymer, Martin",150,+137831,+29690,-0.784
"Johnson, Zach",150,+137831,+29690,-0.784
"Wolff, Matthew",150,+153746,+14295,-0.906
"Bland, Richard",150,+153746,,0.00
"Inamori, Yuki",150,+166567,,0.00
"Van Tonder, Daniel",150,+173813,,0.00
"Norris, Shaun",150,+181718,,0.00
"Brehm, Ryan",150,Inf,,0.00
"Kim, Bio",150,Inf,,0.00
"Higgo, Garrick",150,Inf,+10187,-0.959
"Kinoshita, Ryosuke",150,Inf,,0.00
"Kaewkanjana, Sadom",150,Inf,,0.00
"Kim, Chan",150,Inf,,0.00
"Dufner, Jason",150,Inf,,0.00
"Kozuma, Jinichiro",150,Inf,,0.00
"Cejka, Alex",150,Inf,,0.00
"Mueller, Jesse",12,Inf,,0.00
"Mendoza, Kyle",7,Inf,,0.00
"McCarty, Sean",7,Inf,,0.00
"Collet, Tyler",4,Inf,,0.00
"Bingaman, Brandon",0,,,0.00
"Feenstra, Tim",0,,,0.00
"Hurt, Austin",0,,,0.00
"Jones, Jared",0,,,0.00
"Pyne, Casey",6,,,0.00
"Inglis, Colin",0,,,0.00
"Newman, Dylan",0,,,0.00
"Daly, John",150,,,0.00
"Worthington II, Wyatt",4,,,0.00
"Ishee, Nic",0,,,0.00
"Warren, Shawn",8,,,0.00
"Borchert, Matthew",8,,,0.00
"Block, Michael",46,,,0.00
"Dickinson, Paul",0,,,0.00
"Vermeer, Ryan",32,,,0.00
"Yang, Y.E.",150,,,0.00
"Beem, Rich",84,,,0.00
"Micheel, Shaun",150,,,0.00
"Beach, Alex",20,,,0.00
"Oakley, Zac",0,,,0.00
