"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"rush_att","A. Mattison","RB","MIN","LA","2021-12-26T18:00:00Z","17.5","over","-123","-0.03611434977578487","null","null","under","-107","-0.03235652173913045","null","null"
"rush_recv_yd","A. Mattison","RB","MIN","LA","2021-12-26T18:00:00Z","93.5","over","-113","-0.08379636283505204","null","null","under","-114","0.020566123602710373","null","null"
"rush_yd","A. Mattison","RB","MIN","LA","2021-12-26T18:00:00Z","67.5","over","-115","-0.07658112650779447","null","null","under","-113","0.011164984731137584","null","null"
"recv_rec","J. Jefferson","WR","MIN","LA","2021-12-26T18:00:00Z","6.5","over","-103","0.08046157635467965","null","null","under","-127","-0.14731541850220253","null","null"
"recv_yd","J. Jefferson","WR","MIN","LA","2021-12-26T18:00:00Z","82.5","over","-116","0.004219848502194479","null","null","under","-114","-0.07394739614489693","null","null"
"pass_att","K. Cousins","QB","MIN","LA","2021-12-26T18:00:00Z","35.5","over","-111","-0.03707174804658181","null","null","under","-120","-0.03446347732256849","null","null"
"pass_comp","K. Cousins","QB","MIN","LA","2021-12-26T18:00:00Z","22.5","over","-113","-0.006616431924882593","null","null","under","-113","-0.05441643192488266","null","null"
"pass_int","K. Cousins","QB","MIN","LA","2021-12-26T18:00:00Z","0.5","over","-120","-0.10000909090909083","null","null","under","-111","0.0284810426540284","null","null"
"pass_td","K. Cousins","QB","MIN","LA","2021-12-26T18:00:00Z","1.5","over","-147","-0.1029417004048584","null","null","under","112","0.03610188679245291","null","null"
"pass_yd","K. Cousins","QB","MIN","LA","2021-12-26T18:00:00Z","267.5","over","-115","-0.04443704227949097","null","null","under","-115","-0.025298224104790656","null","null"
"recv_rec","T. Conklin","TE","MIN","LA","2021-12-26T18:00:00Z","3.5","over","-113","-0.13866338028169006","null","null","under","-113","0.07763661971830993","null","null"
"recv_yd","T. Conklin","TE","MIN","LA","2021-12-26T18:00:00Z","32.5","over","-118","-0.09407252370662356","null","null","under","-112","0.02454511032174156","null","null"
"game_away_home_spread","BUF@NE","","BUF","NE","2021-12-26T18:00:00Z","-1","away","-110","-0.06123809523809526","67","53","home","-110","0.014761904761904754","33","47"
