,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Adam Svensson,20000,"4,000.00",3000,600.00,1400,280.00,,,,,,,,,,
Hudson Swafford,20000,"4,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Jimmy Walker,20000,"4,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Ryan Brehm,25000,"5,000.00",3000,600.00,1400,280.00,,,,,,,,,,
Luke Donald,25000,"5,000.00",3000,600.00,1400,280.00,,,,,,,,,,
Garrick Higgo,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
John Huh,25000,"5,000.00",2200,440.00,1000,200.00,,,,,,,,,,
Stephan Jaeger,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Justin Lower,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Peter Malnati,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Graeme McDowell,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Max McGreevy,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Trey Mullinax,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
J.T. Poston,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Austin Smotherman,25000,"5,000.00",2000,400.00,900,180.00,,,,,,,,,,
Brandt Snedeker,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Henrik Stenson,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Kevin Tway,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Matt Wallace,25000,"5,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Brice Garnett,30000,"6,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Bill Haas,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Sung Kang,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Ben Kohles,30000,"6,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Ben Martin,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Seung-yul Noh,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Roger Sloan,30000,"6,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Camilo Villegas,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Nick Watney,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Richy Werenski,30000,"6,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Chesson Hadley,35000,"7,000.00",4500,900.00,2000,400.00,,,,,,,,,,
James Hahn,35000,"7,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Logan McAllister,35000,"7,000.00",,,,,,,,,,,,,,
Guido Migliozzi,35000,"7,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Dylan Wu,35000,"7,000.00",3500,700.00,1600,320.00,,,,,,,,,,
Andrew Landry,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Ludvig Aberg,50000,"10,000.00",,,,,,,,,,,,,,
Paul Barjon,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Jonas Blixt,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Bronson Burgoon,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Austin Cook,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Michael Gligic,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Jim Herman,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Ben Kern,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Kelly Kraft,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
William McGirt,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Henrik Norlander,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Seth Reeves,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
David Skinns,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Curtis Thompson,50000,"10,000.00",4500,900.00,2000,400.00,,,,,,,,,,
Martin Trainer,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
Dawie Van Der Walt,50000,"10,000.00",6500,"1,300.00",2800,560.00,,,,,,,,,,
