course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.6387,-0.024,0.006,0.005,0.06,31,undefined,undefined,undefined,0.0152,0.6668,-0.051,0.034,0.011,0.031,-0.079,-0.013,-0.038,-0.032,undefined,undefined
"TPC River Highlands",70,6802,432,188,-0.38,0.02,0,-0.27,283.7,18.8,0.6969,0.001,-0.052,0.01,-0.007,37.7,undefined,undefined,undefined,0.0807,0.7069,0.005,0.015,-0.063,-0.047,-0.028,0.001,-0.002,0.004,undefined,undefined
"Muirfield Village Golf Club (Workday)",72,7311,470,187,0.07,0.16,0.05,-0.27,292.2,19.4,0.6625,0.002,-0.054,-0.017,-0.005,32.9,undefined,undefined,undefined,0.0706,0.6455,0,-0.025,-0.032,-0.069,-0.058,0,0.005,0.002,undefined,undefined
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6408,0.01,0.042,0.021,-0.058,32.9,undefined,undefined,undefined,0.0987,0.7369,0.04,0.01,0.039,0.072,0.027,0.006,0.014,0.014,undefined,undefined
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6946,0.003,0.008,0.029,0.004,34.6,undefined,undefined,undefined,0.0527,0.6665,0.034,0.027,0.025,-0.041,0.018,-0.002,0.012,0.005,undefined,undefined
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.6632,0.01,-0.079,-0.029,0.017,29.6,undefined,undefined,undefined,0.0196,0.6852,-0.066,-0.005,-0.041,-0.066,-0.225,0.006,0.033,-0.005,undefined,undefined
"Augusta National Golf Club",72,7444,479,183,2.1,0.19,0.24,-0.26,292,20.9,0.6931,-0.025,-0.074,-0.05,0.011,50.2,undefined,undefined,undefined,0.026,0.599,-0.055,-0.049,-0.103,0.016,-0.03,0,-0.036,-0.057,undefined,undefined
"Pebble Beach Golf Links",72,6887,443,171,-0.45,0.06,0.03,-0.26,271.8,17.8,0.7413,-0.018,0.028,-0.044,-0.021,40.9,undefined,undefined,undefined,0.0502,0.6803,-0.043,-0.045,0.042,0.047,-0.016,-0.012,-0.04,-0.007,undefined,undefined
"Quail Hollow Club (PGA Championship)",71,7488,476,208,2.84,0.23,0.25,-0.26,290.5,19.1,0.6482,-0.017,-0.058,-0.018,0.023,31.4,undefined,undefined,undefined,0.0469,0.5474,-0.067,-0.005,-0.061,-0.096,0.007,0,-0.037,-0.025,undefined,undefined
"Congaree Golf Club",71,7336,471,190,0.12,0.11,0.04,-0.26,304.8,21.3,0.6947,-0.006,-0.044,-0.02,0.08,51.4,undefined,undefined,undefined,0.0374,0.6627,-0.037,-0.011,-0.042,-0.048,-0.203,0.002,-0.009,-0.017,undefined,undefined
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.6575,-0.004,0.019,0.042,-0.019,30.2,undefined,undefined,undefined,0.0336,0.7068,0.01,0.054,0.007,-0.018,0.059,-0.001,-0.022,0.003,undefined,undefined
"Muirfield Village Golf Club",72,7332,470,187,0.85,0.17,0.12,-0.25,285.8,17.1,0.7114,-0.001,-0.057,-0.037,-0.003,34.4,undefined,undefined,undefined,0.0584,0.6229,-0.026,-0.042,-0.046,-0.081,-0.038,0.002,-0.004,-0.002,undefined,undefined
"Torrey Pines (South)",72,7577,486,194,1.14,0.1,0.17,-0.24,288.2,15.7,0.6058,-0.019,0.009,0.001,-0.02,26.4,undefined,undefined,undefined,0.0164,0.6339,-0.005,0.004,0.028,-0.002,0.004,-0.012,-0.045,-0.007,undefined,undefined
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6828,0.002,-0.013,-0.008,0.018,35.9,undefined,undefined,undefined,0.0195,0.6588,-0.006,-0.01,-0.028,-0.017,-0.013,0.001,0.002,0.003,undefined,undefined
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.701,-0.013,-0.018,-0.003,0.022,37,undefined,undefined,undefined,0.0264,0.6482,-0.032,0.014,-0.006,-0.075,-0.009,-0.004,-0.011,-0.028,undefined,undefined
"Colonial Country Club",70,6994,445,193,0.55,0.08,0.06,-0.23,279.7,19.2,0.6168,0.004,0.023,-0.005,-0.047,27.7,undefined,undefined,undefined,0.0179,0.6476,-0.016,0.003,-0.008,0.027,0.052,0.002,0.002,0.008,undefined,undefined
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.6391,-0.01,-0.001,-0.033,0.001,30.6,undefined,undefined,undefined,0.0059,0.6159,-0.022,-0.038,-0.019,0.003,-0.002,-0.002,-0.025,-0.011,undefined,undefined
"Innisbrook Resort (Copperhead)",71,7083,469,199,0.71,0.12,0.11,-0.23,276.3,17.1,0.6401,-0.005,0.019,-0.02,-0.06,28.1,undefined,undefined,undefined,0.0203,0.6183,-0.026,-0.018,0.01,0.026,0.016,0,-0.014,-0.006,undefined,undefined
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.007,-0.02,0.028,-0.036,32.6,undefined,undefined,undefined,0.0104,0.6635,0.008,0.037,0.017,-0.059,-0.011,0.003,0.016,0.005,undefined,undefined
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.012,-0.033,-0.009,-0.018,32.9,undefined,undefined,undefined,0.0114,0.6938,-0.015,-0.005,-0.02,-0.048,-0.046,0,-0.032,-0.017,undefined,undefined
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.637,-0.008,0.028,0.042,0.017,26.7,undefined,undefined,undefined,0.0173,0.7126,0.052,0.037,0.02,0.036,0.026,0.003,-0.028,-0.007,undefined,undefined
"TPC San Antonio (Oaks Course)",72,7305,468,187,0.44,0.07,0.09,-0.19,288.9,18.7,0.6366,-0.002,-0.008,-0.027,-0.02,31.8,undefined,undefined,undefined,0.0226,0.6322,-0.043,-0.018,-0.015,0.048,-0.05,0.002,0.005,-0.014,undefined,undefined
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.5774,0.002,-0.008,-0.019,0.021,23.5,undefined,undefined,undefined,0.0013,0.5964,-0.042,-0.004,-0.022,0.002,0.001,0.002,0.004,-0.001,undefined,undefined
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.6439,-0.005,-0.026,-0.064,-0.009,36.7,undefined,undefined,undefined,0.0616,0.5398,-0.091,-0.053,-0.009,-0.049,-0.291,-0.007,-0.012,0.006,undefined,undefined
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5703,0.01,-0.007,-0.054,-0.05,35.9,undefined,undefined,undefined,0.0578,0.6368,-0.032,-0.064,0.001,-0.023,0.005,0.008,0.014,0.008,undefined,undefined
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.003,-0.05,-0.046,-0.049,34.9,undefined,undefined,undefined,0.0395,0.5916,-0.038,-0.051,0.022,-0.078,-0.049,0.004,0.002,-0.019,undefined,undefined
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.037,-0.038,0.036,44.2,undefined,undefined,undefined,0.0388,0.5555,-0.049,-0.033,-0.036,-0.057,-0.035,-0.005,-0.024,-0.003,undefined,undefined
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.8,18.1,0.6629,0.004,-0.019,0,-0.032,31.4,undefined,undefined,undefined,0.0676,0.6302,0.007,-0.003,0.02,-0.031,-0.062,0.002,0.005,0.005,undefined,undefined
"Memorial Park Golf Course",70,7081,478,177,0.98,0.06,0.11,-0.13,290.7,16.6,0.6254,0.002,-0.057,-0.015,0.017,31.4,undefined,undefined,undefined,0.0176,0.6328,-0.029,-0.009,-0.065,-0.077,0.017,0.001,0,0.006,undefined,undefined
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.013,-0.021,-0.026,-0.008,28.9,undefined,undefined,undefined,0.0111,0.5772,-0.046,-0.017,0.013,-0.037,-0.021,-0.005,-0.025,-0.017,undefined,undefined
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6586,-0.002,-0.002,-0.05,-0.014,33,undefined,undefined,undefined,0.0305,0.6208,-0.038,-0.056,0.011,0.002,-0.063,0.001,0.015,-0.021,undefined,undefined
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.031,-0.067,-0.02,-0.067,31.9,undefined,undefined,undefined,0.0032,0.5295,-0.005,-0.025,-0.019,-0.116,-0.023,-0.015,-0.024,-0.063,undefined,undefined
"Olympia Fields CC (North)",70,7284,465,194,2.66,0.16,0.18,-0.09,297.1,23.9,0.5526,-0.007,-0.041,-0.039,-0.03,26.4,undefined,undefined,undefined,0.0211,0.5791,-0.071,-0.018,-0.022,-0.077,-0.008,0.004,-0.007,-0.022,undefined,undefined
