"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"34","Tyler Duncan",23183700,7300,54.62,0.0103,0.0099,40,-0.000399999999999999,-0.0388,60.49,5.5,85.5,28,0.6122,0.0095,0.3129,0.2179,0.1163,0.0601,0.036,0.0118,NA,1.36,-0.14,1.18,7,0.0299,12,"2022-07-03","John Deere Classic"
"35","Chris Gotterup",23183702,7300,56.38,0.0074,0.0114,33,0.004,0.5405,55.1,10.7,81,26.5,0.5595,0.0068,0.2508,0.1685,0.0833,0.0416,0.0245,0.0074,4,1.56,0.06,10.59,21,NA,NA,"2022-07-03","John Deere Classic"
"36","Hank Lebioda",23183703,7300,45.93,0.0103,0.0078,52,-0.0025,-0.2427,59.82,4.6,85.5,27.5,0.5427,0.0053,0.2333,0.1515,0.0693,0.0311,0.0179,0.0052,43,1.07,-0.43,-2.95,2,0.0431,70.5,"2022-07-03","John Deere Classic"
"37","Andrew Putnam",23183704,7300,51.96,0.0105,0.01,38,-5e-04,-0.0476,56.06,2.3,82,26.5,0.6098,0.0108,0.297,0.2018,0.1023,0.0494,0.0291,0.0095,41,1.37,-0.13,0.99,3,0.0346,74,"2022-07-03","John Deere Classic"
"38","Matthias Schwab",23183705,7200,56.32,0.0089,0.0068,58,-0.0021,-0.236,57.27,1.4,84,27,0.5598,0.0059,0.2489,0.1639,0.0783,0.0363,0.0211,0.0061,16,0.94,-0.43,-2.15,0,0.0406,94.5,"2022-07-03","John Deere Classic"
"39","Zach Johnson",23183706,7200,38.97,0.0103,0.0078,52,-0.0025,-0.2427,51.53,0.95,79,26,0.5694,0.0067,0.2564,0.1683,0.0818,0.0391,0.0227,0.0075,60,1.08,-0.29,-2.93,0,0.0399,71.5,"2022-07-03","John Deere Classic"
"40","Nate Lashley",23183707,7200,57.54,0.0103,0.0154,22,0.0051,0.4951,62.56,9.6,87,28,0.6313,0.0128,0.3287,0.2287,0.1194,0.0619,0.0371,0.0128,100,2.14,0.77,12.81,22,0.083,36,"2022-07-03","John Deere Classic"
"41","Matt Wallace",23183708,7200,48.37,0.0081,0.0131,29,0.005,0.6173,51.67,2.5,80,26,0.503,0.0063,0.1863,0.1147,0.0512,0.0233,0.0131,0.0036,100,1.82,0.45,12.83,15,0.0429,29.5,"2022-07-03","John Deere Classic"
"42","Ryan Moore",23183709,7200,49.35,0.0086,0.0197,16,0.0111,1.2907,57.33,3.7,83.5,27,0.526,0.0047,0.217,0.1375,0.0639,0.0301,0.0177,0.0057,24,2.74,1.37,26.41,30,0.0492,89.5,"2022-07-03","John Deere Classic"
"43","Scott Piercy",23183710,7100,49.62,0.0081,0.0062,63,-0.0019,-0.2346,55.74,1.4,82,26.5,0.5802,0.0073,0.27,0.1802,0.0894,0.0438,0.0248,0.0074,100,0.87,-0.38,-1.75,0,0.0104,36,"2022-07-03","John Deere Classic"
"44","Sam Ryder",23183711,7100,50.83,0.0081,0.0086,48,5e-04,0.0617,57.55,3.1,84,27.5,0.6036,0.0124,0.2907,0.1968,0.0992,0.0482,0.0291,0.0097,60,1.21,-0.04,3,6,0.0618,62.5,"2022-07-03","John Deere Classic"
"45","Ryan Armour",23183712,7100,50.75,0.0081,0.0088,46,0.000700000000000001,0.0864,60.79,6.4,83.05,26.47,0.6219,0.0092,0.3192,0.2228,0.1134,0.0581,0.0356,0.012,100,1.24,-0.01,3.41,10,0.0442,22,"2022-07-03","John Deere Classic"
"46","Chesson Hadley",23183713,7100,45.31,0.007,0.0068,58,-0.000200000000000001,-0.0286,42.95,1.6,72,24,0.4224,0.0047,0.1246,0.072,0.028,0.0113,0.0058,0.0017,10,0.96,-0.29,1.56,3,0.0438,95,"2022-07-03","John Deere Classic"
"47","Charley Hoffman",23183714,7100,45.6,0.007,0.0078,52,0.000799999999999999,0.1143,56.47,2,83.5,27,0.4962,0.0052,0.1897,0.1196,0.0535,0.0231,0.0126,0.0036,100,1.1,-0.15,3.6,6,0.0123,26.5,"2022-07-03","John Deere Classic"
"48","Stephan Jaeger",23183715,7100,47.17,0.0081,0.0109,34,0.0028,0.3457,53.13,0.9,81,26.5,0.5476,0.0063,0.2347,0.15,0.0699,0.0321,0.0184,0.005,30,1.54,0.29,7.88,9,0.0138,81.5,"2022-07-03","John Deere Classic"
"49","Chad Ramey",23183716,7000,53.09,0.007,0.0104,36,0.0034,0.4857,52.68,2.2,79.5,26,0.578,0.0095,0.2579,0.1704,0.082,0.0389,0.0222,0.0069,100,1.49,0.36,9.33,12,0.0192,33.5,"2022-07-03","John Deere Classic"
"50","Austin Smotherman",23183717,7000,56.31,0.0089,0.0084,50,-5e-04,-0.0562,61.72,7.8,87,28.5,0.5733,0.0074,0.2735,0.1854,0.0933,0.0461,0.0272,0.0091,100,1.2,0.07,1.02,9,0.0443,31,"2022-07-03","John Deere Classic"
"51","Michael Thompson",23183718,7000,57.1,0.007,0.0062,63,-8e-04,-0.1143,56.78,0.95,82.5,26.5,0.5746,0.0092,0.257,0.1716,0.0846,0.0411,0.0238,0.0073,59,0.89,-0.24,0.39,1,0.023,77.5,"2022-07-03","John Deere Classic"
"52","Brandon Wu",23183719,7000,49.4,0.007,0.0056,66,-0.0014,-0.2,52.47,0.64,79.5,26,0.5131,0.0049,0.1984,0.1268,0.0563,0.0264,0.0152,0.0048,30,0.8,-0.33,-0.77,0,0.0077,81,"2022-07-03","John Deere Classic"
"53","Scott Brown",23183720,7000,56.43,0.0055,0.0046,74,-9e-04,-0.1636,45.2,1.6,75,24.5,0.4964,0.0049,0.1871,0.1172,0.0517,0.0232,0.0127,0.0042,100,0.66,-0.47,0.18,2,0.0212,38,"2022-07-03","John Deere Classic"
"54","Ben Martin",23183721,7000,54.92,0.007,0.0053,69,-0.0017,-0.2429,53.85,0.32,81.5,26.5,0.5089,0.0053,0.1961,0.1215,0.0558,0.0249,0.0133,0.0037,100,0.76,-0.37,-1.34,0,0.0133,27.5,"2022-07-03","John Deere Classic"
"55","Taylor Moore",23183722,7000,48.35,0.007,0.0102,37,0.0032,0.4571,54.16,1.9,81,26.5,0.6131,0.0103,0.297,0.1988,0.1,0.0498,0.0295,0.0096,24,1.46,0.33,8.87,11,0.0129,90,"2022-07-03","John Deere Classic"
"56","Hayden Buckley",23183723,6900,50.48,0.007,0.0088,46,0.0018,0.2571,57.82,5.6,84,27,0.5869,0.0096,0.268,0.1781,0.0882,0.0424,0.0251,0.0076,30,1.28,0.27,5.77,11,0.0534,88,"2022-07-03","John Deere Classic"
"57","Lee Hodges",23183724,6900,53.46,0.007,0.009,44,0.002,0.2857,60.04,4.4,85,28,0.5718,0.007,0.2628,0.1758,0.0866,0.0421,0.0241,0.0078,43,1.3,0.29,6.21,11,0.051,72,"2022-07-03","John Deere Classic"
"58","Grayson Murray",23183725,6900,52.79,0.007,0.0054,67,-0.0016,-0.2286,43.72,0.55,73,24,0.4238,0.0034,0.1275,0.0749,0.0308,0.0138,0.0078,0.0022,100,0.78,-0.23,-1.13,0,0.0043,26.5,"2022-07-03","John Deere Classic"
"59","Brandt Snedeker",23183726,6900,44.42,0.0052,0.0039,77,-0.0013,-0.25,51.6,0.76,79.85,26,0.4872,0.0044,0.179,0.1095,0.048,0.0212,0.0114,0.0031,100,0.57,-0.44,-0.54,0,0.0092,18.5,"2022-07-03","John Deere Classic"
"60","Kevin Chappell",23183727,6900,48.93,0.007,0.0053,69,-0.0017,-0.2429,51.96,0.83,79.5,26,0.4432,0.0049,0.138,0.082,0.0331,0.0135,0.0074,0.0017,100,0.77,-0.24,-1.32,0,0.006,26,"2022-07-03","John Deere Classic"
"61","Brice Garnett",23183728,6900,47.54,0.0052,0.0066,60,0.0014,0.2692,59.66,0.74,85,27.5,0.5807,0.009,0.2568,0.1712,0.078,0.0375,0.0209,0.0069,100,0.96,-0.05,4.94,6,0.0062,35,"2022-07-03","John Deere Classic"
"62","James Hahn",23183729,6900,43.11,0.007,0.0065,61,-5e-04,-0.0714,57.48,1.7,83.5,27,0.5746,0.009,0.2532,0.1676,0.0794,0.0382,0.0217,0.0065,67,0.94,-0.07,1,3,0.0092,63,"2022-07-03","John Deere Classic"
"63","Kramer Hickok",23183730,6800,45.36,0.0052,0.0057,65,5e-04,0.0962,56.28,1.1,83.5,27,0.5934,0.01,0.2747,0.1855,0.0925,0.0459,0.0266,0.0083,62,0.84,-0.05,3.01,4,0.0123,73.5,"2022-07-03","John Deere Classic"
"64","Rory Sabbatini",23183731,6800,55.94,0.0081,0.009,44,9e-04,0.1111,59.58,4.1,86,27.5,0.5898,0.0111,0.2787,0.1884,0.0934,0.0446,0.0267,0.0081,63,1.32,0.43,3.89,8,0.0275,66.5,"2022-07-03","John Deere Classic"
"65","Greyson Sigg",23183732,6800,52.84,0.0052,0.0074,56,0.0022,0.4231,55.84,0.7,82.5,26.5,0.5513,0.007,0.2454,0.16,0.0767,0.036,0.0204,0.0066,16,1.09,0.2,6.79,7,0.0042,89,"2022-07-03","John Deere Classic"
"66","Callum Tarren",23183733,6800,51.5,0.0052,0.0041,75,-0.0011,-0.2115,54.26,1.5,82,26.5,0.506,0.005,0.1966,0.1224,0.0553,0.0246,0.0139,0.0039,6,0.6,-0.29,-0.15,1,0.0115,102.5,"2022-07-03","John Deere Classic"
"67","Vaughn Taylor",23183734,6800,51.15,0.0061,0.0053,69,-8e-04,-0.1311,55.02,6.3,82.5,26.5,0.5641,0.0086,0.2437,0.1582,0.0763,0.0369,0.0222,0.0065,30,0.78,-0.11,0.42,7,0.0309,82.5,"2022-07-03","John Deere Classic"
"68","Joseph Bramlett",23183735,6800,49.3,0.0052,0.0088,46,0.0036,0.6923,59.75,1.4,85.5,28,0.5868,0.0109,0.2779,0.1864,0.0942,0.0458,0.0272,0.0088,100,1.29,0.4,10.22,12,0.012,25,"2022-07-03","John Deere Classic"
"69","Bill Haas",23183736,6800,53.12,0.0052,0.0076,55,0.0024,0.4615,50.78,1.2,78.5,25.5,0.5201,0.0064,0.1995,0.1256,0.0556,0.0253,0.0139,0.0042,100,1.12,0.23,7.26,8,0.0188,27,"2022-07-03","John Deere Classic"
"70","Harry Higgs",23183737,6700,44.96,0.0039,0.0033,81,-6e-04,-0.1538,43.37,0.58,72.5,23.5,0.4256,0.0039,0.1288,0.0762,0.031,0.0128,0.0073,0.002,100,0.49,-0.28,0.81,1,0.0077,31.5,"2022-07-03","John Deere Classic"
"71","Justin Lower",23183738,6700,55.42,0.0039,0.0047,72,8e-04,0.2051,46.33,1.1,75.5,24.5,0.4906,0.0049,0.1801,0.1125,0.0492,0.0219,0.0121,0.0035,51,0.7,-0.07,3.67,5,0.0063,79.5,"2022-07-03","John Deere Classic"
"72","Andrew Novak",23183739,6700,52.18,0.0039,0.0078,52,0.0039,1,59.09,1.9,85.5,27.5,0.5272,0.0061,0.2196,0.1405,0.0653,0.0317,0.0183,0.0054,30,1.16,0.39,11.86,14,0.0057,80,"2022-07-03","John Deere Classic"
"73","Doc Redman",23183740,6700,47.79,0.0055,0.0074,56,0.0019,0.3455,51.43,0.74,79,25.5,0.5338,0.006,0.2229,0.141,0.0661,0.0306,0.0175,0.0056,100,1.1,0.33,6.09,7,0.0105,32,"2022-07-03","John Deere Classic"
"74","Chase Seiffert",23183741,6700,51.88,0.0061,0.0062,63,9.99999999999994e-05,0.0164,58.69,2,85,27.5,0.562,0.0097,0.2482,0.1653,0.0801,0.0387,0.0228,0.0077,100,0.93,0.16,2.22,4,0.018,30.5,"2022-07-03","John Deere Classic"
"75","Kelly Kraft",23183742,6700,42.35,0.0067,0.0051,71,-0.0016,-0.2388,46.08,0.5,75,24.5,0.519,0.0084,0.2022,0.1263,0.0588,0.0276,0.0164,0.005,24,0.76,-0.01,-1.09,0,0.0139,89,"2022-07-03","John Deere Classic"
"76","Brian Stuard",23183743,6700,44.72,0.0052,0.0039,77,-0.0013,-0.25,51.66,0.67,79,25.5,0.5198,0.0052,0.2017,0.1258,0.0564,0.0244,0.0131,0.0036,100,0.58,-0.19,-0.5,0,0.0075,19.5,"2022-07-03","John Deere Classic"
"77","Wesley Bryan",23183744,6700,51.25,0.0039,0.003,85,-9e-04,-0.2308,52.03,0.46,80,26,0.4142,0.0041,0.1219,0.0732,0.0309,0.0126,0.0068,0.0022,100,0.45,-0.32,0.26,1,0.0066,31.5,"2022-07-03","John Deere Classic"
"78","Peter Malnati",23183746,6600,55.31,0.0061,0.0047,72,-0.0014,-0.2295,51.45,1.7,79,26,0.543,0.0062,0.2297,0.1473,0.0694,0.0322,0.0192,0.006,30,0.71,0.05,-0.69,1,0.0222,89.5,"2022-07-03","John Deere Classic"
"79","Henrik Norlander",23183747,6600,45.69,0.0039,0.003,85,-9e-04,-0.2308,56.25,0.29,83,27,0.4993,0.0048,0.188,0.1177,0.0524,0.0235,0.0131,0.0037,100,0.45,-0.21,0.28,1,0.0041,29,"2022-07-03","John Deere Classic"
"80","Sean O'Hair",23183748,6600,53.38,0.0052,0.0039,77,-0.0013,-0.25,51.48,0.34,79.5,26,0.4877,0.006,0.1762,0.1084,0.0467,0.0205,0.0111,0.0034,100,0.59,-0.07,-0.49,0,0.0039,29.5,"2022-07-03","John Deere Classic"
"81","Cameron Percy",23183749,6600,49.82,0.0039,0.0034,80,-5e-04,-0.1282,54.19,0.7,81.5,26.5,0.4807,0.0038,0.1729,0.1061,0.0453,0.0186,0.0109,0.0031,100,0.52,-0.14,1.01,2,0.0047,31.5,"2022-07-03","John Deere Classic"
"82","Robert Streb",23183750,6600,48.2,0.0052,0.0084,50,0.0032,0.6154,52.69,1.4,80.5,26,0.5732,0.0103,0.2571,0.1707,0.0853,0.0417,0.0241,0.0079,100,1.27,0.61,9.25,11,0.022,24.5,"2022-07-03","John Deere Classic"
"83","William McGirt",23183752,6600,43.88,0.0039,0.003,85,-9e-04,-0.2308,52.35,0.67,79.5,26.5,0.4948,0.0049,0.1856,0.1152,0.0516,0.0231,0.0131,0.0038,100,0.45,-0.21,0.28,1,0.0059,24,"2022-07-03","John Deere Classic"
"84","Trey Mullinax",23183753,6500,49.33,0.0039,0.0034,80,-5e-04,-0.1282,52.96,0.51,81,26.5,0.4804,0.004,0.1729,0.1057,0.0455,0.0197,0.0113,0.0033,100,0.52,-0.03,1.03,2,0.0047,29.5,"2022-07-03","John Deere Classic"
"85","Jonathan Byrd",23183755,6500,49.77,0.0039,0.0032,82,-7e-04,-0.1795,48.57,0.53,76.5,25,0.5139,0.0064,0.2106,0.1349,0.0618,0.0284,0.017,0.0053,43,0.49,-0.06,0.66,1,0.0043,82.5,"2022-07-03","John Deere Classic"
"86","Paul Barjon",23183759,6500,48.29,0.0039,0.003,85,-9e-04,-0.2308,51.35,0.82,79.5,25.5,0.506,0.0053,0.1962,0.1229,0.0556,0.0245,0.0135,0.0039,100,0.46,-0.09,0.29,1,0.0066,21,"2022-07-03","John Deere Classic"
"87","Fabian Gomez",23183762,6400,52.42,0.0039,0.003,85,-9e-04,-0.2308,36.89,0.18,65,21.5,0.4088,0.0035,0.1125,0.0632,0.0244,0.0099,0.0049,0.0014,43,0.47,0.03,0.31,0,0.0025,73.5,"2022-07-03","John Deere Classic"
