"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"d4d899bc-3685-405b-8448-8678aa782a38","Kemba","Walker","-","676.7",,"G",,,
"6cfad23e-56b8-4c83-bd01-003d69a6b440","Cedi","Osman","-","674.4",,"W","San Antonio Spurs",,
"ccedd888-8439-4b6a-918c-94265d82e508","Ish","Smith","-","671.7",,"G",,,
"df0d43ff-c2b2-41da-ac7f-fd664ad15a6c","Reggie","Bullock","-","669.2",,"W","San Antonio Spurs",,
"fc52a864-c113-4b9c-a7a4-26ee82979fbe","Danny","Green","-","666.8",,"G",,,
"7317cd58-9ca5-452a-9a24-2e0be15899b9","Terance","Mann","-","656.2",,"G","Los Angeles Clippers",,
"1a11e6ae-07ff-4927-857a-12b1d527e896","Grayson","Allen","-","654.8",,"G","Milwaukee Bucks",,
"62c96da1-d564-40c0-a603-0af847d082b8","Noah","Vonleh","-","652.7",,"W",,,
"2ef6912f-d72e-4bc4-9697-88783cfb1819","John","Konchar","-","651.6",,"G","Memphis Grizzlies",,
"b612acc1-f385-4c95-b4b7-456b2ad67dee","Gary","Harris","-","650.6",,"G","Orlando Magic",,
"46911b44-2dee-43f9-9c45-726766ec606e","Damian","Jones","-","648.8",,"B","Cleveland Cavaliers",,
"0f0f83ab-f01e-402d-8b34-1e39513c605b","Marko","Simonovic","-","642.9",,"B",,,
"f114ed24-fb38-4575-87e4-856f47be4178","Doug","McDermott","-","642.5",,"W","San Antonio Spurs",,
"b0242601-842c-4574-9934-30275d8aa87d","Terry","Taylor","-","640.4",,"W",,,
"919bf5f8-7741-402a-9f76-ddf7ab9bcc5d","Joe","Ingles","-","640.2",,"W","Orlando Magic",,
"7c849901-e265-4236-9afd-3355fefaf4b1","Hamidou","Diallo","-","639.9",,"G",,,
"27a1344a-6626-4b58-9574-b246bffa00df","Bruno","Fernando","-","638.3",,"B","Atlanta Hawks",,
"44419c7f-13fd-4344-8d9d-0342e1d7577c","Isaac","Okoro","-","630.6",,"W","Cleveland Cavaliers",,
"4b039f28-7fd2-4bb9-bc04-0300271c3f3d","Thanasis","Antetokounmpo","-","630.3",,"W",,,
