datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Grillo, Emiliano","Emiliano Grillo",150,28153671,7800,29.572,7:53 am,1,57.1,2.6,0,59.7,-0.04,100,6.66444397806483,
"Bradley, Keegan","Keegan Bradley",150,28153670,7800,30.634,1:29 pm,0,62.7,3.7,0,66.3,0.58,100,7.99689140269758,
"Woodland, Gary","Gary Woodland",150,28153672,7700,30.235,1:17 pm,0,59.6,3.1,0,62.7,0.29,100,3.67655070813827,
"Davis, Cameron","Cameron Davis",150,28153673,7700,29.883,7:48 am,1,56.8,2.6,0,59.5,-0.02,100,3.32198535293246,
"Mitchell, Keith","Keith Mitchell",150,28153674,7600,28.942,7:29 am,1,53.7,2.2,0,55.8,-0.18,100,3.47876049238492,
"McCarthy, Denny","Denny McCarthy",150,28153675,7600,29.627,7:17 am,1,59.8,3.2,0,63,0.39,100,6.02445439196587,
"Kuchar, Matt","Matt Kuchar",150,28153677,7500,29.859,8:00 am,1,62,3.7,0,65.7,0.72,100,8.35171730960357,
"Horschel, Billy","Billy Horschel",150,28153676,7500,28.364,12:41 pm,0,52.7,2,0,54.7,-0.2,100,7.15215929828423,
"English, Harris","Harris English",150,28153678,7500,29.288,7:36 am,1,54.9,2.2,0,57.1,-0.07,100,5.26539181015009,
"An, Byeong Hun","Byeong Hun An",150,28153681,7400,29.579,7:17 am,1,57,2.5,0,59.5,0.18,100,5.3879064748123,
"Kirk, Chris","Chris Kirk",150,28153680,7400,29.734,1:24 pm,0,60.3,3.2,0,63.6,0.58,100,5.19551078386941,
"Kitayama, Kurt","Kurt Kitayama",150,28153679,7400,29.403,7:41 am,1,55.1,2.2,0,57.3,-0.02,100,4.04887738721541,
"Hoge, Tom","Tom Hoge",150,28153682,7300,29.295,1:24 pm,0,54.8,2.3,0,57,0,100,2.55815899119955,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,28153684,7300,29.953,1:17 pm,0,59,3,0,62,0.49,100,4.11881412233345,
"Hadwin, Adam","Adam Hadwin",150,28153686,7200,30.148,7:12 am,1,59.5,3,0,62.6,0.62,100,4.99324701594679,
"Harman, Brian","Brian Harman",150,28153685,7200,29.559,8:12 am,1,58.3,2.8,0,61.1,0.47,100,3.20741323078853,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,28153687,7200,28.879,12:00 pm,0,55.4,2.3,0,57.8,0.14,100,5.5302600830156,
"Montgomery, Taylor","Taylor Montgomery",150,28153688,7200,28.689,7:12 am,1,52.4,1.8,0,54.1,-0.12,100,0.789084492722214,
"Rodgers, Patrick","Patrick Rodgers",150,28153691,7100,28.775,7:17 am,1,56.3,2.4,0,58.7,0.31,100,2.28726502095399,
"Power, Seamus","Seamus Power",150,28153690,7100,29.077,7:48 am,1,55.4,2.3,0,57.8,0.21,100,3.22074975793224,
"Fox, Ryan","Ryan Fox",150,28153689,7100,29.055,12:05 pm,0,53.8,2.1,0,55.9,0.02,100,5.59743587602991,
"Detry, Thomas","Thomas Detry",150,28153692,7100,28.778,12:29 pm,0,53.2,1.9,0,55.1,-0.03,100,2.24293641419452,
"Hojgaard, Nicolai","Nicolai Hojgaard",150,28153693,7000,27.877,1:53 pm,0,50.5,1.6,0,52.1,-0.16,100,2.54721158833116,
"Jaeger, Stephan","Stephan Jaeger",150,28153694,7000,29.276,12:29 pm,0,57.2,2.6,0,59.9,0.49,100,4.00705052901846,
"Hossler, Beau","Beau Hossler",150,28153695,7000,29.608,7:05 am,1,54.5,2.2,0,56.8,0.18,100,1.44041999125529,
"Buckley, Hayden","Hayden Buckley",150,28153696,7000,29.468,8:36 am,1,56.8,2.5,0,59.4,0.43,100,3.85380207506038,
"Suh, Justin","Justin Suh",150,28153698,6900,28.154,7:29 am,1,50.9,1.7,0,52.5,-0.1,100,3.95616295714807,
"Cole, Eric","Eric Cole",150,28153700,6900,28.328,12:05 pm,0,51.7,1.8,0,53.5,-0.05,100,2.91242494114962,
"Svensson, Adam","Adam Svensson",150,28153699,6900,29.026,1:17 pm,0,55.6,2.2,0,57.8,0.35,100,5.68836960691598,
"Riley, Davis","Davis Riley",150,28153697,6900,28.274,1:12 pm,0,50.3,1.6,0,51.9,-0.13,100,1.70489512716302,
"Bramlett, Joseph","Joseph Bramlett",150,28153701,6900,27.862,7:29 am,1,51.3,1.7,0,53,-0.07,100,0.601169360311967,
"Poston, J.T.","J.T. Poston",150,28153706,6800,29.300,1:00 pm,0,55.4,2.4,0,57.7,0.41,100,1.48705524140594,
"Spaun, J.J.","J.J. Spaun",150,28153705,6800,29.237,8:24 am,1,55.7,2.4,0,58.1,0.44,100,1.62571581764213,
"Schenk, Adam","Adam Schenk",150,28153703,6800,29.216,1:36 pm,0,53.6,2.1,0,55.7,0.2,100,3.30011815380971,
"Herbert, Lucas","Lucas Herbert",150,28153702,6800,29.478,1:12 pm,0,55.8,2.3,0,58.2,0.45,100,2.3435140854895,
"Smalley, Alex","Alex Smalley",150,28153704,6800,29.261,1:41 pm,0,56.6,2.4,0,59,0.53,100,2.96036595153543,
"Higgo, Garrick","Garrick Higgo",150,28153710,6700,27.737,7:36 am,1,49,1.5,0,50.5,-0.13,100,0.715792513075351,
"Todd, Brendon","Brendon Todd",150,28153709,6700,29.355,7:36 am,1,55.5,2.4,0,57.9,0.49,100,4.70056347778231,
"Streelman, Kevin","Kevin Streelman",150,28153707,6700,28.315,1:36 pm,0,52.6,1.9,0,54.5,0.15,100,4.6847561097496,
"Pendrith, Taylor","Taylor Pendrith",150,28153711,6700,27.229,7:05 am,1,47.8,1.3,0,49.1,-0.21,100,1.69686378949982,
"Gordon, Will","Will Gordon",150,28153708,6700,28.106,12:05 pm,0,51.1,1.6,0,52.7,-0.01,100,0.782695470152422,
"Wu, Brandon","Brandon Wu",150,28153714,6600,29.111,7:24 am,1,54.3,2.1,0,56.4,0.41,100,1.93112545478798,
"Straka, Sepp","Sepp Straka",150,28153712,6600,28.980,1:00 pm,0,53.5,2,0,55.5,0.32,100,4.69087186635256,
"Kim, Seonghyeon","Seonghyeon Kim",150,28153715,6600,27.722,12:12 pm,0,50.2,1.5,0,51.7,-0.03,100,0.464296992781423,
"List, Luke","Luke List",150,28153713,6600,27.419,8:24 am,1,48.4,1.4,0,49.8,-0.13,100,1.01488166766453,
"Eckroat, Austin","Austin Eckroat",150,28153716,6600,28.379,8:48 am,1,51.6,1.8,0,53.4,0.11,100,4.87630917925696,
"Hughes, Mackenzie","Mackenzie Hughes",150,28153719,6500,28.594,12:36 pm,0,52.2,1.9,0,54.2,0.26,100,1.77694355020643,
"NeSmith, Matthew","Matthew NeSmith",150,28153721,6500,29.128,12:17 pm,0,53.6,2.1,0,55.7,0.41,100,3.64931645466127,
"Rai, Aaron","Aaron Rai",150,28164775,6500,28.941,8:53 am,1,58.2,2.7,0,61,0.93,100,5.56127026230704,
