"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"23","Si Woo Kim",28153667,8000,68.6,67.63,18.8,87,29.5,65,4.2,69.2,0.73,13.86,0.039,160,0.136,63,0.537,26,0.412,39,1.125,28,-2.717,248,0.078,16,0.936,27,0.017,-0.006,0.015,0.163,0.146,0.021,0.147,0.035,0.204,1.475,0.7585,0.3257,0.1773,0.0894,0.0172,2.15,0.86,16.33,68.41,1.16,5.65,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"24","Tom Kim",28153668,7900,72.38,69.27,11.4,89,30,63.5,3.8,67.3,0.62,9.9,0.06,134,0.088,92,0.605,20,0.369,48,1.122,29,-0.261,206,0.094,8,0.963,20,0.042,0.017,-0.007,0.106,-0.06,0.003,0.177,0.037,0.217,1.279,0.7253,0.2874,0.1493,0.0724,0.0135,1.71,0.5,10.65,68.28,1.25,5.88,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"25","Russell Henley",28153669,7900,59.61,68.07,12.1,88,30,65.9,4.5,70.4,0.92,12.42,0.046,144,0.25,20,0.622,18,0.271,68,1.189,26,-4.873,296,0.108,4,1.228,34,-0.005,-0.061,0.003,0.025,0.072,0.038,0.203,0.044,0.285,1.545,0.7691,0.346,0.1923,0.0999,0.0197,2.49,1.28,12.26,69.24,1.96,9.46,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"26","Keegan Bradley",28153670,7800,68.07,65.24,10.5,86,28.5,62.7,3.7,66.3,0.58,8,0.136,85,0.144,60,0.373,43,0.411,40,1.065,32,4.092,128,0.034,91,1.112,36,-0.015,-0.049,0.004,0.012,0.086,-0.031,0.064,0.029,0.063,1.214,0.7159,0.2703,0.1385,0.0671,0.012,1.54,0.41,9.25,65.77,0.8,3.81,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"27","Emiliano Grillo",28153671,7800,64.62,59.99,8.7,82.5,26.5,57.1,2.6,59.7,-0.04,6.66,0.108,104,-0.055,219,0.384,41,0.124,103,0.561,69,0.999,179,0.037,81,0.73,30,0.007,0.008,-0.042,-0.142,0.102,-0.007,0.07,0.022,0.086,0.749,0.6441,0.1848,0.0842,0.0364,0.0047,0.6,-0.53,7.68,59.84,-0.04,-0.45,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"28","Gary Woodland",28153672,7700,55.91,57.49,6.9,81,26,59.6,3.1,62.7,0.29,3.68,-0.393,400,-0.158,309,0.65,15,0.768,6,0.867,42,10.857,42,0.019,126,0.679,39,-0.023,-0.051,0.013,0.249,0.151,-0.082,0.036,0.014,-0.033,0.986,0.6815,0.2242,0.1067,0.0498,0.0083,1.08,0.03,5.29,60.09,-0.5,-2.23,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"29","Cameron Davis",28153673,7700,56.36,61.52,6.2,84,27,56.8,2.6,59.5,-0.02,3.32,-0.006,192,0.083,97,0.286,62,0.573,14,0.935,37,11.693,35,-0.041,322,0.662,28,0.016,0.058,-0.004,0.204,-0.013,-0.089,-0.077,0.016,-0.15,0.773,0.6479,0.188,0.0873,0.0396,0.0057,0.74,-0.31,4.76,60.51,-0.2,-1.06,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"30","Keith Mitchell",28153674,7600,65.47,62.07,2.6,83.35,27,53.7,2.2,55.8,-0.18,3.48,0.183,74,-0.035,205,-0.056,172,0.552,19,0.643,64,13.272,28,0.018,129,0.434,31,0.005,0.004,0.036,0.164,-0.008,-0.101,0.035,-0.001,-0.067,0.568,0.6139,0.1517,0.0632,0.0262,0.0032,0.42,-0.55,3.04,58.94,-0.31,-1.67,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"31","Denny McCarthy",28153675,7600,65.5,59.53,8,82.5,26.5,59.8,3.2,63,0.39,6.02,0.556,5,0.161,50,0.153,96,0.045,130,0.915,38,-4.113,278,0.029,100,1.031,30,0.009,-0.027,-0.014,-0.084,0.026,0.032,0.055,0.034,0.121,1.063,0.6951,0.2336,0.1124,0.0507,0.0069,0.91,-0.06,7.01,61.26,0.72,3.21,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"32","Billy Horschel",28153676,7500,50.36,55.59,5.9,79.5,25.65,52.7,2,54.7,-0.2,7.15,0.296,41,0.149,57,-0.116,187,-0.156,202,0.174,120,-1.612,231,0.026,107,0.304,36,-0.013,-0.048,-0.015,-0.053,0.172,0.013,0.049,0.009,0.071,0.417,0.5851,0.1292,0.0521,0.021,0.0023,0.31,-0.57,6.53,55.15,0.23,0.75,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"33","Matt Kuchar",28153677,7500,62.63,64.09,8.5,85,28,62,3.7,65.7,0.72,8.35,0.277,45,0.406,1,0.196,82,-0.102,183,0.777,51,-8.371,337,0.042,74,1.002,44,-0.044,-0.093,0.023,-0.111,0.285,0.065,0.079,0.035,0.179,1.241,0.726,0.2762,0.1391,0.0677,0.0115,1.53,0.65,8.43,64.9,1.61,7.57,20,40,1,2023-06-01,"2023-06-01 Memorial Tournament"
"34","Harris English",28153678,7500,58.45,50.85,7,76,24.5,54.9,2.2,57.1,-0.07,5.27,0.34,28,0.248,21,0.136,104,-0.31,260,0.414,89,-1.914,234,0.034,88,0.563,33,-0.004,-0.027,-0.04,-0.078,0.001,0.015,0.065,0.028,0.108,0.523,0.6047,0.1477,0.064,0.0275,0.0037,0.49,-0.39,6.14,53.98,1,4.3,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"35","Kurt Kitayama",28153679,7400,55.73,57.77,5.4,81.5,26,55.1,2.2,57.3,-0.02,4.05,0.113,103,0.079,104,0.457,32,0.06,125,0.708,55,9.998,48,-0.046,332,0.695,30,0.008,0.038,-0.004,-0.029,-0.02,-0.076,-0.087,0.03,-0.133,0.555,0.6063,0.156,0.0691,0.0309,0.0052,0.7,-0.09,4.72,57.53,-0.04,-0.23,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"36","Chris Kirk",28153680,7400,65.86,63.13,9,85,27,60.3,3.2,63.6,0.58,5.2,0.092,112,0.315,4,0.339,50,0.08,121,0.825,46,-2.45,244,0.026,105,0.811,38,-0.019,-0.029,0.054,0.009,0.11,0.019,0.05,0.032,0.102,1.038,0.6894,0.2315,0.1105,0.0509,0.0075,1.01,0.22,7.1,63.37,1.22,5.6,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"37","Byeong Hun An",28153681,7400,65.14,60.04,8.4,82.5,27,57,2.5,59.5,0.18,5.39,-0.202,323,0.26,17,0.371,45,0.453,33,0.882,40,16.049,12,-0.065,379,0.54,31,0.004,0.034,-0.01,0.315,0.099,-0.122,-0.122,0.019,-0.225,0.756,0.6466,0.1873,0.086,0.0378,0.0056,0.76,-0.03,6.89,59.77,0.33,1.47,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"38","Tom Hoge",28153682,7300,68.55,57.15,1.5,80.5,26,54.8,2.3,57,0,2.56,0.083,120,-0.051,216,0.486,30,-0.015,149,0.503,77,-2.052,238,0.035,87,0.655,34,-0.005,-0.026,0.009,-0.129,-0.025,0.016,0.066,0.028,0.111,0.589,0.6124,0.1546,0.0673,0.0298,0.0044,0.6,-0.11,2.03,57.08,-0.02,-0.15,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"39","Kyoung-Hoon Lee",28153684,7300,68.03,60.08,2.8,82,26.5,59,3,62,0.49,4.12,0.117,98,0.122,70,0.369,47,0.212,80,0.82,47,0.776,185,0.027,103,0.797,31,0.003,-0.001,-0.002,0.023,0.042,-0.005,0.052,0.028,0.074,0.936,0.6774,0.2146,0.1005,0.0461,0.0066,0.9,0.19,3.46,61.04,0.56,2.62,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"40","Brian Harman",28153685,7200,61.79,58.66,5,81.5,26.5,58.3,2.8,61.1,0.47,3.21,0.108,105,0.081,100,0.179,86,0.32,61,0.689,58,-3.883,274,0.065,22,0.742,36,-0.013,-0.117,-0.019,0.096,-0.004,0.03,0.123,0.016,0.17,0.854,0.6644,0.2028,0.095,0.0432,0.0065,0.9,0.26,4.11,59.88,0.47,2.24,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"41","Adam Hadwin",28153686,7200,63.5,60.1,2.7,82.5,26.5,59.5,3,62.6,0.62,4.99,0.305,37,0.151,56,0.06,128,0.169,90,0.686,60,-3.956,276,0.063,30,0.7,35,-0.01,-0.037,0.006,0.027,0.086,0.031,0.118,0.019,0.168,0.94,0.6785,0.2179,0.1049,0.0492,0.0073,1.01,0.37,3.85,61.35,0.74,3.52,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
