player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev
"Montgomery, Taylor",150,0.2%,0.7%,-0.634,0.5%,-0.513,0.4%,-0.343,0.5%,-0.513,0.4%,-0.451
"Noren, Alex",150,0.2%,0.4%,-0.404,0.4%,-0.404,0.3%,-0.166,0.4%,-0.404,,0.00
"Horschel, Billy",150,0.2%,0.8%,-0.707,0.5%,-0.533,0.5%,-0.533,0.7%,-0.649,0.5%,-0.533
"Shelton, Robby",150,0.2%,0.3%,-0.308,0.4%,-0.423,0.2%,-0.078,0.3%,-0.308,,0.00
"Eckroat, Austin",150,0.2%,0.4%,-0.448,0.4%,-0.448,0.2%,-0.118,0.3%,-0.338,,0.00
"Kim, Seonghyeon",150,0.2%,0.4%,-0.454,0.3%,-0.345,0.2%,-0.128,0.3%,-0.345,,0.00
"Hubbard, Mark",150,0.2%,0.3%,-0.375,0.3%,-0.375,0.2%,-0.168,0.3%,-0.375,,0.00
"Bhatia, Akshay",150,0.2%,0.4%,-0.427,0.4%,-0.479,0.3%,-0.272,0.4%,-0.479,,0.00
"Bramlett, Joseph",150,0.2%,0.4%,-0.511,0.4%,-0.511,0.3%,-0.316,0.4%,-0.511,,0.00
"Stallings, Scott",150,0.2%,0.2%,-0.218,0.3%,-0.413,0.2%,-0.023,0.3%,-0.316,,0.00
"Hojgaard, Nicolai",150,0.2%,0.5%,-0.628,0.7%,-0.721,0.4%,-0.536,0.5%,-0.628,,0.00
"Riley, Davis",150,0.2%,0.5%,-0.633,0.6%,-0.679,0.3%,-0.451,0.4%,-0.542,,0.00
"Suh, Justin",150,0.2%,0.5%,-0.653,0.4%,-0.567,0.4%,-0.533,0.5%,-0.653,,0.00
"Higgo, Garrick",150,0.2%,0.4%,-0.580,0.2%,-0.328,0.2%,-0.328,0.3%,-0.496,,0.00
"Dahmen, Joel",150,0.2%,0.3%,-0.496,0.2%,-0.328,0.2%,-0.161,0.3%,-0.412,,0.00
"Gordon, Will",150,0.2%,0.4%,-0.638,0.4%,-0.598,0.2%,-0.358,0.3%,-0.518,,0.00
"Lipsky, David",150,0.2%,0.2%,-0.301,0.2%,-0.378,0.2%,-0.223,0.2%,-0.378,,0.00
"Willett, Danny",150,0.2%,0.2%,-0.378,0.2%,-0.378,0.2%,-0.223,0.3%,-0.456,,0.00
"List, Luke",150,0.1%,0.4%,-0.630,0.5%,-0.704,0.2%,-0.261,0.3%,-0.482,,0.00
"Reavie, Chez",150,0.1%,0.2%,-0.399,0.2%,-0.519,0.2%,-0.399,0.3%,-0.579,,0.00
"Glover, Lucas",150,0.1%,0.2%,-0.294,0.2%,-0.529,0.2%,-0.411,0.2%,-0.411,,0.00
"Ramey, Chad",150,0.1%,0.2%,-0.324,0.2%,-0.549,0.2%,-0.436,0.2%,-0.549,,0.00
"Hardy, Nick",150,0.1%,0.2%,-0.559,0.2%,-0.559,0.2%,-0.449,0.2%,-0.559,,0.00
"Molinari, Francesco",150,0.1%,0.2%,-0.559,0.3%,-0.669,0.2%,-0.449,0.3%,-0.669,,0.00
"Pendrith, Taylor",150,0.1%,0.4%,-0.743,0.4%,-0.743,0.3%,-0.640,0.4%,-0.743,,0.00
"Wallace, Matt",150,0.1%,0.3%,-0.667,0.3%,-0.714,0.2%,-0.619,0.3%,-0.714,,0.00
"Cink, Stewart",150,0.1%,0.2%,-0.619,0.2%,-0.619,0.2%,-0.524,0.3%,-0.667,,0.00
"Thompson, Davis",150,0.1%,0.2%,-0.629,0.2%,-0.629,0.2%,-0.537,0.2%,-0.629,,0.00
"Ryder, Sam",150,0.1%,0.3%,-0.729,0.3%,-0.729,0.2%,-0.549,0.3%,-0.729,,0.00
"Gotterup, Chris",150,0.1%,0.2%,-0.599,0.2%,-0.679,0.2%,-0.599,0.2%,-0.679,,0.00
"Lingmerth, David",150,0.1%,0.1%,-0.249,0.1%,-0.437,0.2%,-0.624,0.2%,-0.549,,0.00
"Long, Adam",150,0.1%,0.2%,-0.579,0.2%,-0.649,0.2%,-0.649,0.2%,-0.649,,0.00
"Lower, Justin",150,0.1%,0.1%,-0.493,0.2%,-0.662,0.2%,-0.662,0.2%,-0.594,,0.00
"Griffin, Lanto",150,0.1%,0.2%,-0.724,0.2%,-0.724,0.2%,-0.724,0.2%,-0.724,,0.00
"Johnson, Zach",150,0.1%,0.1%,-0.606,0.2%,-0.737,0.2%,-0.737,0.2%,-0.684,,0.00
"Daffue, MJ",150,0.1%,0.2%,-0.750,0.2%,-0.799,0.2%,-0.750,0.2%,-0.799,,0.00
"Mullinax, Trey",150,0.0%,0.1%,-0.643,0.2%,-0.762,0.2%,-0.762,0.2%,-0.762,,0.00
"Taylor, Ben",150,0.0%,0.1%,-0.662,0.2%,-0.775,0.2%,-0.775,0.2%,-0.730,,0.00
"Merritt, Troy",150,0.0%,0.1%,-0.325,0.1%,-0.662,0.2%,-0.775,0.1%,-0.550,,0.00
"Snedeker, Brandt",150,0.0%,0.1%,-0.662,0.2%,-0.775,0.2%,-0.775,0.2%,-0.730,,0.00
"Bennett, Sam",150,0.0%,0.4%,-0.903,0.3%,-0.895,0.2%,-0.825,0.2%,-0.790,,0.00
"McGirt, William",150,0.0%,0.0%,-0.125,0.1%,-0.475,0.2%,-0.825,0.1%,-0.475,,0.00
"Echavarria, Nicolas",150,0.0%,0.1%,-0.675,0.1%,-0.756,0.2%,-0.837,0.1%,-0.740,,0.00
"Malnati, Peter",150,0.0%,0.1%,-0.775,0.2%,-0.850,0.2%,-0.850,0.2%,-0.850,,0.00
"Donald, Luke",150,0.0%,0.1%,-0.700,0.1%,-0.775,0.2%,-0.850,0.1%,-0.760,,0.00
"Lawrence, Thriston",150,0.0%,0.1%,-0.812,0.2%,-0.875,0.2%,-0.875,0.2%,-0.850,,0.00
"Micheluzzi, David",150,0.0%,0.2%,-0.880,0.2%,-0.900,0.2%,-0.900,0.2%,-0.900,,0.00
"Dufner, Jason",150,0.0%,0.0%,-0.500,0.1%,-0.700,0.2%,-0.900,0.1%,-0.700,,0.00
"Higa, Kazuki",150,0.0%,0.1%,-0.825,0.1%,-0.825,0.2%,-0.912,0.1%,-0.825,,0.00
"Potgieter, Aldrich",79,0.0%,0.1%,-0.906,0.2%,-0.937,0.2%,-0.937,0.2%,-0.925,,0.00
"Frittelli, Dylan",150,0.0%,0.1%,-0.850,0.1%,-0.900,0.2%,-0.950,0.1%,-0.900,,0.00
"Hoag, Bo",150,0.0%,0.0%,-0.937,0.1%,-0.962,0.2%,-0.987,0.0%,-0.950,,0.00
"Kisner, Kevin",150,,0.1%,-1.075,0.1%,-1.100,0.2%,-1.050,0.1%,-1.100,,0.00
"Choi, K.J.",150,,0.0%,-1.250,,0.00,0.2%,-1.050,0.0%,-1.250,,0.00
