player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Zanotti, Fabrizio",DP World Tour,236,-3,245,-4,-0.403
"Barnes, Erik",PGA TOUR,237,0,333,-4,-0.41
"Silverman, Ben",Korn Ferry Tour,238,0,220,4,-0.411
"Nunez, Augusto",PGA TOUR,239,-9,286,1,-0.414
"Bridgeman, Jacob",Korn Ferry Tour,240,-6,464,3,-0.414
"Zecheng, Marty Dou",PGA TOUR,241,5,169,-7,-0.417
"Lamprecht, Christo",Amateur Events,242,0,9999,0,-0.42
"Canter, Laurie",LIV Tour,243,25,252,-8,-0.428
"Ramsay, Richie",DP World Tour,244,7,174,-2,-0.435
"Garnett, Brice",PGA TOUR,245,0,373,-4,-0.438
"Siem, Marcel",DP World Tour,246,-18,283,-4,-0.44
"Goya, Estanislao",PGA TOUR,247,-3,454,-14,-0.446
"Nakajima, Keita",Other Tours,248,47,284,54,-0.449
"Glover, Lucas",PGA TOUR,249,-1,155,-6,-0.45
"Janewattananond, Jazz",DP World Tour,250,21,219,9,-0.452
"Helligkilde, Marcus",DP World Tour,251,-10,177,-2,-0.453
"Champ, Cameron",PGA TOUR,252,9,210,-2,-0.457
"Fishburn, Patrick",Korn Ferry Tour,253,19,446,0,-0.46
"Tarren, Callum",PGA TOUR,254,-37,157,-5,-0.462
"Ogletree, Andy",Other Tours,255,41,344,-3,-0.464
"Norlander, Henrik",PGA TOUR,256,-41,386,-3,-0.471
"Lingmerth, David",PGA TOUR,257,-53,126,-4,-0.476
"Jimenez, Miguel A",PGA TOUR Champions,258,21,9999,0,-0.479
"Molinari, Edoardo",DP World Tour,259,3,304,-4,-0.48
"Chappell, Kevin",PGA TOUR,260,-2,9999,0,-0.482
"Streb, Robert",PGA TOUR,261,-2,412,-9,-0.483
"Coody, Pierceson",Korn Ferry Tour,262,-7,152,-4,-0.485
"McDowell, Graeme",LIV Tour,263,20,473,-9,-0.487
"Blair, Zac",PGA TOUR,264,-40,442,-5,-0.503
"O'Hair, Sean",PGA TOUR,265,1,445,-12,-0.504
"Valimaki, Sami",DP World Tour,266,-16,206,-3,-0.508
"Pepperell, Eddie",DP World Tour,267,-31,224,-8,-0.51
"McCarty, Matt",Korn Ferry Tour,268,21,461,-3,-0.515
"Lorenzo-Vera, Michael",DP World Tour,269,31,394,42,-0.529
"Merritt, Troy",PGA TOUR,270,0,175,-7,-0.529
"Armour, Ryan",PGA TOUR,271,2,338,-2,-0.537
"Meissner, Mac",Korn Ferry Tour,272,10,374,-4,-0.544
"Mickelson, Phil",LIV Tour,273,-62,82,-3,-0.547
