"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"298","Braxton Berrios","NYJ","wr","10","CHI","4","0","0","0","0","0","0","0.444","2.4271","0.025","2.5202","1.8328","14.3145","0.0708","0.1008","0.0504","0.0032","82.4122","0.063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Ian Thomas","CAR","te","13","DEN","2.2","0","0","0","0","0","0","0","0","0","1.3546","1.0003","8.4453","0.0568","0.013","0.0065","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","Ke'Shawn Vaughn","TB","rb","11","@CLV","0.4","0","0","0","0","0","0","0.2706","1.2687","0.0101","0.1556","0.1261","0.9749","0.0056","0.004","0.002","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Salvon Ahmed","MIA","rb","11","HST","0.4","0","0","0","0","0","0","0.3648","1.4829","0.0142","0.0685","0.058","0.4552","0.0031","0.0023","0.0011","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Jerome Ford","CLV","rb","9","TB","0.4","0","0","0","0","0","0","0.3672","1.655","0.012","0.0948","0.0781","0.6141","0.0026","0.0032","0.0016","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","Hassan Haskins","TEN","rb","6","CIN","0.4","0","0","0","0","0","0","0.5167","2.1986","0.0171","0.0602","0.0503","0.3743","0.0021","0.0038","0.0019","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Equanimeous St. Brown","CHI","wr","14","@NYJ","3.9","0","0","0","0","0","0","0.0498","0.2912","0.0017","2.5575","1.4239","18.317","0.0963","0.0135","0.0067","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Eric Tomlinson","DEN","te","9","@CAR","2.1","0","0","0","0","0","0","0","0","0","1.1378","0.8196","8.5836","0.0626","0.0095","0.0048","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Tony Jones Jr.","SEA","rb","11","LV","0.3","0","0","0","0","0","0","0.3452","1.3591","0.0106","0.032","0.0264","0.2068","0.0012","0.0023","0.0011","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"307","Tyree Jackson","PHI","te","7","GB","2","0","0","0","0","0","0","0","0","0","1.0873","0.7817","8.1886","0.0658","0.0091","0.0046","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"308","Noah Gray","KC","te","8","LA","2","0","0","0","0","0","0","0","0","0","0.9869","0.7217","7.3179","0.0855","0.0079","0.004","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Phillip Lindsay","IND","rb","14","PIT","0.2","0","0","0","0","0","0","0.2135","0.8221","0.0048","0.0648","0.0533","0.397","0.0027","0.0013","0.0006","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"310","Derrick Gore","NO","rb","14","@SF","0.2","0","0","0","0","0","0","0.151","0.6188","0.0059","0.034","0.028","0.239","0.0016","0.0011","0.0006","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"311","Ronald Jones","KC","rb","8","LA","0.2","0","0","0","0","0","0","0.2265","0.8975","0.0091","0.034","0.0281","0.1971","0.0012","0.0019","0.001","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Khari Blasingame","CHI","rb","14","@NYJ","0.2","0","0","0","0","0","0","0.1991","0.8142","0.006","0.0517","0.0408","0.289","0.0012","0.0017","0.0008","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"313","Julius Chestnut","TEN","rb","6","CIN","0.2","0","0","0","0","0","0","0.1088","0.4735","0.0035","0.0602","0.0499","0.3903","0.0022","0.0012","0.0006","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"314","Tre' McKitty","LAC","te","8","@ARZ","1.9","0","0","0","0","0","0","0","0","0","1.0088","0.7425","7.8024","0.0581","0.0105","0.0053","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"315","Dare Ogunbowale","HST","rb","6","@MIA","0.1","0","0","0","0","0","0","0.1428","0.4736","0.0022","0.0635","0.0497","0.3528","0.0015","0.0526","0.0263","0.0003","58.1134","0.0446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Kene Nwangwu","MIN","rb","7","NE","0.1","0","0","0","0","0","0","0.0252","0.1085","0.0007","0.0322","0.0269","0.1907","0.001","0.0281","0.014","0","69.7393","0.0476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317","Benny Snell Jr.","PIT","rb","9","@IND","0.1","0","0","0","0","0","0","0.0659","0.2271","0.0016","0.0652","0.0539","0.3318","0.0013","0.0011","0.0005","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","Ty Chandler","MIN","rb","7","NE","0.1","0","0","0","0","0","0","0.0252","0.108","0.0008","0.0322","0.0267","0.2082","0.001","0.0004","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","Shane Zylstra","DET","te","6","BUF","1.8","0","0","0","0","0","0","0","0","0","1.0134","0.7215","7.6468","0.0459","0.0084","0.0042","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","Mark Ingram II","NO","rb","14","@SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","Damien Williams","ATL","rb","14","@WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"322","Tevin Coleman","SF","rb","9","NO","0","0","0","0","0","0","0","0.0548","0.2258","0.0016","0","0","0","0","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"323","Ty Montgomery","NE","rb","10","@MIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"324","J.D. McKissic","WAS","rb","14","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"325","Darrel Williams","ARZ","rb","13","LAC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Joshua Kelley","LAC","rb","8","@ARZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","Mike Boone","DEN","rb","9","@CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"328","Antonio Williams","NYG","rb","9","@DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"329","Patrick Taylor Jr.","GB","rb","14","@PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
