player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
David Sills,34579,WR,NYG,8,7.9,0,64.7,100.0,1,1,1,8.3,1,7,21,0,61.8,71.9,55.9,75.1,59.8,0.0,0,1,24,1.4,2,139,4,11,89.9,125,19.4,27,57.5,17,0,80.6,112,106,40,3.6,9.6,0.85
Zach Gentry,36049,TE,PIT,10,2.6,0,82.4,33.3,1,3,0,0.0,0,5,25,0,80.6,72.7,49.2,46.8,52.6,93.0,147,0,32,22.8,36,158,1,14,70.3,111,7.0,11,91.2,17,0,0.0,0,100,84,6.0,7.1,0.9
Braxton Berrios,47961,WR,NYJ,10,3.9,0,70.6,100.0,3,3,0,7.7,1,4,22,0,63.5,87.4,58.9,,55.5,0.7,1,1,13,0.0,0,134,0,12,94.0,126,68.7,92,53.3,17,0,30.6,41,69,52,4.3,5.8,0.55
Michael Bandy,91824,WR,LAC,7,11.1,0,52.9,33.3,1,3,0,10.0,1,4,27,0,57.0,70.6,52.2,74.9,53.0,0.0,0,0,25,1.4,2,138,1,9,94.9,131,18.8,26,64.3,17,0,81.2,112,74,17,1.9,8.2,0.56
Quez Watkins,61664,WR,PHI,10,12.9,1,82.4,0.0,0,3,0,0.0,0,6,24,1,81.1,24.9,56.7,66.2,58.3,0.0,0,0,53,0.4,1,233,1,14,93.1,217,79.0,184,157.4,17,2,21.0,49,210,53,3.8,15.0,0.97
Daniel Bellinger,84041,TE,NYG,7,3.2,0,94.1,,0,0,0,0.0,0,10,21,0,82.2,73.9,74.8,69.7,75.7,71.1,101,0,20,12.0,17,142,1,16,79.6,113,16.2,23,143.1,17,2,11.3,16,152,103,6.4,9.5,1.35
Eric Saubert,11929,TE,DEN,10,8.8,3,62.5,50.0,1,2,0,9.1,1,4,10,0,58.5,72.0,53.9,54.5,55.9,55.0,71,0,25,10.1,13,129,2,10,82.9,107,38.8,50,103.9,16,1,6.2,8,111,53,5.3,11.1,1.04
Breshad Perriman,9459,WR,TB,8,14.8,2,50.0,0.0,0,5,0,11.1,1,4,30,1,54.5,19.3,54.2,,55.9,0.0,0,0,28,0.0,0,110,0,8,93.6,103,35.5,39,90.9,16,1,64.5,71,101,46,5.8,12.6,0.98
Ashton Dulin,91479,WR,IND,7,13.9,1,75.0,80.0,4,5,0,0.0,0,9,14,0,79.4,72.5,73.5,67.1,72.0,1.2,1,1,39,1.2,1,86,0,12,90.7,78,43.0,37,82.3,16,0,55.8,48,168,31,2.6,14.0,2.15
Damiere Byrd,9964,WR,ATL,8,21.9,2,56.3,0.0,0,3,0,10.0,1,8,2,0,57.0,70.6,75.7,,75.5,0.0,0,2,75,0.0,0,90,0,9,95.6,86,13.3,12,101.0,16,2,86.7,78,229,93,10.3,25.4,2.66
Johnny Mundt,12206,TE,MIN,10,1.4,2,87.5,100.0,2,2,1,12.5,2,6,18,0,49.6,72.7,47.8,43.1,52.6,76.1,108,0,17,25.4,36,142,2,14,71.8,102,9.9,14,109.6,16,1,13.4,19,85,72,5.1,6.1,0.83
Brevin Jordan,77887,TE,HST,5,7.5,2,37.5,33.3,1,3,0,0.0,0,2,13,0,74.6,68.8,51.2,53.5,53.1,51.4,56,2,16,10.1,11,109,1,6,87.2,95,32.1,35,6.3,16,0,15.6,17,32,32,5.3,5.3,0.34
KhaDarel Hodge,26104,WR,ATL,10,11.1,2,75.0,33.3,1,3,0,7.7,1,7,2,0,63.2,72.3,87.8,,86.9,0.0,0,0,39,0.0,0,49,0,12,93.9,46,20.4,10,136.7,16,1,79.6,39,197,61,5.1,16.4,4.28
