player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Marquis Haynes,50244,ED,CAR,11,1,0,5,59.9,7,8,179,87.0,9.5,17,1,5.3,2,223,194,17,0,66.3,4,4,90,89.8,15.6,14,6.7,2,108,97,10
Marcus Davenport,50291,ED,NO,9,0,0,20,73.8,4,18,183,97.1,16.4,30,2,6.6,1,205,199,23,0,75.9,1,14,77,96.7,23.4,18,11.0,1,90,87,16
Christian Wilkins,50293,DI,MIA,10,2,2,17,73.6,3,9,299,98.8,10.0,30,5,3.0,3,326,322,15,0,65.7,1,3,106,99.1,12.3,13,3.8,2,117,116,6
Nik Needham,50356,CB,MIA,6,0,1,17,46.3,0,2,4,2.2,0.0,0,2,25.0,0,185,4,2,0,46.3,0,2,3,4.5,0.0,0,33.3,0,67,3,2
Isaiah Oliver,50393,CB,ATL,6,1,0,2,59.7,0,0,7,5.9,0.0,0,0,0.0,0,118,7,0,0,48.9,0,0,4,9.3,0.0,0,0.0,0,43,4,0
A.J. Green,50394,CB,CLV,6,0,0,8,59.1,1,0,1,1.6,0.0,0,0,50.0,0,61,1,1,0,,0,0,0,0.0,,0,,0,22,0,0
Juan Thornhill,50426,S,KC,10,0,0,16,60.9,1,0,8,1.9,0.0,0,3,6.3,0,418,8,1,0,66.0,1,0,1,0.6,0.0,0,50.0,0,169,1,1
Emmanuel Moseley,50430,CB,SF,5,0,0,28,40.6,0,2,1,0.5,100.0,1,2,100.0,0,201,1,2,0,,0,0,0,0.0,,0,,0,108,0,0
Jalen Davis,50431,CB,CIN,1,0,0,7,54.1,0,0,4,12.5,0.0,0,0,0.0,0,32,4,0,0,54.3,0,0,3,17.6,0.0,0,0.0,0,17,3,0
Michael Jackson,50437,CB,SEA,10,0,1,29,57.7,1,0,2,0.5,0.0,0,5,25.0,0,375,2,1,0,58.7,0,0,1,0.5,0.0,0,0.0,0,185,1,0
Jace Whittaker,50465,CB,ARZ,3,0,0,1,65.7,0,1,5,7.4,20.0,1,0,10.0,0,68,5,1,0,71.7,0,1,1,4.2,100.0,1,50.0,0,24,1,1
Mike Ford,50535,CB,ATL,7,0,0,2,69.0,1,0,3,6.1,0.0,0,0,16.7,0,49,3,1,0,53.7,0,0,2,8.3,0.0,0,0.0,0,24,2,0
Avonte Maddox,50543,CB,PHI,6,0,0,24,60.9,0,1,6,2.9,0.0,0,0,8.3,0,238,7,1,0,65.0,0,1,3,2.9,0.0,0,16.7,0,136,4,1
Byron Cowart,50588,DI,IND,11,0,0,14,53.3,0,1,61,100.0,3.3,2,0,0.8,0,63,63,1,0,61.5,0,1,19,100.0,10.5,2,2.6,0,19,19,1
Charles Omenihu,50612,ED,SF,10,0,0,28,80.2,8,25,238,100.0,24.4,58,3,8.6,4,252,252,37,0,79.5,5,22,131,100.0,31.3,41,12.6,3,138,138,30
Austin Calitro,50640,LB,NYG,3,0,0,21,49.2,0,1,11,38.2,9.1,1,1,4.5,0,34,13,1,0,50.8,0,0,5,43.8,0.0,0,0.0,0,16,7,0
Luke Gifford,50675,LB,DAL,3,0,0,9,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,,,0,,0,0,0,0
Josey Jewell,50720,LB,DEN,6,0,0,10,67.4,1,5,39,19.6,15.4,6,0,15.4,3,214,42,9,0,78.0,0,4,20,24.7,30.0,6,25.0,3,85,21,7
Cody Barton,50727,LB,SEA,10,0,0,29,64.0,0,0,19,7.9,15.8,3,0,10.5,2,254,20,2,0,63.9,0,0,12,12.5,16.7,2,8.3,1,104,13,1
Jordyn Brooks,50851,LB,SEA,10,0,0,29,62.8,2,3,27,7.4,11.1,3,0,9.3,0,403,30,5,0,47.7,0,1,8,5.6,0.0,0,6.3,0,198,11,1
Roquan Smith,50892,LB,BLT,10,0,0,3,57.4,0,5,33,11.6,15.2,5,1,19.7,4,336,39,9,0,73.9,0,0,10,9.1,30.0,3,40.0,4,143,13,4
Tremaine Edmunds,50905,LB,BUF,8,0,0,4,83.4,1,1,14,5.6,14.3,2,0,14.3,1,287,16,3,0,84.0,1,1,8,7.4,25.0,2,12.5,0,122,9,2
Robert Spillane,50918,LB,PIT,10,1,0,25,49.4,0,4,38,18.3,2.6,1,1,5.3,0,224,41,4,1,49.5,0,1,23,16.0,0.0,0,2.2,0,144,23,1
Leighton Vander Esch,50950,LB,DAL,10,0,0,9,58.1,0,2,22,7.1,18.2,4,0,9.1,1,312,22,3,0,59.4,0,2,12,10.1,25.0,3,8.3,0,119,12,2
Bobby Okereke,50954,LB,IND,11,0,0,14,46.0,0,1,13,3.7,7.7,1,1,3.8,0,349,13,1,0,49.8,0,1,6,4.1,16.7,1,8.3,0,145,6,1
Ja'Whaun Bentley,50966,LB,NE,10,0,0,19,68.5,3,7,62,26.1,16.1,10,0,11.3,2,249,65,12,0,66.4,1,6,34,38.5,11.8,4,16.2,2,96,37,9
Frankie Luvu,51028,LB,CAR,9,0,0,5,68.6,1,11,83,28.0,14.5,12,1,12.0,4,322,90,16,0,73.1,1,6,32,26.7,18.8,6,14.1,1,131,35,8
