player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Kadarius Toney,61245,WR,KC,5,10,0,16,9.0,0,0.0,,0,0,100.0,1,0,0,27.9,42.0,0,0,0.0,0,7,0,100.0,7,39.6,1,10.0,0,0,0,,,0.0,0,0.0,3,85.7,,0,0,14.3,1,2,0,54.5,66.7,0,23,0.0,0,39,6,87.2,34,91.1,7,70.0,0,41,39,6.5,6.8,1.21
Tyler Allgeier,83639,HB,ATL,10,10,0,2,-3.0,0,100.0,,0,0,0.0,0,1,0,68.3,59.2,0,20,23.5,8,34,2,73.5,25,97.9,2,20.0,0,15,21,10.5,7.5,0.6,0,-2.3,1,100.0,,0,0,0.0,0,4,0,77.3,63.8,0,25,21.2,21,99,8,73.7,73,143.8,8,80.0,1,72,90,11.3,9.0,0.99
Kenny Golladay,11851,WR,NYG,6,10,0,21,5.0,0,0.0,,0,0,100.0,1,0,0,27.9,45.9,0,0,0.0,0,33,0,87.9,29,39.6,1,10.0,0,0,0,,,0.0,0,10.4,0,44.4,0.0,0,2,20.0,1,2,0,45.8,58.2,0,15,0.0,0,55,4,89.1,49,62.7,9,90.0,0,51,11,2.8,12.8,1.04
Dyami Brown,77986,WR,WAS,9,9,0,32,27.3,0,50.0,100.0,1,1,0.0,0,2,0,68.3,87.9,0,30,0.0,0,12,2,100.0,12,130.2,4,44.4,1,45,2,1.0,22.5,3.75,0,25.8,1,50.0,,0,0,0.0,0,2,0,68.3,67.6,0,75,0.0,0,42,2,95.2,40,135.4,4,44.4,1,81,29,14.5,40.5,2.03
Mike Thomas,10840,WR,CIN,10,9,0,7,11.0,0,33.3,0.0,0,1,50.0,2,1,0,28.0,53.2,1,33,0.0,0,45,2,84.4,38,16.7,6,66.7,0,38,24,12.0,19.0,1.0,0,22.3,0,0.0,0.0,0,1,,0,0,0,,47.8,0,0,0.0,0,65,0,96.9,63,39.6,3,33.3,0,0,0,,,0.0
Avery Williams,42873,HB,ATL,10,9,0,2,2.0,1,100.0,,0,0,0.0,0,1,0,64.7,77.4,0,8,20.0,1,5,1,80.0,4,100.0,1,11.1,0,8,6,6.0,8.0,2.0,0,-3.1,2,87.5,,0,0,0.0,0,0,0,76.5,58.8,0,10,22.6,12,53,7,73.6,39,80.7,8,88.9,0,27,49,7.0,3.9,0.69
Reggie Gilliam,40951,FB,BUF,10,9,0,4,,0,,,0,0,,0,0,0,,51.1,0,0,0.0,0,12,0,100.0,12,0.0,0,0.0,0,0,0,,,0.0,0,8.4,2,71.4,,0,0,0.0,0,2,0,73.4,57.1,0,14,8.9,4,45,5,88.9,40,84.2,7,77.8,0,38,26,5.2,7.6,0.95
Ezekiel Elliott,10638,HB,DAL,8,9,0,9,-3.0,1,100.0,,0,0,0.0,0,1,0,64.7,57.4,0,31,25.5,12,47,1,66.0,31,118.8,1,11.1,0,31,34,34.0,31.0,1.0,0,-1.6,0,100.0,,0,0,0.0,0,1,0,73.4,52.8,0,5,11.0,9,82,5,86.6,71,79.2,5,55.6,0,1,9,1.8,0.2,0.01
Patrick Ricard,48862,FB,BLT,10,9,0,3,2.0,0,50.0,,0,0,0.0,0,0,0,64.7,53.6,1,12,41.4,24,58,1,58.6,34,29.2,2,22.2,0,12,11,11.0,12.0,0.35,0,0.7,1,100.0,,0,0,0.0,0,1,0,49.2,46.6,0,19,33.7,35,104,6,64.4,67,97.2,6,66.7,0,44,40,6.7,7.3,0.66
James Proche,48037,WR,BLT,8,9,0,3,5.0,0,0.0,,0,0,,0,0,0,,50.6,0,0,0.0,0,26,0,96.2,25,39.6,1,11.1,0,0,0,,,0.0,0,10.2,1,66.7,,0,0,20.0,1,3,0,42.1,59.6,0,12,0.0,0,46,4,91.3,42,86.1,6,66.7,0,41,10,2.5,10.3,0.98
