player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chris Moore,10741,WR,HST,9,2,0,0,0.0,0,1,5,2,4,0,3,25.0,0,0,13,0,0,75.4,62.5,57.9,,61.6,62.6,57.2,65.3,3,1,261,22,219,88,0,0,32,24,0,5,3,1.5,2.5,1.19,0
Wan'Dale Robinson,101735,WR,NYG,6,2,1,0,0.0,0,0,-1,2,3,1,2,16.0,0,0,21,0,1,75.8,72.0,84.2,,,70.9,57.2,71.3,4,0,227,23,129,89,0,0,30,25,0,-1,2,1.0,-0.5,1.76,0
Olamide Zaccheaus,44920,WR,ATL,11,2,2,0,0.0,0,1,7,0,4,2,16,177.8,1,1,2,1,1,26.5,68.5,42.7,,65.6,71.2,59.4,52.0,13,2,374,25,212,215,0,0,31,27,0,7,16,8.0,3.5,1.76,0
Ty Montgomery,9527,HB,NE,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,19,0,1,70.1,63.9,73.4,,82.7,71.8,56.2,60.0,0,0,15,3,11,3,0,0,4,5,0,-2,0,0.0,-1.0,1.36,1
Duke Johnson Jr.,9510,HB,BUF,1,2,0,0,0.0,0,0,4,0,0,0,4,0.0,0,1,4,0,1,74.5,61.1,66.6,,71.3,58.2,60.7,,4,0,0,0,2,2,0,0,0,2,0,4,4,2.0,2.0,0.0,1
Greg Dortch,42237,WR,ARZ,11,2,0,0,0.0,0,1,4,0,10,0,3,41.7,0,0,1,0,0,86.4,62.0,31.2,,,65.1,54.9,36.4,3,2,319,34,243,93,0,0,39,36,0,4,3,1.5,2.0,1.31,0
Trey Sermon,57372,HB,PHI,2,2,1,0,0.0,0,0,19,0,0,1,12,300.0,1,2,24,0,0,65.2,71.1,69.8,,,54.9,71.7,60.0,14,0,0,0,5,3,0,0,0,2,0,19,12,6.0,9.5,0.0,2
Breshad Perriman,9459,WR,TB,8,2,0,0,0.0,0,0,-7,1,2,0,0,0.0,0,0,30,2,0,19.3,54.2,83.1,,,55.9,57.3,46.2,0,0,101,8,103,72,0,0,16,10,0,-7,0,0.0,-3.5,0.98,0
Richie James Jr.,28991,WR,NYG,9,2,1,0,0.0,0,0,6,1,1,1,11,44.0,0,0,21,0,0,21.9,67.8,45.6,,65.7,67.4,59.5,70.6,4,1,239,23,152,64,0,0,28,25,0,6,11,5.5,3.0,1.57,0
Damien Williams,9205,HB,ATL,1,2,1,0,0.0,0,0,2,0,0,1,3,75.0,0,0,2,0,2,65.2,55.2,70.2,,,55.6,56.8,59.6,2,0,0,0,5,5,0,0,0,2,0,2,3,1.5,1.0,0.0,0
Cole Kmet,60995,TE,CHI,11,2,0,0,0.0,0,0,9,1,3,0,1,5.4,0,1,6,0,0,76.5,69.0,59.2,,73.0,67.1,70.0,65.5,8,4,309,26,265,322,0,0,36,28,0,9,1,0.5,4.5,1.17,0
K.J. Osborn,23503,WR,MIN,10,2,1,0,0.0,0,0,1,0,1,1,4,13.8,0,1,18,0,0,76.9,57.8,69.3,,71.0,57.6,60.4,57.7,2,1,238,27,345,144,0,0,43,29,0,1,4,2.0,0.5,0.69,0
Justin Jefferson,61398,WR,MIN,10,2,1,0,0.0,0,0,13,5,8,1,4,24.3,1,2,18,0,0,81.9,87.3,73.3,60.3,,87.6,59.7,60.0,10,2,1093,72,410,209,0,0,98,74,1,13,4,2.0,6.5,2.67,0
Treylon Burks,99218,WR,TEN,6,2,0,0,0.0,0,1,12,1,1,0,10,22.7,0,1,31,0,0,75.1,68.0,0.0,,,68.2,66.9,65.3,8,3,264,20,127,57,0,0,29,22,0,12,10,5.0,6.0,2.08,1
K.J. Hamler,61590,WR,DEN,7,2,2,0,0.0,0,0,23,0,0,2,16,177.8,1,1,10,0,0,71.1,57.5,49.1,,,55.4,68.5,74.0,14,1,165,7,156,60,0,0,15,9,0,23,16,8.0,11.5,1.06,0
