player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Darrell Taylor,36001,ED,SEA,14,0,29,4,7,0,2,4,1,66.2,145,11,5.5,5,7,3,1,91.3,219,240,17,5.3,0,2,3,0,33.8,74,6,4.7,1,1,0,6,8,3
Devonte Wyatt,82268,DI,GB,14,2,12,1,4,2,0,1,1,42.4,28,1,1.8,0,0,0,1,100.0,66,66,6,5.3,0,1,3,0,57.6,38,5,7.9,1,0,2,1,0,2
Bruce Irvin,7021,ED,SEA,9,0,29,2,11,0,0,2,1,9.4,15,2,6.7,0,0,0,3,87.4,159,182,15,5.3,0,2,9,2,90.6,144,13,5.2,2,3,2,2,3,2
Casey Toohill,38472,ED,WAS,14,3,32,5,11,2,3,5,1,50.0,76,8,5.3,0,1,1,1,92.7,152,164,16,5.3,1,2,6,0,50.0,76,8,5.3,0,1,1,0,2,2
Earnest Brown IV,56428,DI,LA,2,0,26,0,2,0,0,0,0,42.1,8,0,0.0,0,0,0,0,100.0,19,19,2,5.3,0,0,2,0,57.9,11,2,9.1,0,0,0,0,0,0
Dalvin Tomlinson,11810,DI,MIN,11,0,18,6,18,0,5,11,0,71.4,185,18,5.4,2,3,1,1,100.0,270,270,26,5.2,0,0,6,1,28.6,74,6,4.1,0,0,0,2,3,1
Arik Armstead,9450,DI,SF,7,0,28,4,14,0,3,10,0,88.4,152,13,4.3,0,0,0,0,100.0,173,173,18,5.2,0,1,3,0,11.6,20,4,10.0,0,0,0,0,0,0
Odafe Oweh,82161,ED,BLT,15,0,3,5,25,0,2,15,0,46.6,160,20,7.2,3,3,2,2,88.2,343,389,33,5.2,0,3,10,2,53.4,183,13,3.6,0,2,3,3,5,5
Jermaine Johnson II,99015,ED,NYJ,12,0,22,0,6,0,0,6,0,92.2,107,9,5.6,3,4,1,0,97.5,116,119,9,5.2,0,0,0,0,7.8,9,0,0.0,0,0,0,3,4,1
Adam Gotsis,10697,DI,JAX,13,0,15,4,4,0,3,2,0,60.0,66,6,5.3,1,1,0,0,100.0,115,115,10,5.2,0,1,2,0,40.0,44,3,3.4,0,1,2,2,2,2
Davon Hamilton,28072,DI,JAX,15,0,15,3,19,0,1,9,0,50.4,121,11,5.0,1,2,1,1,98.5,268,272,25,5.2,0,2,8,0,49.6,119,10,4.2,0,0,0,3,4,2
Aidan Hutchinson,82330,ED,DET,15,1,11,5,30,0,2,23,1,61.3,298,29,5.5,4,6,3,1,95.9,486,507,43,5.2,1,3,7,0,38.7,188,14,4.8,4,4,1,8,10,4
Kentavius Street,48404,DI,NO,15,1,20,3,9,1,1,5,0,57.3,125,11,6.4,5,5,1,1,98.7,236,239,18,5.1,0,2,3,1,42.7,93,6,3.8,1,0,0,6,5,1
Carlos Dunlap,5579,ED,KC,15,0,16,4,16,0,3,12,2,74.9,218,20,5.7,5,7,3,2,94.8,292,308,25,5.1,0,1,4,0,25.1,73,5,3.4,0,1,2,5,8,5
Sheldon Rankins,10646,DI,NYJ,13,1,22,4,15,1,3,13,2,86.2,218,17,4.1,1,2,1,3,97.8,265,271,23,5.1,0,0,2,1,13.8,35,4,8.6,2,2,0,4,5,1
David Onyemata,10754,DI,NO,15,0,20,5,20,0,1,4,1,47.0,126,7,3.6,2,2,0,2,99.7,325,326,29,5.1,0,4,11,0,53.0,142,17,6.7,2,2,1,4,6,3
Kyle Van Noy,8675,ED,LAC,15,3,27,5,18,1,1,9,0,52.8,150,12,4.7,2,2,1,0,75.4,285,378,26,5.1,2,4,9,0,47.2,134,14,5.6,1,1,1,3,3,2
Travon Walker,98940,ED,JAX,13,1,15,4,23,1,3,12,1,50.0,172,17,5.5,2,2,0,2,84.5,344,407,31,5.1,0,1,11,1,50.0,172,14,4.7,2,3,2,4,5,2
Carl Granderson,48500,ED,NO,13,0,20,1,10,0,0,0,0,1.5,3,0,0.0,0,0,0,1,96.7,206,213,16,5.1,0,1,10,1,98.5,203,16,5.2,5,7,7,5,7,7
Sam Okuayinonu,101425,ED,TEN,5,0,31,0,3,0,0,3,0,71.4,35,4,7.1,1,0,0,0,94.2,49,52,4,5.1,0,0,0,0,28.6,14,0,0.0,0,0,0,1,0,0
Robert Quinn,6166,ED,PHI,12,0,24,4,15,0,0,0,0,1.0,2,0,0.0,0,0,0,0,97.1,204,210,20,5.1,0,4,15,0,99.0,202,20,5.2,1,2,1,1,2,1
LaDarius Hamilton,50192,ED,GB,3,0,12,0,1,0,0,1,0,30.0,3,1,16.7,0,0,0,0,100.0,10,10,1,5.0,0,0,0,0,70.0,7,0,0.0,0,0,0,0,0,0
