player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Marco Wilson,55592,CB,ARZ,12,25,12.5,5.0,1,0,87.5,2,5,1,7,0,0.28
K'Waun Williams,9332,CB,DEN,9,246,12.3,8.2,10,1,64.3,20,30,0,148,101,0.6
Roger McCreary,83176,CB,TEN,11,245,12.3,8.2,31,0,95.3,20,30,1,191,66,0.78
Antoine Winfield Jr.,42475,S,TB,9,183,12.2,8.7,30,1,86.8,15,21,1,147,69,0.8
Malcolm Rodriguez,60731,LB,DET,6,12,12.0,12.0,11,0,158.3,1,1,1,20,1,1.67
Jonathan Owens,66930,S,HST,9,36,12.0,7.2,13,0,88.8,3,5,0,44,9,1.22
Marcus Williams,11797,S,BLT,5,24,12.0,12.0,3,0,102.1,2,2,0,17,22,0.71
Will Parks,10853,S,NYJ,4,12,12.0,12.0,22,0,100.0,1,1,0,8,8,0.67
David Long Jr.,27377,CB,LA,6,12,12.0,6.0,26,0,77.1,1,2,0,16,22,1.33
Jalen Davis,50431,CB,CIN,1,24,12.0,6.0,7,0,67.7,2,4,0,23,14,0.96
Desmond King II,11906,CB,HST,11,179,11.9,8.5,13,1,76.3,15,21,0,174,110,0.97
Josh Jones,11816,S,SEA,10,35,11.7,5.8,29,0,118.8,3,6,1,51,40,1.46
Rayshawn Jenkins,11868,S,JAX,11,81,11.6,9.0,15,0,97.7,7,9,0,67,45,0.83
Jaquan Johnson,51433,S,BUF,5,23,11.5,7.7,4,0,77.1,2,3,0,14,7,0.61
Xavier McKinney,55775,S,NYG,8,23,11.5,3.8,21,0,42.4,2,6,0,15,9,0.65
Rodney McLeod,7271,S,IND,11,57,11.4,7.1,14,0,70.3,5,8,0,31,16,0.54
Andrew Adams,11240,S,TEN,8,45,11.3,6.4,31,1,68.8,4,7,1,32,11,0.71
Roquan Smith,50892,LB,BLT,11,34,11.3,6.8,3,1,31.7,3,5,0,23,31,0.68
Geno Stone,55967,S,BLT,9,34,11.3,8.5,3,0,92.7,3,4,0,27,12,0.79
Vonn Bell,10695,S,CIN,10,45,11.3,6.4,7,0,75.3,4,7,0,43,13,0.96
Avonte Maddox,50543,CB,PHI,6,200,11.1,8.7,24,1,85.9,18,23,0,206,164,1.03
Kareem Jackson,5545,S,DEN,10,55,11.0,6.9,10,0,114.6,5,8,2,40,7,0.73
Mike Hilton,10898,CB,CIN,10,264,11.0,7.3,7,0,94.8,24,36,1,241,97,0.91
Benjamin St-Juste,56061,CB,WAS,11,110,11.0,6.5,32,0,103.3,10,17,1,133,60,1.21
Keith Taylor,56289,CB,CAR,5,11,11.0,5.5,5,0,75.0,1,2,0,15,0,1.36
Grant Delpit,60685,S,CLV,10,44,11.0,5.5,8,0,117.7,4,8,1,66,28,1.5
Trent McDuffie,72191,CB,KC,3,11,11.0,5.5,16,0,60.4,1,2,0,8,13,0.73
E.J. Speed,94351,LB,IND,5,11,11.0,11.0,14,0,118.8,1,1,0,21,17,1.91
Julian Love,51081,S,NYG,11,65,10.8,5.9,21,1,72.3,6,11,2,61,27,0.94
Zaire Franklin,49834,LB,IND,10,43,10.8,8.6,14,0,112.5,4,5,0,55,25,1.28
Adoree' Jackson,11773,CB,NYG,8,32,10.7,4.6,21,0,50.3,3,7,0,11,10,0.34
Malik Hooker,11770,S,DAL,9,32,10.7,10.7,9,0,88.9,3,3,0,16,7,0.5
Darious Williams,55724,CB,JAX,11,286,10.6,6.5,15,0,92.9,27,44,1,339,188,1.19
Leighton Vander Esch,50950,LB,DAL,8,21,10.5,10.5,9,0,100.0,2,2,0,16,18,0.76
Alohi Gilman,41662,S,LAC,8,21,10.5,7.0,27,1,70.1,2,3,0,42,20,2.0
Dre Greenlaw,51503,LB,SF,10,41,10.3,6.8,28,0,78.5,4,6,0,30,19,0.73
Darnell Savage,34247,S,GB,12,93,10.3,6.2,12,0,106.3,9,15,1,115,40,1.24
Jevon Holland,83873,S,MIA,11,51,10.2,10.2,17,0,94.2,5,5,0,33,24,0.65
Troy Hill,9881,CB,LA,7,133,10.2,6.3,26,1,86.8,13,21,2,107,72,0.8
Jourdan Lewis,11846,CB,DAL,6,172,10.1,7.8,9,1,90.3,17,22,1,146,122,0.85
Marlon Humphrey,11771,CB,BLT,11,121,10.1,7.1,3,1,60.4,12,17,0,98,41,0.81
Nik Needham,50356,CB,MIA,6,30,10.0,7.5,17,0,114.6,3,4,0,48,26,1.6
Mike Edwards,51282,S,TB,10,50,10.0,7.1,30,0,134.5,5,7,2,56,19,1.12
Shaquill Griffin,11845,CB,JAX,5,20,10.0,6.7,15,0,78.5,2,3,0,15,11,0.75
Deion Jones,10686,LB,CLV,4,10,10.0,10.0,8,0,118.8,1,1,0,18,1,1.8
Logan Ryan,7864,S,TB,3,10,10.0,5.0,30,0,79.2,1,2,0,17,1,1.7
Dicaprio Bootle,42913,CB,KC,1,10,10.0,3.3,16,0,57.6,1,3,0,20,3,2.0
Dane Belton,101398,S,NYG,7,40,10.0,8.0,21,0,98.3,4,5,0,38,17,0.95
Nick Scott,49012,S,LA,11,50,10.0,5.6,26,0,104.4,5,9,1,41,10,0.82
Darren Hall,60742,CB,ATL,5,10,10.0,10.0,2,0,104.2,1,1,0,9,0,0.9
Jeremiah Owusu-Koramoah,58089,LB,CLV,6,20,10.0,4.0,8,0,90.0,2,5,1,18,2,0.9
Jalen Mills,10867,CB,NE,10,30,10.0,5.0,19,0,106.9,3,6,1,34,38,1.13
Eric Kendricks,9478,LB,MIN,10,40,10.0,6.7,18,0,90.3,4,6,0,47,18,1.18
Jack Jones,29050,CB,NE,10,30,10.0,5.0,19,0,77.8,3,6,0,49,20,1.63
Bryce Callahan,10000,CB,LAC,11,261,10.0,7.5,27,2,91.5,26,35,2,271,137,1.04
Myles Bryant,43336,CB,NE,12,218,9.9,7.3,19,1,102.9,22,30,2,226,68,1.04
Jordan Hicks,9517,LB,MIN,11,69,9.9,5.8,18,0,81.6,7,12,0,89,55,1.29
Lavonte David,7060,LB,TB,9,39,9.8,7.8,30,0,132.9,4,5,1,32,17,0.82
Kenny Moore II,51596,CB,IND,12,310,9.7,7.2,14,0,121.1,32,43,3,348,196,1.12
Darnay Holmes,56247,CB,NYG,11,201,9.6,5.4,21,0,74.2,21,37,0,220,124,1.09
Jalen Ramsey,10639,CB,LA,11,95,9.5,5.6,26,0,104.0,10,17,1,136,61,1.43
Caden Sterns,76725,S,DEN,5,19,9.5,9.5,10,0,118.8,2,2,0,28,15,1.47
Greg Newsome II,83341,CB,CLV,9,170,9.4,7.7,8,0,107.6,18,22,1,136,117,0.8
Danny Johnson,49379,CB,WAS,2,28,9.3,5.6,32,1,37.5,3,5,0,30,8,1.07
Fabian Moreau,11836,CB,NYG,9,28,9.3,4.0,21,0,96.4,3,7,1,32,1,1.14
Bobby McCain,9578,S,WAS,12,139,9.3,8.2,32,0,86.8,15,17,0,82,61,0.59
Justin Bethel,7654,CB,MIA,2,46,9.2,5.8,17,1,30.2,5,8,0,30,16,0.65
Trevon Moehrig,77847,S,LV,9,46,9.2,9.2,23,0,142.1,5,5,1,43,14,0.93
Amik Robertson,55619,CB,LV,9,136,9.1,6.5,23,1,115.2,15,21,2,210,96,1.54
Keion Crossen,49454,CB,MIA,5,9,9.0,9.0,17,0,116.7,1,1,0,12,8,1.33
Derek Stingley Jr.,98253,CB,HST,5,9,9.0,4.5,13,0,70.8,1,2,0,13,5,1.44
Zaven Collins,77190,LB,ARZ,10,27,9.0,6.8,1,0,83.3,3,4,0,18,24,0.67
Andre Cisco,76641,S,JAX,8,27,9.0,9.0,15,0,143.8,3,3,1,27,12,1.0
Noah Igbinoghene,61155,CB,MIA,3,9,9.0,3.0,17,0,59.0,1,3,0,21,17,2.33
Jayron Kearse,10878,S,DAL,8,45,9.0,7.5,9,0,104.2,5,6,0,54,31,1.2
Mike Ford,50535,CB,ATL,6,36,9.0,7.2,2,0,106.7,4,5,0,48,44,1.33
Taron Johnson,49511,CB,BUF,12,363,8.9,6.1,4,1,105.6,41,60,4,451,241,1.24
Arthur Maulet,12224,CB,PIT,11,223,8.9,6.6,25,0,119.7,25,34,1,380,173,1.7
Byron Murphy Jr.,44027,CB,ARZ,9,105,8.8,6.2,1,0,128.8,12,17,2,117,64,1.11
Robert Spillane,50918,LB,PIT,10,35,8.8,5.0,25,0,69.9,4,7,0,34,3,0.97
Nicholas Morrow,51674,LB,CHI,12,35,8.8,7.0,6,0,101.7,4,5,0,42,18,1.2
Tashaun Gipson Sr.,7288,S,SF,11,44,8.8,5.5,28,0,95.3,5,8,0,79,26,1.8
Jalen Pitre,57737,S,HST,10,53,8.8,7.6,13,1,103.0,6,7,1,61,29,1.15
Rasul Douglas,11854,CB,GB,9,113,8.7,6.6,12,1,75.6,13,17,0,140,42,1.24
Anthony Brown,10823,CB,DAL,9,26,8.7,5.2,9,0,108.3,3,5,1,20,6,0.77
Isaiah Simmons,42451,CB,ARZ,12,173,8.7,6.7,1,0,96.5,20,26,0,189,125,1.09
A.J. Green,50394,CB,CLV,5,26,8.7,8.7,8,0,135.4,3,3,1,21,12,0.81
Marcus Epps,51391,S,PHI,11,43,8.6,7.2,24,0,158.3,5,6,1,104,84,2.42
Juan Thornhill,50426,S,KC,10,68,8.5,7.6,16,0,141.2,8,9,1,81,26,1.19
Talanoa Hufanga,83903,S,SF,11,50,8.3,5.0,28,1,27.1,6,10,0,35,14,0.7
Chandon Sullivan,49349,CB,MIN,11,349,8.1,6.6,18,0,115.9,43,53,1,546,361,1.56
Justin Reid,49048,S,KC,10,81,8.1,6.2,16,0,132.1,10,13,2,82,24,1.01
Akeem Davis-Gaither,34788,LB,CIN,5,8,8.0,4.0,7,0,56.3,1,2,0,4,1,0.5
Lonnie Johnson Jr.,55615,S,TEN,4,8,8.0,8.0,31,0,87.5,1,1,0,5,4,0.63
Cameron Sutton,11850,CB,PIT,9,88,8.0,4.9,25,1,76.2,11,18,1,120,45,1.36
T.J. Edwards,30737,LB,PHI,9,16,8.0,4.0,24,0,77.1,2,4,0,32,18,2.0
Trevon Diggs,41817,CB,DAL,8,32,8.0,4.6,9,0,141.4,4,7,1,89,78,2.78
Tremaine Edmunds,50905,LB,BUF,6,8,8.0,8.0,4,0,104.2,1,1,0,9,5,1.13
Darius Harris,29188,LB,KC,7,16,8.0,3.2,16,0,49.6,2,5,0,17,20,1.06
Brandon Stephens,45644,CB,BLT,6,56,8.0,4.7,3,0,91.0,7,12,1,36,25,0.64
Devin Bush,27375,LB,PIT,11,40,8.0,6.7,25,0,102.8,5,6,0,52,35,1.3
Lorenzo Carter,50126,ED,ATL,7,8,8.0,8.0,2,0,87.5,1,1,0,5,0,0.63
Cam Taylor-Britt,83326,CB,CIN,4,8,8.0,8.0,7,0,104.2,1,1,0,9,-1,1.13
Jordan Whitehead,49196,S,NYJ,11,48,8.0,8.0,22,0,118.8,6,6,0,96,38,2.0
Michael Carter II,60644,CB,NYJ,11,284,7.9,5.9,22,2,85.2,36,48,1,357,269,1.26
Josiah Scott,55634,CB,PHI,6,135,7.9,5.9,24,1,112.6,17,23,2,210,109,1.56
Kwon Alexander,9557,LB,NYJ,10,70,7.8,4.4,22,0,67.7,9,16,0,72,46,1.03
Dee Alford,110542,CB,ATL,11,124,7.8,5.6,2,0,115.3,16,22,1,198,67,1.6
Adrian Amos,9575,S,GB,11,69,7.7,5.8,12,0,129.9,9,12,2,74,33,1.07
Tre Norwood,55675,S,PIT,6,23,7.7,4.6,25,0,64.6,3,5,0,15,13,0.65
Jerome Baker,28091,LB,MIA,10,23,7.7,7.7,17,0,104.2,3,3,0,27,18,1.17
Jeremy Chinn,43179,S,CAR,6,53,7.6,5.9,5,0,91.7,7,9,0,54,33,1.02
L'Jarius Sneed,40588,CB,KC,11,260,7.6,6.0,16,1,98.9,34,43,2,273,178,1.05
Tyson Campbell,83217,CB,JAX,9,15,7.5,7.5,15,0,91.7,2,2,0,12,11,0.8
Matt Milano,11918,LB,BUF,10,60,7.5,6.7,4,1,54.9,8,9,0,60,41,1.0
Justin Simmons,10732,S,DEN,5,30,7.5,7.5,10,0,88.5,4,4,0,21,11,0.7
Joshua Kalu,51203,S,TEN,8,73,7.3,6.1,31,0,87.8,10,12,0,61,47,0.84
Sean Murphy-Bunting,25891,CB,TB,5,73,7.3,6.1,30,0,139.2,10,12,2,95,36,1.3
Divine Deablo,42208,LB,LV,7,22,7.3,7.3,23,0,104.2,3,3,0,27,5,1.23
Sione Takitaki,12666,LB,CLV,10,22,7.3,5.5,8,0,108.3,3,4,0,42,28,1.91
Harrison Smith,7641,S,MIN,10,66,7.3,5.1,18,1,108.3,9,13,2,128,51,1.94
Coby Bryant,55088,CB,SEA,11,281,7.2,5.6,29,0,114.8,39,50,2,418,177,1.49
Kader Kohou,156070,CB,MIA,9,194,7.2,5.0,17,0,87.3,27,39,0,258,113,1.33
Drue Tranquill,51276,LB,LAC,10,36,7.2,7.2,27,0,98.3,5,5,0,38,37,1.06
Damar Hamlin,43291,S,BUF,11,65,7.2,7.2,4,0,91.7,9,9,0,54,30,0.83
Taylor Rapp,51172,S,LA,10,78,7.1,6.0,26,0,118.3,11,13,1,81,57,1.04
Dylan Cole,24304,LB,TEN,7,14,7.0,3.5,31,0,57.3,2,4,0,13,6,0.93
Daxton Hill,97519,S,CIN,5,7,7.0,7.0,7,0,79.2,1,1,0,2,0,0.29
Damone Clark,81282,LB,DAL,3,7,7.0,7.0,9,0,104.2,1,1,0,9,9,1.29
George Odum,31342,S,SF,2,7,7.0,7.0,28,0,116.7,1,1,0,12,7,1.71
Cameron Lewis,49395,S,BUF,3,7,7.0,7.0,4,0,118.8,1,1,0,21,1,3.0
Dean Marlowe,9966,S,BUF,3,7,7.0,3.5,4,0,56.3,1,2,0,3,0,0.43
Alex Highsmith,43507,ED,PIT,4,7,7.0,7.0,25,0,79.2,1,1,0,2,7,0.29
Will Harris,51336,CB,DET,8,153,7.0,5.7,11,0,127.9,22,27,2,237,59,1.55
Kyle Hamilton,102684,S,BLT,10,70,7.0,5.0,3,0,80.7,10,14,0,64,36,0.91
Jaylon Jones,49374,CB,CHI,3,21,7.0,7.0,6,0,118.8,3,3,0,55,33,2.62
Cody Barton,50727,LB,SEA,10,21,7.0,5.3,29,0,80.2,3,4,0,15,9,0.71
Myles Hartsfield,49159,S,CAR,10,183,6.8,5.4,5,0,115.7,27,34,2,240,144,1.31
Jalen Thompson,49116,S,ARZ,12,61,6.8,4.7,1,0,111.4,9,13,1,81,42,1.33
Foyesade Oluokun,24904,LB,JAX,8,27,6.8,5.4,15,0,100.0,4,5,0,40,36,1.48
Justin Coleman,9892,CB,SEA,1,34,6.8,4.9,29,0,92.6,5,7,0,52,34,1.53
Samuel Womack,65771,CB,SF,4,34,6.8,3.8,28,0,62.7,5,9,0,31,24,0.91
Jamin Davis,57905,LB,WAS,12,34,6.8,5.7,32,0,104.2,5,6,0,54,33,1.59
Mike Hughes,34057,CB,DET,6,101,6.7,5.6,11,0,133.6,15,18,1,209,81,2.07
Nate Hobbs,55948,CB,LV,5,59,6.6,4.5,23,0,97.9,9,13,0,119,62,2.02
Grant Haley,50473,CB,LA,3,46,6.6,5.1,26,0,105.1,7,9,0,83,85,1.8
Rudy Ford,11963,S,GB,5,26,6.5,4.3,12,1,38.9,4,6,0,30,11,1.15
Marcus Peters,9451,CB,BLT,8,13,6.5,6.5,3,0,118.8,2,2,0,43,23,3.31
Tre Flowers,49059,CB,CIN,9,39,6.5,4.9,7,0,114.6,6,8,0,96,44,2.46
C.J. Mosley,8652,LB,NYJ,6,13,6.5,6.5,22,0,112.5,2,2,0,22,29,1.69
Rock Ya-Sin,49564,CB,LV,9,26,6.5,5.2,23,0,103.3,4,5,0,44,19,1.69
Anthony Barr,8644,LB,DAL,5,13,6.5,4.3,9,0,74.3,2,3,0,12,0,0.92
Joe Thomas,9272,LB,CHI,7,13,6.5,6.5,6,0,118.8,2,2,0,37,1,2.85
Sam Webb,134606,CB,LV,5,32,6.4,4.6,23,0,106.3,5,7,0,75,30,2.34
Damarion Williams,100904,CB,BLT,9,135,6.4,4.8,3,0,139.1,21,28,3,261,105,1.93
Azeez Al-Shaair,49792,LB,SF,6,19,6.3,6.3,28,0,118.1,3,3,0,37,20,1.95
Lamarcus Joyner,8676,S,NYJ,11,38,6.3,5.4,22,0,143.2,6,7,1,62,40,1.63
Brandin Echols,98900,S,NYJ,7,19,6.3,3.8,22,0,131.7,3,5,1,48,4,2.53
Carlton Davis,49335,CB,TB,8,19,6.3,3.2,30,0,64.6,3,6,0,30,35,1.58
Dee Delaney,31078,S,TB,4,25,6.3,6.3,30,0,109.4,4,4,0,41,30,1.64
Chris Harris Jr.,6457,CB,NO,8,164,6.3,5.1,20,0,116.4,26,32,1,302,132,1.84
Keisean Nixon,56167,CB,GB,8,100,6.3,5.0,12,0,101.9,16,20,0,169,95,1.69
AJ Parker,55983,CB,DET,3,49,6.1,4.9,11,0,152.1,8,10,1,130,39,2.65
Kyler Gordon,83451,CB,CHI,11,218,6.1,5.6,6,1,117.1,36,39,2,412,212,1.89
