player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyler Boyd,10689,WR,CIN,4,19,0,7,0,,0,,,0,0,,0,0,0,78.7,70.2,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,12.5,1,64.7,40.0,2,5,0.0,0,7,0,84.1,62.8,3,56,0.7,1,140,11,92.9,130,85.0,17,89.5,1,200,80,7.3,18.2,1.54
Jakobi Meyers,47468,WR,NE,2,19,0,19,0,,0,,,0,0,,0,0,0,,50.2,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,13.3,0,58.3,66.7,2,3,12.5,1,5,0,61.3,75.4,0,27,0.0,0,41,7,97.6,40,87.2,12,63.2,0,105,19,2.7,15.0,2.63
Marvin Jones Jr.,7158,WR,JAX,4,19,0,15,0,,0,,,0,0,,0,0,0,,43.5,0,0,0.0,0,14,0,100.0,14,0.0,0,0.0,0,0,0,,,0.0,12.0,0,100.0,,0,0,0.0,0,1,0,29.0,54.4,0,13,0.0,0,19,1,89.5,17,118.8,1,5.3,0,13,1,1.0,13.0,0.76
Irv Smith Jr.,42060,TE,MIN,4,19,0,18,0,-3.0,0,100.0,,0,0,0.0,0,1,0,78.7,79.3,0,15,0.0,0,8,1,100.0,8,118.8,1,5.3,0,15,18,18.0,15.0,1.88,6.0,0,0.0,0.0,0,1,,0,0,0,47.7,56.4,0,0,0.0,0,27,0,96.3,26,39.6,1,5.3,0,0,0,,,0.0
Hayden Hurst,47294,TE,CIN,4,19,0,7,0,-0.5,0,100.0,,0,0,0.0,0,1,0,84.5,89.9,0,8,16.7,1,6,2,83.3,5,85.4,2,10.5,0,9,10,5.0,4.5,1.8,-0.5,0,100.0,,0,0,0.0,0,1,0,70.7,60.6,0,8,5.3,2,38,2,92.1,35,95.8,2,10.5,0,14,15,7.5,7.0,0.4
Dallas Goedert,47272,TE,PHI,4,19,0,24,0,-3.0,1,100.0,,0,0,0.0,0,3,0,91.4,94.8,0,26,5.0,1,20,8,80.0,16,158.3,8,42.1,1,104,128,16.0,13.0,6.5,5.8,1,80.0,,0,0,20.0,1,2,0,54.9,62.4,0,24,0.0,0,67,4,89.6,60,109.2,5,26.3,0,51,29,7.3,12.8,0.85
Cameron Brate,9207,TE,TB,4,18,0,30,0,,0,,,0,0,,0,0,0,,40.3,0,0,9.1,1,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0,6.5,0,58.3,0.0,0,2,22.2,2,5,0,31.7,56.5,0,11,0.0,0,62,7,90.3,56,70.5,12,66.7,0,57,19,2.7,8.1,1.02
Nelson Agholor,9453,WR,NE,4,18,0,19,0,-3.0,0,100.0,,0,0,0.0,0,1,0,84.5,69.4,0,17,0.0,0,11,2,90.9,10,97.9,2,11.1,0,15,21,10.5,7.5,1.5,9.8,1,83.3,,0,0,16.7,1,3,0,59.2,62.6,0,25,4.9,2,41,5,90.2,37,110.4,6,33.3,0,63,17,3.4,12.6,1.7
D.J. Chark Jr.,47702,WR,DET,3,18,0,11,0,,0,,,0,0,,0,0,0,,45.8,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,44.0,0,0.0,,0,0,,0,0,0,28.7,53.0,1,0,0.0,0,23,0,100.0,23,0.0,2,11.1,0,0,0,,,0.0
Brandon Aiyuk,84109,WR,SF,3,17,0,28,0,2.0,0,100.0,,0,0,0.0,0,1,0,78.7,63.5,0,3,0.0,0,14,1,100.0,14,118.8,1,5.9,1,3,1,1.0,3.0,0.21,8.8,1,80.0,,0,0,0.0,0,2,0,64.4,65.1,0,25,0.0,0,26,4,92.3,24,117.5,5,29.4,0,61,27,6.8,15.3,2.54
Dawson Knox,35883,TE,BUF,4,17,0,4,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,40.8,0,5,0.0,0,11,1,100.0,11,87.5,1,5.9,0,5,8,8.0,5.0,0.45,10.1,0,62.5,50.0,1,2,0.0,0,4,0,84.5,60.4,0,20,3.2,2,63,5,92.1,58,85.4,8,47.1,0,60,13,2.6,12.0,1.03
Michael Carter,57337,HB,NYJ,4,17,0,22,0,-5.0,3,100.0,,0,0,0.0,0,2,0,90.6,98.4,0,8,11.1,1,9,5,66.7,6,85.0,5,29.4,0,22,47,9.4,4.4,3.67,-4.0,1,100.0,,0,0,0.0,0,1,0,55.6,54.7,0,8,0.0,0,6,1,83.3,5,100.0,1,5.9,0,8,12,12.0,8.0,1.6
Saquon Barkley,45791,HB,NYG,4,17,0,21,0,-5.6,3,100.0,,0,0,0.0,0,1,0,91.4,99.9,0,21,0.0,0,10,5,70.0,7,117.5,5,29.4,0,61,89,17.8,12.2,8.71,4.0,1,50.0,0.0,0,1,0.0,0,0,0,65.0,65.8,1,6,0.0,0,4,1,100.0,4,16.7,2,11.8,0,6,11,11.0,6.0,1.5
Juwan Johnson,28305,TE,NO,4,17,0,20,0,,0,,,0,0,,0,0,0,,45.0,0,0,0.0,0,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,12.4,0,63.6,50.0,1,2,0.0,0,4,0,81.7,64.0,1,26,0.0,0,67,7,94.0,63,57.4,11,64.7,0,106,15,2.1,15.1,1.68
Allen Lazard,48135,WR,GB,3,17,0,12,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,43.8,0,6,0.0,0,19,1,100.0,19,91.7,1,5.9,0,6,7,7.0,6.0,0.32,7.8,0,100.0,,0,0,0.0,0,5,0,82.2,79.2,0,26,0.0,0,36,6,94.4,34,145.8,6,35.3,2,57,11,1.8,9.5,1.68
Robert Woods,7822,WR,TEN,4,17,0,31,0,,0,,,0,0,,0,0,0,78.7,69.7,0,0,0.0,0,11,0,72.7,8,0.0,0,0.0,0,0,0,,,0.0,9.4,0,80.0,100.0,1,1,0.0,0,3,0,81.7,63.6,0,16,0.0,0,32,4,93.8,30,138.8,5,29.4,1,39,17,4.3,9.8,1.3
Treylon Burks,99218,WR,TEN,4,16,0,31,0,3.0,0,100.0,,0,0,0.0,0,1,0,78.7,71.6,0,16,0.0,0,10,1,90.0,9,118.8,1,6.3,0,16,13,13.0,16.0,1.78,10.7,0,33.3,,0,0,0.0,0,1,0,50.1,62.5,0,20,0.0,0,16,1,93.8,15,57.6,3,18.8,0,20,11,11.0,20.0,1.33
DeVante Parker,9447,WR,NE,4,16,0,19,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,47.6,0,-1,0.0,0,13,1,92.3,12,79.2,1,6.3,0,-1,0,0.0,-1.0,-0.08,26.0,0,50.0,,0,0,0.0,0,1,0,77.3,62.3,1,40,0.0,0,13,1,92.3,12,56.3,2,12.5,0,40,20,20.0,40.0,3.33
Evan Engram,11778,TE,JAX,4,16,0,15,0,,0,,,0,0,,0,0,0,,41.6,0,0,7.7,1,13,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0,7.0,0,75.0,100.0,1,1,0.0,0,0,0,83.6,53.5,0,7,0.0,0,53,3,96.2,51,80.2,4,25.0,0,15,3,1.0,5.0,0.29
James Conner,11860,HB,ARZ,4,16,0,1,0,-3.4,1,85.7,,0,0,0.0,0,1,0,90.9,82.0,0,21,6.3,1,16,6,93.8,15,97.0,7,43.8,0,51,70,11.7,8.5,3.4,0.0,1,100.0,,0,0,0.0,0,0,0,74.2,61.3,0,7,0.0,0,14,3,100.0,14,87.5,3,18.8,0,15,15,5.0,5.0,1.07
Antonio Gibson,78050,HB,WAS,4,16,0,32,0,-4.0,0,33.3,0.0,0,1,50.0,1,0,0,24.2,53.8,1,11,33.3,4,12,1,58.3,7,5.6,3,18.8,0,11,12,12.0,11.0,1.57,,0,,,0,0,,0,0,0,71.5,82.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Aaron Jones,11937,HB,GB,4,16,0,12,0,-3.2,2,100.0,,0,0,0.0,0,2,0,90.6,94.8,0,15,5.6,1,18,5,94.4,17,135.4,5,31.3,1,35,51,10.2,7.0,2.06,-3.3,0,66.7,,0,0,0.0,0,1,0,82.7,50.9,0,8,0.0,0,11,2,100.0,11,113.9,3,18.8,1,12,21,10.5,6.0,1.09
K.J. Osborn,23503,WR,MIN,4,16,0,18,0,,0,,,0,0,,0,0,0,,44.5,0,0,0.0,0,14,0,100.0,14,0.0,0,0.0,0,0,0,,,0.0,10.6,0,71.4,,0,0,0.0,0,4,0,81.7,59.2,0,28,0.0,0,90,5,93.3,84,135.1,7,43.8,1,57,14,2.8,11.4,0.68
Ashton Dulin,91479,WR,IND,4,15,0,14,0,,0,,,0,0,,0,0,0,,47.5,0,0,0.0,0,4,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,12.0,0,33.3,,0,0,0.0,0,1,0,83.2,82.2,1,10,0.0,0,25,1,96.0,24,4.2,3,20.0,0,10,3,3.0,10.0,0.42
Robert Tonyan,12193,TE,GB,4,15,0,12,0,-1.3,0,100.0,,0,0,0.0,0,0,0,88.7,66.0,0,9,0.0,0,14,3,100.0,14,90.3,3,20.0,0,17,21,7.0,5.7,1.21,5.4,0,60.0,0.0,0,1,0.0,0,1,0,81.7,56.0,1,9,0.0,0,44,3,95.5,42,28.3,5,33.3,0,19,22,7.3,6.3,0.45
Dalton Schultz,47304,TE,DAL,3,15,0,9,0,-5.0,0,50.0,,0,0,50.0,1,0,0,24.1,46.3,0,9,0.0,0,8,1,100.0,8,62.5,2,13.3,0,9,12,12.0,9.0,1.13,7.2,0,60.0,0.0,0,1,0.0,0,0,1,39.8,47.6,0,13,0.0,0,46,3,91.3,42,81.3,5,33.3,0,35,5,1.7,11.7,0.83
Hunter Renfrow,47509,WR,LV,2,15,0,23,0,-1.7,1,100.0,,0,0,0.0,0,0,1,88.7,27.3,0,8,0.0,0,7,3,85.7,6,87.5,3,20.0,0,15,20,6.7,5.0,2.5,3.9,3,58.3,0.0,0,1,0.0,0,3,2,84.1,55.8,1,20,0.0,0,68,7,94.1,64,35.4,12,80.0,0,56,38,5.4,8.0,0.88
Darnell Mooney,48236,WR,CHI,4,15,0,6,0,-3.3,0,66.7,,0,0,33.3,1,0,0,25.7,34.3,0,8,0.0,0,17,2,100.0,17,70.1,3,20.0,0,4,10,5.0,2.0,0.24,10.4,0,57.1,,0,0,20.0,1,2,0,29.1,50.0,2,18,0.0,0,58,4,98.3,57,33.9,7,46.7,0,40,11,2.8,10.0,0.7
Gabriel Davis,55410,WR,BUF,3,14,0,4,0,,0,,,0,0,,0,0,0,,45.4,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,47.7,55.7,0,0,0.0,0,14,0,100.0,14,0.0,0,0.0,0,0,0,,,0.0
Rhamondre Stevenson,98689,HB,NE,4,14,0,19,0,-4.3,0,100.0,,0,0,0.0,0,0,0,90.6,78.6,0,7,0.0,0,12,4,91.7,11,85.4,4,28.6,0,18,35,8.8,4.5,1.64,-4.0,0,100.0,,0,0,0.0,0,0,0,84.1,70.1,0,5,0.0,0,3,1,66.7,2,87.5,1,7.1,0,5,9,9.0,5.0,2.5
Kylen Granson,40630,TE,IND,4,14,0,14,0,,0,,,0,0,,0,0,0,,43.1,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,6.2,0,60.0,100.0,1,1,25.0,1,0,0,54.8,56.8,0,7,0.0,0,37,3,100.0,37,67.1,5,35.7,0,18,8,2.7,6.0,0.49
DeAndre Carter,9859,WR,LAC,4,14,0,27,0,-5.0,0,100.0,,0,0,0.0,0,1,0,78.7,71.8,0,8,0.0,0,11,1,90.9,10,100.0,1,7.1,0,8,13,13.0,8.0,0.8,13.5,0,80.0,50.0,1,2,0.0,0,8,0,82.7,69.7,0,35,0.0,0,92,8,94.6,87,152.1,10,71.4,1,146,40,5.0,18.3,1.68
Clyde Edwards-Helaire,57279,HB,KC,4,14,0,16,0,-3.2,2,100.0,,0,0,0.0,0,4,0,90.6,99.9,0,16,0.0,0,9,5,100.0,9,148.8,5,35.7,1,51,67,13.4,10.2,5.67,,0,,,0,0,,0,0,0,66.7,67.1,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Harrison Bryant,26394,TE,CLV,4,14,0,8,0,,0,,,0,0,,0,0,0,,36.8,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0,11.8,3,50.0,0.0,0,3,20.0,1,2,0,29.5,49.5,0,30,0.0,0,33,4,97.0,32,71.4,8,57.1,0,53,13,3.3,13.3,1.66
Devin Duvernay,40006,WR,BLT,4,13,0,3,0,11.0,0,100.0,,0,0,0.0,0,1,0,84.5,77.6,0,21,0.0,0,7,2,100.0,7,118.8,2,15.4,0,29,7,3.5,14.5,4.14,6.3,0,100.0,100.0,1,1,0.0,0,2,0,85.7,78.8,0,12,0.0,0,27,4,96.3,26,135.4,4,30.8,1,28,12,3.0,7.0,1.08
Mecole Hardman,42683,WR,KC,4,13,0,16,0,-3.5,0,100.0,,0,0,0.0,0,0,0,84.5,51.4,0,4,0.0,0,10,2,100.0,10,79.2,2,15.4,0,6,13,6.5,3.0,0.6,10.9,0,50.0,,0,0,20.0,1,2,0,41.8,54.1,0,8,0.0,0,44,4,93.2,41,95.8,8,61.5,1,20,19,4.8,5.0,0.49
Bennett Skowronek,27948,WR,LA,3,13,0,26,0,,0,,,0,0,,0,0,0,,46.9,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,9.0,0,66.7,,0,0,0.0,0,1,0,78.0,51.9,0,12,0.0,0,50,2,100.0,50,79.9,3,23.1,0,16,11,5.5,8.0,0.32
Mo Alie-Cox,12078,TE,IND,4,13,0,14,0,,0,,,0,0,,0,0,0,,41.9,0,0,20.0,2,10,0,70.0,7,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,1,0,80.0,69.0,0,13,3.3,1,30,2,93.3,28,114.6,2,15.4,0,23,15,7.5,11.5,0.82
Josh Jacobs,45953,HB,LV,4,13,0,23,0,-4.3,0,100.0,,0,0,0.0,0,0,0,88.7,84.0,0,12,0.0,0,9,3,100.0,9,87.5,3,23.1,0,15,28,9.3,5.0,1.67,,0,,,0,0,,0,0,0,82.2,52.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Chris Godwin,11839,WR,TB,2,13,0,30,0,-2.0,0,100.0,,0,0,0.0,0,1,0,88.7,79.9,0,24,0.0,0,6,3,100.0,6,111.1,3,23.1,0,32,38,12.7,10.7,5.33,5.5,0,75.0,100.0,1,1,0.0,0,2,0,83.6,73.9,0,10,0.0,0,46,6,91.3,42,90.6,8,61.5,0,50,28,4.7,8.3,1.19
Scotty Miller,47481,WR,TB,2,13,0,30,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,52.0,0,0,0.0,0,6,1,100.0,6,79.2,1,7.7,0,0,4,4.0,0.0,0.0,9.7,0,66.7,0.0,0,1,0.0,0,1,0,75.6,54.8,0,11,0.0,0,12,2,100.0,12,72.9,3,23.1,0,11,4,2.0,5.5,0.92
Alec Pierce,78038,WR,IND,3,13,0,14,0,,0,,,0,0,,0,0,0,,46.1,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,33.5,70.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Jonathan Taylor,57488,HB,IND,4,13,0,14,0,-3.7,0,66.7,,0,0,0.0,0,0,0,88.7,81.3,1,4,0.0,0,8,2,75.0,6,30.6,3,23.1,0,7,13,6.5,3.5,1.17,,0,,,0,0,,0,0,0,65.6,56.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
