player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Derek Carr,8671,QB,LV,13,10.51,0,468,23,70.5,363,400,10.4,2.88,5,21,5.0,60.3,241,162,5.9,434,92.7,15,144,,,,,68.6,70.6,60.0,69.3,58.9,,64.2,,10,10,457,13.0,88.6,4.8,21,12,0,22,19,15,3.3,2965,7.4,71.0,307,340,9.3,2.71,5,17,4.8,59.7,203,127,6.9,366,78.2,15,117,,,,,63.1,67.5,57.0,66.5,,,61.6,,9,7,384,11.8,84.9,4.1,15,10,0,19,14,13,3.4,2275,6.7,76.1,88,94,9.6,3.12,1,4,3.8,70.2,66,38,1.5,102,21.8,1,32,,,,,85.7,70.6,81.1,69.1,57.7,,66.5,,1,3,112,15.8,105.9,5.9,6,2,0,4,6,3,2.7,842,9.0,0,90.6,32,34,-3.1,1.7,1,0,0.0,82.4,28,3,3.4,34,7.3,1,5,,,,,78.9,54.0,77.2,54.4,60.0,,,,0,0,39,0.0,95.1,0.0,0,0,0,1,1,1,2.6,152,4.5,2.27
Russell Wilson,7077,QB,DEN,12,-6.91,0,460,10,71.9,320,356,10.8,2.99,11,18,4.7,58.4,208,157,9.6,421,91.5,22,114,,,,,78.4,65.7,44.8,65.1,,,62.3,,2,6,455,27.4,82.5,10.2,43,22,1,22,9,12,2.6,2588,7.3,76.8,272,305,8.7,2.86,11,14,4.3,62.0,189,127,9.6,362,78.7,20,93,,,,,74.7,67.7,40.9,67.2,,,62.3,,2,4,390,27.6,87.6,9.7,35,22,1,19,9,8,2.1,2160,7.1,65.0,80,89,12.0,3.09,3,4,4.2,55.1,49,34,5.8,98,21.3,3,30,,,,,85.3,57.6,80.7,57.9,,,58.3,,0,2,105,23.5,76.3,8.2,8,1,0,6,2,4,3.8,646,7.3,0,96.9,32,38,-3.4,2.05,3,0,0.0,78.9,30,4,3.2,39,8.5,1,9,,,,,79.0,62.4,77.2,63.1,,,58.3,,0,0,40,0.0,108.1,0.0,0,1,0,3,2,0,0.0,218,5.7,0.18
Daniel Jones,39395,QB,NYG,13,14.11,0,459,21,78.9,304,342,7.7,3.14,5,5,1.4,64.6,221,200,7.9,426,92.8,19,143,,,,,53.9,69.7,20.9,66.5,57.7,,74.2,,5,4,456,19.5,92.2,9.2,39,45,5,23,12,16,3.5,2413,7.1,78.1,215,248,7.0,2.85,7,4,1.5,61.3,152,129,9.5,293,63.8,16,87,,,,,49.9,63.1,7.9,61.0,,,68.8,,5,3,309,20.9,84.0,9.2,27,18,5,16,6,12,3.9,1656,6.7,84.9,119,126,6.4,3.38,0,1,0.7,75.4,95,74,5.9,166,36.2,6,61,,,,,70.1,78.3,83.0,74.2,57.7,,75.8,,0,1,186,17.6,106.7,7.8,13,27,0,7,6,4,2.2,883,7.0,0,96.7,30,32,-3.2,1.75,2,0,0.0,81.3,26,3,10.3,33,7.2,3,5,,,,,78.9,68.0,77.1,67.3,,,,,0,0,39,33.3,83.1,3.0,1,0,0,0,0,0,0.0,126,3.9,0.33
Jalen Hurts,40291,QB,PHI,13,-6.7,0,457,24,76.2,298,329,10.2,3.07,8,16,4.6,64.4,212,141,6.6,397,86.9,15,147,,,,,65.6,89.0,47.5,84.1,,,84.6,,2,2,422,22.7,110.3,8.1,32,36,0,21,21,8,1.9,2824,8.6,80.2,243,259,8.1,2.77,6,13,4.8,70.3,182,93,6.7,307,67.2,13,103,,,,,58.5,86.9,42.2,82.6,,,82.3,,1,1,322,25.8,106.7,7.8,24,24,0,9,11,5,1.6,2083,8.0,77.5,111,129,8.3,3.1,3,3,2.1,63.6,82,52,4.7,150,32.8,4,56,,,,,88.5,80.2,82.4,76.4,,,76.4,,1,2,164,15.4,111.6,5.3,8,12,0,14,11,3,1.8,1070,8.3,0,96.4,56,59,-2.6,1.59,1,0,0.0,88.1,52,4,3.7,60,13.1,2,12,,,,,81.9,68.4,78.9,67.6,,,,,0,1,64,0.0,88.5,0.0,0,0,0,2,1,0,0.0,329,5.6,0.25
Aaron Rodgers,2241,QB,GB,13,0.76,0,456,12,69.7,310,340,11.2,2.95,3,27,7.4,58.8,200,118,7.4,372,81.6,16,114,,,,,74.6,76.8,73.4,74.7,,,66.8,,3,9,398,20.3,87.3,6.5,24,8,1,23,18,11,2.8,2416,7.1,75.3,291,312,8.0,2.54,4,22,6.7,64.1,200,92,8.7,338,74.1,19,99,,,,,83.5,74.3,72.4,72.2,,,66.8,,2,7,354,19.6,87.7,5.3,18,8,1,14,14,9,2.5,1993,6.4,74.3,101,111,9.2,2.91,0,5,4.1,64.9,72,28,4.0,118,25.9,3,38,,,,,61.5,75.4,81.6,74.0,,,,,1,2,131,21.4,105.3,5.1,6,0,0,9,8,2,1.5,871,7.8,0,95.1,82,83,-2.3,1.28,1,0,0.0,86.7,72,2,7.7,84,18.4,6,23,,,,,84.0,68.3,80.0,67.4,,,,,0,0,87,0.0,105.2,0.0,0,0,0,0,4,0,0.0,448,5.4,1.46
Kyler Murray,38334,QB,ARZ,11,7.62,0,443,1,73.5,298,327,9.3,2.79,9,9,2.6,63.0,206,115,5.9,377,85.1,13,116,,,,,50.9,66.5,88.0,62.7,,,71.8,,2,7,404,20.9,85.3,6.4,24,25,3,15,13,17,4.2,2069,6.3,76.1,289,317,6.4,2.55,9,6,1.8,65.0,206,92,6.4,357,80.6,14,100,,,,,48.5,62.4,87.8,59.7,,,66.3,,2,5,380,23.9,84.4,6.2,22,17,3,14,11,15,3.9,1759,5.5,80.9,68,73,10.3,2.86,0,3,3.9,72.6,53,28,3.6,86,19.4,2,28,,,,,52.3,78.4,80.3,72.7,,,81.3,,0,2,93,10.7,99.3,3.5,3,8,0,5,3,3,3.2,604,8.3,0,94.9,59,63,-3.5,1.59,0,0,0.0,84.1,53,5,5.4,66,14.9,3,12,,,,,42.6,66.1,79.2,65.5,,,,,0,0,69,20.0,91.4,1.5,1,0,0,4,1,1,1.4,294,4.7,2.72
Jacoby Brissett,10725,QB,CLV,12,3.4,0,416,8,72.4,308,334,10.8,2.94,4,18,5.0,61.7,206,127,7.6,378,90.9,17,125,,,,,56.0,82.4,59.3,75.3,,,91.4,,3,6,408,18.9,87.6,6.3,24,20,3,16,12,14,3.4,2377,7.1,73.5,275,294,9.4,2.7,4,14,4.5,63.3,186,104,7.9,326,78.4,16,102,,,,,49.6,79.7,56.6,72.6,,,91.5,,2,5,345,20.2,86.6,6.4,21,11,3,10,10,11,3.2,1943,6.6,79.7,64,75,10.1,3.61,1,4,4.6,66.7,50,33,2.0,90,21.6,1,38,,,,,85.1,79.1,80.7,75.4,,,73.2,,2,1,103,9.1,97.9,3.3,3,12,0,8,2,3,2.9,665,8.9,0,96.8,31,35,-3.1,2.49,1,0,0.0,85.7,30,10,0.0,38,9.1,0,15,,,,,79.0,66.5,77.2,65.0,,,63.5,,1,0,40,0.0,94.2,0.0,0,3,0,2,0,0,0.0,231,6.6,2.26
Davis Mills,52269,QB,HST,11,3.0,0,387,13,67.3,284,304,9.4,2.62,7,13,4.0,58.6,178,147,6.8,339,87.6,13,92,,,,,83.7,65.5,34.0,65.0,,,62.5,,7,12,360,19.0,74.2,8.3,28,7,1,5,11,8,2.2,2018,6.6,70.5,234,250,7.3,2.47,6,9,3.4,62.0,155,110,6.1,280,72.4,10,67,,,,,90.7,62.7,27.8,62.4,,,62.3,,5,12,293,20.0,67.6,7.9,22,7,1,4,7,6,2.0,1470,5.9,74.2,93,100,8.8,2.65,1,4,3.7,65.0,65,41,5.8,107,27.6,4,35,,,,,58.5,71.2,81.1,70.5,,,58.3,,2,0,116,14.6,105.0,5.6,6,1,0,4,4,2,1.7,849,8.5,0,100.0,43,46,-3.3,1.82,0,0,0.0,91.3,42,4,2.3,48,12.4,1,10,,,,,80.3,68.4,77.9,68.7,,,57.9,,0,0,49,0.0,93.9,0.0,0,1,0,3,0,0,0.0,301,6.5,2.61
Lamar Jackson,46416,QB,BLT,12,10.45,0,378,3,72.2,273,298,10.3,3.2,7,17,5.4,60.4,180,124,8.6,349,92.3,17,107,,,,,54.1,86.1,72.8,73.0,,,92.6,,3,7,368,21.0,88.3,7.4,26,25,1,14,15,8,2.2,2064,6.9,71.7,191,207,9.5,2.98,6,8,3.7,58.5,121,83,11.7,240,63.5,16,70,,,,,42.1,75.3,69.6,60.4,,,91.3,,1,5,254,22.9,83.1,7.9,19,14,1,8,10,8,3.1,1307,6.3,79.6,108,119,8.8,3.34,2,9,7.2,68.9,82,46,4.7,138,36.5,4,46,,,,,87.6,91.6,81.9,86.2,,,91.4,,2,2,145,17.4,104.8,5.8,8,11,0,7,7,1,0.7,935,7.9,0,100.0,26,28,-2.1,2.06,1,0,0.0,82.1,23,5,11.5,29,7.7,3,9,,,,,77.6,59.3,76.3,59.1,,,,,0,0,31,20.0,117.0,3.4,1,0,0,1,2,1,3.2,178,6.4,1.55
Tua Tagovailoa,60326,QB,MIA,11,1.65,0,372,17,74.0,308,328,10.8,2.57,3,16,4.7,64.3,211,92,7.5,355,95.4,17,142,,,,,66.2,87.1,69.2,86.5,58.9,,52.6,,2,5,371,18.5,107.7,4.8,17,9,1,14,21,13,3.5,2914,8.9,73.5,185,196,10.1,2.35,2,13,6.4,64.8,127,50,6.6,210,56.5,9,83,,,,,48.7,84.4,62.6,84.1,,,54.1,,2,2,218,20.0,121.2,4.8,10,4,1,6,19,8,3.7,1745,8.9,77.1,140,149,10.1,2.73,1,3,1.9,66.4,99,43,8.3,162,43.5,9,63,,,,,88.9,81.5,82.6,80.8,58.9,,55.1,,0,3,173,16.3,91.0,4.3,7,5,0,8,3,5,2.9,1259,8.4,0,94.1,17,17,-2.7,1.46,0,0,0.0,88.2,15,1,6.3,17,4.6,1,4,,,,,75.1,69.5,74.7,68.7,,,,,0,0,20,0.0,108.3,0.0,0,0,0,0,1,0,0.0,90,5.3,-0.45
