School,Abbrev,Conf,Rotowire,draftkings,dk_abbrev
DAVIDSON,DAV,Pioneer,Davidson,Davidson,DAV
DAYTON,DAY,Pioneer,Dayton,Dayton,DAY
DELAWARE,DEL,CAA,Delaware,Delaware,DEL
DELWARE ST,DSU,MEAC,Delaware State,Delaware State,DSU
DRAKE,DRKE,Pioneer,Drake,Drake,DRKE
DUKE,DUKE,ACC,Duke,Duke,DUKE
DUQUESNE,DUQ,NEC,Duquesne,Duquesne,DUQ
EASTERN ILLINOIS,EIU,OVC,Eastern Illinois,Eastern Illinois,EIU
EASTERN KENTUCKY,EKY,OVC,Eastern Kentucky,Eastern Kentucky,EKY
E MICHIGAN,EMU,MAC,Eastern Michigan,Eastern Michigan,EMU
EASTERN WASHINGTON,EWU,Big Sky,Eastern Washington,Eastern Washington,EWU
ECU,ECU,AAC,ECU,ECU,ECU
ELON,ELON,CAA,Elon,Elon,ELON
ETSU,ETSU,SoCon,ETSU,ETSU,ETSU
FAU,FAU,CUSA,FAU,FAU,FAU
FIU,FIU,CUSA,Florida International,Florida International,FIU
FLORIDA,UF,SEC,Florida,Florida,UF
FL A&M,FAMU,MEAC,Florida A&M,Florida A&M,FAMU
FLORIDA ST,FSU,ACC,Florida State,Florida State,FSU
FORDHAM,FOR,Patriot,Fordham,Fordham,FOR
FRESNO ST,FRES,MWC,Fresno State,Fresno State,FRES
FURMAN,FUR,SoCon,Furman,Furman,FUR
GARDNER-WEBB,WEBB,Big South,Gardner-Webb,Gardner-Webb,WEBB
GEORGETOWN,GTWN,Patriot,Georgetown,Georgetown,GTWN
GEORGIA,UGA,SEC,Georgia,Georgia,UGA
GA SOUTHERN,GASO,SBC,Georgia Southern,Georgia Southern,GASO
GA ST,GAST,SBC,Georgia State,Georgia State,GAST
GA TECH,GT,ACC,Georgia Tech,Georgia Tech,GT
GRAMBLING ST,GRAM,SWAC,Grambling State,Grambling State,GRAM
HAMPTON,HAMP,MEAC,Hampton,Hampton,HAMP
HARVARD,HARV,Ivy,Harvard,Harvard,HARV
HAWAII,HAW,MWC,Hawaii,Hawaii,HAW
HOLY CROSS,HC,Patriot,Holy Cross,Holy Cross,HC
HOUSTON,UH,AAC,Houston,Houston,UH
HOUSTON BAPTIST,HBU,Southland,Houston Baptist,Houston Baptist,HBU
HOWARD,HOW,MEAC,Howard,Howard,HOW
IDAHO,IDHO,SBC,Idaho,Idaho,IDHO
IDAHO ST,IDST,Big Sky,Idaho State,Idaho State,IDST
ILLINOIS,IL,B1G,Illinois,Illinois,IL
ILLINOIS ST,ILST,MVFC,Illinois State,Illinois State,ILST
INCARNATE WORD,IW,Southland,Incarnate Word,Incarnate Word,IW
INDIANA,IU,B1G,Indiana,Indiana,IU
INDIANA ST,INST,MVFC,Indiana State,Indiana State,INST
IOWA,IOWA,B1G,Iowa,Iowa,IOWA
IOWA STATE,ISU,B12,Iowa State,Iowa State,ISU
JACKSON ST,JKST,SWAC,Jackson State,Jackson State,JKST
JACKSONVILLE,JAC,Pioneer,Jacksonville,Jacksonville,JAC
JACKSONVILLE ST,JVST,OVC,Jacksonville State,Jacksonville State,JVST
JAMES MADISON,JMU,CAA,James Madison,James Madison,JMU
KANSAS,KU,B12,Kansas,Kansas,KU
KANSAS ST,KSU,B12,Kansas State,Kansas State,KSU
KENNESAW ST,KENN,Big South,Kennesaw State,Kennesaw State,KENN
KENT STATE,KENT,MAC,Kent State,Kent State,KENT
KENTUCKY,UK,SEC,Kentucky,Kentucky,UK
LAFAYETTE,LAF,Patriot,Lafayette,Lafayette,LAF
LAMAR,LAM,Southland,Lamar,Lamar,LAM
LEHIGH,LEH,Patriot,Lehigh,Lehigh,LEH
LIBERTY,LIB,Big South,Liberty,Liberty,LIB
LA LAFAYET,ULL,SBC,Louisiana-Lafayette,Louisiana-Lafayette,ULL
LA MONROE,ULM,SBC,Louisiana-Monroe,Louisiana-Monroe,ULM
LA TECH,LT,CUSA,Louisiana Tech,Louisiana Tech,LT
LOUISVILLE,LOU,ACC,Louisville,Louisville,LOU
LSU,LSU,SEC,LSU,LSU,LSU
MAINE,MNE,CAA,Maine,Maine,MNE
MARIST,MRST,Pioneer,Marist,Marist,MRST
MARSHALL,MRSH,CUSA,Marshall,Marshall,MRSHL
MARYLAND,UMD,B1G,Maryland,Maryland,UMD
MCNEESE ST,MCNS,Southland,Mcneese State,Mcneese State,MCNS
MEMPHIS,MEM,AAC,Memphis,Memphis,MEM
MERCER,MER,SoCon,Mercer,Mercer,MER
MIAMI FL,MIA,ACC,Miami,Miami FL,MIA
MIAMI OH,M-OH,MAC,Miami Oh,Miami Oh,M-OH
MICH STATE,MSU,B1G,Michigan State,Michigan State,MSU
MICHIGAN,MICH,B1G,Michigan,Michigan,MICH
MIDDLE TENNESSEE,MTSU,CUSA,Middle Tennessee,Middle Tennessee,MTSU
MINNESOTA,MINN,B1G,Minnesota,Minnesota,MINN
MISS ST,MSST,SEC,Mississippi State,Mississippi State,MSST
MISSISSIPPI VALLEY ST,MVSU,SWAC,Mississippi Valley State,Mississippi Valley State,MVSU
MISSOURI,MIZZ,SEC,Missouri,Missouri,MIZZ
MISSOURI ST,MOST,MVFC,Missouri State,Missouri State,MOST
MONMOUTH,MONM,Big South,Monmouth,Monmouth,MONM
MONTANA,MONT,Big Sky,Montana,Montana,MONT
MONTANA ST,MTST,Big Sky,Montana State,Montana State,MTST
MOREHEAD ST,MORE,Pioneer,Morehead State,Morehead State,MORE
MORGAN ST,MORG,MEAC,Morgan State,Morgan State,MORG
MURRAY ST,MURR,OVC,Murray State,Murray State,MURR
N CAROLINA,UNC,ACC,N Carolina,North Carolina,UNC
NAVY,NAVY,AAC,Navy,Navy,NAVY
NC CENTRAL,NCCU,MEAC,Nc Central,Nc Central,NCCU
NC ST,NCST,ACC,NC ST,NC ST,NCST
NEBRASKA,NEB,B1G,Nebraska,Nebraska,NEB
NEVADA,NEV,MWC,Nevada,Nevada,NEV
NEW HAMPSHIRE,UNH,CAA,New Hampshire,New Hampshire,UNH
NEW MEXICO,UNM,MWC,New Mexico,New Mexico,UNM
NEW MEXICO ST,NMSU,SBC,New Mexico State,New Mexico State,NMSU
NICHOLLS ST,NICH,Southland,Nicholls State,Nicholls State,NICH
NORFOLK ST,NORF,MEAC,Norfolk State,Norfolk State,NORF
NORTH CAROLINA A&T,NCAT,MEAC,North Carolina A&T,North Carolina A&T,NCAT
N DAKOTA,UND,Big Sky,North Dakota,North Dakota,UND
N DAK ST,NDSU,MVFC,North Dakota State,North Dakota State,NDSU
N TEXAS,UNT,CUSA,North Texas,North Texas,UNT
N ARIZONA,NAU,Big Sky,Northern Arizona,Northern Arizona,NAU
NORTHERN COLORADO,UNCO,Big Sky,Northern Colorado,Northern Colorado,UNCO
N ILLINOIS,NIU,MAC,Northern Illinois,Northern Illinois,NIU
N IOWA,UNI,MVFC,Northern Iowa,Northern Iowa,UNI
NWESTERN,NW,B1G,Northwestern,Northwestern,NW
NORTHWESTERN ST,NWST,Southland,Northwestern State,Northwestern State,NWST
NOTRE DAME,ND,IND,Notre Dame,Notre Dame,ND
OHIO,OHIO,MAC,Ohio,Ohio,OHIO
OHIO STATE,OSU,B1G,Ohio State,Ohio State,OSU
OKLA STATE,OKST,B12,Oklahoma State,Oklahoma State,OKST
OKLAHOMA,OU,B12,Oklahoma,Oklahoma,OU
OLD DOMINION,ODU,CUSA,Old Dominion,Old Dominion,ODU
OLE MISS,MISS,SEC,Mississippi,Mississippi,MISS
OREGON,ORE,P12,Oregon,Oregon,ORE
OREGON ST,ORST,P12,Oregon State,Oregon State,ORST
PENN STATE,PSU,B1G,Penn State,Penn State,PSU
PITTSBURGH,PITT,ACC,Pittsburgh,Pittsburgh,PITT
PORTLAND ST,PRST,Big Sky,Portland State,Portland State,PRST
PRAIRIE VIEW A&M,PV,SWAC,Prairie View A&M,Prairie View A&M,PV
PRESBYTERIAN,PRE,Big South,Presbyterian,Presbyterian,PRE
PRINCETON,PRIN,Ivy,Princeton,Princeton,PRIN
PURDUE,PUR,B1G,Purdue,Purdue,PUR
RHODE ISLAND,URI,CAA,Rhode Island,Rhode Island,URI
RICE,RICE,CUSA,Rice,Rice,RICE
RICHMOND,RICH,CAA,Richmond,Richmond,RICH
ROBERT MORRIS (PA),RMU,NEC,Robert Morris (Pa),Robert Morris (Pa),RMU
RUTGERS,RU,B1G,Rutgers,Rutgers,RU
S CAROLINA,SCAR,SEC,South Carolina,South Carolina,SCAR
SACRAMENTO ST,SAC,Big Sky,Sacramento State,Sacramento State,SAC
SACRED HEART,SHU,NEC,Sacred Heart,Sacred Heart,SHU
SAM HOUSTON ST,SHSU,Southland,Sam Houston State,Sam Houston State,SHSU
SAMFORD,SAM,SoCon,Samford,Samford,SAM
SAN DIEGO,USD,Pioneer,San Diego,San Diego,USD
S DIEGO ST,SDSU,MWC,San Diego State,San Diego State,SDSU
SAN JOSÉ ST,SJSU,MWC,San Jose State,San Jose State,SJSU
SAVANNAH ST,SAV,MEAC,Savannah State,Savannah State,SAV
SMU,SMU,AAC,SMU,SMU,SMU
SOUTH ALABAMA,USA,SBC,South Alabama,South Alabama,USA
SOUTH CAROLINA ST,SCST,MEAC,South Carolina State,South Carolina State,SCST
SOUTH DAKOTA,SDAK,MVFC,South Dakota,South Dakota,SDAK
SOUTH DAKOTA ST,SDSU,MVFC,South Dakota State,South Dakota State,SDSU
SOUTH FLORIDA,USF,AAC,South Florida,South Florida,USF
SOUTHEAST MISSOURI,SEMO,OVC,Southeast Missouri,Southeast Missouri,SEMO
SOUTHEASTERN LOUISIANA,SELA,Southland,Southeastern Louisiana,Southeastern Louisiana,SELA
SOUTHERN ILLINOIS,SIU,MVFC,Southern Illinois,Southern Illinois,SIU
SOUTHERN MISS,USM,CUSA,Southern Miss,Southern Mississippi,USM
SOUTHERN UNIVERSITY,SOU,SWAC,Southern University,Southern University,SOU
SOUTHERN UTAH,SUU,Big Sky,Southern Utah,Southern Utah,SUU
ST. FRANCIS (PA),SFU,NEC,State. Francis (Pa),State. Francis (Pa),SFU
STANFORD,STAN,P12,Stanford,Stanford,STAN
STEPHEN F. AUSTIN,SFA,Southland,Stateephen F. Austin,Stateephen F. Austin,SFA
STETSON,STET,Pioneer,Stateetson,Stateetson,STET
STONY BROOK,STON,CAA,Stateony Brook,Stateony Brook,STON
SYRACUSE,SYR,ACC,Syracuse,Syracuse,SYR
TCU,TCU,B12,TCU,TCU,TCU
TEMPLE,TEM,AAC,Temple,Temple,TEM
TENNESSEE,TENN,SEC,Tennessee,Tennessee,TENN
TENNESSEE ST,TNST,OVC,Tennessee State,Tennessee State,TNST
TENNESSEE TECH,TNTC,OVC,Tennessee Tech,Tennessee Tech,TNTC
TENNESSEE-MARTIN,UTM,OVC,Tennessee-Martin,Tennessee-Martin,UTM
TEXAS,UT,B12,Texas,Texas,UT
TEXAS A&M,TA&M,SEC,Texas A&M,Texas A&M,TA&M
TEXAS SOUTHERN,TXSO,SWAC,Texas Southern,Texas Southern,TXSO
TEXAS ST,TXST,SBC,Texas State,Texas State,TXST
TEXAS TECH,TTU,B12,Texas Tech,Texas Tech,TTU
CITADEL,CIT,SoCon,The Citadel,The Citadel,CIT
TOLEDO,TOL,MAC,Toledo,Toledo,TOL
TOWSON,TOWS,CAA,Towson,Towson,TOWS
TROY,TROY,SBC,Troy,Troy,TROY
TULANE,TUL,AAC,Tulane,Tulane,TUL
TULSA,TLSA,AAC,Tulsa,Tulsa,TLSA
UC DAVIS,UCD,Big Sky,Uc Davis,Uc Davis,UCD
UCF,UCF,AAC,UCF,UCF,UCF
UCLA,UCLA,P12,UCLA,UCLA,UCLA
UCONN,CONN,AAC,Uconn,Uconn,CONN
UMASS,UMASS,IND,UMASS,UMASS,UMASS
UNLV,UNLV,MWC,UNLV,UNLV,UNLV
UPENN,PENN,Ivy,UPENN,UPENN,PENN
USC,USC,P12,USC,USC,USC
UTAH,UTAH,P12,Utah,Utah,UTAH
UTAH ST,UTST,MWC,Utah State,Utah State,UTST
UTEP,UTEP,CUSA,UTEP,UTEP,UTEP
UTSA,UTSA,CUSA,UTSA,UTSA,UTSA
VALPARAISO,VALP,Pioneer,Valparaiso,Valparaiso,VALP
VANDERBILT,VAN,SEC,Vanderbilt,Vanderbilt,VAND
VILLANOVA,NOVA,CAA,Villanova,Villanova,NOVA
VIRGINIA,UV,ACC,Virginia,Virginia,UV
VA TECH,VT,ACC,Virginia Tech,Virginia Tech,VT
VMI,VMI,SoCon,VMI,VMI,VMI
W VIRGINIA,WVU,B12,West Virginia,West Virginia,WVU
WAGNER,WAG,NEC,Wagner,Wagner,WAG
WAKE,WAKE,ACC,Wake Forest,Wake Forest,WAKE
WASHINGTON,WASH,P12,Washington,Washington,WASH
WASHINGTON ST,WSU,P12,Washington State,Washington State,WSU
WEBER ST,WEB,Big Sky,Weber State,Weber State,WEB
WESTERN CAROLINA,WCU,SoCon,Western Carolina,Western Carolina,WCU
WESTERN ILLINOIS,WIU,MVFC,Western Illinois,Western Illinois,WIU
W MICHIGAN,WMU,MAC,Western Michigan,Western Michigan,WMU
WILLIAM & MARY,W&M,CAA,William & Mary,William & Mary,W&M
WISCONSIN,WISC,B1G,Wisconsin,Wisconsin,WISC
WKU,WKU,CUSA,WKU,WKU,WKU
WOFFORD,WOF,SoCon,Wofford,Wofford,WOF
WYOMING,WYO,MWC,Wyoming,Wyoming,WYO
YALE,YALE,Ivy,Yale,Yale,YALE
YOUNGSTOWN ST,YSU,MVFC,Youngstown State,Youngstown State,YSU
