,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Chad Ramey,12500,"2,500.00",2300,460.00,1200,240.00,,,,,,,,,,
Kyle Stanley,12500,"2,500.00",2700,540.00,1500,300.00,,,,,,,,,,
Vincent Whaley,12500,"2,500.00",,,,,,,,,,,,,,
Ryan Armour,15000,"3,000.00",2500,500.00,1500,300.00,,,,,,,,,,
James Hahn,15000,"3,000.00",2600,520.00,1500,300.00,,,,,,,,,,
Stephan Jaeger,15000,"3,000.00",2500,500.00,1000,200.00,,,,,,,,,,
Satoshi Kodaira,15000,"3,000.00",2700,540.00,1600,320.00,,,,,,,,,,
Scott Piercy,15000,"3,000.00",2900,580.00,1600,320.00,,,,,,,,,,
Doc Redman,15000,"3,000.00",2300,460.00,1200,240.00,,,,,,,,,,
J.J. Spaun,15000,"3,000.00",2900,580.00,1500,300.00,,,,,,,,,,
Adam Svensson,15000,"3,000.00",1600,320.00,850,170.00,,,,,,,,,,
Kevin Tway,15000,"3,000.00",2600,520.00,1800,360.00,,,,,,,,,,
John Huh,17500,"3,500.00",3200,640.00,1800,360.00,,,,,,,,,,
Vaughn Taylor,17500,"3,500.00",2700,540.00,1600,320.00,,,,,,,,,,
Dylan Wu,17500,"3,500.00",3200,640.00,1800,360.00,,,,,,,,,,
Bronson Burgoon,20000,"4,000.00",3200,640.00,1800,360.00,,,,,,,,,,
Tyler Duncan,20000,"4,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Mark Hubbard,20000,"4,000.00",2700,540.00,1600,320.00,,,,,,,,,,
Peter Malnati,20000,"4,000.00",1600,320.00,850,170.00,,,,,,,,,,
Ryan Moore,20000,"4,000.00",3700,740.00,2300,460.00,,,,,,,,,,
Austin Smotherman,20000,"4,000.00",4100,820.00,2100,420.00,,,,,,,,,,
Brian Stuard,20000,"4,000.00",3000,600.00,1600,320.00,,,,,,,,,,
Paul Barjon,25000,"5,000.00",4500,900.00,2300,460.00,,,,,,,,,,
Kevin Chappell,25000,"5,000.00",3900,780.00,2100,420.00,,,,,,,,,,
Brian Gay,25000,"5,000.00",3300,660.00,1800,360.00,,,,,,,,,,
Nick Hardy,25000,"5,000.00",3600,720.00,1800,360.00,,,,,,,,,,
Chan Kim,25000,"5,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Nate Lashley,25000,"5,000.00",3600,720.00,2100,420.00,,,,,,,,,,
Tyler McCumber,25000,"5,000.00",4100,820.00,1500,300.00,,,,,,,,,,
Max McGreevy,25000,"5,000.00",5000,"1,000.00",2700,540.00,,,,,,,,,,
Andrew Novak,25000,"5,000.00",3900,780.00,1500,300.00,,,,,,,,,,
Peter Uihlein,25000,"5,000.00",2600,520.00,1700,340.00,,,,,,,,,,
Camilo Villegas,25000,"5,000.00",4100,820.00,1500,300.00,,,,,,,,,,
Kiradech Aphibarnrat,30000,"6,000.00",4100,820.00,2300,460.00,,,,,,,,,,
Aaron Baddeley,30000,"6,000.00",3600,720.00,2100,420.00,,,,,,,,,,
Scott Brown,30000,"6,000.00",3700,740.00,2100,420.00,,,,,,,,,,
Jonathan Byrd,30000,"6,000.00",5000,"1,000.00",2300,460.00,,,,,,,,,,
Luke Donald,30000,"6,000.00",4500,900.00,2300,460.00,,,,,,,,,,
Austin Eckroat,30000,"6,000.00",2900,580.00,1600,320.00,,,,,,,,,,
Brice Garnett,30000,"6,000.00",4900,980.00,2500,500.00,,,,,,,,,,
Bill Haas,30000,"6,000.00",3300,660.00,1800,360.00,,,,,,,,,,
Brandon Hagy,30000,"6,000.00",4100,820.00,2300,460.00,,,,,,,,,,
Bo Hoag,30000,"6,000.00",2700,540.00,1400,280.00,,,,,,,,,,
Beau Hossler,30000,"6,000.00",4100,820.00,2300,460.00,,,,,,,,,,
Sung Kang,30000,"6,000.00",4100,820.00,2100,420.00,,,,,,,,,,
Ben Kohles,30000,"6,000.00",4900,980.00,2300,460.00,,,,,,,,,,
Andrew Landry,30000,"6,000.00",2700,540.00,1700,340.00,,,,,,,,,,
Trey Mullinax,30000,"6,000.00",2500,500.00,1500,300.00,,,,,,,,,,
Cameron Percy,30000,"6,000.00",5000,"1,000.00",2500,500.00,,,,,,,,,,
Brandon Wu,30000,"6,000.00",2700,540.00,1700,340.00,,,,,,,,,,
Joshua Creel,35000,"7,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Michael Gligic,35000,"7,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Chesson Hadley,35000,"7,000.00",4100,820.00,2300,460.00,,,,,,,,,,
Kurt Kitayama,35000,"7,000.00",4500,900.00,2300,460.00,,,,,,,,,,
David Lingmerth,35000,"7,000.00",4900,980.00,2700,540.00,,,,,,,,,,
Jimmy Walker,35000,"7,000.00",4100,820.00,2100,420.00,,,,,,,,,,
Nick Watney,35000,"7,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Richy Werenski,35000,"7,000.00",4100,820.00,2300,460.00,,,,,,,,,,
Mark Baldwin,40000,"8,000.00",5500,"1,100.00",3700,740.00,,,,,,,,,,
Brett Drewitt,40000,"8,000.00",6000,"1,200.00",2700,540.00,,,,,,,,,,
Robert Garrigus,40000,"8,000.00",4900,980.00,2500,500.00,,,,,,,,,,
Jim Knous,40000,"8,000.00",6000,"1,200.00",2700,540.00,,,,,,,,,,
Kelly Kraft,40000,"8,000.00",4500,900.00,2300,460.00,,,,,,,,,,
Justin Lower,40000,"8,000.00",5000,"1,000.00",2500,500.00,,,,,,,,,,
Seung-yul Noh,40000,"8,000.00",4900,980.00,2300,460.00,,,,,,,,,,
Sean O'Hair,40000,"8,000.00",,,,,,,,,,,,,,
Seth Reeves,40000,"8,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Chase Seiffert,40000,"8,000.00",4100,820.00,2300,460.00,,,,,,,,,,
David Skinns,40000,"8,000.00",5500,"1,100.00",2700,540.00,,,,,,,,,,
Martin Trainer,40000,"8,000.00",6000,"1,200.00",3000,600.00,,,,,,,,,,
Bo Van Pelt,40000,"8,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Jared Wolfe,40000,"8,000.00",5000,"1,000.00",2500,500.00,,,,,,,,,,
Sangmoon Bae,50000,"10,000.00",,,,,,,,,,,,,,
Alex Cejka,50000,"10,000.00",4900,980.00,4100,820.00,,,,,,,,,,
Austin Cook,50000,"10,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Scott Gutschewski,50000,"10,000.00",4500,900.00,2300,460.00,,,,,,,,,,
Grayson Murray,50000,"10,000.00",6000,"1,200.00",2900,580.00,,,,,,,,,,
Chris Stroud,50000,"10,000.00",4900,980.00,3900,780.00,,,,,,,,,,
Callum Tarren,50000,"10,000.00",5000,"1,000.00",2700,540.00,,,,,,,,,,
Curtis Thompson,50000,"10,000.00",5500,"1,100.00",2700,540.00,,,,,,,,,,
D.J. Trahan,50000,"10,000.00",,,,,,,,,,,,,,
Dawie Van Der Walt,50000,"10,000.00",6000,"1,200.00",2700,540.00,,,,,,,,,,
Johnson Wagner,50000,"10,000.00",5500,"1,100.00",2700,540.00,,,,,,,,,,
Ricky Barnes,75000,"15,000.00",4900,980.00,2500,500.00,,,,,,,,,,
Jonas Blixt,75000,"15,000.00",5000,"1,000.00",2500,500.00,,,,,,,,,,
Ben Crane,75000,"15,000.00",4900,980.00,2500,500.00,,,,,,,,,,
David Hearn,75000,"15,000.00",6000,"1,200.00",2500,500.00,,,,,,,,,,
Ryuji Imada,100000,"20,000.00",4900,980.00,4100,820.00,,,,,,,,,,
Tom Lehman,100000,"20,000.00",5500,"1,100.00",3600,720.00,,,,,,,,,,
Davis Love III,100000,"20,000.00",4900,980.00,3900,780.00,,,,,,,,,,
Brad Marek,100000,"20,000.00",4900,980.00,4500,900.00,,,,,,,,,,
John Merrick,100000,"20,000.00",4900,980.00,4100,820.00,,,,,,,,,,
John Senden,100000,"20,000.00",5500,"1,100.00",2500,500.00,,,,,,,,,,
Peter Jacobsen,250000,"50,000.00",5500,"1,100.00",3300,660.00,,,,,,,,,,
John Murphy,,,5500,"1,100.00",2700,540.00,,,,,,,,,,
D.A. Points,,,4900,980.00,2300,460.00,,,,,,,,,,
