"","team","key","conf","url"
"102","ball-state",90084,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/ball-state/90084"
"103","bowling-green",90176,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/bowling-green/90176"
"104","buffalo",90199,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/buffalo/90199"
"105","central-michigan",90268,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/central-michigan/90268"
"106","eastern-michigan",90429,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/eastern-michigan/90429"
"107","kent-state",90843,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/kent-state/90843"
"108","miami-university",91096,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/miami-university/91096"
"109","northern-illinois",91441,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/northern-illinois/91441"
"110","ohio",91510,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/ohio/91510"
"111","toledo",92085,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/toledo/92085"
"112","western-michigan",92522,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/western-michigan/92522"
