School,Abbrev,Conf,Rotowire,draftkings
PRESBYTERIAN,PRE,Big South,Presbyterian,Presbyterian
PRINCETON,PRIN,Ivy,Princeton,Princeton
PURDUE,PUR,B1G,Purdue,Purdue
RHODE ISLAND,URI,CAA,Rhode Island,Rhode Island
RICE,RICE,CUSA,Rice,Rice
RICHMOND,RICH,CAA,Richmond,Richmond
ROBERT MORRIS (PA),RMU,NEC,Robert Morris (Pa),Robert Morris (Pa)
RUTGERS,RU,B1G,Rutgers,Rutgers
S CAROLINA,SCAR,SEC,South Carolina,South Carolina
SACRAMENTO ST,SAC,Big Sky,Sacramento State,Sacramento State
SACRED HEART,SHU,NEC,Sacred Heart,Sacred Heart
SAM HOUSTON ST,SHSU,Southland,Sam Houston State,Sam Houston State
SAMFORD,SAM,SoCon,Samford,Samford
SAN DIEGO,USD,Pioneer,San Diego,San Diego
S DIEGO ST,SDSU,MWC,San Diego State,San Diego State
SAN JOSÉ ST,SJSU,MWC,San Jose State,San Jose State
SAVANNAH ST,SAV,MEAC,Savannah State,Savannah State
SMU,SMU,AAC,SMU,SMU
SOUTH ALABAMA,USA,SBC,South Alabama,South Alabama
SOUTH CAROLINA ST,SCST,MEAC,South Carolina State,South Carolina State
SOUTH DAKOTA,SDAK,MVFC,South Dakota,South Dakota
SOUTH DAKOTA ST,SDSU,MVFC,South Dakota State,South Dakota State
SOUTH FLORIDA,USF,AAC,South Florida,South Florida
SOUTHEAST MISSOURI,SEMO,OVC,Southeast Missouri,Southeast Missouri
SOUTHEASTERN LOUISIANA,SELA,Southland,Southeastern Louisiana,Southeastern Louisiana
SOUTHERN ILLINOIS,SIU,MVFC,Southern Illinois,Southern Illinois
SOUTHERN MISS,USM,CUSA,Southern Miss,Southern Mississippi
SOUTHERN UNIVERSITY,SOU,SWAC,Southern University,Southern University
SOUTHERN UTAH,SUU,Big Sky,Southern Utah,Southern Utah
ST. FRANCIS (PA),SFU,NEC,State. Francis (Pa),State. Francis (Pa)
STANFORD,STAN,P12,Stanford,Stanford
STEPHEN F. AUSTIN,SFA,Southland,Stateephen F. Austin,Stateephen F. Austin
STETSON,STET,Pioneer,Stateetson,Stateetson
STONY BROOK,STON,CAA,Stateony Brook,Stateony Brook
SYRACUSE,SYR,ACC,Syracuse,Syracuse
TCU,TCU,B12,TCU,TCU
TEMPLE,TEM,AAC,Temple,Temple
TENNESSEE,TENN,SEC,Tennessee,Tennessee
TENNESSEE ST,TNST,OVC,Tennessee State,Tennessee State
TENNESSEE TECH,TNTC,OVC,Tennessee Tech,Tennessee Tech
TENNESSEE-MARTIN,UTM,OVC,Tennessee-Martin,Tennessee-Martin
TEXAS,UT,B12,Texas,Texas
TEXAS A&M,TA&M,SEC,Texas A&M,Texas A&M
TEXAS SOUTHERN,TXSO,SWAC,Texas Southern,Texas Southern
TEXAS ST,TXST,SBC,Texas State,Texas State
TEXAS TECH,TTU,B12,Texas Tech,Texas Tech
CITADEL,CIT,SoCon,The Citadel,The Citadel
TOLEDO,TOL,MAC,Toledo,Toledo
TOWSON,TOWS,CAA,Towson,Towson
TROY,TROY,SBC,Troy,Troy
TULANE,TUL,AAC,Tulane,Tulane
TULSA,TLSA,AAC,Tulsa,Tulsa
UC DAVIS,UCD,Big Sky,Uc Davis,Uc Davis
UCF,UCF,AAC,UCF,UCF
UCLA,UCLA,P12,UCLA,UCLA
UCONN,CONN,AAC,Uconn,Uconn
UMASS,UMASS,IND,UMASS,UMASS
UNLV,UNLV,MWC,UNLV,UNLV
UPENN,PENN,Ivy,UPENN,UPENN
USC,USC,P12,USC,USC
UTAH,UTAH,P12,Utah,Utah
UTAH ST,UTST,MWC,Utah State,Utah State
UTEP,UTEP,CUSA,UTEP,UTEP
UTSA,UTSA,CUSA,UTSA,UTSA
VALPARAISO,VALP,Pioneer,Valparaiso,Valparaiso
VANDERBILT,VAN,SEC,Vanderbilt,Vanderbilt
VILLANOVA,NOVA,CAA,Villanova,Villanova
VIRGINIA,UV,ACC,Virginia,Virginia
VA TECH,VT,ACC,Virginia Tech,Virginia Tech
VMI,VMI,SoCon,VMI,VMI
W VIRGINIA,WVU,B12,West Virginia,West Virginia
WAGNER,WAG,NEC,Wagner,Wagner
WAKE,WAKE,ACC,Wake Forest,Wake Forest
WASHINGTON,WASH,P12,Washington,Washington
WASHINGTON ST,WSU,P12,Washington State,Washington State
WEBER ST,WEB,Big Sky,Weber State,Weber State
WESTERN CAROLINA,WCU,SoCon,Western Carolina,Western Carolina
WESTERN ILLINOIS,WIU,MVFC,Western Illinois,Western Illinois
W MICHIGAN,WMU,MAC,Western Michigan,Western Michigan
WILLIAM & MARY,W&M,CAA,William & Mary,William & Mary
WISCONSIN,WISC,B1G,Wisconsin,Wisconsin
WKU,WKU,CUSA,WKU,WKU
WOFFORD,WOF,SoCon,Wofford,Wofford
WYOMING,WYO,MWC,Wyoming,Wyoming
YALE,YALE,Ivy,Yale,Yale
YOUNGSTOWN ST,YSU,MVFC,Youngstown State,Youngstown State
