player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
P.J. Locke,51189,S,DEN,2,3,0,75.0,0,0,10,0,0,72.8,72.0,0.0,,65.7,63.9,0,0,0,0,11,12.5,1,1,1,118.8,3,0,0,32,1,67,129,1,0,0,1,0,79,128,0,62,16,3,4,1,4,0,1,14,7,4.7
Minkah Fitzpatrick,51206,S,PIT,2,4,0,100.0,0,0,25,0,0,71.3,77.8,77.5,,75.2,89.6,0,0,0,0,8,0.0,0,0,0,98.6,3,0,0,3,0,77,117,0,0,0,0,0,112,117,0,40,2,4,9,0,3,0,0,23,7,7.7
Fred Warner,51222,LB,SF,2,5,0,40.0,0,3,28,0,0,94.9,95.8,78.3,69.9,73.9,59.8,0,0,0,1,16,10.5,2,1,0,11.7,2,1,0,94,1,61,105,2,0,0,2,0,0,103,3,41,8,8,12,1,5,1,0,19,5,9.5
Drue Tranquill,51276,LB,KC,2,6,0,85.7,0,0,16,0,0,44.2,46.6,76.9,58.6,54.3,58.3,0,0,0,0,13,14.3,2,0,1,98.2,6,0,0,82,0,60,118,18,0,0,18,0,0,100,19,39,18,1,6,0,7,0,0,53,39,8.8
Mike Edwards,51282,S,BUF,1,0,0,0.0,0,0,4,0,0,61.3,62.0,67.5,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,0,5,6,0,0,0,0,0,5,6,0,1,1,0,0,0,1,0,0,0,0,
Kristian Welch,51283,LB,DEN,2,0,0,50.0,0,0,10,0,0,52.1,46.9,71.3,,51.2,76.0,0,0,0,0,12,0.0,0,0,0,68.8,1,0,0,28,0,9,30,0,0,0,0,0,0,30,0,21,2,1,2,0,2,0,0,12,14,12.0
Terrell Edmunds,51334,S,PIT,1,0,0,0.0,0,0,25,0,0,61.2,62.0,73.2,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,2,0,5,6,0,0,0,0,0,4,6,0,1,0,0,0,0,1,0,0,0,0,
Will Harris,51336,S,NO,2,2,0,25.0,0,0,20,0,0,60.2,60.3,81.5,58.2,59.1,45.4,0,1,0,1,6,16.7,1,0,0,0.0,1,0,0,28,2,86,129,17,0,0,17,0,62,112,6,37,20,1,3,0,4,1,0,6,8,6.0
Derwin James Jr.,51368,S,LAC,2,0,0,85.7,0,0,27,0,0,59.2,64.2,76.5,52.7,76.4,70.4,0,0,0,0,12,8.3,1,0,0,85.7,6,0,0,24,0,62,104,6,0,0,6,0,59,98,6,36,15,3,11,0,7,0,0,32,22,5.3
Amani Hooker,51378,S,TEN,2,1,0,30.0,0,1,31,0,0,67.0,66.1,76.9,81.4,47.3,86.8,1,1,0,0,8,0.0,0,1,0,39.6,3,0,0,20,1,66,113,4,0,0,4,0,75,109,3,44,13,2,8,0,10,2,0,15,16,5.0
Marcus Epps,51391,S,LV,2,3,0,88.9,0,0,23,0,0,46.2,45.9,78.6,74.7,53.6,27.6,0,0,0,0,19,37.5,6,0,0,106.5,8,0,0,24,0,67,122,2,0,0,2,0,80,120,2,53,16,3,7,1,9,0,0,86,38,10.8
Jaylinn Hawkins,51423,S,NE,2,0,0,33.3,0,0,19,0,0,69.9,68.8,75.5,60.0,53.5,71.6,0,0,0,0,12,0.0,0,1,0,46.5,1,0,0,13,6,38,53,3,0,0,3,0,22,50,1,14,9,0,1,0,3,0,0,12,-1,12.0
Kaden Elliss,51485,LB,ATL,2,4,0,100.0,0,0,2,0,0,56.9,61.2,81.3,59.9,64.3,56.9,1,1,0,0,16,13.6,3,0,0,145.3,8,0,0,103,0,62,141,29,0,0,29,0,0,112,7,72,9,5,15,0,8,2,1,75,38,9.4
J.T. Gray,51495,S,NO,2,0,0,,0,0,20,0,0,61.5,61.4,73.1,60.0,,,0,1,0,0,,,0,0,0,0.0,0,0,0,2,0,7,8,0,0,0,0,0,5,8,1,0,1,0,0,0,0,1,0,0,0,
Kenny Moore II,51596,CB,IND,2,1,0,100.0,0,0,14,0,0,83.2,67.6,77.6,57.8,35.5,26.7,0,0,0,0,17,36.4,4,1,0,152.8,6,0,0,40,37,58,149,1,0,0,1,0,0,148,2,89,71,5,6,0,6,0,2,67,54,11.2
Nicholas Morrow,51674,LB,BUF,1,0,0,100.0,0,0,4,0,0,44.2,30.0,67.7,,60.0,,0,0,0,0,13,,0,0,0,118.8,1,0,0,5,0,5,6,0,0,0,0,0,0,6,0,1,1,0,0,0,1,0,0,13,1,13.0
Khyiris Tonga,52000,DI,ARZ,2,0,0,,0,0,1,0,0,,56.4,75.7,65.0,54.2,68.6,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,19,12,0,0,0,0,7,24,0,1,1,0,0,2,0,0,0,
Paulson Adebo,52280,CB,NO,2,1,0,44.4,0,0,20,0,0,62.0,64.2,80.3,,72.9,82.4,0,0,0,1,65,0.0,0,2,3,69.7,8,0,0,1,115,88,121,0,0,0,0,0,0,121,0,33,5,3,9,0,18,0,1,152,56,19.0
Ivan Pace Jr.,53587,LB,MIN,2,5,0,83.3,0,0,18,0,0,31.1,58.1,72.5,71.4,81.3,58.4,1,3,0,0,28,10.5,2,0,0,156.9,5,0,0,82,0,40,86,1,0,0,1,0,0,85,11,35,3,8,12,1,6,4,1,73,53,14.6
