player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Gunnar Holmberg,77625,QB,FIU,1,73.7,19,21,6.7,2.66,0,0,0.0,66.7,14,0,8,0.0,27,0,7,166,28.3,59.3,59.3,60.4,0,0,30,0,12.5,93.9,3.7,1,5,1,1,1,2,6.7,103,4.9
Chandler Morris,122938,QB,TCU,1,80.0,20,20,5.2,2.34,0,0,0.0,65.0,13,0,5,18.8,21,3,6,305,69.3,60.9,68.6,51.6,0,0,22,2,0.0,79.4,0.0,0,1,0,0,0,0,0.0,111,5.6
Nick Patti,77614,QB,PITTSBURGH,1,56.3,16,20,8.9,2.8,1,0,0.0,45.0,9,0,12,0.0,24,0,4,268,68.3,62.0,63.5,60.6,0,0,25,1,16.7,72.7,8.3,2,2,0,3,1,0,0.0,79,4.0
Tai Lavatai,121854,QB,NAVY,2,50.0,18,20,19.9,2.99,1,2,9.5,40.0,8,0,9,11.1,23,1,8,237,25.1,52.5,59.0,51.4,0,0,24,0,11.1,100.8,4.3,1,2,0,1,1,2,8.3,234,11.7
Gunnar Gundy,144649,QB,OKLA STATE,1,75.0,20,20,7.2,2.16,0,0,0.0,60.0,12,0,6,20.0,23,3,6,262,70.9,71.3,59.7,76.2,0,1,23,0,16.7,91.3,4.3,1,2,0,0,2,0,0.0,128,6.4
Ethan Hampton,145858,QB,N ILLINOIS,1,70.6,17,19,8.3,2.09,2,0,0.0,63.2,12,0,5,0.0,21,0,3,254,67.4,51.4,49.4,57.8,0,1,22,0,20.0,95.1,4.8,1,1,0,0,2,0,0.0,124,6.5
Carson Beck,124010,QB,GEORGIA,3,78.9,19,19,8.6,2.16,0,1,5.3,73.7,14,0,2,6.7,21,1,8,173,27.9,65.3,77.1,42.7,0,0,21,0,0.0,116.1,0.0,0,1,0,0,1,0,0.0,160,8.4
Tate Rodemaker,122414,QB,FLORIDA ST,2,61.5,13,17,13.6,3.3,2,1,5.0,47.1,8,0,12,0.0,21,0,6,167,27.6,58.1,52.7,66.0,0,2,24,1,16.7,71.3,9.5,2,2,0,2,2,4,16.7,124,7.3
Ty Keyes,145417,QB,SO MISS,2,58.8,17,17,13.5,2.6,0,2,11.1,58.8,10,0,6,0.0,20,0,6,296,72.1,66.3,63.4,63.6,0,2,21,0,0.0,103.2,0.0,0,3,0,0,3,1,4.8,272,16.0
Luke Altmyer,146802,QB,OLE MISS,3,56.3,16,17,10.6,2.42,0,0,0.0,47.1,8,0,6,11.1,18,1,7,226,26.6,48.7,50.1,52.2,0,1,21,0,16.7,86.6,5.6,1,0,0,1,2,2,9.5,125,7.4
James Foster,83563,QB,CHARLOTTE,2,50.0,16,17,10.8,3.56,0,1,5.6,41.2,7,0,7,12.5,21,1,3,136,27.6,49.6,54.1,50.1,0,1,22,0,28.6,28.6,9.5,2,2,0,1,0,1,4.5,68,4.0
Behren Morton,144747,QB,TEXAS TECH,2,64.7,17,17,12.8,3.26,0,0,0.0,64.7,11,0,6,0.0,21,0,10,315,26.2,63.9,69.8,50.3,0,2,22,1,16.7,80.6,4.8,1,3,0,0,1,1,4.5,182,10.7
