player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Demarcus McEachern,166626,QB,FLMMRL,1,2.1,2.2,4.1,,3,1471,0.0,1,1,32.0,2.2,0,0,0.0,0.0,0,0,,1,33.3,0,0,,,,,60.3,51.0,63.6,,51.3,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,4.1,0,0,,,0,0,,1,33.3,0,0,,,,,23.7,57.5,63.6,,60.0,,,,,0,0,1,,0.0,100.0,1,0,0,0,0,1,100.0,0,
Tyrece Nick,78495,QB,SCAR STATE,1,2.3,2.3,,,3,290,50.0,2,2,13.0,2.15,0,0,0.0,50.0,1,2,0.0,2,66.7,0,1,,,,,62.7,26.0,66.6,,26.3,,,,,0,0,3,0.0,70.8,0.0,0,0,0,0,0,2,66.7,13,6.5,100.0,1,1,0.0,2.6,0,0,0.0,100.0,1,1,0.0,1,33.3,0,0,,,,,60.3,60.7,63.6,,60.6,,,,,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Rocco Becht,157567,QB,IOWA STATE,2,4.43,3.1,,7.1,3,193,0.0,1,1,11.0,1.8,0,0,0.0,0.0,0,0,,1,33.3,0,0,,,,,61.8,41.6,65.5,,42.0,,,,,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,1,,5.75,0,0,0.0,0.0,0,1,,2,66.7,0,0,,,,,62.7,47.9,66.6,,55.5,,56.3,,,0,0,3,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Collin Shannon,160918,QB,VA MILT IN,1,2.45,,2.45,,2,336,,0,0,,2.3,0,0,,,0,1,,1,50.0,0,0,,,,,60.3,59.7,63.6,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,2.6,0,0,,,0,1,,1,50.0,0,0,,,,,60.3,59.7,63.6,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Jeff Widener,104774,QB,N ARIZONA,1,3.1,3.1,,,2,252,100.0,1,1,0.0,2.1,0,0,0.0,100.0,1,0,0.0,1,50.0,0,0,,,,,60.3,61.1,63.6,,61.0,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,100.0,1,1,3.0,4.1,0,0,0.0,100.0,1,1,0.0,1,50.0,0,0,,,,,,60.3,63.6,,60.2,,,,,0,0,1,0.0,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Cole Dow,108930,QB,DAYTON,1,3.45,2.6,,4.3,2,150,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,14.0,3.45,0,0,0.0,0.0,0,2,,2,100.0,0,0,,,,,61.8,49.4,65.5,,55.3,,57.3,,,0,1,2,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0.0
Grant Sergent,108937,QB,SAN DIEGO,2,2.3,2.3,,,2,283,100.0,1,1,18.0,1.7,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,,60.3,55.2,63.6,,55.3,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,22,22.0,100.0,1,1,13.0,2.9,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,,61.8,61.9,65.5,,61.8,,,,,0,0,2,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0
Bryce Robinson,108962,QB,AUSTINPEAY,1,6.25,6.25,,,2,116,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,2,2,21.5,6.25,0,0,0.0,0.0,0,1,,2,100.0,0,0,,,,,61.8,46.3,65.5,,46.6,,,,,0,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Camden Orth,108965,QB,BOWL GREEN,2,1.9,1.9,,,2,122,50.0,2,2,10.5,1.9,0,0,0.0,50.0,1,1,0.0,2,100.0,0,0,,,,,61.8,53.2,65.5,,53.3,,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Matt O'Connor,108972,QB,VILLANOVA,2,2.5,2.2,2.8,,2,334,100.0,1,1,2.0,2.2,0,0,0.0,0.0,0,1,100.0,1,50.0,1,0,,,,,60.3,61.1,63.6,,61.0,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,2.8,0,0,,,0,1,,1,50.0,0,0,,,,,9.2,40.3,65.5,,41.5,,,,,0,0,2,100.0,0.0,100.0,1,0,0,0,0,1,50.0,0,
