player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ryan Schuster,159739,QB,LAFAYETTE,3,2.56,2.2,2.66,4.39,79,203,75.7,37,41,4.3,1.9,2,0,0.0,63.4,26,14,7.1,47,59.5,2,8,,,,,69.7,46.8,75.6,,46.7,,,,,2,0,50,42.9,85.0,12.8,6,0,0,0,2,0,0.0,136,3.3,50.0,14,14,14.2,3.53,0,0,0.0,42.9,6,16,14.3,32,40.5,1,5,,,,,68.5,50.0,74.2,,44.0,,62.7,,,0,2,34,50.0,28.9,25.0,8,10,0,0,0,3,8.8,103,7.4
Adrian Martinez,83522,QB,KANSAS ST,3,2.85,2.49,3.38,6.0,78,199,82.4,34,36,3.1,1.76,1,0,0.0,72.2,26,8,7.1,37,47.4,2,9,,,,,29.7,51.8,74.5,,51.6,,,,,0,0,37,12.5,81.1,2.7,1,0,0,1,0,1,2.7,163,4.5,67.9,28,31,10.4,3.82,0,2,6.3,51.6,16,21,15.8,41,52.6,3,7,,,,,33.1,73.0,75.0,,72.8,,62.8,,,1,0,43,14.3,74.1,7.3,3,7,0,2,1,1,2.3,136,4.4
Jonah O'Brien,104758,QB,E ILLINOIS,2,2.74,2.4,3.47,4.83,78,158,83.7,43,44,7.2,1.94,1,1,2.2,77.3,34,5,5.6,46,59.0,2,18,,,,,69.5,91.0,75.4,,90.6,,,,,0,0,48,40.0,115.9,4.3,2,0,0,0,3,0,0.0,282,6.4,71.4,14,18,17.0,3.88,0,0,0.0,50.0,9,23,10.0,32,41.0,1,11,,,,,29.4,56.8,74.5,,45.5,,73.9,,,0,3,37,30.4,82.2,21.9,7,7,0,4,2,4,10.8,177,9.8
Riley Leonard,143862,QB,DUKE,3,2.55,2.27,3.2,4.73,78,154,76.2,42,43,5.1,1.92,1,1,2.3,69.8,30,4,6.3,43,55.1,2,15,,,,,69.3,71.0,75.1,,70.3,,,,,0,1,44,0.0,109.0,0.0,0,0,0,0,3,0,0.0,363,8.4,90.0,20,23,11.7,3.41,1,2,8.3,78.3,18,10,0.0,34,43.6,0,18,,,,,68.5,74.4,74.3,,72.4,,65.9,,,0,1,35,20.0,129.6,5.9,2,9,0,2,2,1,2.9,360,15.7
Michael Pratt,123229,QB,TULANE,3,2.85,2.54,3.5,5.18,78,319,87.9,33,33,4.0,1.74,0,1,2.9,75.8,25,2,13.8,35,44.9,4,14,,,,,29.7,67.5,74.4,,65.2,,64.0,,,0,0,36,50.0,144.4,2.9,1,1,0,0,4,1,2.8,314,9.5,60.0,30,34,14.6,3.75,0,0,0.0,50.0,17,16,5.6,43,55.1,1,18,,,,,24.8,53.1,75.2,,44.3,,74.8,,,0,2,45,12.5,80.9,4.7,2,7,0,4,2,4,8.9,343,10.1
Tony Muskett,142933,QB,MONMOUTH,2,2.88,2.72,3.13,4.58,78,231,84.6,39,39,11.3,1.85,0,7,17.5,71.8,28,3,15.2,40,51.3,5,18,,,,,69.1,94.7,74.9,,94.3,,,,,0,1,41,33.3,108.3,2.5,1,0,0,0,1,2,4.9,454,11.6,53.8,26,29,16.3,3.96,0,3,10.0,41.4,12,16,14.3,38,48.7,2,8,,,,,68.9,56.1,74.7,,57.7,,55.6,,,0,3,39,18.8,41.5,7.9,3,6,0,3,2,3,7.7,150,5.2
Zion Webb,63555,QB,JVILLE ST,4,2.15,2.0,3.05,5.23,78,196,69.2,52,58,6.4,1.78,4,0,0.0,53.4,31,5,13.9,58,74.4,5,18,,,,,70.2,65.2,17.2,,66.1,,,,,1,2,60,0.0,67.7,0.0,0,0,0,1,2,2,3.3,333,5.7,66.7,15,15,15.3,3.21,0,1,6.7,53.3,8,8,20.0,20,25.6,2,7,,,,,67.1,67.8,72.4,,64.2,,66.6,,,0,2,20,25.0,56.9,10.0,2,3,0,0,0,2,10.0,180,12.0
Diego Pavia,156927,QB,NEW MEX ST,4,2.95,2.47,4.08,5.93,78,242,66.7,39,39,5.8,1.92,0,1,2.6,48.7,19,12,26.9,40,51.3,7,12,,,,,68.9,70.6,74.8,,70.0,,,,,0,1,40,8.3,46.8,2.5,1,0,0,0,0,1,2.5,139,3.6,31.8,22,26,14.1,4.03,0,1,3.4,19.2,5,24,28.6,38,48.7,2,5,,,,,28.2,39.1,74.9,,28.2,,76.9,,,1,3,41,12.5,3.2,7.9,3,9,0,3,0,3,7.3,98,3.8
Carlos Davis,139131,QB,W CAROLINA,2,3.11,2.65,5.47,4.93,78,344,85.2,27,28,5.0,2.06,0,1,3.3,71.4,20,5,13.0,29,37.2,3,11,,,,,68.3,77.3,0.0,,80.4,,57.8,,,1,0,31,0.0,114.4,0.0,0,1,0,0,2,0,0.0,195,7.0,73.5,34,35,15.6,3.73,0,6,15.4,71.4,25,24,0.0,49,62.8,0,22,,,,,69.9,86.4,13.8,,84.4,,71.8,,,0,4,54,12.5,113.7,6.1,3,11,0,1,6,2,3.7,469,13.4
Demeatric Crenshaw,138332,QB,YNGTOWN ST,3,2.72,2.5,3.88,4.42,77,353,60.6,33,38,8.8,1.93,5,1,2.6,50.0,19,3,5.0,38,49.4,1,12,,,,,68.9,70.7,74.7,,70.1,,,,,0,1,39,0.0,88.3,0.0,0,0,0,0,3,1,2.6,266,7.0,54.2,24,29,12.1,3.49,1,2,6.5,44.8,13,20,0.0,39,50.6,0,10,,,,,31.8,47.3,74.9,,55.0,,42.6,,,2,0,41,20.0,96.6,10.3,4,6,0,2,2,1,2.4,238,8.2
Mike Wright,124366,QB,VANDERBILT,3,2.81,2.45,4.5,5.04,77,333,71.8,39,40,3.6,1.82,1,1,2.4,65.0,26,4,7.1,40,51.9,2,8,,,,,69.1,59.9,74.9,,59.6,,,,,0,0,41,0.0,96.4,0.0,0,0,0,0,3,1,2.4,145,3.6,65.2,23,26,13.7,3.88,0,2,7.7,50.0,13,16,13.3,37,48.1,2,16,,,,,30.0,65.2,74.6,,63.7,,62.8,,,1,1,38,6.3,111.2,2.7,1,10,0,2,3,2,5.3,281,10.8
Ethan Grady,149266,QB,BUCKNELL,3,2.45,2.47,3.05,,77,125,67.4,43,46,6.4,2.0,2,2,4.3,50.0,23,12,20.7,46,59.7,6,11,,,,,69.4,79.5,75.3,,78.6,,,,,0,1,46,0.0,60.6,0.0,0,0,0,1,1,2,4.3,206,4.5,41.7,24,28,14.0,3.23,0,1,3.4,28.6,8,14,20.0,30,39.0,2,5,,,,,68.1,46.0,73.9,,46.1,,,,,0,1,31,14.3,39.6,6.7,2,0,0,4,1,1,3.2,104,3.7
Carson Baker,83548,QB,MORGAN ST,3,3.05,2.68,3.53,5.17,75,235,59.3,27,28,8.8,1.86,1,2,6.7,50.0,14,8,12.5,29,38.7,2,7,,,,,28.3,69.2,74.0,,68.7,,,,,0,1,32,12.5,62.2,3.4,1,0,0,0,1,1,3.1,144,5.1,48.1,27,34,11.5,3.8,0,0,0.0,35.3,12,18,7.7,46,61.3,1,9,,,,,69.7,46.6,75.6,,45.9,,56.8,,,2,1,50,11.1,48.5,4.3,2,10,0,5,1,2,4.0,159,4.7
Skyler Perry,82082,QB,ARKAPB,3,2.58,2.42,3.38,4.5,75,112,77.5,40,41,5.7,1.79,1,0,0.0,65.9,27,8,12.9,41,54.7,4,17,,,,,69.1,65.0,74.9,,64.6,,,,,0,0,42,0.0,111.9,0.0,0,0,0,0,3,0,0.0,301,7.3,60.0,20,25,15.7,3.54,0,3,11.5,40.0,10,17,16.7,34,45.3,2,7,,,,,29.1,64.2,74.3,,61.3,,66.4,,,0,1,35,35.3,63.8,17.6,6,3,0,5,1,2,5.7,190,7.6
Jalon Daniels,122555,QB,KANSAS,3,2.25,2.11,,4.2,75,198,72.9,48,49,6.5,1.71,1,0,0.0,67.3,33,6,5.7,49,65.3,2,20,,,,,69.8,71.8,75.7,,71.1,,,,,0,1,52,0.0,104.1,0.0,0,0,0,0,5,1,1.9,240,4.9,70.0,20,21,14.1,3.27,0,4,16.7,66.7,14,13,0.0,26,34.7,0,15,,,,,68.1,91.1,73.6,,92.1,,58.6,,,1,0,29,0.0,141.5,0.0,0,5,0,0,2,1,3.4,326,15.5
BeSean McCray,78471,QB,SOUTHERN U,3,2.83,2.51,3.29,4.37,75,297,64.5,31,32,5.0,1.82,1,0,0.0,56.3,18,4,10.0,33,44.0,2,4,,,,,68.5,36.2,74.1,,36.4,,,,,0,4,33,25.0,32.3,3.0,1,0,0,0,1,3,9.1,82,2.6,72.7,22,26,15.2,3.62,0,1,3.6,61.5,16,20,0.0,42,56.0,0,13,,,,,69.4,68.1,75.2,,67.5,,62.5,,,1,0,45,30.0,103.0,14.3,6,10,0,3,1,1,2.2,230,8.8
Brayden Schager,146078,QB,HAWAII,3,2.61,2.63,3.35,5.5,74,180,82.1,39,40,4.5,1.85,0,1,2.4,65.0,26,7,18.8,41,55.4,6,10,,,,,69.1,62.7,74.9,,62.3,,,,,0,3,42,14.3,46.3,2.4,1,0,0,1,0,1,2.4,204,5.1,61.5,26,29,12.2,3.79,0,1,3.3,51.7,15,13,6.3,31,41.9,1,9,,,,,68.4,67.3,74.0,,64.9,,64.3,,,0,1,32,7.7,58.7,3.2,1,1,0,3,0,1,3.1,194,6.7
Jeremy Moussa,75887,QB,FL A&M,2,2.36,2.23,2.97,4.9,74,164,63.0,46,46,7.2,1.86,0,1,2.0,60.9,28,9,3.4,47,63.5,1,13,,,,,69.7,46.0,75.6,,46.2,,,,,0,2,50,11.1,58.1,2.1,1,0,0,0,0,3,6.0,258,5.6,61.1,18,20,11.2,3.23,0,2,10.0,55.0,11,17,0.0,27,36.5,0,6,,,,,27.4,61.6,73.5,,69.4,,42.8,,,1,0,28,29.4,106.9,18.5,5,2,0,1,2,1,3.6,123,6.2
Will McElvain,88639,QB,CENT ARK,2,3.0,2.69,3.15,5.08,74,132,70.4,27,31,8.0,2.01,3,0,0.0,54.8,17,10,10.5,33,44.6,2,8,,,,,68.5,54.9,0.0,,56.9,,,,,0,1,33,20.0,52.9,6.1,2,0,0,1,0,1,3.0,138,4.5,64.0,25,27,10.0,3.8,0,1,3.3,51.9,14,25,12.5,41,55.4,2,8,,,,,35.2,40.2,75.2,,44.5,,47.9,,,0,2,45,24.0,51.6,14.6,6,8,0,2,1,3,6.7,161,6.0
Seth Morgan,103954,QB,VA MILT IN,3,2.53,2.32,3.63,4.8,74,336,73.0,37,39,4.1,1.63,2,1,2.3,59.0,23,3,14.8,40,54.1,4,7,,,,,28.9,45.7,75.1,,45.7,,,,,0,1,44,33.3,68.3,2.5,1,0,0,0,1,2,4.5,180,4.6,55.0,20,25,10.7,3.59,0,0,0.0,44.0,11,18,0.0,34,45.9,0,9,,,,,68.6,50.6,74.4,,46.9,,68.1,,,0,1,36,38.9,41.9,20.6,7,2,0,5,0,1,2.8,119,4.8
Nate Cox,60432,QB,NEVADA,3,2.48,2.25,3.41,4.35,73,239,65.8,38,39,6.7,1.77,1,3,7.1,59.0,23,14,8.0,40,54.8,2,15,,,,,34.0,64.8,75.0,,64.3,,,,,0,0,43,7.1,87.9,2.5,1,0,0,0,1,3,7.0,263,6.7,63.6,22,23,10.6,3.34,0,2,7.7,52.2,12,17,14.3,33,45.2,2,8,,,,,68.7,70.0,74.4,,65.1,,71.0,,,0,0,36,35.3,82.5,18.2,6,4,0,1,1,0,0.0,124,5.4
Noah Walters,164315,QB,N ALABAMA,3,2.7,2.39,2.4,4.9,73,389,82.4,34,36,7.0,1.82,0,2,5.1,61.1,22,6,21.4,37,50.7,6,10,,,,,69.0,88.4,74.8,,87.3,,,,,2,1,40,16.7,73.7,2.7,1,0,0,0,1,0,0.0,199,5.5,41.7,24,26,22.4,3.61,0,5,17.9,34.6,9,14,10.0,36,49.3,1,9,,,,,41.9,69.1,74.6,,65.3,,67.6,,,2,1,38,7.1,87.2,2.8,1,9,0,0,3,2,5.3,211,8.1
Logan Bonner,39990,QB,UTAH ST,3,2.32,2.21,4.5,4.07,73,329,71.4,42,44,8.0,1.92,0,5,10.9,61.4,27,2,10.0,44,60.3,3,18,,,,,69.4,87.8,75.3,,86.6,,,,,0,2,46,0.0,80.7,0.0,0,0,0,2,2,1,2.2,330,7.5,40.0,25,25,14.6,2.93,0,2,6.7,32.0,8,8,20.0,29,39.7,2,4,,,,,68.5,69.6,74.2,,73.1,,50.3,,,0,1,34,12.5,41.4,3.4,1,3,0,0,1,1,2.9,96,3.8
Pierce Holley,108981,QB,GEORGETOWN,2,2.24,2.19,3.0,3.65,72,172,86.7,45,46,5.5,1.77,1,1,2.2,80.4,37,3,5.1,46,63.9,2,15,,,,,69.4,70.6,75.3,,70.0,,,,,0,0,46,0.0,114.4,0.0,0,0,0,0,3,0,0.0,287,6.2,81.8,22,23,10.3,3.08,0,2,7.4,78.3,18,6,0.0,26,36.1,0,9,,,,,68.3,84.7,73.9,,85.9,,59.1,,,0,0,31,16.7,97.1,3.8,1,2,0,1,0,0,0.0,168,7.3
Darius Wilson,148492,QB,WM & MARY,3,3.13,2.63,4.93,5.49,71,348,75.8,33,34,7.0,2.02,0,2,5.9,70.6,24,2,4.0,34,47.9,1,13,,,,,68.5,69.8,74.2,,69.3,,,,,0,1,34,0.0,89.5,0.0,0,0,0,1,1,1,2.9,253,7.4,76.2,21,24,15.0,4.14,0,4,14.3,58.3,14,22,12.5,37,52.1,2,13,,,,,69.2,90.1,75.0,,87.9,,70.9,,,0,0,43,18.2,137.3,10.8,4,9,0,3,3,1,2.3,271,11.3
Hank Bachmeier,101284,QB,BOISE ST,3,2.72,2.56,3.54,4.93,71,120,76.7,30,30,4.2,1.94,0,1,3.2,73.3,22,8,4.3,30,42.3,1,9,,,,,68.3,70.9,73.9,,70.3,,,,,0,0,31,0.0,121.7,0.0,0,0,0,0,3,0,0.0,181,6.0,62.1,29,30,16.6,3.37,0,3,9.4,53.3,16,18,11.1,40,56.3,2,11,,,,,15.5,44.4,75.0,,47.2,,50.0,,,0,3,43,38.9,60.1,17.5,7,3,0,1,2,6,14.0,223,7.4
Graham Mertz,97994,QB,WISCONSIN,3,2.58,2.38,3.88,4.67,70,349,85.7,35,36,8.9,1.95,1,3,7.9,77.8,28,4,6.7,37,52.9,2,20,,,,,68.9,76.3,74.7,,75.6,,,,,0,1,39,25.0,133.9,2.7,1,0,0,0,3,2,5.1,441,12.3,66.7,24,26,11.9,3.3,0,3,10.0,61.5,16,10,0.0,33,47.1,0,13,,,,,68.8,74.8,74.5,,75.5,,58.6,,,0,1,37,40.0,115.1,12.1,4,3,0,2,3,0,0.0,245,9.4
Tanner McKee,131770,QB,STANFORD,2,2.45,2.33,3.52,4.75,70,300,73.2,41,41,7.7,1.99,0,2,4.4,70.7,29,5,3.3,41,58.6,1,17,,,,,69.4,72.0,75.2,,71.3,,,,,0,3,45,0.0,78.9,0.0,0,0,0,0,2,2,4.4,316,7.7,75.0,20,21,12.6,3.21,0,2,9.1,61.9,13,11,13.3,28,40.0,2,11,,,,,68.1,83.7,73.6,,83.2,,62.0,,,0,0,29,45.5,111.6,17.9,5,2,0,1,1,0,0.0,212,10.1
Xavier Williams,145579,QB,CHARLOTTE,2,3.09,2.87,4.53,4.82,70,136,54.8,31,34,8.8,1.89,3,1,2.9,50.0,17,8,0.0,34,48.6,0,9,,,,,68.5,61.8,74.2,,61.4,,,,,0,0,34,0.0,87.1,0.0,0,0,0,0,2,0,0.0,194,5.7,60.9,23,25,12.3,4.34,0,2,6.9,52.0,13,19,7.1,35,50.0,1,8,,,,,69.0,65.2,74.8,,58.1,,72.8,,,0,0,40,21.1,78.6,11.4,4,6,0,2,0,2,5.0,199,8.0
Jacob Sirmon,83590,QB,N COLORADO,2,3.18,3.02,3.85,5.2,69,253,87.0,23,23,5.1,1.97,0,0,0.0,78.3,18,1,10.0,24,34.8,2,11,,,,,68.0,76.1,73.5,,75.5,,,,,0,1,28,100.0,102.4,4.2,1,0,0,0,2,2,7.1,137,6.0,57.6,33,37,14.7,3.83,0,3,7.7,40.5,15,27,21.1,45,65.2,4,8,,,,,22.6,56.1,9.0,,60.2,,51.1,,,0,1,47,18.5,48.1,11.1,5,3,0,4,0,3,6.4,209,5.6
Jordan Travis,77615,QB,FLORIDA ST,3,2.84,2.69,5.15,,69,167,75.0,32,32,7.3,1.89,0,2,6.3,68.8,22,9,8.3,32,46.4,2,10,,,,,68.4,90.1,74.0,,89.5,,,,,0,1,32,0.0,90.6,0.0,0,0,0,0,2,0,0.0,180,5.6,71.9,32,33,16.8,3.66,0,3,8.6,66.7,22,18,4.3,37,53.6,1,17,,,,,68.9,90.4,74.7,,90.0,,,,,0,0,39,22.2,129.9,10.8,4,0,0,1,2,0,0.0,444,13.5
T.J. Finley,124093,QB,AUBURN,3,3.0,2.6,4.18,4.55,69,115,78.6,28,29,8.6,1.95,1,2,6.9,72.4,21,8,4.5,31,44.9,1,12,,,,,68.2,60.9,73.9,,60.6,,,,,0,2,31,25.0,78.2,6.5,2,0,0,0,1,3,9.7,230,7.9,60.0,20,25,13.1,3.85,1,2,7.4,48.0,12,21,0.0,38,55.1,0,14,,,,,20.9,53.1,74.8,,51.6,,59.5,,,0,2,40,14.3,42.6,7.9,3,10,0,4,0,3,7.5,203,8.1
Tommy Mellott,147646,QB,MONTANA ST,3,2.61,2.34,2.85,4.84,69,233,74.4,39,40,10.8,1.93,1,3,7.3,65.0,26,5,10.3,40,58.0,3,17,,,,,69.1,60.5,74.9,,60.2,,,,,0,3,41,0.0,102.3,0.0,0,0,0,0,4,3,7.3,422,10.6,66.7,18,20,10.2,3.55,0,0,0.0,55.0,11,5,8.3,29,42.0,1,10,,,,,68.2,70.2,73.9,,68.6,,64.4,,,0,0,30,40.0,77.7,6.9,2,7,0,2,0,1,3.3,143,7.2
Dante Casciola,149521,QB,DAYTON,2,2.83,2.41,3.19,4.23,69,150,80.0,25,27,5.3,1.82,2,2,7.1,70.4,19,2,5.0,27,39.1,1,4,,,,,68.0,63.2,73.5,,62.8,,,,,0,1,28,0.0,63.8,0.0,0,0,0,0,0,1,3.6,120,4.4,47.1,17,20,13.8,3.56,1,1,4.5,40.0,8,19,0.0,41,59.4,0,8,,,,,69.1,58.6,75.0,,51.8,,66.0,,,1,1,43,36.8,52.3,17.1,7,14,0,1,1,1,2.3,101,5.1
Romelo Williams,78489,QB,CENT CT ST,2,2.82,2.48,3.41,4.58,69,133,71.9,32,32,3.8,1.94,0,0,0.0,62.5,20,5,13.0,34,49.3,3,7,,,,,68.8,54.0,74.5,,53.9,,,,,0,1,37,40.0,59.1,5.9,2,0,0,0,0,2,5.4,138,4.3,61.1,18,22,8.9,3.67,0,0,0.0,50.0,11,17,0.0,35,50.7,0,7,,,,,68.7,50.8,74.4,,53.4,,53.7,,,0,2,36,29.4,30.7,14.3,5,8,0,4,0,1,2.8,131,6.0
Jeremiah Oatsvall,54990,QB,TENN TECH,2,2.52,2.09,2.81,4.35,68,309,82.4,34,34,5.2,1.69,0,0,0.0,76.5,26,8,7.1,37,54.4,2,16,,,,,68.9,60.4,74.7,,60.1,,,,,0,2,39,37.5,93.5,8.1,3,0,0,0,3,1,2.6,186,5.5,54.5,11,13,13.9,3.62,0,2,12.5,38.5,5,20,16.7,30,44.1,1,8,,,,,28.6,42.8,74.1,,29.0,,69.2,,,0,1,33,30.0,41.2,20.0,6,11,0,2,0,3,9.1,122,9.4
Chris Reynolds,60361,QB,CHARLOTTE,2,2.38,2.18,4.27,5.55,67,136,83.7,43,43,6.8,1.74,0,2,4.4,76.7,33,3,8.3,43,64.2,3,16,,,,,69.4,86.6,75.2,,85.5,,,,,0,1,45,0.0,119.3,0.0,0,0,0,0,4,0,0.0,330,7.7,72.2,18,19,16.3,3.52,0,2,9.1,63.2,12,11,7.7,24,35.8,1,11,,,,,68.0,86.9,73.5,,84.4,,67.6,,,1,0,28,27.3,146.4,12.5,3,2,0,0,3,0,0.0,267,14.1
Collin Schlee,98025,QB,KENT STATE,3,3.19,2.83,4.03,5.26,67,201,78.3,23,24,4.2,1.93,1,0,0.0,70.8,17,2,5.6,24,35.8,1,8,,,,,67.6,67.4,73.0,,67.0,,,,,0,1,24,0.0,67.2,0.0,0,0,0,0,0,1,4.2,135,5.6,64.3,28,31,20.1,3.89,0,5,14.3,51.6,16,23,11.1,43,64.2,2,22,,,,,69.5,90.3,75.4,,80.9,,84.6,,,0,1,48,17.4,114.0,9.3,4,8,0,3,3,3,6.3,373,12.0
Lucas Johnson,40551,QB,MONTANA,2,2.71,2.37,3.47,4.75,66,232,84.4,32,32,6.3,1.92,0,1,3.0,78.1,25,1,7.4,32,48.5,2,12,,,,,68.5,79.5,74.1,,78.7,,,,,0,0,33,0.0,122.9,0.0,0,0,0,0,2,0,0.0,272,8.5,63.6,22,23,11.6,3.46,0,2,8.3,56.5,13,10,7.1,34,51.5,1,10,,,,,68.6,86.0,74.3,,74.5,,81.4,,,0,1,35,30.0,94.9,8.8,3,8,0,1,3,1,2.9,134,5.8
Jaxson Dart,146409,QB,OLE MISS,3,2.75,2.56,3.4,5.92,66,226,92.0,25,26,5.9,1.73,1,1,3.7,88.5,23,3,0.0,26,39.4,0,13,,,,,67.9,88.5,73.4,,87.5,,,,,0,0,27,0.0,134.1,0.0,0,0,0,0,3,0,0.0,181,7.0,51.6,31,32,20.4,3.59,0,7,19.4,46.9,15,18,6.3,38,57.6,1,16,,,,,69.1,70.1,74.9,,70.7,,59.0,,,1,2,42,5.6,62.2,2.6,1,5,0,0,0,3,7.1,362,11.3
Xavier Lankford,142724,QB,ALAB A&M,2,2.76,2.49,3.23,4.94,65,104,57.1,28,28,6.0,1.89,0,1,3.6,53.6,15,3,6.3,28,43.1,1,9,,,,,68.0,55.8,73.5,,55.6,,,,,0,1,28,0.0,50.3,0.0,0,0,0,0,0,3,10.7,124,4.4,68.2,22,25,10.8,3.52,0,0,0.0,48.0,12,21,20.0,36,55.4,3,6,,,,,68.8,49.5,74.5,,53.9,,50.4,,,1,2,37,19.0,37.3,11.1,4,7,0,2,0,2,5.4,171,6.8
Connor Watkins,108971,QB,VILLANOVA,3,3.2,2.6,3.37,5.74,65,334,80.0,25,25,4.7,1.87,0,0,0.0,72.0,18,5,10.0,26,40.0,2,6,,,,,67.9,65.3,73.4,,64.9,,,,,0,1,27,20.0,81.9,3.8,1,0,0,0,1,0,0.0,139,5.6,54.5,22,22,26.5,4.2,0,2,7.4,50.0,11,21,8.3,38,58.5,1,14,,,,,69.4,47.8,75.2,,38.7,,67.9,,,0,5,45,23.8,95.8,13.2,5,11,0,0,4,7,15.6,369,16.8
Dante Chachere,103930,QB,PORTLAND,2,2.9,2.62,3.35,4.97,64,269,65.4,26,28,7.8,1.72,2,0,0.0,60.7,17,2,0.0,28,43.8,0,8,,,,,68.2,53.6,73.7,,53.5,,,,,0,2,30,0.0,64.4,0.0,0,0,0,0,2,1,3.3,119,4.3,75.0,20,27,19.8,3.82,0,4,14.8,48.1,13,16,13.3,36,56.3,2,9,,,,,68.7,91.7,74.4,,90.9,,72.2,,,0,0,36,12.5,73.2,5.6,2,7,0,7,0,1,2.8,201,7.4
J.T. Shrout,83562,QB,COLORADO,3,3.11,3.06,2.88,4.1,63,143,55.6,18,18,7.0,1.92,0,0,0.0,38.9,7,3,30.0,19,30.2,3,2,,,,,67.1,45.8,72.4,,45.9,,,,,0,0,20,33.3,47.0,5.3,1,0,0,0,0,2,10.0,37,2.1,58.8,34,37,16.7,3.63,1,3,7.7,40.5,15,21,25.0,44,69.8,5,11,,,,,34.9,52.5,75.3,,57.4,,44.6,,,0,1,46,14.3,64.6,6.8,3,4,0,2,2,5,10.9,195,5.3
Rocky Lombardi,60452,QB,N ILLINOIS,3,2.91,2.83,,5.43,63,254,80.0,25,25,7.5,1.79,0,1,4.0,76.0,19,0,5.0,25,39.7,1,11,,,,,67.7,85.5,73.1,,84.6,,,,,0,0,25,,111.9,0.0,0,0,0,0,1,1,4.0,199,8.0,69.7,33,34,14.8,3.75,0,3,7.9,55.9,19,16,17.4,37,58.7,4,15,,,,,69.1,90.3,74.9,,90.5,,57.4,,,1,1,41,0.0,115.8,0.0,0,3,0,0,4,0,0.0,328,9.6
Mike Chandler,139371,QB,LAMAR,2,3.75,3.43,3.3,6.12,63,204,64.7,17,17,7.8,1.84,0,0,0.0,58.8,10,3,9.1,18,28.6,1,6,,,,,67.0,54.4,72.2,,54.3,,,,,0,1,19,33.3,80.3,5.6,1,0,0,0,1,1,5.3,139,8.2,46.2,26,32,20.0,4.62,1,1,3.1,25.0,8,27,33.3,44,69.8,4,7,,,,,33.7,42.2,75.2,,49.6,,43.6,,,0,0,45,11.1,62.5,6.8,3,9,0,5,1,1,2.2,192,6.0
Jake Dunniway,60572,QB,SACRAMENTO,2,2.17,2.14,2.8,,63,279,90.0,40,44,5.2,1.78,2,0,0.0,75.0,33,6,8.3,45,71.4,3,18,,,,,69.4,79.5,75.3,,78.7,,,,,2,0,46,16.7,117.8,2.2,1,0,0,0,3,0,0.0,322,7.3,43.8,16,16,10.2,3.14,0,0,0.0,37.5,6,6,14.3,18,28.6,1,2,,,,,66.7,46.6,72.0,,46.7,,,,,0,0,18,33.3,45.8,11.1,2,0,0,0,0,0,0.0,47,2.9
Ashur Carraha,165036,QB,STHLSK,2,2.56,2.3,3.47,4.35,62,1470,63.3,30,31,6.9,1.93,1,1,2.9,61.3,19,8,0.0,32,51.6,0,10,,,,,68.6,58.7,74.3,,58.5,,,,,0,0,35,12.5,102.8,3.1,1,0,0,0,2,1,2.9,209,6.7,50.0,22,22,20.0,3.23,0,4,18.2,50.0,11,6,0.0,30,48.4,0,13,,,,,28.3,59.0,73.9,,57.0,,62.4,,,0,1,31,33.3,112.3,6.7,2,6,0,0,3,2,6.5,253,11.5
