"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","total_touches","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","player_game_count"
"23","Micah Bernard","UTAH",5800,22.27,4,"Healthy","-29.5","52",67.6,75.5,8.8,"COL",131,130,131,27.5,57.5,0,0.1,2.5,0.2,6.6,22.6,3.2,11
"24","Jalen Berger","MSU",5800,11.05,4,"Healthy","19","53.5",68.5,69.4,14.4,"PSU",60,106,111,60.4,40.4,0,0.2,2.9,0.2,12.8,11.6,2.1,11
"25","Donovan Edwards","MICH",5600,9.04,4,"Prob Sat - Undisclosed","8.5","56",89.8,85.1,10.6,"OSU",4,7,33,58.9,44.2,0,0.2,2.7,0.3,8.8,23.2,2.1,8
"26","Tank Bigsby","AUB",5500,10.3,4,"Healthy","22.5","50",81.9,89.6,17.2,"BAMA",3,2,4,83,153.4,0,0.2,4.4,0.3,14.8,16.5,3.5,11
"27","Daijun Edwards","UGA",5000,12.34,4,"Prob Sat - Undisclosed","-36.5","48.5",80.2,81.4,10.7,"GT",79,53,88,50.5,71.7,0,0.1,2.9,0.3,9.7,7.3,1.2,11
"28","Maurice Turner","UL",4800,10.15,4,"Healthy",NA,NA,65.1,70.3,6.8,"UK",48,78,21,23.6,51.6,0,0.1,2.9,0.1,5.4,10.4,1.6,5
"29","Cartevious Norton","ISU",4800,12.97,4,"Healthy","9.5","46",66.4,68.9,12.3,"TCU",76,62,16,34.4,64.5,0,0.1,2.5,0.2,10.7,6.6,2.3,7
"30","Justin Johnson Jr.","WVU",4600,11.61,4,"Healthy","5.5","60",65.1,69.9,9.4,"OKST",58,72,116,38.8,48,0,0.1,2.6,0.2,8.6,4.2,0.8,11
"31","Miyan Williams","OSU",7600,8.91,3,"Prob Sat - Lower Body","-8.5","56",88.5,90.7,13.4,"MICH",6,5,1,87,171.9,0,0.2,4.5,0.4,13,2.9,0.7,9
"32","TreVeyon Henderson","OSU",6300,8.91,3,"Out Sat - Lower Body","-8.5","56",73.8,78.7,13.8,"MICH",6,5,1,72,37,0,0.1,2.7,0.3,13.2,3.5,0.8,8
"33","Josh Henderson","IU",5400,9.6,3,"Healthy","10.5","53",75.6,78,9,"PUR",91,77,46,30.8,106.8,0,0.1,2.9,0.3,7.3,21.7,2.1,11
"34","Dontae Smith","GT",4200,9.06,3,"Healthy","36.5","48.5",68.1,73.9,8.3,"UGA",25,22,20,35.1,89.9,0,0.2,3.4,0.3,6.9,8.8,1.5,11
"35","Roydell Williams","BAMA",3400,8.73,3,"Healthy","-22.5","50",71.7,77.9,5.4,"AUB",46,103,18,22.5,50.6,0,0.2,2.7,0.3,4.9,3.7,0.8,10
"36","Shaun Shivers","IU",5800,7.77,2,"Healthy","10.5","53",64.6,70.4,13.5,"PUR",91,77,46,48.1,45.8,0,0.1,2,0.2,11.6,11.4,2.2,11
"37","Reese White","C-C",5600,8.64,1,"Healthy",NA,NA,67.6,71,11.3,"JMU",NA,NA,NA,56.9,81.4,0,0.2,3.4,0.4,10.4,4.4,0.9,7
"38","Dallan Hayden","OSU",5400,6.21,1,"Healthy","-8.5","56",81.4,80.1,13,"MICH",6,5,1,62.9,54.6,0,0.1,3.3,0.2,12.5,2.9,0.5,8
"39","Isaac Guerendo","WISC",5300,7,1,"Healthy","-3.5","36",71.1,73.6,6.4,"MINN",34,42,17,31.4,62.6,0,0.1,3.4,0.2,5.2,9.4,1.5,11
"40","Elijah Collins","MSU",5200,6.85,1,"Healthy","19","53.5",74.9,76.3,7.3,"PSU",60,106,111,28.5,71.9,0,0.1,3.5,0.3,6,9,1.5,10
"41","Braydon Bennett","C-C",5200,5.03,1,"Healthy",NA,NA,70.3,63.9,7,"JMU",NA,NA,NA,14,0,0,0.2,1.2,0.2,4,72,3,1
"42","Kendall Milton","UGA",5100,6.65,1,"Healthy","-36.5","48.5",78.2,77.6,7.1,"GT",79,53,88,40.7,62.1,0,0.2,3.3,0.3,6.8,5.2,0.3,9
"43","Hassan Hall","GT",5100,8.22,1,"Healthy","36.5","48.5",71.1,75.5,13,"UGA",25,22,20,47.4,58.2,0,0.1,3.3,0.2,10.5,15,3.2,11
"44","Jase McClellan","BAMA",4900,7.5,1,"Healthy","-22.5","50",75.6,78.9,9.5,"AUB",46,103,18,51.4,88.1,0,0.2,3.6,0.3,8.5,14,1.3,11
"45","Emari Demercado","TCU",4900,6.43,1,"Healthy","-9.5","46",70.7,76.7,8.3,"ISU",42,20,78,39.4,68.7,0,0.2,3.5,0.3,7.3,6.3,1.1,11
"46","Tony Mathis Jr.","WVU",4700,8.27,1,"Healthy","5.5","60",67.5,71.5,14.6,"OKST",58,72,116,61,57.3,0,0.1,2.5,0.3,14,1.7,0.8,9
"47","Latrele Palmer","JMU",4700,5.01,1,"Healthy","-15.5","53",66.4,67.8,9.8,"CCAR",83,86,108,33,55.5,0,0.1,2.7,0.2,9.2,4.7,0.7,10
"48","Jarquez Hunter","AUB",4600,7.6,1,"Healthy","22.5","50",79,81.7,9.7,"BAMA",3,2,4,48.7,168.3,0,0.2,3.9,0.3,8.5,19,1.8,11
"49","Alex Fontenot","COL",4600,8.53,1,"Healthy","29.5","52",80.1,80.7,13,"UTAH",43,99,87,60,102.1,0,0.1,3.5,0.3,11.8,11.2,1.6,5
"50","Johnny Ford","FAU",4600,6.24,1,"Healthy",NA,NA,71.7,68.3,6.9,"WKU",NA,NA,NA,18.9,43.1,0,0.1,1.6,0.2,5.6,19.1,2.3,7
"51","Phil Mafah","CLEM",4200,5.22,1,"Healthy","-14","53",80.7,81.3,8.2,"SCAR",115,121,57,38.5,84.8,0,0.1,3.6,0.3,7.5,4.3,0.8,11
"52","Kaelon Black","JMU",4000,8.07,1,"Healthy","-15.5","53",75.1,73.2,9.5,"CCAR",83,86,108,37.4,83.1,0,0.2,3.7,0.3,7.5,21.4,2,8
"53","Eli Sanders","ISU",3800,7.37,1,"Healthy","9.5","46",60.7,61.4,6.9,"TCU",76,62,16,13.7,21.8,0,0,2.1,0.2,5.9,7.3,1.3,7
"54","Chez Mellusi","WISC",3800,7.22,1,"Healthy","-3.5","36",71.6,71.1,11.3,"MINN",34,42,17,45.9,34.2,0,0.1,2.5,0.2,11,3.6,0.3,7
"55","Kobe Pace","CLEM",3400,5.02,1,"Healthy","-14","53",62.2,66.3,5.2,"SCAR",115,121,57,11,25.3,0,0.1,2,0.3,4.2,5.8,1.3,6
"56","Jaylen Anderson","WVU",3400,7.84,1,"Healthy","5.5","60",68.4,74.9,4.2,"OKST",58,72,116,24,178.6,0,0.1,3.8,0.3,4,3,0.4,5
"57","Zuberi Mobley","FAU",3300,6.31,1,"Healthy",NA,NA,82,82.3,9.1,"WKU",NA,NA,NA,46.3,98.7,0,0.1,3.1,0.3,8.6,3.6,0.5,11
"58","Kye Robichaux","WKU",6600,NA,0,"Healthy",NA,NA,75.1,80.2,10.8,"FAU",90,59,120,62,76.9,0,0.2,3.5,0.3,9.1,9.2,2,8
"59","Devin Mockobee","PUR",6000,19.12,0,"Ques Sat - Concussion","-10.5","53",74.5,79.3,16.7,"IU",108,51,106,74.5,95.8,0,0.1,3.2,0.3,14.9,15.9,2.6,10
"60","CJ Beasley","C-C",5900,4.27,0,"Healthy",NA,NA,72,80.6,14,"JMU",NA,NA,NA,65.5,54.4,0,0.1,2.5,0.2,12.3,15.9,2,10
"61","MarShawn Lloyd","SCAR",5400,NA,0,"Ques Sat - Quadricep","14","53",79.8,86.1,14.5,"CLEM",16,30,14,68.6,145.4,0,0.2,4.3,0.4,12.4,21.2,3,8
"62","Dominic Richardson","OKST",5300,NA,0,"Ques Sat - Undisclosed","-5.5","60",72.7,72.5,18.9,"WVU",107,44,15,62.2,62.3,0,0.1,2.8,0.3,16.6,24,2.6,9
"63","Trey Potts","MINN",5300,3.15,0,"Healthy","3.5","36",78,77.4,9.3,"WISC",28,64,61,44.2,82.7,0,0.2,3.3,0.3,9,2.3,0.4,10
"64","Juju McDowell","SCAR",4800,3.53,0,"Healthy","14","53",66.9,67.4,6.9,"CLEM",16,30,14,16.8,47.7,0,0.1,2.6,0.2,5.1,11.5,2.2,11
"65","King Doerue","PUR",4800,NA,0,"Ques Sat - Undisclosed","-10.5","53",67.6,72.5,8.2,"IU",108,51,106,24.2,109.4,0,0,2.8,0.4,6.8,14.2,1.5,4
"66","Jarek Broussard","MSU",4700,2.41,0,"Ques Sat - Undisclosed","19","53.5",78.6,80.8,6.5,"PSU",60,106,111,29.2,112.6,0,0.1,3.3,0.3,6.1,4.8,0.4,10
"67","Deshaun Fenwick","ORST",4600,NA,0,"Ques Sat - Leg","1.5","57",71.4,73.4,11,"ORE",77,75,31,49.1,44.3,0,0.1,2.8,0.2,10.5,1.9,0.6,8
"68","Jaylon Glover","UTAH",4300,5.41,0,"Healthy","-29.5","52",81.3,80.8,9.4,"COL",131,130,131,42.6,54.3,0,0.1,3,0.3,9.3,0.9,0.1,7
"69","Jaylin Lucas","IU",4200,3.95,0,"Healthy","10.5","53",64.9,65.8,5.1,"PUR",91,77,46,17.2,64.3,0,0.1,2.7,0.2,4.1,8.2,1.3,10
"70","Davion Ervin-Poindexter","WKU",4100,12.7,0,"Healthy",NA,NA,68.6,73.3,8.4,"FAU",90,59,120,31.9,57,0,0.1,2.7,0.2,7.4,2.2,1.3,12
"71","Christian Beal-Smith","SCAR",4000,NA,0,"Ques Sat - Undisclosed","14","53",69,70.6,5.3,"CLEM",16,30,14,20.9,46.4,0,0.1,4.3,0.3,4.9,2.7,0.6,7
"72","Marvin Scott III","FAU",3900,0.88,0,"Healthy",NA,NA,65.9,65.9,6,"WKU",NA,NA,NA,26.7,13.3,0,0.1,2.4,0.3,6,0,0,3
"73","Deion Smith","COL",3800,2.67,0,"Healthy","29.5","52",70,75.5,10.1,"UTAH",43,99,87,42.8,35.8,0,0.2,2.5,0.2,9,9.6,1.4,9
"74","Byron Cardwell","ORE",3800,0.94,0,"Out indefinitely - Lower Body","-1.5","57",77,78,7.5,"ORST",34,41,70,38,80,0,0.3,4,0.5,5.5,17,2,2
"75","Jam Griffin","ORST",3800,NA,0,"Healthy","1.5","57",NA,NA,NA,"ORE",77,75,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","L.T. Sanders","WKU",3800,NA,0,"Healthy",NA,NA,NA,NA,NA,"FAU",90,59,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Tiyon Evans","UL",3700,4.24,0,"Healthy",NA,NA,73.3,76.4,11.1,"UK",48,78,21,64.8,83.6,0,0.2,3,0.3,10.4,1.6,0.8,8
"78","Kavosiey Smoke","UK",3700,0.97,0,"Healthy","-3","43",69,70.1,8.7,"UL",NA,NA,NA,37.6,42.7,0,0.1,2.9,0.2,8.3,4.3,0.6,7
"79","Bryce Williams","MINN",3700,1.74,0,"Healthy","3.5","36",74.1,77.9,5.3,"WISC",28,64,61,21.1,81.6,0,0.1,3,0.2,4.4,7.5,1.1,11
"80","Rashad Amos","SCAR",3600,NA,0,"Healthy","14","53",43.2,49.7,1,"CLEM",16,30,14,9,0,0,0,6,0,1,0,0,1
"81","Solomon Vanhorse","JMU",3600,NA,0,"Healthy","-15.5","53",NA,NA,NA,"CCAR",83,86,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","JuTahn McClain","UK",3500,3.49,0,"Healthy","-3","43",67.8,73.5,6.8,"UL",NA,NA,NA,22,134.5,0,0.1,3.6,0.1,4.8,13.1,2.8,8
"83","Anthony Hankerson","COL",3400,4.55,0,"Healthy","29.5","52",77.3,78.2,9.3,"UTAH",43,99,87,32.6,48.3,0,0.1,2.4,0.2,8.6,3.4,1,7
"84","Grover Bortolotti","WISC",3400,NA,0,"Healthy","-3.5","36",NA,NA,NA,"MINN",34,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Aaron Bedgood","C-C",3400,1.36,0,"Healthy",NA,NA,65.2,65.5,2.3,"JMU",NA,NA,NA,14.7,63.3,0,0.3,4.4,0.3,2.3,0,0,3
"86","Jamarion Miller","BAMA",3300,3.91,0,"Healthy","-22.5","50",73.5,72.6,7.8,"AUB",46,103,18,44.8,42.2,0,0.2,3.3,0.2,7.5,-0.2,0.2,4
"87","Deon Silas","ISU",3300,2.48,0,"Healthy","9.5","46",66.2,73.4,6.5,"TCU",76,62,16,25,38.1,0,0.1,2.8,0.2,5.6,3.8,1.2,10
"88","Trent Battle","TCU",3300,0.83,0,"Healthy","-9.5","46",62.6,55.6,1.2,"ISU",42,20,78,3.4,89.4,0,0.1,3.9,0.2,0.7,4.6,0.5,11
"89","CJ Stokes","MICH",3300,1.64,0,"Healthy","8.5","56",72.1,73.2,5.9,"OSU",4,7,33,29.3,30.3,0,0.2,2.7,0.3,5.8,1.7,0.2,9
"90","Javy Bunton","WKU",3300,NA,0,"Healthy",NA,NA,NA,NA,NA,"FAU",90,59,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Dylan McDuffie","GT",3200,0.82,0,"Healthy","36.5","48.5",56.7,59.9,3.4,"UGA",25,22,20,5.6,26.3,0,0,1.8,0.1,2.8,4.1,1.1,8
"92","Sean Dollars","ORE",3200,2.11,0,"Healthy","-1.5","57",70.5,69.1,5.4,"ORST",34,41,70,20.9,21.6,0,0.2,2.6,0.3,3.8,15.9,1.9,9
"93","Deondre Jackson","OKST",3200,4.4,0,"Out indefinitely - Foot","-5.5","60",66.1,67.3,3,"WVU",107,44,15,11.7,22.2,0,0.1,2,0.1,2.5,3.3,0.5,6
"94","Isaiah Gash","MICH",3200,1.03,0,"Healthy","8.5","56",75.4,74.3,3.1,"OSU",4,7,33,14.4,54.5,0,0.1,4,0.5,2.7,3.4,0.6,7
"95","Jakairi Moses","WKU",3200,1.07,0,"Healthy",NA,NA,64.7,67.6,4.4,"FAU",90,59,120,20.9,61.7,0,0.2,2.7,0.3,3.7,3.6,0.9,7
"96","Kelvin Dean Jr.","FAU",3200,NA,0,"Healthy",NA,NA,67,59.8,2,"WKU",NA,NA,NA,2.3,66.7,0,0,2,0,1.3,7.3,0.7,3
"97","Chris Curry","UTAH",3100,NA,0,"Healthy","-29.5","52",82,79.1,4,"COL",131,130,131,27,131.3,0,0.2,5.2,0.5,4,0,0,3
"98","Isaiah Newell","ORST",3100,5,0,"Healthy","1.5","57",70.2,71.3,3.5,"ORE",77,75,31,16.5,27.6,0,0.1,1.9,0.3,3.5,0,0,4
