"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"267","Omari Kelly","AUB",3000,0.76,0,"Healthy","22.5","50",50,62.9,1.14,"BAMA",3,4
"268","Tommy Nesmith","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"269","Ze'Vian Capers","AUB",3000,0.35,0,"Healthy","22.5","50",17,60,0.94,"BAMA",3,4
"270","Oscar Delp","UGA",3000,0.68,0,"Healthy","-36.5","48.5",60,61.3,1.24,"GT",79,63
"271","Davis Day","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"272","Cade Brock","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"273","Jackson Meeks","UGA",3000,0.67,0,"Healthy","-36.5","48.5",39,67.9,1.76,"GT",79,63
"274","De'Nylon Morrissette","UGA",3000,0.67,0,"Healthy","-36.5","48.5",39,61.6,0.92,"GT",79,63
"275","Mekhi Mews","UGA",3000,NA,0,"Healthy","-36.5","48.5",2,59.8,3,"GT",79,63
"276","Ryan King","GT",3000,1.2,0,"Healthy","36.5","48.5",81,53.9,0.51,"UGA",25,23
"277","Drew Sheehan","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"278","Ryland Goede","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"279","Samuel Johnson","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"280","Cooper Johnson","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"281","Brett Seither","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"282","Cole Speer","UGA",3000,0.67,0,"Healthy","-36.5","48.5",2,76.1,6,"GT",79,63
"283","C.J. Smith","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"284","Braxton Hicks","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"285","Nathan Priestley","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"286","Logan Johnson","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"287","Parker Jones","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"288","George Vining","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"289","Brooks Bortle","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"290","Grant Briscoe","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"291","Luke Bennett","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"292","Miles Thornton","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"293","Randon Jernigan","UGA",3000,NA,0,"Healthy","-36.5","48.5",NA,NA,NA,"GT",79,63
"294","Luke Benson","GT",3000,2.07,0,"Healthy","36.5","48.5",166,41.4,0.57,"UGA",25,23
"295","Peje' Harris","GT",3000,1.26,0,"Healthy","36.5","48.5",122,43.7,0.67,"UGA",25,23
"296","Stone Bonner","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"297","Billy Ward","GT",3000,0.45,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"298","Ben Postma","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"299","Chris Miller","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"300","Anthony Minella","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"301","Ben Wilhelm","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"302","Jamal Haynes","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"303","James BlackStrain","GT",3000,0.82,0,"Healthy","36.5","48.5",8,48.9,0,"UGA",25,23
"304","Alexander Parker","GT",3000,NA,0,"Out indefinitely - Undisclosed","36.5","48.5",NA,NA,NA,"UGA",25,23
"305","Bryce Gowdy","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"306","Trent Davis","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"307","Josh Sexton","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"308","Avery Boyd","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"309","Carson Harof","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"310","Juju Lewis","GT",3000,NA,0,"Healthy","36.5","48.5",NA,NA,NA,"UGA",25,23
"311","Kalani Norris","GT",3000,0.4,0,"Healthy","36.5","48.5",47,59.8,1,"UGA",25,23
"312","D.J. Moore","GT",3000,0.44,0,"Out indefinitely - Shoulder","36.5","48.5",NA,NA,NA,"UGA",25,23
"313","Dee Wiggins","UL",3000,NA,0,"out of season - Toe",NA,NA,43,61.9,1.72,"UK",48,30
"314","Keaton Upshaw","UK",3000,0.53,0,"Healthy","-3","43",73,51.5,0.86,"UL",NA,NA
"315","Brenden Bates","UK",3000,0.48,0,"Healthy","-3","43",143,58.9,0.91,"UL",NA,NA
"316","Izayah Cummings","UK",3000,NA,0,"Healthy","-3","43",32,48.7,0,"UL",NA,NA
"317","Chauncey Magwood","UK",3000,0.95,0,"Healthy","-3","43",82,62.6,1.32,"UL",NA,NA
"318","DeMarcus Harris","UK",3000,0.47,0,"Out indefinitely - Suspension","-3","43",32,65.2,2.81,"UL",NA,NA
"319","Dekel Crowdus","UK",3000,2.26,0,"Healthy","-3","43",29,61.4,2.83,"UL",NA,NA
"320","Tae Tae Crumes","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"321","Rahsaan Lewis","UK",3000,0.51,0,"Healthy","-3","43",49,49.5,1.18,"UL",NA,NA
"322","Cole Lanter","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"323","Trey Dennis","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"324","Dylan Gary","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"325","Jack Monday","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"326","Jordan Anthony","UK",3000,0.51,0,"Healthy","-3","43",1,59,0,"UL",NA,NA
"327","Brandon White","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"328","Josh Terrell","UK",3000,NA,0,"Healthy","-3","43",NA,NA,NA,"UL",NA,NA
"329","Isaac Martin","UL",3000,0.46,0,"Healthy",NA,NA,66,54.2,0.37,"UK",48,30
"330","Francis Sherman","UL",3000,0.46,0,"Healthy",NA,NA,58,54.6,0.3,"UK",48,30
"331","Duane Martin","UL",3000,0.46,0,"Healthy",NA,NA,34,72,1.47,"UK",48,30
"332","Dez Melton","UL",3000,0.46,0,"Healthy",NA,NA,21,58,0.62,"UK",48,30
"333","Gage Reale","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"334","Josh Lifson","UL",3000,0.46,0,"Healthy",NA,NA,35,52.6,0.27,"UK",48,30
"335","Nate Kurisky","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"336","Jatavian Churchill","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"337","Bradley West","UL",3000,0.46,0,"Healthy",NA,NA,10,56.4,0,"UK",48,30
"338","Josh Johnson","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"339","Christian Henry","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"340","Chance Morrow","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"341","Chris Bell","UL",3000,0.46,0,"Healthy",NA,NA,57,60.6,1.74,"UK",48,30
"342","Austin Holland","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"343","Tye Moore","UL",3000,NA,0,"Out indefinitely - Undisclosed",NA,NA,NA,NA,NA,"UK",48,30
"344","Elijah Downing","UL",3000,0.46,0,"Healthy",NA,NA,11,48.6,0.64,"UK",48,30
"345","Gerald Hanson","UL",3000,NA,0,"Healthy",NA,NA,NA,NA,NA,"UK",48,30
"346","Eriq Rice","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"347","E.J. Williams","CLEM",3000,2.08,0,"Healthy","-14","53",122,49.8,0.59,"SCAR",115,116
"348","Jesse Sanders","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"349","Landon Samson","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
"350","Joseph Morris","SCAR",3000,NA,0,"Healthy","14","53",NA,NA,NA,"CLEM",16,48
