"player","team_name","avg_depth_of_target","contested_receptions","contested_targets","drops","grades_offense","grades_pass_route","inline_snaps","pass_plays","receptions","routes","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","week","join"
"Mark Andrews","BLT",12.5,0,1,0,73.6,71.2,2,33,5,32,23,81.3,8,0,8,52,12,2.4,10.4,1.63,1,"BLT1"
"Dalton Schultz","DAL",6.9,3,3,0,61.8,65.1,20,50,7,43,22,99,8,0,6,62,9,1.3,8.9,1.44,1,"DAL1"
"Jarvis Landry","NO",15,1,2,0,84.7,82.1,0,34,7,32,28,118.8,8,0,6,114,16,2.3,16.3,3.56,1,"NO1"
"Michael Carter","NYJ",-0.3,0,0,1,67.3,62.8,3,38,7,26,3,87.5,8,0,1,40,46,6.6,5.7,1.54,1,"NYJ1"
"Breece Hall","NYJ",1.1,0,0,1,49.4,30,0,31,6,26,3,84.4,8,0,2,38,32,5.3,6.3,1.46,1,"NYJ1"
"Michael Thomas","NO",11.5,3,3,1,73.5,72,0,35,5,33,6,123.4,8,2,29,57,6,1.2,11.4,1.73,1,"NO1"
"Joe Mixon","CIN",0.6,0,1,0,63.7,76.4,0,45,7,38,2,99.5,8,0,5,63,61,8.7,9,1.66,1,"CIN1"
"Garrett Wilson","NYJ",8.8,0,2,0,70.6,69.4,2,37,4,35,12,70.8,8,0,23,52,18,4.5,13,1.49,1,"NYJ1"
"Antonio Gibson","WAS",3.1,1,1,0,76.6,85.6,0,30,7,23,0,64.6,8,0,1,72,42,6,10.3,3.13,1,"WAS1"
"Robbie Anderson","CAR",10,0,0,0,62.4,61.7,0,35,5,32,1,153.3,7,1,34,102,50,10,20.4,3.19,1,"CAR1"
"Rex Burkhead","HST",0.4,1,2,1,51,49.8,0,34,5,25,2,79.5,7,0,3,30,31,6.2,6,1.2,1,"HST1"
"Jerry Jeudy","DEN",11.9,1,2,1,67.2,66.5,0,43,4,41,30,141.4,7,1,13,102,70,17.5,25.5,2.49,1,"DEN1"
"Hayden Hurst","CIN",6.3,0,0,0,63.5,63.3,30,58,5,51,18,49.4,7,0,10,46,21,4.2,9.2,0.9,1,"CIN1"
"Courtland Sutton","DEN",19.1,0,1,0,67.3,65.8,0,46,4,44,9,92.6,7,0,37,72,13,3.3,18,1.64,1,"DEN1"
"T.J. Hockenson","DET",5.9,0,0,0,69.1,74.8,18,38,4,30,11,32.7,7,0,9,38,24,6,9.5,1.27,1,"DET1"
"Mike Evans","TB",12.9,1,1,0,86.8,85.4,0,23,5,23,9,103.9,7,1,14,71,10,2,14.2,3.09,1,"TB1"
"Kyle Pitts","ATL",11.9,0,2,0,56.2,53.6,14,35,2,28,11,39.6,7,0,9,19,7,3.5,9.5,0.68,1,"ATL1"
"D.K. Metcalf","SEA",4.1,2,2,0,52.8,52.9,0,33,7,29,5,88.1,7,0,28,36,7,1,5.1,1.24,1,"SEA1"
"Tyler Boyd","CIN",12.6,0,1,0,58.1,58.8,0,58,4,52,52,69.3,7,1,6,33,1,0.3,8.3,0.63,1,"CIN1"
"Saquon Barkley","NYG",0.3,0,1,0,74.8,76.5,0,26,6,21,1,44.9,7,0,0,30,41,6.8,5,1.43,1,"NYG1"
"Drake London","ATL",12.4,1,1,0,71.5,74,0,32,5,30,3,105.7,7,0,29,74,17,3.4,14.8,2.47,1,"ATL1"
"Elijah Moore","NYJ",8.1,1,2,0,58.6,57.2,0,59,5,55,19,90.8,7,0,40,49,16,3.2,9.8,0.89,1,"NYJ1"
"A.J. Dillon","GB",-0.8,0,0,1,76.8,79.1,1,19,5,16,2,98.6,6,0,1,46,48,9.6,9.2,2.88,1,"GB1"
"Zack Moss","BUF",-0.2,0,0,0,49.3,73.3,0,15,6,14,0,81.3,6,0,1,21,22,3.7,3.5,1.5,1,"BUF1"
"Mecole Hardman","KC",14.5,0,0,0,65.2,64.6,0,27,3,25,17,95.8,6,1,9,16,10,3.3,5.3,0.64,1,"KC1"
"Kylen Granson","IND",5.5,0,1,1,44.8,42.4,16,31,3,29,13,59,6,0,2,22,12,4,7.3,0.76,1,"IND1"
"Amari Cooper","CLV",10,0,1,0,53.4,53.2,0,39,3,34,6,56.3,6,0,33,17,8,2.7,5.7,0.5,1,"CLV1"
"Darren Waller","LV",13,0,0,0,69.2,71.9,4,38,4,35,25,70.1,6,0,9,79,27,6.8,19.8,2.26,1,"LV1"
"Marquise Brown","ARZ",18.3,0,1,0,71.6,69,0,44,4,42,8,127.1,6,1,36,43,3,0.8,10.8,1.02,1,"ARZ1"
"Ashton Dulin","IND",17.3,0,1,0,70.8,65,0,15,3,14,5,75.7,6,0,10,46,10,3.3,15.3,3.29,1,"IND1"
"Jonathan Taylor","IND",-2.5,0,0,0,69.3,62.6,0,37,4,34,1,30.6,6,0,0,14,23,5.8,3.5,0.41,1,"IND1"
"Jakobi Meyers","NE",15.5,3,3,0,75.8,70.1,0,33,4,31,21,95.8,6,0,12,55,1,0.3,13.8,1.77,1,"NE1"
"Deebo Samuel","SF",2.3,0,0,2,49.5,51.1,0,34,2,33,10,42.4,6,0,22,14,19,9.5,7,0.42,1,"SF1"
"Marvin Jones Jr.","JAX",16.5,1,1,0,61.2,60.8,0,44,4,39,5,84,6,0,39,38,2,0.5,9.5,0.97,1,"JAX1"
"Nyheim Hines","IND",1.5,0,0,0,65.5,84.5,0,22,6,22,4,101.4,6,0,3,50,41,6.8,8.3,2.27,1,"IND1"
"Jauan Jennings","SF",10,0,0,0,74.2,72.4,0,28,4,27,17,61.1,6,0,11,62,18,4.5,15.5,2.3,1,"SF1"
"Bennett Skowronek","LA",11,0,0,0,53.1,55.3,0,45,4,44,25,75,6,0,20,25,9,2.3,6.3,0.57,1,"LA1"
"Richie James Jr.","NYG",10.8,1,1,0,62.2,63.7,0,22,5,20,16,107.6,6,0,6,59,12,2.4,11.8,2.95,1,"NYG1"
"Hunter Renfrow","LV",6,0,0,0,55.7,53.9,0,39,3,37,36,18.8,6,0,2,21,8,2.7,7,0.57,1,"LV1"
"Logan Thomas","WAS",12.6,0,1,0,68,62.2,10,34,3,26,22,89.6,5,0,2,45,19,6.3,15,1.73,1,"WAS1"
"Darrell Henderson","LA",0.2,0,0,0,54.8,58.1,0,41,5,39,8,88.3,5,0,4,26,25,5,5.2,0.67,1,"LA1"
"Tyler Conklin","NYJ",3.4,1,1,1,40.5,43.4,30,59,4,50,24,119.6,5,1,5,16,1,0.3,4,0.32,1,"NYJ1"
"Nelson Agholor","NE",9.4,0,0,0,49.7,49,0,20,3,18,4,75.4,5,0,15,28,26,8.7,9.3,1.56,1,"NE1"
"Braxton Berrios","NYJ",2.6,1,1,0,63.9,63.4,0,31,5,29,24,97.5,5,0,7,37,24,4.8,7.4,1.28,1,"NYJ1"
"Jahan Dotson","WAS",16.2,2,3,0,64.7,68,0,47,3,40,13,85.4,5,2,34,40,0,0,13.3,1,1,"WAS1"
"Chase Claypool","PIT",6.8,2,2,0,61.4,59.4,0,41,4,38,39,81.7,5,0,2,18,4,1,4.5,0.47,1,"PIT1"
"Romeo Doubs","GB",9.2,1,1,0,68.5,64.5,0,25,4,25,8,97.5,5,0,17,37,8,2,9.3,1.48,1,"GB1"
"Julio Jones","TB",19.8,0,0,0,77.2,76.2,0,22,3,22,8,104.2,5,0,14,69,17,5.7,23,3.14,1,"TB1"
"Jaylen Waddle","MIA",9.4,1,1,0,75.4,72.9,0,28,4,28,6,158.3,5,1,22,69,31,7.8,17.3,2.46,1,"MIA1"
"Aaron Jones","GB",-1,0,0,0,68.5,56.5,2,29,3,28,2,74.6,5,0,7,27,37,12.3,9,0.96,1,"GB1"
"Mike Thomas","CIN",13.4,0,1,1,49.5,49.8,0,51,1,46,8,39.6,5,0,43,5,1,1,5,0.11,1,"CIN1"
"Rashod Bateman","BLT",21,0,1,1,54.3,54.2,0,25,2,25,3,124.2,5,1,22,59,13,6.5,29.5,2.36,1,"BLT1"
"Gabriel Davis","BUF",16.4,0,1,0,66.8,66.4,0,38,4,38,4,158.3,5,1,34,88,19,4.8,22,2.32,1,"BUF1"
"Albert Okwuegbunam","DEN",2.2,1,1,0,62.8,61.7,16,37,5,33,17,94.2,5,0,4,33,22,4.4,6.6,1,1,"DEN1"
"Juwan Johnson","NO",12.4,0,0,0,69.6,60.7,8,34,2,32,23,71.3,5,0,3,43,10,5,21.5,1.34,1,"NO1"
"Cordarrelle Patterson","ATL",3,0,0,0,70.7,64.5,0,21,3,19,5,65.4,5,0,3,16,11,3.7,5.3,0.84,1,"ATL1"
"James Conner","ARZ",-2,0,0,0,55.4,61.2,0,34,5,27,4,90.8,5,0,2,29,39,7.8,5.8,1.07,1,"ARZ1"
"Treylon Burks","TEN",19,0,0,0,74.9,72,1,14,3,13,2,97.9,5,0,11,55,33,11,18.3,4.23,1,"TEN1"
"Dennis Houston","DAL",15.4,2,2,0,58.6,58.5,0,32,2,30,4,48.8,5,0,28,16,6,3,8,0.53,1,"DAL1"
"Noah Fant","SEA",4,0,1,0,60.8,60.9,11,21,3,18,6,81.3,4,0,3,16,14,4.7,5.3,0.89,1,"SEA1"
"Harrison Bryant","CLV",13.8,0,2,1,51.4,50.3,11,20,2,15,8,62.5,4,0,0,18,2,1,9,1.2,1,"CLV1"
"Demarcus Robinson","BLT",9.8,0,1,0,68.4,67.7,0,18,2,17,6,24,4,0,12,19,9,4.5,9.5,1.12,1,"BLT1"
"Keenan Allen","LAC",12.8,1,1,0,80.6,78.3,0,14,4,13,7,118.8,4,0,7,66,15,3.8,16.5,5.08,1,"LAC1"
"Olamide Zaccheaus","ATL",9.3,0,0,0,55.6,60.4,0,24,4,22,17,117.7,4,0,7,49,12,3,12.3,2.23,1,"ATL1"
"Devin Duvernay","BLT",13.8,1,1,0,75.3,74.1,0,18,4,18,6,158.3,4,2,12,54,6,1.5,13.5,3,1,"BLT1"
"Christian Watson","GB",14.3,0,0,1,45.2,47.2,0,29,2,29,7,79.2,4,0,22,34,21,10.5,17,1.17,1,"GB1"
"Kenneth Gainwell","PHI",0.3,0,0,0,68.4,67.6,0,17,2,10,0,56.3,4,0,1,12,10,5,6,1.2,1,"PHI1"
"DeAndre Carter","LAC",20,1,1,0,90.4,90.2,0,14,3,14,10,156.3,4,1,4,64,5,1.7,21.3,4.57,1,"LAC1"
"Geoff Swaim","TEN",1,0,1,1,62.7,63.4,15,20,3,15,3,84.4,4,0,2,19,19,6.3,6.3,1.27,1,"TEN1"
"Mike Williams","LAC",3.8,0,1,1,45.3,47.3,0,33,2,32,5,56.3,4,0,28,10,8,4,5,0.31,1,"LAC1"
"Christian McCaffrey","CAR",-2.8,0,0,0,79.5,76.5,0,28,4,23,0,91.7,4,0,1,24,35,8.8,6,1.04,1,"CAR1"
"Evan Engram","JAX",5.8,1,1,0,54.6,54.7,15,42,4,35,16,95.8,4,0,11,28,5,1.3,7,0.8,1,"JAX1"
"Jamison Crowder","BUF",6.3,0,1,0,81.4,80,0,12,3,12,11,54.2,4,0,1,28,16,5.3,9.3,2.33,1,"BUF1"
"Ty Montgomery","NE",2.8,0,0,0,63.9,71.8,0,17,3,11,0,119.8,4,1,0,15,8,2.7,5,1.36,1,"NE1"
"Gerald Everett","LAC",7.3,2,2,0,69.7,80.8,17,26,3,24,6,156.3,4,1,3,54,25,8.3,18,2.25,1,"LAC1"
"Alvin Kamara","NO",-0.8,0,1,0,54.2,64.7,0,28,3,17,2,77.1,4,0,0,7,14,4.7,2.3,0.41,1,"NO1"
"Kareem Hunt","CLV",-1,0,0,0,67.5,64.1,3,31,4,22,2,131.3,4,1,3,24,29,7.3,6,1.09,1,"CLV1"
"Tre' McKitty","LAC",3.5,0,0,1,29.7,33,14,18,3,13,2,89.6,4,0,2,24,13,4.3,8,1.85,1,"LAC1"
"Jonnu Smith","NE",5.5,0,0,0,75.2,86,12,20,3,17,4,99,4,0,4,33,30,10,11,1.94,1,"NE1"
"Samaje Perine","CIN",6.5,0,0,0,60.4,61.2,0,25,3,21,5,99,4,0,2,33,32,10.7,11,1.57,1,"CIN1"
"Marquez Valdes-Scantling","KC",5.5,0,0,0,69,66.7,0,35,4,33,12,112.5,4,0,23,44,22,5.5,11,1.33,1,"KC1"
"Travis Etienne","JAX",9.3,0,0,1,52.9,26.5,0,29,2,22,1,62.5,4,0,2,18,0,0,9,0.82,1,"JAX1"
"Chase Edmonds","MIA",3.8,0,0,0,63.8,72.7,0,25,4,21,2,108.3,4,0,1,40,25,6.3,10,1.9,1,"MIA1"
"Jerick McKinnon","KC",-1.5,0,0,0,69.4,63.4,0,22,3,17,2,92.7,4,0,2,27,42,14,9,1.59,1,"KC1"
"Austin Ekeler","LAC",-0.5,0,0,0,64.1,85.2,0,16,4,14,0,104.2,4,0,0,36,38,9.5,9,2.57,1,"LAC1"
"Robert Tonyan","GB",6.5,0,1,0,55.7,60,4,20,3,19,10,102.1,4,0,6,36,28,9.3,12,1.89,1,"GB1"
"Dontrell Hilliard","TEN",7.3,0,0,1,70.4,75.8,0,10,3,6,0,156.3,4,2,1,61,41,13.7,20.3,10.17,1,"TEN1"
"D.J. Moore","CAR",8.5,1,2,0,69,65.1,0,35,3,32,6,109.4,4,0,29,43,16,5.3,14.3,1.34,1,"CAR1"
"David Montgomery","CHI",-1.8,0,1,0,45.5,74.6,0,19,3,14,1,89.6,4,0,0,24,31,10.3,8,1.71,1,"CHI1"
"Parris Campbell","IND",4.8,0,0,0,59.3,58,0,46,3,44,39,103.1,4,0,7,37,28,9.3,12.3,0.84,1,"IND1"
"Tyler Lockett","SEA",7.7,0,0,0,63,63.1,0,31,3,27,13,105.6,3,0,18,28,5,1.7,9.3,1.04,1,"SEA1"
