"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"36","Billy Horschel",28078731,7400,49.62,52.99,1.1,78,24.5,51.9,2.2,54.1,-0.1,4.59,0.234,55,0.171,52,-0.122,191,-0.137,199,0.146,123,-1.879,237,0.023,116,0.247,36,-0.013,-0.044,-0.02,-0.023,0.015,0.03,-0.004,0.035,0.062,0.223,0.6078,0.1433,0.0611,0.026,0.003,0.41,-0.46,2.84,53.55,0.56,2.29,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"37","Maverick McNealy",28078732,7300,56.69,49.03,0.96,74.5,24,50.8,2,52.8,-0.13,1.67,0.626,1,0.167,54,-0.258,241,-0.499,323,0.036,137,2.806,157,-0.034,303,0.274,27,0.019,0.024,-0.052,-0.228,0.07,-0.042,0.006,0.069,0.033,0.14,0.5851,0.1304,0.0547,0.023,0.0025,0.34,-0.47,1.31,50.92,0.59,2.42,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"38","Beau Hossler",28078734,7300,59.6,51.26,7.6,76.35,24.5,58.8,3.3,62.1,0.56,7.07,0.439,15,0.242,26,-0.129,196,0.221,79,0.773,51,7.647,76,-0.025,281,0.605,28,0.016,0.01,0.003,0.138,0.023,-0.117,0.004,0.062,-0.05,0.746,0.6988,0.2475,0.1248,0.0604,0.0107,1.47,0.66,7.34,56.68,0.85,4.15,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"39","Hayden Buckley",28078735,7300,65.12,60.11,7,83.5,26.5,57.8,3.1,60.9,0.46,9.17,-0.011,187,-0.182,329,0.339,51,0.664,9,0.809,48,5.298,108,0.065,24,0.719,27,0.02,-0.001,0.005,0.066,-0.044,-0.08,-0.011,-0.005,-0.096,0.669,0.6885,0.232,0.1156,0.0548,0.0089,1.22,0.41,8.09,60.5,-0.23,-0.83,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"40","J.T. Poston",28078736,7200,56.76,61.36,9.3,84,26.5,59.8,3.5,63.3,0.72,7.61,0.221,58,0.12,70,0.211,80,0.138,98,0.69,59,-1.621,230,0.019,126,0.668,29,0.01,-0.022,-0.002,0.036,0.054,0.026,-0.003,0.047,0.07,0.814,0.7135,0.2611,0.1348,0.0671,0.0115,1.6,0.84,8.46,62.33,0.68,3.48,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"41","Ryan Palmer",28078737,7200,50.97,58.03,4.2,81,26,55.3,2.7,58,0.27,5.19,-0.289,374,-0.06,221,0.31,55,0.33,53,0.291,98,2.34,162,0.006,166,0.212,46,-0.05,0.013,0.01,0.107,0.225,-0.035,-0.001,-0.022,-0.057,0.459,0.6416,0.1898,0.0897,0.0414,0.0064,0.89,0.13,4.7,58.02,-0.67,-2.95,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"42","Eric Cole",28078738,7200,59.24,66.32,8.9,88,28,56.4,2.9,59.2,0.38,10.14,0.153,81,0.182,46,0.218,78,-0.05,169,0.503,77,-1.845,234,-0.049,345,0.608,34,-0.008,0.02,-0.033,-0.084,-0.054,0.03,0.009,0.048,0.086,0.535,0.6587,0.1972,0.0911,0.041,0.0063,0.88,0.12,9.52,62.76,0.32,1.5,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"43","Nick Taylor",28078739,7200,63.59,61.69,7,84.85,27,59.6,3.5,63.1,0.7,8.02,0.269,43,0.185,44,0.19,85,0.027,137,0.671,60,-5.195,304,0.016,144,0.772,35,-0.009,-0.006,0.024,-0.11,0.065,0.082,-0.003,0.059,0.138,0.874,0.7175,0.2695,0.137,0.0666,0.0109,1.51,0.75,7.51,62.39,0.91,4.47,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"44","Seonghyeon Kim",28078740,7200,62.67,56.62,1.8,81,25.5,53.4,2.3,55.7,0.08,1.12,0.12,100,0.094,84,-0.122,190,0.318,57,0.411,88,6.412,96,-0.02,262,0.199,24,0.029,0.054,-0.003,0.132,-0.054,-0.098,0.004,0.014,-0.081,0.277,0.6094,0.152,0.0657,0.0281,0.0036,0.5,-0.26,1.46,56.16,-0.12,-0.67,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
"45","Justin Suh",28078741,7100,57.58,53.54,7.4,78.35,25,50.9,1.9,52.9,-0.06,4.02,0.292,41,-0.235,363,-0.071,175,0.123,104,0.109,127,-1.003,217,0.025,110,0.199,25,0.024,0.019,0.037,-0.17,-0.054,0.017,-0.004,0.003,0.015,0.07,0.5798,0.1258,0.0512,0.0214,0.0022,0.31,-0.39,5.71,53.22,-0.77,-3.66,0,0,1,2023-05-25,"2023-05-25 Charles Schwab"
