player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Miles Sanders,40555,HB,CAR,13,0,5,60.0,1.9,1,14.3,52,56.2,0,5.3,7,131,60.0,4.0,3,42.9,75
Jaren Hall,82094,QB,MIN,2,0,18,60.0,100.0,1,14.3,1,60.0,0,77.8,7,9,60.0,100.0,6,85.7,6
Boston Scott,39462,HB,PHI,7,0,24,58.0,42.9,3,42.9,7,42.9,0,30.4,7,23,60.0,14.3,2,28.6,14
Ty Johnson,45769,HB,BUF,5,0,4,73.9,14.3,2,28.6,14,91.2,0,20.6,7,34,81.0,16.7,3,42.9,18
Jack Conklin,10642,T,CLV,1,0,8,60.4,100.0,5,71.4,5,71.7,0,100.0,7,7,70.9,100.0,2,28.6,2
Damiere Byrd,9964,WR,ATL,1,0,2,60.2,100.0,3,42.9,3,60.8,0,100.0,7,7,60.4,100.0,4,57.1,4
Kendre Miller,123091,HB,NO,7,0,20,,0.0,0,0.0,9,60.0,0,18.9,7,37,,0.0,0,0.0,21
Royce Freeman,45747,HB,LA,8,0,26,60.0,2.6,1,14.3,38,59.6,0,8.9,7,79,,0.0,0,0.0,35
Trey Sermon,57372,HB,IND,8,0,14,59.6,9.1,1,14.3,11,60.0,0,20.0,7,35,,0.0,0,0.0,18
Prince Tega Wanogho,44820,T,KC,1,0,16,58.5,100.0,2,28.6,2,81.0,0,100.0,7,7,85.7,100.0,4,57.1,4
Mike Caliendo,41446,G,KC,1,0,16,60.0,100.0,2,28.6,2,46.9,0,100.0,7,7,49.7,100.0,3,42.9,3
Tommy Kraemer,40976,T,NO,1,0,20,59.7,100.0,1,14.3,1,47.4,0,100.0,7,7,48.0,100.0,3,42.9,3
De'Von Achane,124305,HB,MIA,8,0,17,60.0,3.1,1,14.3,32,77.5,0,8.3,7,84,60.0,2.4,1,14.3,41
Justin Herron,46271,T,LV,3,0,23,63.9,100.0,7,100.0,7,63.9,0,100.0,7,7,,,0,0.0,0
John FitzPatrick,83974,TE,ATL,3,0,2,56.9,100.0,3,42.9,3,56.8,0,100.0,7,7,60.0,100.0,1,14.3,1
Ty Montgomery,9527,WR,NE,4,0,19,46.7,57.1,4,57.1,7,47.8,1,70.0,7,10,59.3,100.0,2,28.6,2
Trent Scott,24481,T,WAS,2,0,32,49.8,100.0,4,66.7,4,49.6,0,100.0,6,6,60.0,100.0,1,16.7,1
Chase Edmonds,45851,HB,TB,10,0,30,,0.0,0,0.0,19,60.2,0,15.0,6,40,60.0,6.3,1,16.7,16
Giovanni Ricci,13756,TE,CAR,2,0,5,60.0,100.0,2,33.3,2,40.9,0,100.0,6,6,49.3,100.0,4,66.7,4
DJ Turner,47663,WR,LV,2,0,23,83.7,100.0,4,66.7,4,81.6,0,100.0,6,6,59.7,100.0,2,33.3,2
Deuce Vaughn,122624,HB,DAL,5,0,9,,0.0,0,0.0,10,60.0,0,21.4,6,28,,0.0,0,0.0,12
Arlington Hambright,60003,G,IND,2,0,14,54.7,100.0,2,33.3,2,67.4,0,100.0,6,6,60.0,100.0,1,16.7,1
Tony Jones Jr.,40498,HB,ARZ,6,0,1,60.0,11.1,1,16.7,9,60.2,0,18.2,6,33,60.0,5.6,1,16.7,18
Elijah Dotson,57394,HB,LAC,2,0,27,,,0,0.0,0,60.0,0,60.0,6,10,,0.0,0,0.0,4
Henry Pearson,83930,TE,GB,2,0,12,42.1,100.0,4,66.7,4,40.6,0,100.0,6,6,60.0,100.0,1,16.7,1
Cam Akers,57206,HB,MIN,7,0,18,,0.0,0,0.0,33,71.2,0,9.0,6,67,60.0,3.7,1,16.7,27
DeeJay Dallas,55632,HB,SEA,7,1,29,59.9,28.6,2,33.3,7,55.6,1,40.0,6,15,57.3,42.9,3,50.0,7
Dalvin Cook,11796,HB,NYJ,14,0,22,,0.0,0,0.0,28,60.0,0,8.1,6,74,,0.0,0,0.0,36
Tre'Quan Smith,48228,WR,DEN,1,0,10,60.3,100.0,4,66.7,4,60.9,0,100.0,6,6,60.0,100.0,2,33.3,2
Zach Thomas,43641,T,LA,1,0,26,56.7,100.0,5,83.3,5,55.9,0,100.0,6,6,60.0,100.0,1,16.7,1
Jaleel McLaughlin,138346,HB,DEN,14,0,10,,0.0,0,0.0,13,60.0,0,9.2,6,65,60.0,2.3,1,16.7,44
James Proche II,48037,WR,CLV,2,0,8,60.0,100.0,2,33.3,2,60.2,0,100.0,6,6,60.1,100.0,3,50.0,3
D'Ernest Johnson,45734,HB,JAX,12,0,15,60.0,6.7,1,16.7,15,52.4,0,14.0,6,43,,0.0,0,0.0,23
Melvin Gordon III,9448,HB,BLT,2,0,3,49.6,50.0,6,100.0,12,49.6,0,31.6,6,19,,0.0,0,0.0,5
