player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev
"Kaymer, Martin",150,Inf,+150000,-0.850,+50000,-0.950,,0.00,+150000,-0.850,,0.00
"Wenyi, Ding",126,Inf,Inf,-0.750,Inf,-0.800,,0.00,Inf,-0.750,,0.00
"Moldovan, Maxwell",150,Inf,+150000,-0.887,+150000,-0.887,,0.00,Inf,-0.812,,0.00
"Capan III, Frankie",150,Inf,+150000,-0.887,+100000,-0.925,,0.00,+150000,-0.887,,0.00
"Ishikawa, Ryo",150,Inf,Inf,-0.812,+100000,-0.925,,0.00,Inf,-0.812,,0.00
"Fisher, Ross",150,Inf,+150000,-0.887,+75000,-0.944,,0.00,+150000,-0.887,,0.00
"Sloan, Roger",150,Inf,Inf,-0.850,+150000,-0.887,,0.00,+150000,-0.887,,0.00
"Armour, Ryan",150,Inf,+150000,-0.887,+100000,-0.925,,0.00,+150000,-0.887,,0.00
"Vilips, Karl",150,Inf,Inf,-0.875,Inf,-0.900,,0.00,Inf,-0.875,,0.00
"Katsuragawa, Yuto",150,Inf,Inf,-0.875,+150000,-0.925,,0.00,Inf,-0.875,,0.00
"Dunlap, Nick",150,Inf,Inf,-0.875,Inf,-0.900,,0.00,Inf,-0.875,,0.00
"Rey, Alejandro Del",150,Inf,+150000,-0.925,+75000,-0.962,,0.00,+150000,-0.925,,0.00
"Cover, Patrick",150,Inf,Inf,-0.950,+150000,-0.962,,0.00,Inf,-0.950,,0.00
"Solomon, Jacob",150,Inf,+150000,-0.962,+100000,-0.975,,0.00,Inf,-0.950,,0.00
"Fernandez de Oliveira, Mateo",150,Inf,Inf,-0.937,Inf,-0.950,,0.00,Inf,-0.937,,0.00
"Dantorp, Jens",150,Inf,Inf,-0.937,+100000,-0.975,,0.00,Inf,-0.937,,0.00
"Carr, Ben",150,Inf,Inf,-0.937,Inf,-0.950,,0.00,Inf,-0.875,,0.00
"Barjon, Paul",150,Inf,Inf,-0.950,+150000,-0.962,,0.00,Inf,-0.950,,0.00
"Valdes, Brendan",150,Inf,Inf,-0.937,Inf,-0.950,,0.00,Inf,-0.937,,0.00
"Henson, Berry",150,Inf,Inf,-0.937,+100000,-0.975,,0.00,Inf,-0.937,,0.00
"Amat, Bastien",150,,Inf,-1.200,+150000,-1.150,,0.00,Inf,-1.250,,0.00
"Brown, Barclay",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Morales, Omar",90,,Inf,-1.250,+100000,-1.100,,0.00,Inf,-1.250,,0.00
"Cavaliere, Christian",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.500,,0.00
"Truslow, Austen",150,,Inf,-1.250,+100000,-1.100,,0.00,Inf,-1.250,,0.00
"Schaake, Alex",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.500,,0.00
"Mcclean, Matthew",150,,Inf,-1.250,+100000,-1.100,,0.00,Inf,-1.250,,0.00
"Germishuys, Deon",150,,+150000,-1.150,+75000,-1.075,,0.00,Inf,-1.250,,0.00
"Schutte, Jesse",43,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.500,,0.00
"Grey, J.J.",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Nagano, Ryutaro",150,,Inf,-1.250,+150000,-1.150,,0.00,Inf,-1.250,,0.00
"Gumberg, Jordan",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Nyfjall, David",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Horsey, David",150,,Inf,-1.250,+100000,-1.100,,0.00,Inf,-1.250,,0.00
"Svoboda, Andrew",150,,Inf,-1.250,,0.00,,0.00,Inf,-1.250,,0.00
"Charoenkul, Gunn",150,,Inf,-1.250,+100000,-1.100,,0.00,Inf,-1.250,,0.00
"Mueller, Kyle",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Browne Jr, Olin",150,,Inf,-1.250,,0.00,,0.00,Inf,-1.500,,0.00
"Pereira, Corey",150,,Inf,-1.250,+150000,-1.150,,0.00,Inf,-1.250,,0.00
"Yang, Alexander",150,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.250,,0.00
"Simmons, Isaac",139,,Inf,-1.250,Inf,-1.200,,0.00,Inf,-1.500,,0.00
