"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"24","Scott Stallings",23516817,7800,59.04,75.25,0,107.5,34.38,65.8,3.2,69,0.53,3.95,0.138,99,0.027,158,0.379,41,0.183,106,0.726,57,5.812,105,-0.011,224,0.817,37,-0.015,0.023,-0.014,-0.085,0.084,-0.056,-0.033,-0.03,-0.119,0.692,0.6283,0.2392,0.1271,0.0654,0.0129,1.65,0.14,2.37,0.37,1.74,5,1,2022-08-07,"Wyndham Championshio"
"25","Jason Day",23516818,7800,59.88,69.74,0,104.38,33.13,61.6,2.5,64.1,0.2,3.95,0.162,88,0.241,22,0.044,153,0.112,140,0.558,73,4.369,128,-0.005,208,0.517,34,-0.007,0.031,-0.02,0.037,-0.047,-0.042,-0.017,-0.037,-0.096,0.415,0.5652,0.1821,0.0914,0.0429,0.0078,1,-0.51,2.37,0.76,3.16,5,1,2022-08-07,"Wyndham Championshio"
"26","Sebastian Munoz",23516819,7700,65.09,77.83,0,110,35,69.7,3.9,73.5,0.88,3.95,0.135,103,0.096,99,0.33,49,0.292,69,0.853,46,2.227,170,0.041,81,0.896,29,0.01,-0.015,-0.009,-0.029,0.016,-0.021,0.118,-0.034,0.063,0.932,0.6667,0.2882,0.1629,0.0859,0.0181,2.35,0.95,2.37,1.23,6.01,10,1,2022-08-07,"Wyndham Championshio"
"27","Adam Long",23516820,7700,59.28,72.5,0,106.25,33.75,66.7,3.3,70.1,0.65,3.95,0.256,44,0.039,150,0.131,103,0.112,141,0.538,77,-6.637,335,0.065,35,0.722,34,-0.007,-0.04,-0.021,-0.116,-0.021,0.065,0.188,-0.033,0.22,0.737,0.635,0.2439,0.1261,0.0656,0.0127,1.65,0.25,2.37,1.19,5.48,5,1,2022-08-07,"Wyndham Championshio"
"28","Kevin Streelman",23516821,7600,57.56,77.01,0,110,35,64,2.9,66.9,0.47,3.95,-0.018,215,0.072,117,0.111,119,0.079,157,0.244,116,-5.468,319,0.083,18,0.504,43,-0.036,-0.134,-0.007,-0.084,0.08,0.054,0.242,-0.01,0.287,0.61,0.6139,0.2146,0.1091,0.0529,0.0096,1.26,-0.03,2.37,1.31,5.88,10,1,2022-08-07,"Wyndham Championshio"
"29","Jhonattan Vegas",23516822,7600,64.3,76.58,0,108.75,34.38,59.1,2.2,61.4,0.09,3.95,-0.177,331,-0.068,257,0.41,40,0.41,36,0.575,72,15.133,19,-0.046,342,0.483,37,-0.017,0.037,0.018,0.053,0.006,-0.147,-0.136,0.008,-0.276,0.305,0.5516,0.1546,0.0699,0.0323,0.0049,0.64,-0.65,2.37,-0.47,-2.44,0,1,2022-08-07,"Wyndham Championshio"
"30","Adam Svensson",23516824,7500,59.46,75.76,0,108.13,35,61.2,2.5,63.6,0.28,3.95,0.06,154,-0.08,274,0.26,65,-0.012,188,0.228,119,-4.725,307,0.042,79,0.35,28,0.013,-0.014,-0.024,-0.098,0,0.047,0.121,-0.01,0.157,0.385,0.5652,0.1718,0.0819,0.0393,0.0067,0.89,-0.29,2.37,0.48,2.02,5,1,2022-08-07,"Wyndham Championshio"
"31","Brendon Todd",23516825,7500,59.04,68.65,0,103.75,33.13,63.9,3,66.9,0.5,3.95,0.48,6,0.155,64,-0.238,252,-0.295,290,0.102,141,-20.089,427,0.111,4,0.468,37,-0.014,-0.143,0.009,-0.218,0.059,0.197,0.325,-0.051,0.471,0.632,0.6154,0.2169,0.11,0.0544,0.0091,1.21,0.03,2.37,1.81,8.16,10,1,2022-08-07,"Wyndham Championshio"
"32","Cameron Champ",23516826,7500,51.58,62.64,0,99.38,31.88,55.5,1.7,57.2,-0.13,3.95,-0.105,279,-0.267,408,0.077,133,0.583,17,0.288,105,19.851,7,-0.024,276,0.056,27,0.018,0.025,0.015,0.174,-0.072,-0.193,-0.072,0.033,-0.232,-0.016,0.4808,0.1151,0.0518,0.023,0.0037,0.49,-0.69,2.37,-0.74,-3.67,0,1,2022-08-07,"Wyndham Championshio"
"33","Alex Smalley",23516827,7500,55.86,74.55,0,108.13,33.75,63.7,2.8,66.5,0.48,3.95,-0.14,309,-0.026,204,0.344,45,0.369,46,0.547,76,7.235,86,0.021,123,0.369,25,0.023,0.014,-0.002,0.143,0.005,-0.07,0.061,0.002,-0.006,0.546,0.5968,0.202,0.1006,0.0494,0.0099,1.32,0.14,2.37,0.47,2.18,5,1,2022-08-07,"Wyndham Championshio"
