"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Fred Biondi",22992056,6000,0,21.14,0.02,46.51,11.63,23.4,0.3,23.7,-0.3,0.0380124100070528,-1.688,-1,0,0,0.493,-0.008,-0.04,-0.011,0.01,-0.028,-0.029,-1.292,0.2202,0.0013,0.0314,0.0137,0.0034,9e-04,4e-04,0,100,2e-04,19.5,0,-0.04,-0.01,0,2022-06-19,"US Open"
"Ryan Gerard",22992057,6000,0,21.22,0.01,46.68,11.67,22.6,0.3,22.9,-0.34,0.0380124100070528,-1.522,-1,0,0,0.144,-0.002,-0.04,-0.01,0.009,-0.032,-0.033,-1.473,0.166,5e-04,0.0205,0.0091,0.0023,8e-04,3e-04,0,100,1e-04,11,0,-0.04,-0.01,0,2022-06-19,"US Open"
"Nick Dunlap",22992059,6000,0,20.8,0.01,45.76,11.44,17.6,0.1,17.7,-0.6,0.0380124100070528,-2.269,-1,0,0,0.066,-0.005,-0.04,-0.016,0.014,-0.052,-0.054,-2.322,0.0818,1e-04,0.004,0.0011,3e-04,0,0,0,100,2e-04,13,0,-0.04,-0.01,0,2022-06-19,"US Open"
"Andrew Beckler",23043246,6000,0,21.1,0.02,46.42,11.6,15.1,0,15.2,-0.72,0.0380124100070528,-3.296,-1,0,0,0.438,-0.012,-0.04,-0.023,0.019,-0.067,-0.071,-3.001,0.0539,1e-04,0.0014,4e-04,1e-04,0,0,0,100,1e-04,15.5,0,-0.04,-0.01,0,2022-06-19,"US Open"
"Hayden Buckley",23043248,6000,48.86,36.75,0.21,61,19,29.3,0.8,30.1,0.02,0.553762012651215,-0.578,26,0.021,-0.013,-0.015,0.201,-0.04,0,-0.021,-0.021,-0.043,-0.473,0.3563,0.0034,0.0877,0.044,0.0142,0.0047,0.0023,4e-04,14,0.0022,63.5,0.07,0.03,0,0,2022-06-19,"US Open"
"Chan Kim",23043252,6000,52.29,35.49,0.23,60,18,27.1,0.6,27.7,-0.11,0.434285693037568,-0.892,32,0.002,0.021,-0.008,0.113,-0.04,0.031,0.016,-0.022,0.025,-0.761,0.3045,0.002,0.0606,0.0289,0.0088,0.0032,0.0013,2e-04,100,0.0018,17.5,0.03,-0.01,0,0,2022-06-19,"US Open"
"Caleb Manuel",23043254,6000,0,21.21,0.01,46.66,11.66,13,0,13.1,-0.83,0.0380124100070528,-3.315,-1,0,0,-0.069,-0.005,-0.04,-0.023,0.02,-0.079,-0.083,-3.531,0.0302,1e-04,4e-04,1e-04,0,0,0,0,100,2e-04,6.5,0,-0.04,-0.01,0,2022-06-19,"US Open"
"Chase Seiffert",23043257,6000,55.41,40.97,0.34,64,20,31.6,1.1,32.7,0.19,0.860655580666285,-0.259,30,0.006,0.023,0.049,0.053,-0.04,-0.013,-0.017,0,-0.03,-0.217,0.3661,0.002,0.1053,0.0561,0.0193,0.007,0.0036,6e-04,100,0.0059,13,0.1,0.06,0.01,0,2022-06-19,"US Open"
"Scottie Scheffler",23114140,11200,90.14,80.33,14.5,101.5,34,82,8.1,90.2,0.75,15.9585150947113,2.253,26,0.022,0.089,-0.072,-0.009,-0.029,-0.042,0.049,-0.087,-0.08,2.173,0.8301,0.0338,0.6737,0.5744,0.4092,0.275,0.1969,0.0888,13,0.2095,81,7.93,0.19,0.03,15,2022-06-26,"Travelers Championship"
"Rory McIlroy",23114141,11000,88.43,85.92,19.7,107.5,55.8,81.3,7.9,89.2,0.78,19.4998907013505,2.275,33,-0.001,0.036,0.002,-0.018,-0.006,-0.068,-0.027,-0.08,-0.175,2.113,0.8237,0.0434,0.657,0.556,0.3949,0.2635,0.1896,0.0866,19,0.1969,91,7.87,0.86,0.13,20,2022-06-26,"Travelers Championship"
"Sam Burns",23114143,10400,79.25,67.48,11.8,93,29,70.8,4.7,75.6,-0.03,14.4393739172229,1.756,25,0.022,0.018,-0.011,-0.304,0.089,-0.03,-0.044,-0.083,-0.157,1.414,0.7253,0.0199,0.4846,0.3752,0.2312,0.1338,0.087,0.0331,100,0.15,28.5,3.18,-1.97,-0.3,12,2022-06-26,"Travelers Championship"
"Patrick Cantlay",23114144,10200,80.5,76.43,21.4,98,32,78.2,7,85.2,0.91,23.7930184450602,1.938,30,0.008,-0.017,-0.035,0.016,0.122,-0.028,0.012,-0.07,-0.085,1.946,0.7997,0.0266,0.6172,0.5116,0.3545,0.2286,0.161,0.0678,13,0.2349,97.5,6.65,2.03,0.3,22,2022-06-26,"Travelers Championship"
"Xander Schauffele",23114145,10000,82.2,81.3,18.8,102,36,71.7,5.2,76.9,0.3,13.3678510388146,1.723,28,0.013,-0.029,-0.016,-0.133,0.013,-0.028,0.067,-0.067,-0.028,1.544,0.7502,0.023,0.5209,0.4062,0.2533,0.1448,0.0949,0.0354,1,0.1405,129,3.54,-0.6,-0.09,19,2022-06-26,"Travelers Championship"
"Jordan Spieth",23114146,9900,72.25,71.66,16.5,96,30.5,66.2,3.8,70,-0.11,15.8947048716547,1.275,28,0.013,-0.082,-0.022,0.087,-0.011,-0.02,-0.09,-0.049,-0.159,1.1,0.6738,0.0132,0.4006,0.2919,0.1639,0.0897,0.0561,0.019,100,0.1438,33,1.92,-1.99,-0.3,16,2022-06-26,"Travelers Championship"
"Joaquin Niemann",23114148,9600,74.26,72.04,13.4,95.5,30.5,70.1,4.7,74.8,0.34,14.4529991311439,1.354,23,0.03,0.057,0.018,0.069,0.024,-0.04,-0.072,-0.042,-0.154,1.397,0.7245,0.015,0.4762,0.3622,0.2135,0.1205,0.0753,0.0256,100,0.1492,23,2.67,-0.63,-0.09,13,2022-06-26,"Travelers Championship"
"Tony Finau",23114149,9500,65.92,77.53,11.7,99,33,66.7,4,70.7,0.04,9.91230738446847,1.387,32,0,-0.006,-0.047,-0.014,0.022,-0.026,-0.074,-0.047,-0.147,1.194,0.6975,0.0166,0.431,0.3186,0.1835,0.0986,0.0608,0.0211,13,0.1027,88,2.22,-0.9,-0.14,12,2022-06-26,"Travelers Championship"
"Keegan Bradley",23114150,9400,68.76,65.98,13.8,91.5,29,72.1,5.2,77.3,0.68,16.9699511290314,1.342,36,-0.011,-0.001,0.014,-0.038,0.172,-0.026,0.093,-0.033,0.035,1.513,0.7404,0.0181,0.5046,0.3968,0.2427,0.1394,0.0902,0.0346,19,0.1168,81,3.68,0.74,0.11,14,2022-06-26,"Travelers Championship"
"Tommy Fleetwood",23114152,9200,68.19,71.84,9.4,96,30,63,3.3,66.3,-0.07,7.83482213739813,1.084,31,0.004,0.038,-0.015,-0.064,-0.017,-0.015,-0.007,-0.05,-0.072,0.959,0.653,0.014,0.3647,0.2584,0.1369,0.0712,0.0437,0.0134,46,0.0675,71.5,1.46,-1.16,-0.17,9,2022-06-26,"Travelers Championship"
"Seamus Power",23114153,9100,68.5,62.73,12.3,88.5,28,67.8,4.2,72,0.39,13.6337743361873,1.177,35,-0.008,0.052,0.014,-0.031,0.083,-0.014,0,-0.057,-0.072,1.216,0.6898,0.014,0.4298,0.3193,0.1818,0.1,0.0635,0.0217,25,0.1056,74,2.38,-0.1,-0.01,12,2022-06-26,"Travelers Championship"
"Harold Varner III",23114154,9000,64.78,69.6,8.6,94.5,29.5,65.2,3.7,68.9,0.18,7.6656500765895,1.103,31,0.003,0.006,0.016,-0.009,0.062,-0.017,-0.054,-0.052,-0.122,1.059,0.6694,0.017,0.3972,0.2919,0.1618,0.0863,0.0532,0.0181,43,0.075,67,2.01,-0.33,-0.05,9,2022-06-26,"Travelers Championship"
"Davis Riley",23114155,8900,66.04,60.12,16.3,86.85,27.5,61.2,2.9,64.1,-0.08,14.5275242166353,0.897,25,0.023,0.017,-0.051,-0.084,-0.04,-0.022,0.041,-0.031,-0.012,0.751,0.6119,0.0133,0.3183,0.2215,0.1132,0.055,0.0331,0.0099,64,0.1941,55,1.11,-1.1,-0.16,16,2022-06-26,"Travelers Championship"
"Aaron Wise",23114156,8800,70.14,62.74,15,89.5,28,67.5,4.2,71.7,0.55,12.7135602714954,1.238,26,0.022,0.028,-0.014,-0.035,-0.026,-0.02,0.039,-0.043,-0.024,1.189,0.6882,0.014,0.4249,0.3159,0.1814,0.1003,0.0627,0.0216,100,0.1627,21.5,2.45,0.36,0.05,15,2022-06-26,"Travelers Championship"
"Mito Pereira",23114157,8700,68.91,78.68,17.4,100,32.5,66.9,4,71,0.54,12.9003756901922,1.199,27,0.018,0.024,-0.032,-0.035,-0.04,-0.015,0.118,-0.029,0.073,1.207,0.6907,0.0185,0.4304,0.3205,0.1839,0.0993,0.0612,0.0222,100,0.1691,38,2.55,0.58,0.09,17,2022-06-26,"Travelers Championship"
"Brian Harman",23114158,8600,58.74,60.41,15.7,86.5,28,67.5,4.2,71.7,0.66,15.1053280385111,0.914,35,-0.009,-0.108,0.003,-0.06,0.343,0.024,0.19,-0.041,0.173,1.256,0.7051,0.0164,0.4444,0.3333,0.1902,0.1022,0.0624,0.0208,8,0.1579,96,2.42,0.55,0.08,16,2022-06-26,"Travelers Championship"
"Webb Simpson",23114159,8500,63.04,68.04,10.9,93,29.5,62.6,3.1,65.7,0.19,8.32155854936123,0.8,36,-0.014,0.009,-0.086,-0.03,0.144,0.004,0.094,-0.039,0.059,0.882,0.6366,0.0129,0.3492,0.2478,0.1311,0.0675,0.0402,0.0132,13,0.0969,85,1.55,-0.22,-0.03,11,2022-06-26,"Travelers Championship"
"Marc Leishman",23114160,8400,70.85,57.55,10.2,85,27,60.8,2.8,63.6,0.07,10.5422137347273,0.831,38,-0.02,-0.043,-0.009,-0.155,0.244,-0.01,-0.068,-0.037,-0.116,0.732,0.6065,0.0082,0.3065,0.2099,0.106,0.0512,0.0294,0.0083,100,0.1276,25.5,0.99,-0.69,-0.1,10,2022-06-26,"Travelers Championship"
"Denny McCarthy",23114161,8300,65.39,48.99,6.2,78.5,25,60.8,2.8,63.6,0.12,11.3876609882133,1.101,29,0.011,-0.039,-0.061,-0.309,0.018,0.013,0.116,-0.079,0.05,0.77,0.6085,0.0079,0.3153,0.2152,0.1088,0.0541,0.0311,0.0096,100,0.1439,26,1.16,-0.44,-0.07,6,2022-06-26,"Travelers Championship"
"Keith Mitchell",23114162,8200,69.22,62.88,8,89,28.5,63.9,3.4,67.3,0.51,6.95820404718516,0.901,30,0.007,0.06,-0.007,0.05,-0.036,-0.037,0.02,-0.022,-0.039,0.937,0.6436,0.0098,0.3559,0.2544,0.1356,0.0698,0.0412,0.0124,6,0.1101,96.5,1.51,-0.01,0,8,2022-06-26,"Travelers Championship"
"Jason Day",23114163,8100,60.88,59.15,6.9,86,27,60,2.7,62.7,0.16,7.95648939819085,0.683,34,-0.006,0.047,0.025,-0.082,0.093,-0.018,-0.016,-0.05,-0.084,0.677,0.5982,0.0119,0.3078,0.212,0.1072,0.0539,0.0316,0.0104,100,0.0741,20.5,1.28,-0.17,-0.03,7,2022-06-26,"Travelers Championship"
"Brendon Todd",23114165,7900,59.08,52.44,13.7,81.5,25.5,59.3,2.6,62,0.22,9.38217413575079,0.683,36,-0.014,-0.123,0.007,-0.297,0.089,0.065,0.328,-0.058,0.336,0.681,0.6034,0.0103,0.3012,0.2034,0.0986,0.0466,0.0263,0.0081,100,0.124,32.5,1.03,-0.28,-0.04,14,2022-06-26,"Travelers Championship"
"Christiaan Bezuidenhout",23114166,7800,62.75,62.54,8.5,88.35,28,58.4,2.5,60.9,0.18,6.84353625424534,0.551,28,0.015,0.045,0.004,-0.066,-0.04,0.031,0.11,-0.047,0.094,0.603,0.5858,0.0104,0.2819,0.1863,0.0906,0.0436,0.0241,0.007,100,0.0646,22.5,0.9,-0.34,-0.05,8,2022-06-26,"Travelers Championship"
"Brendan Steele",23114167,7700,55.65,62.39,16,88,28,65.8,3.7,69.5,1,13.9944580067756,0.598,39,-0.021,0.006,0.033,0.095,0.33,-0.02,0.073,0.014,0.067,1.108,0.6722,0.0121,0.4014,0.2934,0.1674,0.0899,0.0574,0.02,25,0.168,78.5,2.6,1.42,0.21,16,2022-06-26,"Travelers Championship"
"Maverick McNealy",23114168,7700,73.94,60.53,12.6,87,27.5,58.6,2.5,61.1,0.26,6.83922166558436,0.669,26,0.02,0.038,0.014,-0.078,-0.015,-0.018,-0.008,-0.031,-0.057,0.591,0.5783,0.0078,0.28,0.1884,0.0922,0.0445,0.0256,0.0072,100,0.1045,28,0.94,-0.24,-0.04,13,2022-06-26,"Travelers Championship"
"Joel Dahmen",23114169,7700,61.95,50.88,9.1,80.5,25.5,61.9,3,64.8,0.59,11.2650761391393,0.627,34,-0.006,-0.022,-0.01,-0.06,0.047,0.016,0.219,-0.001,0.234,0.81,0.6198,0.0089,0.3312,0.2326,0.1211,0.06,0.0344,0.0105,69,0.1363,53.5,1.36,0.18,0.03,9,2022-06-26,"Travelers Championship"
"Si Woo Kim",23114170,7600,64.39,64.95,9.2,90.85,28.5,64.6,3.5,68.1,0.94,9.4350154576306,0.738,26,0.019,-0.015,-0.009,0.08,0.075,0.001,0.13,-0.031,0.1,0.989,0.654,0.0142,0.3749,0.2712,0.147,0.0763,0.0449,0.0146,100,0.0978,33.5,1.92,0.81,0.12,9,2022-06-26,"Travelers Championship"
"Harris English",23114172,7600,53.81,47.07,5.2,77,24.5,51.2,1.5,52.7,-0.18,7.74793953296584,0.364,32,-0.001,0.036,-0.292,-0.16,0.111,-0.002,0.008,-0.038,-0.032,0.027,0.466,0.0052,0.1669,0.1008,0.0427,0.0182,0.0101,0.0028,19,0.0331,78.5,0.37,-0.74,-0.11,5,2022-06-26,"Travelers Championship"
"Kevin Kisner",23114173,7500,53.16,51.95,4.6,81,26,54.8,2,56.8,0,6.3127076633841,0.278,38,-0.019,-0.043,0.035,-0.108,0.02,0.026,0.122,-0.033,0.115,0.279,0.5186,0.008,0.2132,0.1357,0.0604,0.0276,0.0153,0.0039,6,0.0452,91,0.52,-0.52,-0.08,5,2022-06-26,"Travelers Championship"
"Jhonattan Vegas",23114176,7500,66.03,65.55,7.9,90.5,28.5,57.9,2.4,60.2,0.3,3.48212697730169,0.588,37,-0.017,0.07,0.01,0.026,0.071,-0.054,-0.102,0.006,-0.15,0.598,0.5765,0.0066,0.2765,0.1823,0.0859,0.0394,0.0224,0.0066,100,0.0649,22,0.88,-0.16,-0.02,8,2022-06-26,"Travelers Championship"
"Cameron Tringale",23114177,7400,65,56.74,8.8,85,26.5,60.8,2.9,63.7,0.66,7.26448303588466,0.815,34,-0.007,0.052,-0.018,-0.039,0.015,-0.004,0.036,-0.047,-0.016,0.802,0.6202,0.012,0.33,0.228,0.1159,0.0567,0.0331,0.0095,100,0.1069,30.5,1.28,0.32,0.05,9,2022-06-26,"Travelers Championship"
"Mackenzie Hughes",23114178,7400,57.05,46.22,9.4,76.5,24.5,55.9,2,57.9,0.16,7.12991877753231,0.524,31,0.004,-0.008,-0.028,-0.089,0.163,0.001,-0.102,-0.051,-0.152,0.414,0.5438,0.006,0.2392,0.1559,0.0714,0.0328,0.0185,0.0049,25,0.0794,76.5,0.66,-0.3,-0.04,9,2022-06-26,"Travelers Championship"
"Aaron Rai",23114179,7400,58.91,60.15,8.1,87,27,58.7,2.5,61.2,0.45,5.20695101458718,0.504,27,0.018,0.011,-0.036,-0.045,-0.04,0.007,0.197,-0.013,0.19,0.602,0.5744,0.0065,0.2739,0.1832,0.0884,0.0419,0.0239,0.0066,40,0.063,66.5,0.89,-0.07,-0.01,8,2022-06-26,"Travelers Championship"
"Tom Hoge",23114180,7400,63.83,61.28,8.7,87.5,28,61.8,2.9,64.8,0.76,6.36763169607499,0.75,33,-0.001,-0.053,0.003,-0.067,0.093,0.007,0.08,-0.026,0.061,0.785,0.6197,0.0126,0.3279,0.2288,0.1187,0.0599,0.0357,0.0109,100,0.0671,20.5,1.47,0.51,0.08,9,2022-06-26,"Travelers Championship"
"Sahith Theegala",23114181,7300,64.96,57.09,6.4,84.85,27,54,1.8,55.8,0.03,5.27480558707239,0.202,24,0.027,0.053,0.004,0.098,-0.035,-0.018,-0.094,-0.012,-0.124,0.226,0.5074,0.0075,0.2027,0.1288,0.0566,0.0232,0.0131,0.0036,2,0.1031,120.5,0.49,-0.4,-0.06,6,2022-06-26,"Travelers Championship"
"C.T. Pan",23114182,7300,63.05,60.15,6.1,87,27.5,58.8,2.5,61.2,0.51,4.6466469484235,0.442,30,0.007,-0.013,0,-0.047,0.11,0.008,0.095,-0.02,0.083,0.582,0.5797,0.0094,0.2791,0.1849,0.0896,0.0414,0.0231,0.0065,100,0.0478,26,0.89,0,0,6,2022-06-26,"Travelers Championship"
"Anirban Lahiri",23114183,7300,51.05,54.26,3.8,82,26,57.4,2.3,59.7,0.37,3.86678494406908,0.295,34,-0.007,0.037,0.018,0.114,0.019,0.003,0.04,-0.01,0.034,0.508,0.5632,0.0094,0.2616,0.1716,0.0817,0.0377,0.0215,0.0067,100,0.0212,25,0.92,0.03,0,4,2022-06-26,"Travelers Championship"
"Ryan Palmer",23114184,7300,52.75,59.17,1.3,86.85,27.5,50.5,1.4,51.9,-0.13,1.97490901375431,0.015,45,-0.043,-0.029,-0.009,0.053,-0.032,-0.016,-0.026,0.02,-0.023,-0.067,0.4466,0.004,0.1556,0.095,0.0404,0.0175,0.0091,0.0025,100,0.0082,29.5,0.34,-0.55,-0.08,1,2022-06-26,"Travelers Championship"
"Luke List",23114185,7300,56.43,65.31,9.1,91,29,60,2.7,62.7,0.64,3.8345111651191,0.505,37,-0.016,0.063,0,0.238,0.053,-0.048,-0.086,0.013,-0.121,0.723,0.6081,0.0107,0.3115,0.2124,0.1067,0.0522,0.0308,0.0098,19,0.0386,91,1.34,0.45,0.07,9,2022-06-26,"Travelers Championship"
"Charles Howell III",23114186,7200,58.64,60.89,2.1,87,27.5,58.1,2.4,60.5,0.5,3.29904508064047,0.531,43,-0.034,-0.057,0.021,0.14,-0.066,-0.007,0.025,-0.014,0.004,0.539,0.5734,0.0097,0.2744,0.1858,0.0912,0.0429,0.0248,0.0078,35,0.0241,73,1.08,0.27,0.04,2,2022-06-26,"Travelers Championship"
"Kevin Streelman",23114187,7200,51.33,60.4,6.4,87,27.5,59.8,2.6,62.4,0.67,5.51655605851305,0.154,43,-0.036,-0.086,0.017,0.072,0.308,0.013,0.227,0.009,0.248,0.677,0.5958,0.0076,0.2971,0.2012,0.1003,0.0479,0.0272,0.008,25,0.0442,77,1.11,0.3,0.04,6,2022-06-26,"Travelers Championship"
"Cameron Champ",23114188,7200,49.89,49.41,0.74,80,25,53.6,1.8,55.4,0.05,2.63721130012123,-0.013,27,0.019,0.032,0.009,0.24,-0.046,-0.068,-0.056,0.04,-0.084,0.156,0.4944,0.0045,0.1901,0.12,0.0525,0.0229,0.0122,0.0032,100,0.0144,18.5,0.44,-0.37,-0.06,1,2022-06-26,"Travelers Championship"
"Chez Reavie",23114189,7200,49.8,51.33,1.4,80.5,25.5,55,1.9,56.9,0.18,4.85628622206316,-0.076,40,-0.026,-0.136,-0.012,-0.081,0.21,0.05,0.339,0.02,0.409,0.289,0.5236,0.0078,0.2181,0.139,0.0626,0.0275,0.0151,0.0042,8,0.0364,90,0.58,-0.23,-0.03,1,2022-06-26,"Travelers Championship"
"Matthew NeSmith",23114190,7200,57.14,52.89,6,80.5,26.5,59.2,2.5,61.7,0.61,4.89645658577025,0.465,28,0.013,0.047,0,0.031,-0.051,-0.004,0.131,-0.005,0.122,0.627,0.5871,0.01,0.2856,0.1948,0.0951,0.0462,0.0265,0.0081,19,0.0633,78.5,1.12,0.31,0.05,6,2022-06-26,"Travelers Championship"
"Troy Merritt",23114191,7100,62.82,54.29,1.2,83.5,26,57.4,2.3,59.8,0.5,3.93995186317211,0.578,36,-0.013,-0.076,0.012,-0.186,0.146,0.023,0.076,-0.037,0.062,0.523,0.5664,0.0069,0.2594,0.1738,0.0844,0.0401,0.0221,0.0063,100,0.0467,29.5,0.89,0.17,0.03,1,2022-06-26,"Travelers Championship"
"Doug Ghim",23114192,7100,53.35,59.79,0.95,87,27,59.1,2.5,61.6,0.66,4.12505156618478,0.234,26,0.021,0.024,-0.008,0.207,-0.045,0.008,0.201,0.007,0.216,0.649,0.5939,0.011,0.2941,0.2002,0.1,0.0476,0.0275,0.0082,100,0.0386,24.5,1.15,0.43,0.06,1,2022-06-26,"Travelers Championship"
"Lanto Griffin",23114193,7100,62.81,59.22,2.7,87,27.5,56.6,2.2,58.8,0.41,4.29217950790473,0.481,34,-0.004,-0.027,0.021,-0.05,0.058,-0.011,-0.007,-0.007,-0.025,0.453,0.5558,0.009,0.2482,0.1625,0.0757,0.035,0.0195,0.0057,100,0.062,32.5,0.8,0.08,0.01,3,2022-06-26,"Travelers Championship"
"Sepp Straka",23114194,7100,56.12,52.21,2.2,81,26,57.3,2.2,59.5,0.47,3.5404915971707,0.324,29,0.012,0.084,0.009,0.008,0.029,-0.023,0.02,-0.019,-0.021,0.444,0.5498,0.0063,0.2472,0.1608,0.0764,0.035,0.0193,0.0054,100,0.0419,25.5,0.76,0.04,0.01,2,2022-06-26,"Travelers Championship"
"Emiliano Grillo",23114195,7100,52.95,58.28,3.8,86.5,27,56.2,2.1,58.3,0.37,3.76167645031116,0.073,29,0.01,0.041,-0.003,0.076,0.016,-0.012,0.146,0.024,0.158,0.372,0.5365,0.009,0.2343,0.1507,0.0708,0.0328,0.0177,0.0052,100,0.0377,25,0.73,0.01,0,4,2022-06-26,"Travelers Championship"
"Nick Hardy",23114196,7100,55.03,48.97,2.6,78.5,25.5,53.8,1.8,55.6,0.13,3.51940487451656,0.106,26,0.02,0.07,0.064,0.056,-0.013,-0.024,-0.064,0.003,-0.086,0.218,0.5024,0.0047,0.1976,0.1245,0.0551,0.0234,0.0128,0.0036,8,0.0455,87.5,0.51,-0.21,-0.03,3,2022-06-26,"Travelers Championship"
"Adam Long",23114197,7000,56.61,51.97,6.1,81,25.5,61,2.8,63.7,0.91,6.62429488003677,0.508,34,-0.007,-0.009,-0.014,-0.032,0.041,0.024,0.184,-0.022,0.187,0.675,0.5928,0.0082,0.2987,0.2035,0.1047,0.0517,0.0307,0.0096,25,0.0569,82.5,1.37,0.74,0.11,6,2022-06-26,"Travelers Championship"
"Rickie Fowler",23114198,7000,52.91,52.8,2.9,81,26.5,53.1,1.7,54.7,0.11,4.96896549502967,0.194,33,-0.003,0.023,-0.011,-0.006,-0.03,-0.015,-0.003,-0.021,-0.04,0.128,0.4847,0.0044,0.1856,0.1182,0.0535,0.0231,0.0125,0.0032,100,0.0409,24,0.46,-0.17,-0.03,3,2022-06-26,"Travelers Championship"
"Stewart Cink",23114199,7000,50.28,51.31,0.76,81,25.5,52,1.5,53.5,0,2.94302241923544,0.148,49,-0.054,-0.063,0.014,-0.036,0.066,-0.021,-0.08,0.013,-0.087,-0.012,0.4647,0.0056,0.1667,0.1024,0.0445,0.0188,0.0102,0.0027,53,0.0193,63,0.39,-0.24,-0.04,1,2022-06-26,"Travelers Championship"
"Dylan Frittelli",23114200,7000,54.79,49.62,0.82,78,25.5,50.6,1.4,52,-0.05,2.06536165445675,0.152,32,0.002,0.08,0.002,0.028,-0.049,-0.02,-0.177,-0.014,-0.212,0.003,0.456,0.0039,0.158,0.0954,0.0401,0.0162,0.0082,0.0019,100,0.0087,25,0.27,-0.36,-0.05,1,2022-06-26,"Travelers Championship"
"Alex Smalley",23114201,7000,56.7,57.22,1.9,85.5,26.5,56.6,2.1,58.8,0.47,3.08494039139372,0.265,25,0.023,0.008,0.013,0.115,-0.04,-0.025,0.065,0.008,0.048,0.431,0.5416,0.006,0.2428,0.1605,0.0759,0.0353,0.0199,0.0053,100,0.0294,22,0.76,0.13,0.02,2,2022-06-26,"Travelers Championship"
"J.J. Spaun",23114202,7000,58.76,54.7,1.3,83,26,57.6,2.3,59.9,0.57,2.63985672194491,0.251,31,0.003,0.053,-0.008,0.023,0.031,0.012,0.128,0.001,0.141,0.495,0.5604,0.006,0.2562,0.1686,0.0808,0.0371,0.0213,0.0059,100,0.0108,22.5,0.84,0.21,0.03,1,2022-06-26,"Travelers Championship"
"Russell Knox",23114203,6900,55.64,57.28,4.2,85.5,26.5,58.5,2.5,61,0.72,4.30703756106106,0.193,37,-0.014,-0.031,0.043,0.024,0.112,0.015,0.217,0.014,0.245,0.571,0.5719,0.0071,0.2731,0.183,0.0862,0.0403,0.023,0.0073,100,0.0354,18.5,1.06,0.51,0.08,4,2022-06-26,"Travelers Championship"
"Scott Stallings",23114205,6900,53.63,54.99,0.65,84,26.5,53.5,1.7,55.2,0.21,2.89836763139721,0.343,37,-0.015,0.017,0.013,-0.116,0.044,-0.014,-0.095,-0.015,-0.124,0.161,0.4899,0.0044,0.193,0.1183,0.0512,0.0217,0.012,0.0029,8,0.018,94.5,0.42,-0.13,-0.02,1,2022-06-26,"Travelers Championship"
"Danny Willett",23114206,6900,50.75,50.82,0.48,80,26,48.7,1.2,49.9,-0.11,0.853799373774859,-0.008,34,-0.007,0.004,-0.002,-0.031,-0.041,-0.001,-0.072,-0.016,-0.089,-0.173,0.4294,0.0039,0.1346,0.0778,0.0325,0.0135,0.0068,0.0019,100,0.0042,31,0.28,-0.27,-0.04,0,2022-06-26,"Travelers Championship"
"Scott Piercy",23114207,6900,50.38,50.65,0.4,79.5,25.5,49.5,1.3,50.8,-0.07,0.632614520634396,0.015,43,-0.036,-0.029,0.008,0.021,-0.084,0.005,-0.02,0.006,-0.009,-0.115,0.4435,0.0051,0.1473,0.0851,0.0328,0.0129,0.0062,0.0016,100,0.0032,34.5,0.23,-0.32,-0.05,0,2022-06-26,"Travelers Championship"
"Martin Laird",23114208,6900,51.9,55.23,0.89,84.5,26.5,54.8,2,56.8,0.35,1.86493013098841,0.052,39,-0.022,-0.107,-0.011,0.07,0.057,0.004,0.249,0.024,0.277,0.317,0.5268,0.007,0.2191,0.1384,0.064,0.0282,0.0158,0.0039,13,0.0051,82,0.57,0.02,0,1,2022-06-26,"Travelers Championship"
"Beau Hossler",23127955,6900,54.39,41.37,0,71,23.5,52,1.5,53.5,0.06,4.32953047290626,0.103,27,0.018,0.009,0.029,-0.044,0.142,-0.028,-0.15,-0.039,-0.217,0.041,0.4745,0.0068,0.1782,0.1121,0.05,0.0227,0.0124,0.0033,100,0.081,28,0.48,-0.07,-0.01,0,2022-06-26,"Travelers Championship"
"John Huh",23114209,6800,56,53.67,1.5,82,26,52.7,1.6,54.3,0.19,2.88342758255631,0.078,32,0.002,-0.065,-0.005,0.015,-0.052,0.027,0.16,0,0.188,0.162,0.494,0.0056,0.1898,0.1184,0.05,0.0198,0.011,0.0029,13,0.0192,85.5,0.43,-0.04,-0.01,1,2022-06-26,"Travelers Championship"
"Lucas Glover",23114210,6800,60.55,60.62,4.3,87,27.5,57.4,2.2,59.6,0.66,3.67949672058952,0.294,42,-0.032,-0.11,0.006,0.096,-0.008,0.009,0.175,0.023,0.207,0.453,0.5539,0.0088,0.2504,0.1665,0.0788,0.0361,0.0206,0.006,70,0.0479,56.5,0.88,0.41,0.06,4,2022-06-26,"Travelers Championship"
"Matthew Wolff",23114211,6800,53,33.61,1.4,59,20.5,42,0.7,42.7,-0.36,1.62112494263009,-0.455,23,0.031,0.084,-0.128,0.006,-0.044,-0.065,-0.245,0,-0.31,-0.814,0.3038,0.0015,0.0622,0.0326,0.0111,0.004,0.0021,4e-04,40,0.0121,73,0.06,-0.41,-0.06,1,2022-06-26,"Travelers Championship"
