"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Christiaan Bezuidenhout",22529140,7400,63.19,65.11,3.7,93.5,30.5,69.1,2.5,71.6,0.34,5.04989393989309,0.32,27,0.016,0.019,0.028,0.032,-0.04,0.062,-0.032,0.017,0.047,0.421,0.5815,0.0095,0.2772,0.1862,0.091,0.0434,0.0244,0.0069,12,0.0414,104,0.93,-0.14,-0.02,4,2022-05-15,"AT&T Byron Nelson"
"Ryan Palmer",22529141,7400,51.83,63.4,3.8,92.5,30,64.3,1.8,66.1,-0.03,5.49723571630768,0.066,45,-0.042,-0.042,-0.031,0.098,-0.027,-0.045,0.005,-0.007,-0.046,-0.025,0.4738,0.0048,0.1816,0.1139,0.0522,0.0234,0.0133,0.0034,5,0.0338,135.5,0.46,-0.61,-0.09,4,2022-05-15,"AT&T Byron Nelson"
"Ian Poulter",22529142,7400,49.86,57.02,1.6,86.5,28.5,65.5,2,67.5,0.03,3.22221330398931,0.515,46,-0.045,-0.086,-0.023,-0.2,-0.04,0.058,-0.02,0.016,0.054,0.176,0.5299,0.0075,0.2203,0.1399,0.0637,0.029,0.0155,0.0041,59,0.0078,83,0.55,-0.52,-0.08,2,2022-05-15,"AT&T Byron Nelson"
"Kurt Kitayama",22529143,7400,54.25,59.59,9.9,88.5,29,62.3,1.7,63.9,-0.11,10.7641605446079,-0.114,29,0.011,0.006,0.064,0.066,-0.04,-0.083,0.049,0,-0.035,-0.043,0.4826,0.0068,0.1822,0.1153,0.0516,0.0231,0.0122,0.0035,100,0.0893,29.5,0.47,-0.6,-0.09,10,2022-05-15,"AT&T Byron Nelson"
"Matthew NeSmith",22529144,7300,56.86,62.51,6.4,91.5,30,69.9,2.6,72.5,0.45,4.42609005291219,0.39,28,0.013,0.055,0.002,0.041,-0.04,0,-0.028,0.009,-0.019,0.442,0.5834,0.0108,0.281,0.1905,0.0967,0.0458,0.0266,0.0084,51,0.0445,83.5,1.15,0.21,0.03,6,2022-05-15,"AT&T Byron Nelson"
"Tom Hoge",22529146,7300,67.67,62.59,8.8,90.5,30.43,74.4,3.3,77.7,0.83,7.97449493361412,0.708,32,-0.001,-0.035,-0.003,0.102,-0.05,0.013,-0.026,0.012,-0.001,0.72,0.6254,0.0102,0.3389,0.2397,0.1248,0.0639,0.0369,0.0114,17,0.0774,111.5,1.56,0.62,0.09,9,2022-05-15,"AT&T Byron Nelson"
"Dylan Frittelli",22529147,7300,53.56,53.28,2.4,83.58,28,68.7,2.4,71.1,0.35,3.52644990420572,0.242,31,0.002,0.065,-0.007,0.081,-0.04,-0.042,0.038,0.009,0.005,0.347,0.5463,0.0062,0.2467,0.1607,0.0775,0.0357,0.0205,0.0066,69,0.0231,76,0.9,-0.04,-0.01,2,2022-05-15,"AT&T Byron Nelson"
"Luke List",22529148,7300,58.76,68.04,10.2,95,31.5,71,2.7,73.7,0.54,8.20034969739008,0.349,37,-0.015,-0.005,-0.006,0.314,-0.03,-0.101,0.021,-0.002,-0.082,0.524,0.6016,0.0124,0.3026,0.207,0.1025,0.0503,0.0296,0.0096,100,0.0643,34,1.32,0.38,0.06,10,2022-05-15,"AT&T Byron Nelson"
"Mackenzie Hughes",22529149,7200,59.97,54.23,1.9,84.5,28.5,70.3,2.6,73,0.54,4.89381617573195,0.446,31,0.004,0.036,-0.038,0.002,-0.04,0.003,0.019,0.018,0.04,0.45,0.5898,0.0106,0.2872,0.1955,0.0946,0.0461,0.0262,0.007,100,0.0407,39.5,0.97,0.16,0.02,2,2022-05-15,"AT&T Byron Nelson"
"Shaun Norris",22529150,7200,91.2,51.37,0.48,82.5,27,58.7,1.2,59.9,-0.21,1.02600950364248,-0.163,40,-0.024,-0.015,-0.013,-0.164,-0.04,0.015,0.022,0.005,0.041,-0.378,0.4212,0.0049,0.1279,0.0759,0.031,0.0124,0.006,0.0012,100,0.0252,43.5,0.17,-0.64,-0.1,0,2022-05-15,"AT&T Byron Nelson"
"J.J. Spaun",22529151,7200,63.58,57.67,4.2,87.5,29,71.7,2.8,74.5,0.65,5.96753828357554,0.45,31,0.003,0.038,-0.033,0.071,0,0.026,-0.038,0.005,-0.006,0.523,0.5863,0.0066,0.2939,0.2004,0.0981,0.0482,0.0279,0.0086,38,0.0398,97.5,1.19,0.38,0.06,4,2022-05-15,"AT&T Byron Nelson"
"Aaron Rai",22529152,7200,56.22,61.52,4.5,90,29.5,69.6,2.5,72.1,0.48,4.14094658618491,0.322,27,0.018,0.065,-0.008,0.07,-0.04,0.017,-0.039,0.005,-0.016,0.412,0.5601,0.006,0.2556,0.168,0.0821,0.037,0.0211,0.0061,46,0.0404,90,0.85,0.04,0.01,5,2022-05-15,"AT&T Byron Nelson"
"Charles Howell III",22529153,7200,60.17,63.73,3.7,91.5,30,70.7,2.7,73.4,0.57,4.59080416279829,0.46,42,-0.033,-0.087,0.004,0.214,-0.028,-0.02,-0.002,0.006,-0.016,0.513,0.5812,0.0066,0.2895,0.1972,0.0998,0.0509,0.0303,0.0093,100,0.0308,33.5,1.29,0.48,0.07,4,2022-05-15,"AT&T Byron Nelson"
