"","Name","ID","Salary","ceil","fpts","total_points","fpts_avg","course_fit","final_prediction","win","residuals","proj_own_avg","own_change","own"
"98","Davis Thompson",28153746,6100,70,43,48.9,45.95,-0.68,-0.073,9e-04,0.08,0.82,-3.02,0
"99","Lanto Griffin",28153747,6100,71.5,44.79,44.9,44.84,-1.6,-0.449,6e-04,0.03,0.45,-7.19,0
"100","Trey Mullinax",28153749,6100,71.5,44.15,43.5,43.83,-1.26,-0.517,0,-0.07,0.42,-5.7,0
"101","Kevin Kisner",28153750,6100,53.5,31.05,34.6,32.83,-1.04,-1.441,0,-0.07,0.41,-4.72,0
"102","Justin Lower",28153751,6100,62,34.84,45.4,40.12,-1.17,-0.323,7e-04,0.04,0.43,-5.24,0
"103","Peter Malnati",28153752,6100,70.5,43.68,44.7,44.19,-0.25,-0.393,0,-0.07,0.18,-1.16,0
"104","Troy Merritt",28153753,6100,72,45.85,43.7,44.78,-0.91,-0.491,0,-0.07,0.1,-4.13,0
"105","Dylan Frittelli",28153754,6100,60.5,34.2,35.7,34.95,-1.79,-1.303,0,-0.07,0.03,-8.09,0
"106","Thriston Lawrence",28153755,6000,74,47.41,40.8,44.1,-1.63,-0.78,0,0,0.4,-7.33,0
"107","Nicolas Echavarria",28153756,6000,56.35,31.51,42.1,36.8,-1.82,-0.734,0,0,0.09,-8.19,0
"108","David Lingmerth",28153757,6000,69.35,41.71,46.8,44.25,-0.58,-0.25,8e-04,0.13,1.12,-2.54,0
"109","Luke Donald",28153758,6000,68,40.26,42.5,41.38,-0.69,-0.618,0,0,0.03,-3.1,0
"110","Jason Dufner",28153762,6000,62.5,35.39,37.7,36.55,-1.74,-1.045,0,0,0.28,-7.83,0
"111","William McGirt",28153763,6000,67.5,39.87,39.8,39.83,-0.97,-0.819,0,0,0.05,-4.36,0
"112","Bo Hoag",28153764,6000,52.35,30.33,37.9,34.11,-1.82,-1.008,0,0,0.14,-8.19,0
