,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Joel Dahmen,12500,"2,500.00",3000,600.00,1400,280.00,,,,,9000,"1,800.00",,,,
Dylan Frittelli,12500,"2,500.00",2000,400.00,900,180.00,,,,,8000,"1,600.00",,,,
Doug Ghim,12500,"2,500.00",3000,600.00,1400,280.00,,,,,9000,"1,800.00",,,,
Lucas Glover,12500,"2,500.00",2500,500.00,1100,220.00,,,,,9000,"1,800.00",,,,
Patton Kizzire,12500,"2,500.00",3000,600.00,1400,280.00,,,,,9000,"1,800.00",,,,
C.T. Pan,12500,"2,500.00",2500,500.00,1100,220.00,,,,,9000,"1,800.00",,,,
Scott Stallings,12500,"2,500.00",3000,600.00,1400,280.00,,,,,9000,"1,800.00",,,,
Brendon Todd,12500,"2,500.00",3000,600.00,1400,280.00,,,,,9000,"1,800.00",,,,
Cameron Tringale,12500,"2,500.00",2000,400.00,900,180.00,,,,,8000,"1,600.00",,,,
Branden Grace,15000,"3,000.00",4000,800.00,1800,360.00,,,,,10000,"2,000.00",,,,
Mackenzie Hughes,15000,"3,000.00",2200,440.00,1100,220.00,,,,,10000,"2,000.00",,,,
Matthew NeSmith,15000,"3,000.00",3000,600.00,1400,280.00,,,,,10000,"2,000.00",,,,
Brian Stuard,15000,"3,000.00",3000,600.00,1400,280.00,,,,,10000,"2,000.00",,,,
Sahith Theegala,15000,"3,000.00",2500,500.00,1100,220.00,,,,,10000,"2,000.00",,,,
Danny Willett,15000,"3,000.00",2500,500.00,1200,240.00,,,,,10000,"2,000.00",,,,
Cam Davis,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Rickie Fowler,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Lanto Griffin,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Charley Hoffman,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Beau Hossler,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Anirban Lahiri,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Nate Lashley,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
K.H. Lee,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Pat Perez,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Chad Ramey,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Davis Riley,17500,"3,500.00",3000,600.00,1400,280.00,,,,,12500,"2,500.00",,,,
Emiliano Grillo,20000,"4,000.00",3500,700.00,1600,320.00,,,,,15000,"3,000.00",,,,
Kramer Hickok,20000,"4,000.00",5000,"1,000.00",2200,440.00,,,,,15000,"3,000.00",,,,
Carlos Ortiz,20000,"4,000.00",3500,700.00,1600,320.00,,,,,15000,"3,000.00",,,,
Alex Smalley,20000,"4,000.00",4000,800.00,1800,360.00,,,,,11000,"2,200.00",,,,
Brandt Snedeker,20000,"4,000.00",3500,700.00,1600,320.00,,,,,15000,"3,000.00",,,,
Nick Taylor,20000,"4,000.00",3000,600.00,1400,280.00,,,,,15000,"3,000.00",,,,
Michael Thompson,20000,"4,000.00",4000,800.00,1800,360.00,,,,,11000,"2,200.00",,,,
Takumi Kanaya,22500,"4,500.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Adam Long,22500,"4,500.00",4000,800.00,1800,360.00,,,,,12500,"2,500.00",,,,
Andrew Putnam,22500,"4,500.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Adam Svensson,22500,"4,500.00",5000,"1,000.00",2200,440.00,,,,,12500,"2,500.00",,,,
Harry Higgs,25000,"5,000.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Zach Johnson,25000,"5,000.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Satoshi Kodaira,25000,"5,000.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
J.T. Poston,25000,"5,000.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Charl Schwartzel,25000,"5,000.00",4000,800.00,1800,360.00,,,,,15000,"3,000.00",,,,
Joseph Bramlett,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Luke Donald,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,15000,"3,000.00",,,,
Brice Garnett,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Garrick Higgo,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Danny Lee,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Scott Piercy,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Chez Reavie,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Doc Redman,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Sam Ryder,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Henrik Stenson,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Hudson Swafford,30000,"6,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Wyndham Clark,35000,"7,000.00",4000,800.00,2000,400.00,,,,,20000,"4,000.00",,,,
Tyler Duncan,35000,"7,000.00",4000,800.00,2000,400.00,,,,,20000,"4,000.00",,,,
Wesley Bryan,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,25000,"5,000.00",,,,
Jonathan Byrd,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,17500,"3,500.00",,,,
Jim Furyk,40000,"8,000.00",5000,"1,000.00",2200,440.00,,,,,25000,"5,000.00",,,,
Hank Lebioda,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,25000,"5,000.00",,,,
Peter Malnati,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,15000,"3,000.00",,,,
Graeme McDowell,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,25000,"5,000.00",,,,
Bryson Nimmer,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,25000,"5,000.00",,,,
Adam Schenk,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,25000,"5,000.00",,,,
Roger Sloan,40000,"8,000.00",7000,"1,400.00",3500,700.00,,,,,15000,"3,000.00",,,,
Robert Streb,40000,"8,000.00",5000,"1,000.00",2200,440.00,,,,,25000,"5,000.00",,,,
Ryan Brehm,50000,"10,000.00",7000,"1,400.00",2800,560.00,,,,,25000,"5,000.00",,,,
Scott Brown,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Brian Gay,50000,"10,000.00",10000,"2,000.00",2800,560.00,,,,,25000,"5,000.00",,,,
Michael Gligic,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Bill Haas,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Chesson Hadley,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Brandon Hagy,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
James Hahn,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Jim Herman,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Stephan Jaeger,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Sung Kang,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Ben Martin,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
William McGirt,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Henrik Norlander,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Martin Trainer,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Kevin Tway,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Camilo Villegas,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Nick Watney,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Richy Werenski,50000,"10,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Morgan Hoffmann,75000,"15,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Davis Love III,75000,"15,000.00",10000,"2,000.00",6600,"1,320.00",,,,,30000,"6,000.00",,,,
Morgan Deneen,100000,"20,000.00",10000,"2,000.00",4000,800.00,,,,,40000,"8,000.00",,,,
James Piot,100000,"20,000.00",10000,"2,000.00",6600,"1,320.00",,,,,30000,"6,000.00",,,,
Abraham Ancer,,,,,,,,,,,,,,,,
