"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"54","Doug Ghim",22064294,6900,54.82,0.0064,0.0059,58,-5e-04,-0.0781,55.03,2.2,79.5,26,0.86,1,0,9.06,10,0.0288,68,"2022-04-14","RBC Heritage"
"55","Danny Willett",22064295,6900,49.35,0.0029,0.0042,73,0.0013,0.4483,49.36,1.4,75.5,24.5,0.61,1,-0.25,14.42,15,0.0204,70,"2022-04-14","RBC Heritage"
"56","Mackenzie Hughes",22064296,6900,61.58,0.006,0.0069,52,9e-04,0.15,49.42,1.1,75,24,1,1,0.14,12.13,15,0.0192,25.5,"2022-04-14","RBC Heritage"
"57","Carlos Ortiz",22064297,6900,61.19,0.003,0.0057,61,0.0027,0.9,54.35,0.87,79.5,26,0.83,1,-0.03,23.48,25,0.0066,29.5,"2022-04-14","RBC Heritage"
"58","Brendon Todd",22064298,6800,55.61,0.0069,0.0089,36,0.002,0.2899,50.03,1.9,75,24.5,1.31,1,0.51,15.22,15,0.0414,73,"2022-04-14","RBC Heritage"
"59","Joel Dahmen",22064299,6800,66.04,0.0072,0.0083,38,0.0011,0.1528,54.42,6,79.5,25.5,1.22,1,0.42,12.75,20,0.0781,78.5,"2022-04-14","RBC Heritage"
"60","Beau Hossler",22064300,6800,57.59,0.0036,0.0036,83,0,0,47.52,2.7,74.5,24.5,0.53,1,-0.27,9.8,10,0.0281,12,"2022-04-14","RBC Heritage"
"61","Lanto Griffin",22064301,6800,65.39,0.0043,0.0039,77,-4e-04,-0.093,54.46,3,79,26,0.57,1,-0.23,9.11,10,0.0277,24,"2022-04-14","RBC Heritage"
"62","Brandt Snedeker",22064302,6800,46.11,0.0023,0.0059,58,0.0036,1.5652,47.67,1.4,74,24,0.87,1,0.07,27.25,30,0.0123,24,"2022-04-14","RBC Heritage"
"63","Cameron Davis",22064303,6800,55.15,0.0022,0.0043,72,0.0021,0.9545,52.76,1.3,79,25,0.63,1,-0.17,23.18,25,NA,NA,"2022-04-14","RBC Heritage"
"64","Chad Ramey",22064304,6700,59.84,0.003,0.0031,92,9.99999999999998e-05,0.0333,44.64,0.81,72,23,0.46,1,-0.28,10,10,0.0087,61.5,"2022-04-14","RBC Heritage"
"65","Brian Stuard",22064305,6700,50.47,0.007,0.0072,46,2e-04,0.0286,47.94,4.3,74.5,24,1.07,1,0.33,10.66,15,0.0372,47.5,"2022-04-14","RBC Heritage"
"66","Emiliano Grillo",22064306,6700,48.7,0.0019,0.0038,78,0.0019,1,54.51,1.4,80,26,0.57,1,-0.17,23.67,25,0.0167,25,"2022-04-14","RBC Heritage"
"67","Branden Grace",22064308,6700,44.96,0.0042,0.0045,70,3e-04,0.0714,48.55,0.53,74.5,24,0.67,1,-0.07,10.6,10,0.0059,72.5,"2022-04-14","RBC Heritage"
"68","Nate Lashley",22064309,6700,59.9,0.0035,0.004,76,5e-04,0.1429,50.62,3.2,77,24.5,0.6,1,-0.14,11.1,15,0.0355,21,"2022-04-14","RBC Heritage"
"69","Charl Schwartzel",22064310,6600,41.79,8e-04,0.0029,95,0.0021,2.625,38.72,1.1,67,21.5,0.44,1,-0.25,24.01,25,0.0169,60.5,"2022-04-14","RBC Heritage"
"70","Matthew NeSmith",22064311,6600,56.06,0.0055,0.009,34,0.0035,0.6364,51.68,8.4,77.5,25.5,1.36,1,0.67,21.55,30,0.0512,75,"2022-04-14","RBC Heritage"
"71","J.T. Poston",22064312,6600,42.57,0.0028,0.0035,86,7e-04,0.25,44.5,0.45,71.5,23,0.53,1,-0.16,11.91,10,0.0116,103.5,"2022-04-14","RBC Heritage"
"72","Harry Higgs",22064313,6600,50.72,0.0023,0.0026,100,3e-04,0.1304,42.39,0.94,70.5,22.5,0.39,1,-0.3,10.55,10,0.0204,26.5,"2022-04-14","RBC Heritage"
"73","Nick Taylor",22064314,6600,58.17,0.0039,0.0036,83,-3e-04,-0.0769,51.34,0.79,78,24.5,0.55,1,-0.14,9.35,10,0.0107,27.5,"2022-04-14","RBC Heritage"
"74","Alex Smalley",22064315,6600,58.94,0.0035,0.0037,80,2e-04,0.0571,49.68,1.6,75,24.5,0.56,1,-0.13,10.34,10,0.0069,26.5,"2022-04-14","RBC Heritage"
"75","Michael Thompson",22064317,6500,60.46,0.0046,0.0063,56,0.0017,0.3696,48.75,0.73,74.5,24,0.97,1,0.32,15.01,15,0.0192,25,"2022-04-14","RBC Heritage"
"76","Kramer Hickok",22064318,6500,52.5,0.0046,0.0066,54,0.002,0.4348,54.3,0.9,79.5,25.5,1.02,1,0.37,16.17,15,0.0101,19.5,"2022-04-14","RBC Heritage"
"77","Joseph Bramlett",22064319,6500,49.88,0.0013,0.0041,74,0.0028,2.1538,47.31,0.37,74.5,24.5,0.63,1,-0.02,25.59,25,0.001,73.5,"2022-04-14","RBC Heritage"
"78","Garrick Higgo",22064320,6500,50.61,7e-04,0.0034,88,0.0027,3.8571,49.43,0.9,76.5,24.5,0.52,1,-0.13,25.3,25,0.0042,16,"2022-04-14","RBC Heritage"
"79","Hudson Swafford",22064321,6500,59.32,0.0025,0.0055,64,0.003,1.2,46.64,1.9,73.5,23.5,0.85,1,0.2,26.15,30,0.0131,76,"2022-04-14","RBC Heritage"
"80","Henrik Stenson",22064322,6500,44.25,0.0022,0.0048,68,0.0026,1.1818,43.26,0.71,71,23,0.74,1,0.09,25.27,25,0.0066,58,"2022-04-14","RBC Heritage"
"81","Adam Long",22064323,6400,57.16,0.0047,0.007,50,0.0023,0.4894,47.45,1.2,74,23.93,1.09,1,0.5,17.37,20,0.01,76.5,"2022-04-14","RBC Heritage"
"82","Doc Redman",22064324,6400,52.19,0.0026,0.0027,98,1e-04,0.0385,44.93,1.3,72,23,0.42,1,-0.17,10.09,10,0.0112,71,"2022-04-14","RBC Heritage"
"83","Adam Svensson",22064325,6400,53,0.0019,0.0049,67,0.003,1.5789,52.76,5.6,78,25.5,0.77,1,0.18,26.13,30,0.0203,86,"2022-04-14","RBC Heritage"
"84","Satoshi Kodaira",22064326,6400,59.42,0.0014,0.0021,108,7e-04,0.5,49.09,0.58,76.07,24.5,0.33,1,-0.26,13.7,15,0.0084,16,"2022-04-14","RBC Heritage"
"85","Andrew Putnam",22064327,6400,58.25,0.0036,0.0036,83,0,0,47.94,0.42,74,24,0.56,1,-0.03,9.98,10,0.0054,21,"2022-04-14","RBC Heritage"
"86","Pat Perez",22064328,6400,50.79,0.0052,0.0071,48,0.0019,0.3654,53.23,1.3,79,25,1.11,1,0.52,15.53,15,0.013,64.5,"2022-04-14","RBC Heritage"
"87","Sam Ryder",22064329,6400,56.97,0.0018,0.0027,98,9e-04,0.5,46.79,0.59,73.5,24,0.42,1,-0.17,14.17,15,0.006,27.5,"2022-04-14","RBC Heritage"
"88","Takumi Kanaya",22064330,6300,39.93,0.0029,0.007,50,0.0041,1.4138,43.75,0.35,71,23,1.11,1,0.58,28.64,30,0.0069,19,"2022-04-14","RBC Heritage"
"89","Chez Reavie",22064331,6300,49.37,0.0013,0.0044,71,0.0031,2.3846,47.86,0.29,74,24,0.7,1,0.17,26.33,25,0.0038,13.5,"2022-04-14","RBC Heritage"
"90","Wyndham Clark",22064332,6300,54.5,8e-04,0.0016,116,8e-04,1,41.62,0.41,70,22.5,0.25,1,-0.28,21.39,20,0.0034,76.5,"2022-04-14","RBC Heritage"
"91","Luke Donald",22064333,6300,50.64,0.0031,0.0032,90,1e-04,0.0323,47.51,2.2,74,23.5,0.51,1,-0.02,10.2,10,0.018,64,"2022-04-14","RBC Heritage"
"92","Danny Lee",22064334,6300,54.71,0.0025,0.003,94,5e-04,0.2,44.47,0.54,71.5,23.5,0.48,1,-0.05,11.36,10,0.0029,19.5,"2022-04-14","RBC Heritage"
"93","Scott Piercy",22064335,6300,47.25,0.001,0.0022,106,0.0012,1.2,44.58,0.09,71.5,23,0.35,1,-0.18,22.26,20,0.0017,73.5,"2022-04-14","RBC Heritage"
"94","Jim Furyk",22064336,6300,57.75,0.001,0.002,109,0.001,1,50.31,0.62,76,24.5,0.32,1,-0.21,21.84,20,0.0222,18,"2022-04-14","RBC Heritage"
"95","Bill Haas",22064337,6300,51.91,0.0017,0.0025,102,8e-04,0.4706,42.98,0.32,70,23,0.4,1,-0.13,13.72,15,0.0026,57.5,"2022-04-14","RBC Heritage"
"96","Graeme McDowell",22064338,6200,46.21,0.001,0.0019,112,9e-04,0.9,35.12,0.43,62,20.5,0.31,1,-0.15,19.79,20,0.004,76.5,"2022-04-14","RBC Heritage"
"97","Hank Lebioda",22064339,6200,43.28,0.0017,0.0034,88,0.0017,1,48.87,0.25,75.5,24,0.55,1,0.09,23.47,25,0.0011,28,"2022-04-14","RBC Heritage"
"98","Adam Schenk",22064340,6200,46.88,0.0011,0.0017,114,6e-04,0.5455,43.06,0.42,71.5,22.5,0.27,1,-0.19,14.03,15,0.0027,16.5,"2022-04-14","RBC Heritage"
