Player,Roster Position,%Drafted,FPTS
James Conner,RB,5.47%,12.4
Christian Kirk,WR,5.42%,15
Tyler Johnson,WR,5.33%,3.6
C.J. Uzomah,TE,5.32%,24.1
Jets ,DST,5.25%,-3
Tee Higgins,WR,5.12%,13.2
Chase Edmonds,RB,5.00%,10
Cole Kmet,TE,4.83%,9.3
Giants ,DST,4.82%,17
Henry Ruggs III,WR,4.73%,7.1
Tyler Higbee,TE,4.69%,9.6
Panthers ,DST,4.64%,2
Van Jefferson Jr.,WR,4.52%,14.3
Ryan Tannehill,QB,4.48%,20.4
Myles Gaskin,FLEX,4.39%,17.7
Rondale Moore,FLEX,4.20%,3.7
Amon-Ra St. Brown,WR,4.09%,0
Devontae Booker,RB,4.06%,14.6
Darius Slayton,WR,3.98%,11.3
Mike Davis,FLEX,3.80%,1
Dante Pettis,WR,3.68%,15.54
Corey Davis,WR,3.67%,14.7
Jamison Crowder,FLEX,3.55%,7.4
Terry McLaurin,WR,3.43%,28.2
Titans ,DST,3.36%,17
Derek Carr,QB,3.28%,23.02
Buccaneers ,DST,3.19%,21
Sam Darnold,QB,3.10%,3.44
Rams ,DST,3.06%,7
Falcons ,DST,2.95%,6
Robert Tonyan,TE,2.93%,16.3
O.J. Howard,TE,2.59%,1.9
Quez Watkins,WR,2.45%,5.7
Allen Lazard,WR,2.42%,17
Tyler Boyd,FLEX,2.40%,7.9
Randall Cobb,WR,2.30%,5.2
Joe Burrow,QB,2.24%,30.64
Packers ,DST,2.20%,14
Texans ,DST,2.12%,7
Allen Robinson II,WR,2.12%,3.6
Cameron Brate,FLEX,1.96%,0
Anthony Firkser,TE,1.89%,1.9
Jonnu Smith,TE,1.87%,7.7
Danny Amendola,FLEX,1.86%,4.7
Michael Carter,FLEX,1.74%,17.4
AJ Dillon,RB,1.67%,0.8
WAS Football Team ,DST,1.66%,7
Raiders ,DST,1.66%,6
Mac Jones,QB,1.62%,25.18
Khalil Herbert,RB,1.60%,21.3
Demarcus Robinson,WR,1.59%,1.7
Julio Jones,WR,1.53%,5.8
T.J. Hockenson,FLEX,1.49%,10.8
Nelson Agholor,FLEX,1.44%,13.1
Kendrick Bourne,WR,1.40%,15.8
Chris Moore,FLEX,1.38%,0
Russell Gage,WR,1.38%,16.7
Foster Moreau,FLEX,1.36%,18
DeSean Jackson,WR,1.32%,0
Evan Engram,TE,1.29%,10.4
Byron Pringle,WR,1.22%,12.3
Hayden Hurst,FLEX,1.21%,6.5
Kenyan Drake,RB,1.19%,16.9
Justin Fields,QB,1.16%,6.16
Damien Williams,RB,1.05%,1.8
Daniel Jones,QB,0.96%,17.52
Antonio Gibson,RB,0.94%,7.6
Chiefs ,DST,0.94%,3
Mark Ingram II,FLEX,0.87%,5.7
Taylor Heinicke,QB,0.87%,22.22
Le'Veon Bell,RB,0.82%,1.4
Bryan Edwards,FLEX,0.79%,13.3
Sony Michel,RB,0.76%,0.4
John Ross III,FLEX,0.73%,4.7
Nick Westbrook-Ikhine,WR,0.73%,0
Dolphins ,DST,0.72%,4
Jalen Reagor,WR,0.70%,10.5
Jamaal Williams,RB,0.70%,5.7
Kalif Raymond,WR,0.65%,20.6
Bengals ,DST,0.60%,6
Sterling Shepard,WR,0.59%,0
Josh Gordon,WR,0.59%,0
Jared Goff,QB,0.58%,13.02
Lions ,DST,0.54%,0
Ryan Griffin,TE,0.54%,2.5
Devin Duvernay,WR,0.49%,1.9
Giovani Bernard,FLEX,0.48%,2.5
Bears ,DST,0.48%,-2
Preston Williams,WR,0.46%,1.5
Darren Waller,FLEX,0.44%,0
Nico Collins,FLEX,0.42%,4.8
Ty'Son Williams,RB,0.42%,5.4
Rhamondre Stevenson,FLEX,0.41%,0
Jordan Akins,TE,0.37%,3.3
Kenneth Gainwell,FLEX,0.34%,15.1
Adam Humphries,WR,0.33%,6.6
Dyami Brown,WR,0.31%,0
Davis Mills,QB,0.30%,4.4
Tommy Tremble,TE,0.28%,3.2
Durham Smythe,TE,0.28%,6.7
Ian Thomas,FLEX,0.25%,0
David Johnson,FLEX,0.24%,10.2
Olamide Zaccheaus,WR,0.23%,2.3
Kyle Rudolph,FLEX,0.23%,2.8
Elijah Moore,WR,0.20%,10.2
Ronald Jones II,RB,0.20%,5.3
Collin Johnson,FLEX,0.19%,1.7
Mack Hollins,WR,0.18%,9.3
Shi Smith,WR,0.16%,-0.3
Antonio Brown,WR,0.15%,0
Zach Wilson,QB,0.14%,2.04
Jerick McKinnon,RB,0.14%,3.7
KhaDarel Hodge,FLEX,0.13%,1.3
Brandon Bolden,RB,0.11%,19.9
Samaje Perine,RB,0.11%,14.5
Demetrius Harris,FLEX,0.11%,0
Phillip Lindsay,FLEX,0.11%,0.8
Tajae Sharpe,WR,0.10%,3.8
Pharaoh Brown,FLEX,0.09%,4.1
Salvon Ahmed,RB,0.09%,7.2
Marquise Goodwin,WR,0.09%,3.6
DeVante Parker,WR,0.08%,0
Ty Johnson,FLEX,0.08%,13.1
MyCole Pruitt,FLEX,0.07%,10.7
Marcedes Lewis,TE,0.07%,6.1
Keelan Cole Sr.,WR,0.06%,1.6
Peyton Barber,RB,0.05%,0
Geoff Swaim,TE,0.05%,1.8
J.J. Taylor,RB,0.05%,15.6
Royce Freeman,RB,0.05%,2.9
Braxton Berrios,FLEX,0.05%,0
Chris Evans,RB,0.05%,0
Jaydon Mickens,FLEX,0.04%,0
Jack Stoll,TE,0.04%,0
Jesper Horsted,FLEX,0.04%,0
Jonathan Ward,RB,0.03%,0.7
Eli Penny,RB,0.03%,2.4
Jeremy McNichols,FLEX,0.03%,2
Albert Wilson,FLEX,0.03%,0
Marcus Johnson,WR,0.03%,0.5
Rob Gronkowski,TE,0.03%,0
Malcolm Brown,RB,0.03%,1.9
Matt Bushman,FLEX,0.03%,0
DeAndre Carter,WR,0.02%,4.1
Mason Kinsey,WR,0.02%,0
Gunner Olszewski,WR,0.02%,3.2
Josh Reynolds,WR,0.02%,5.3
Lee Smith,FLEX,0.02%,1.7
Chris Conley,WR,0.02%,0
N'Keal Harry,WR,0.02%,3.8
Blake Bell,FLEX,0.02%,0
Matthew Slater,FLEX,0.02%,0
Rex Burkhead,RB,0.02%,0
Denzel Mims,WR,0.02%,1.6
Clyde Edwards-Helaire,RB,0.02%,0
Jaret Patterson,RB,0.02%,0
Jesse James,FLEX,0.02%,5
Zay Jones,WR,0.02%,5.3
Willie Snead IV,WR,0.02%,0
Bernhard Seikovits,TE,0.01%,0
Darren Fells,FLEX,0.01%,1.6
Equanimeous St. Brown,WR,0.01%,1.3
Ross Travis,TE,0.01%,0
James Proche,WR,0.01%,0
Antony Auclair,FLEX,0.01%,0
Marquez Valdes-Scantling,WR,0.01%,0
Alec Ingold,RB,0.01%,4
Sammy Watkins,WR,0.01%,0
Latavius Murray,RB,0.01%,0
DJ Turner,WR,0.01%,0
Saquon Barkley,RB,0.01%,0
Jaelon Darden,WR,0.01%,1.1
Christian McCaffrey,FLEX,0.01%,0
Miles Boykin,WR,0.01%,0
Greg Ward,WR,0.01%,0
Josh Oliver,TE,0.01%,4.9
Jacoby Brissett,QB,0.01%,0
Maxx Williams,TE,0.01%,0
Amari Rodgers,WR,0.01%,0
Damiere Byrd,WR,0.01%,2
Antoine Wesley,WR,0.01%,0
David Sills,WR,0.01%,0
Christian Blake,WR,0.01%,0
Gary Brightwell,FLEX,0.01%,0
Noah Gray,TE,0.01%,1.4
Darrynton Evans,RB,0.01%,3.8
Eno Benjamin,RB,0.01%,0.7
Geronimo Allison,WR,0.01%,0
Jalen Richard,RB,0.01%,5.5
Jimmy Graham,FLEX,0.01%,0
Drew Sample,TE,0.01%,0
David Montgomery,RB,0.01%,0
Nathan Peterman,QB,0.01%,0
Brandon Zylstra,WR,0.01%,0
Andre Baccellia,WR,0.01%,0
Eric Tomlinson,FLEX,0.01%,0
Tavien Feaster,FLEX,0.01%,0
Wayne Gallman Jr.,RB,0.01%,0.2
Trey Ragas,RB,0.01%,0
Andy Isabella,WR,0.01%,0
Deon Yelder,TE,0.01%,1
Spencer Brown,RB,0.01%,0
Noah Togiai,TE,0.01%,0
Codey McElroy,TE,0.01%,0
Kaden Smith,TE,0.01%,0
Logan Thomas,TE,0.01%,0
Davion Davis,WR,0.01%,0
Jakob Johnson,FLEX,0.01%,5.2
Kenny Golladay,WR,0.01%,0
Kylin Hill,RB,0.01%,0.2
Austin Walter,FLEX,0.01%,0
Kirk Merritt,WR,0.00%,0
Chester Rogers,WR,0.00%,0
La'Mical Perine,RB,0.00%,0
Kadarius Toney,WR,0.00%,0
Auden Tate,WR,0.00%,0
Nick Bawden,FLEX,0.00%,0
Landen Akers,FLEX,0.00%,0
Ke'Shawn Vaughn,RB,0.00%,2.7
Tommy Hudson,TE,0.00%,0
Colin Thompson,TE,0.00%,0
Artavis Pierce,RB,0.00%,0
Javon Wims,FLEX,0.00%,0
John Hurst,WR,0.00%,0
Kenny Yeboah,FLEX,0.00%,0
Trinity Benson,WR,0.00%,0
Cornell Powell,WR,0.00%,0
Trevon Wesco,FLEX,0.00%,0
Marcus Kemp,FLEX,0.00%,1.8
Curtis Samuel,WR,0.00%,0
Darwin Thompson,RB,0.00%,0
Shane Zylstra,TE,0.00%,0
Brevin Jordan,TE,0.00%,0
Terrace Marshall Jr.,WR,0.00%,0
Brycen Hopkins,FLEX,0.00%,0
Adam Shaheen,FLEX,0.00%,6.3
Javian Hawkins,FLEX,0.00%,0
Ryan Nall,RB,0.00%,1.4
Tevin Coleman,FLEX,0.00%,0
Darrell Daniels,FLEX,0.00%,0
Paul Quessenberry,FLEX,0.00%,0
Jacob Harris,FLEX,0.00%,0
Buddy Howell,RB,0.00%,0
Matt LaCosse,FLEX,0.00%,0
Patrick Taylor,RB,0.00%,0
Derek Carrier,TE,0.00%,0
Breshad Perriman,WR,0.00%,0
Josh Johnson,QB,0.00%,0
Patrick Ricard,RB,0.00%,0
Kristian Wilkerson,WR,0.00%,0
Cyril Grayson,WR,0.00%,0
Alex Erickson,FLEX,0.00%,0
John Bates,TE,0.00%,0
Aaron Parker,WR,0.00%,0
Keith Kirkwood,WR,0.00%,4.6
Derrick Gore,FLEX,0.00%,1.7
Ben Mason,RB,0.00%,0
Jon'Vea Johnson,WR,0.00%,0
Andy Dalton,QB,0.00%,0
Jaylon Moore,FLEX,0.00%,0
Tre Nixon,WR,0.00%,0
Nick Bowers,FLEX,0.00%,0
Josiah Deguara,FLEX,0.00%,0
John Hightower,WR,0.00%,0
Quintez Cephus,WR,0.00%,0
Jeff Smith,WR,0.00%,0
Frank Darby,WR,0.00%,0
Devin Asiasi,TE,0.00%,0
Will Fuller V,WR,0.00%,0
Patrick Scales,TE,0.00%,0
Jalen Camp,FLEX,0.00%,0
Nate McCrary,RB,0.00%,0
Daurice Fountain,FLEX,0.00%,0
Matt Cole,WR,0.00%,0
Travis Fulgham,WR,0.00%,0
Jordan Veasy,FLEX,0.00%,0
Khari Blasingame,FLEX,0.00%,0
Dillon Stoner,WR,0.00%,0
Tony Poljan,FLEX,0.00%,0
Brock Wright,FLEX,0.00%,0
Mark Vital,FLEX,0.00%,0
D.J. Montgomery,WR,0.00%,0
Hunter Long,FLEX,0.00%,0
Stephen Sullivan,TE,0.00%,0
J.P. Holtz,TE,0.00%,0
James White,FLEX,0.00%,0
Mitchell Wilcox,FLEX,0.00%,0
Jermar Jefferson,FLEX,0.00%,0
Kyle Allen,QB,0.00%,0
C.J. Saunders,WR,0.00%,0
Andre Roberts,WR,0.00%,0
Elijah McGuire,FLEX,0.00%,0
Nick Foles,QB,0.00%,0
Jody Fortson,TE,0.00%,0
Juwan Green,WR,0.00%,0
Greg Dortch,WR,0.00%,0
Tyree Jackson,FLEX,0.00%,0
Dez Fitzpatrick,WR,0.00%,0
KeeSean Johnson,WR,0.00%,0
Boston Scott,RB,0.00%,9.9
Chris Blair,WR,0.00%,0
Tutu Atwell,FLEX,0.00%,0
Juwann Winfree,WR,0.00%,0
Jason Huntley,RB,0.00%,0
Isaiah Ford,WR,0.00%,8
Isaiah Coulter,WR,0.00%,0
Javon McKinley,WR,0.00%,0
Nick Boyle,TE,0.00%,0
Jonathan Williams,RB,0.00%,0
Clark Harris,FLEX,0.00%,0
Antonio Gandy-Golden,WR,0.00%,0
Jeff Driskel,QB,0.00%,0
Tyler Davis,TE,0.00%,0
Dax Milne,WR,0.00%,3.6
Austin Fort,FLEX,0.00%,0
Tyrell Williams,WR,0.00%,0
Damon Hazelton,WR,0.00%,0
Trayveon Williams,RB,0.00%,0
Scottie Phillips,FLEX,0.00%,0
Trent Taylor,WR,0.00%,0
Jason Cabinda,RB,0.00%,0
Marcus Mariota,QB,0.00%,0.4
John Raine,FLEX,0.00%,0
Chad Henne,QB,0.00%,3.68
Colt McCoy,QB,0.00%,-0.1
Tim Boyle,QB,0.00%,0
Trenton Irwin,WR,0.00%,0
Gehrig Dieter,FLEX,0.00%,0
Briley Moore-McKinney,TE,0.00%,0
Tyrod Taylor,QB,0.00%,0
Keith Smith,RB,0.00%,1.6
J.J. Koski,FLEX,0.00%,0
Sandro Platzgummer,FLEX,0.00%,0
Vyncint Smith,WR,0.00%,0
Mike Glennon,QB,0.00%,0
Tom Kennedy,FLEX,0.00%,0
Chris Myarick,FLEX,0.00%,0
Cam Sims,WR,0.00%,0
Dylan Cantrell,FLEX,0.00%,0
Gardner Minshew II,QB,0.00%,0
Jaeden Graham,FLEX,0.00%,0
Jake Funk,RB,0.00%,0
Travis Jonsen,FLEX,0.00%,0
Ben Skowronek,FLEX,0.00%,0
Daniel Brown,TE,0.00%,0
J.K. Dobbins,RB,0.00%,0
Mike Thomas,WR,0.00%,0
Jakeem Grant,WR,0.00%,0
Kelvin Harmon,WR,0.00%,0
Pooka Williams Jr.,WR,0.00%,0
Elijah Holyfield,RB,0.00%,0
Sammis Reyes,TE,0.00%,0
Cethan Carter,TE,0.00%,0
Michael Burton,RB,0.00%,0
Austin Trammell,FLEX,0.00%,0
Feleipe Franks,QB,0.00%,0
Raymond Calais,RB,0.00%,0
Craig Reynolds,RB,0.00%,0
Dazz Newsome,WR,0.00%,0
Tyler Kroft,FLEX,0.00%,0
P.J. Walker,QB,0.00%,2.62
Gerrid Doaks,RB,0.00%,0
Jordan Love,QB,0.00%,0
Troy Fumagalli,TE,0.00%,0
Johnny Mundt,FLEX,0.00%,0
Matt Barkley,QB,0.00%,0
Qadree Ollison,RB,0.00%,0
Tarik Cohen,RB,0.00%,0
David Blough,QB,0.00%,0
Ryan Becker,TE,0.00%,0
Mekhi Sargent,RB,0.00%,0
Jordan Howard,RB,0.00%,0
Jake Hausmann,TE,0.00%,0
Dominique Dafney,FLEX,0.00%,0
James Morgan,QB,0.00%,0
Allen Hurns,WR,0.00%,0
Malcolm Perry,RB,0.00%,0
Stanley Morgan,WR,0.00%,0
James Winchester,FLEX,0.00%,0
Rodney Adams,WR,0.00%,0
Jace Sternberger,FLEX,0.00%,0
Kendall Blanton,TE,0.00%,0
Keelan Doss,WR,0.00%,0
Mason Schreck,FLEX,0.00%,0
JJ Arcega-Whiteside,WR,0.00%,0
