player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Zack Martin,97190,HB,LA MONROE,2,1,0,209,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,82.2,0,-5,0.0,0,1,1,100.0,1,79.2,1,100.0,0,-5,0,0.0,-5.0,-5.0,,0,,,0,0,,0,0,0,66.7,64.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Kyrese Rowan,100635,WR,UTAH ST,1,1,0,329,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,4.0,0,100.0,,0,0,0.0,0,0,0,70.7,57.7,0,2,0.0,0,4,1,100.0,4,79.2,1,100.0,0,2,-2,-2.0,2.0,0.5
Troy Omeire,123124,WR,TEXAS,2,1,0,311,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2.0,0,100.0,,0,0,0.0,0,1,0,70.7,70.1,0,9,0.0,0,3,1,100.0,3,104.2,1,100.0,0,9,7,7.0,9.0,3.0
Cody Jackson,144621,WR,HOUSTON,4,1,0,182,0,,0,,,0,0,,0,0,0,,50.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Justin Holaday,163350,QB,NEW MEXICO,3,1,0,241,0,,0,,,0,0,,0,0,0,,,0,0,0.0,0,3,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Ja'Quinden Jackson,123119,WR,UTAH,4,1,0,328,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,16.4,37.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Aaron Jarman,77894,TE,E CAROLINA,7,1,0,156,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,66.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Deon Fountain,97281,WR,COAST CAR,3,1,0,141,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,29.0,0,100.0,100.0,1,1,0.0,0,1,0,66.7,60.0,0,32,0.0,0,15,1,100.0,15,118.8,1,100.0,0,32,3,3.0,32.0,2.13
Charles Robinson,144764,TE,TEXAS TECH,1,1,0,315,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,60.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Chase Curtis,123069,WR,TCU,5,1,0,305,0,,0,,,0,0,,0,0,0,,49.1,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,1,0,70.7,60.7,0,37,0.0,0,14,1,100.0,14,118.8,1,100.0,0,37,31,31.0,37.0,2.64
CJ Tate,122994,WR,OKLA STATE,3,1,0,262,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,47.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Kelan Walker,77749,HB,HOUSTON,7,1,0,182,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,72.1,0,-1,25.0,1,4,1,75.0,3,79.2,1,100.0,0,-1,4,4.0,-1.0,-0.33,,0,,,0,0,,0,0,0,70.7,53.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Peyton O'Leary,144921,WR,MICHIGAN,4,1,0,222,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,56.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Gabe Ervin Jr.,144996,HB,NEBRASKA,4,1,0,238,0,,0,,,0,0,,0,0,0,,52.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,16.4,37.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
AJ Rollins,145011,TE,NEBRASKA,3,1,0,238,0,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,53.4,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Duane Martin,122716,TE,LOUISVILLE,9,1,0,210,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,93.5,0,22,0.0,0,4,1,75.0,3,118.8,1,100.0,0,22,24,24.0,22.0,7.33,,0,,,0,0,,0,0,0,66.7,63.5,0,0,66.7,2,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0
Drew Biber,145117,TE,PURDUE,2,1,0,273,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,54.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Cameron Rising,77663,QB,UTAH,8,1,0,328,0,,0,,,0,0,,0,0,0,,42.2,0,0,0.0,0,25,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,87.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jacob Pasley,145188,TE,FAU,8,1,0,165,0,,0,,,0,0,,0,0,0,,36.3,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,48.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Spencer Sanders,77660,QB,OKLA STATE,8,1,0,262,0,-4.0,2,100.0,,0,0,0.0,0,0,0,81.5,51.5,0,2,0.0,0,61,1,1.6,1,79.2,1,100.0,0,2,6,6.0,2.0,2.0,,0,,,0,0,,0,0,0,73.1,47.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Justice Dingle,77118,FB,KENTUCKY,3,1,0,202,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,74.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Tyler Holzworth,164173,HB,PENN STATE,2,1,0,266,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,65.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Rhett Guidry,122639,TE,LA LAFAYET,2,1,0,207,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,62.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Tristan White,163363,WR,NEW MEXICO,1,1,0,241,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,61.6,0,0,0.0,0,1,1,100.0,1,79.2,1,100.0,0,0,4,4.0,0.0,0.0,-4.0,0,100.0,,0,0,0.0,0,0,0,66.7,60.5,0,0,0.0,0,1,1,100.0,1,79.2,1,100.0,0,0,4,4.0,0.0,0.0
Solomon Lewis,145250,WR,LA TECH,3,1,0,208,0,,0,,,0,0,,0,0,0,,50.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,2.7,42.7,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Evan Boozer,76811,TE,TEMPLE,5,1,0,306,0,,0,,,0,0,,0,0,0,,47.9,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,54.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Taharin Sudderth,145306,TE,MIDDLE TN,3,1,0,224,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,21.0,0,0.0,,0,0,,0,0,0,,51.1,0,0,0.0,0,17,0,100.0,17,39.6,1,100.0,0,0,0,,,0.0
John Rhys Plumlee,97602,QB,UCF,8,1,0,323,0,-4.0,0,0.0,,0,0,,0,0,0,,35.1,0,0,0.0,0,62,0,1.6,1,39.6,1,100.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,48.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Sol Rascon,75963,WR,NEW MEX ST,1,1,0,242,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,83.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Christian Moore,122608,FB,KANSAS ST,2,1,0,199,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,72.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Obie Sanni,145354,HB,DOMINION,4,1,0,263,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,56.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Connor Welsh,145403,TE,RICE,3,1,0,275,0,,0,,,0,0,,0,0,0,,47.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,54.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Zay Franks,145420,WR,SO MISS,1,1,0,296,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,80.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Richard Mays Jr.,145421,WR,SO MISS,2,1,0,296,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,67.4,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Cole Snyder,97617,QB,BUFFALO,10,1,0,126,0,,0,,,0,0,,0,0,0,,,0,0,0.0,0,29,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,66.7,79.1,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Chevan Cordeiro,75886,QB,S JOSE ST,8,1,0,285,0,,0,,,0,0,,0,0,0,,,0,0,0.0,0,35,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jaret Pallotta,75882,TE,UMASS,7,1,0,216,0,,0,,,0,0,,0,0,0,,41.9,0,0,50.0,4,8,0,50.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,50.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
River Helms,145539,TE,W KENTUCKY,2,1,0,346,0,,0,,,0,0,,0,0,0,,49.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Casey Coll,145614,TE,BALL ST,5,1,0,117,0,,0,,,0,0,,0,0,0,,52.0,0,0,66.7,2,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,55.4,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Reis Stocksdale,73860,WR,OHIO STATE,2,1,0,260,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,11.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.3,0,12,0.0,0,5,1,100.0,5,116.7,1,100.0,0,12,1,1.0,12.0,2.4
Jaedyn McKinstry,145642,WR,BOWL GREEN,3,1,0,122,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,54.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jeff Sims,122496,QB,GA TECH,7,1,0,176,0,-7.0,0,100.0,,0,0,0.0,0,0,0,,,0,1,0.0,0,40,1,0.0,0,79.2,1,100.0,0,1,8,8.0,1.0,,,0,,,0,0,,0,0,0,,60.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Bula Schmidt,97646,C,FRESNO ST,9,1,0,169,0,,0,,,0,0,,0,0,0,,,0,0,100.0,66,66,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,77.1,88.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jerry Johnson III,97649,FB,RICE,8,1,0,275,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,58.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Case Hatch,97745,TE,ARIZONA ST,9,1,0,110,0,,0,,,0,0,,0,0,0,,35.7,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,16.4,35.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Chris Parker,145725,WR,C MICHIGAN,3,1,0,134,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,54.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Alec Palella,145729,TE,C MICHIGAN,2,1,0,134,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,4.0,0,0.0,0.0,0,1,,0,0,0,,52.8,0,0,0.0,0,2,0,100.0,2,39.6,1,100.0,0,0,0,,,0.0
Bryson Moss,145745,HB,E MICHIGAN,4,1,0,160,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,2.7,27.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
DJ Lundy,122405,LB,FLORIDA ST,1,1,0,167,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Naran Buntin,145782,WR,KENT STATE,3,1,0,201,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,53.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Trey Urwiler,145835,WR,N ILLINOIS,1,1,0,254,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,95.0,0,0,0.0,0,1,1,100.0,1,79.2,1,100.0,0,0,4,4.0,0.0,0.0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Brock Lampe,145846,FB,N ILLINOIS,7,1,0,254,0,,0,,,0,0,,0,0,0,,48.5,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
