player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Patrick Smith,146956,HB,VANDERBILT,5,-3.1,2,85.7,,0,0,0,0.0,0,1,333,0,77.5,80.0,62.3,31.8,66.9,0.0,0,0,10,26.2,17,65,1,6,69.2,45,1.5,1,83.3,7,0,0.0,0,28,58,9.7,4.7,0.62
Donnovan Moorer,147221,WR,TEXAS ST,6,7.0,1,85.7,,0,0,0,0.0,0,1,314,0,77.5,71.0,63.8,,62.4,0.0,0,0,16,0.0,0,40,0,6,95.0,38,92.5,37,131.8,7,1,7.5,3,43,19,3.2,7.2,1.13
Brian Brewton,147377,HB,UCONN,3,0.3,1,71.4,,0,0,0,0.0,0,1,146,0,77.5,76.2,67.7,77.5,72.8,0.0,0,0,10,17.9,5,28,0,5,78.6,22,14.3,4,76.5,7,0,3.6,1,25,39,7.8,5.0,1.14
Jamoni Jones,156922,HB,NEW MEX ST,8,3.0,0,57.1,,0,0,0,33.3,2,3,242,0,29.1,84.2,61.3,34.0,47.8,0.0,0,1,39,28.0,30,107,0,4,64.5,69,3.7,4,87.2,7,1,2.8,3,63,55,13.8,15.8,0.91
Chance Bell,57396,HB,S DIEGO ST,7,1.3,0,57.1,0.0,0,1,1,20.0,1,1,284,0,45.4,57.4,67.2,15.6,50.0,0.0,0,0,13,23.4,15,64,1,4,73.4,47,0.0,0,66.4,7,0,1.6,1,28,31,7.8,7.0,0.6
Rashod Dubinion,157020,HB,ARKANSAS,8,2.3,2,85.7,,0,0,0,0.0,0,4,111,0,77.5,52.4,63.3,90.6,73.3,0.0,0,0,29,10.0,5,50,0,6,86.0,43,12.0,6,155.7,7,1,2.0,1,83,85,14.2,13.8,1.93
Oscar Delp,157080,TE,GEORGIA,7,11.9,0,71.4,0.0,0,1,0,0.0,0,3,173,0,76.3,65.7,61.2,72.2,61.9,39.0,23,0,28,13.6,8,59,1,5,83.1,49,54.2,32,137.5,7,1,5.1,3,61,10,2.0,12.2,1.24
Mudia Reuben,157258,WR,STANFORD,9,15.3,0,57.1,50.0,1,2,0,0.0,0,4,300,0,74.9,67.8,60.4,,59.6,0.0,0,0,18,0.0,0,66,0,4,98.5,65,24.2,16,115.5,7,2,75.8,50,44,2,0.5,11.0,0.68
Terrell Timmons Jr.,157423,WR,NC STATE,4,27.6,0,28.6,50.0,1,2,0,33.3,1,2,248,0,31.6,62.9,59.2,,58.9,0.0,0,0,43,0.0,0,32,0,2,90.6,29,3.1,1,57.4,7,0,96.9,31,51,6,3.0,25.5,1.76
Andrew Clair,57167,HB,NWESTERN,7,-0.6,1,85.7,,0,0,0,14.3,1,0,256,0,53.4,75.5,68.3,33.4,56.8,0.0,0,0,14,19.6,9,46,0,6,80.4,37,13.0,6,83.9,7,0,6.5,3,29,35,5.8,4.8,0.78
Anthony Hankerson,157691,HB,COLORADO,5,-3.3,1,71.4,,0,0,0,0.0,0,1,143,0,76.3,59.4,75.6,63.2,64.6,0.0,0,0,15,26.5,13,49,0,5,63.3,31,0.0,0,75.9,7,0,2.0,1,24,41,8.2,4.8,0.77
Chase Sowell,157700,WR,COLORADO,4,17.6,0,28.6,0.0,0,1,0,33.3,1,1,143,0,31.6,62.9,52.0,,51.8,0.0,0,0,14,0.0,0,49,0,2,91.8,45,18.4,9,40.8,7,0,81.6,40,23,5,2.5,11.5,0.51
Trevor Etienne,157730,HB,FLORIDA,9,-2.7,2,100.0,,0,0,0,0.0,0,1,163,0,79.3,71.2,75.4,11.2,60.1,0.0,0,0,12,15.6,14,90,0,7,81.1,73,6.7,6,85.1,7,0,12.2,11,31,50,7.1,4.4,0.42
OJ Arnold,158336,HB,GA SOUTHRN,8,3.1,0,85.7,,0,0,0,0.0,0,4,174,0,78.5,78.0,69.4,78.5,80.9,0.0,0,0,19,10.2,5,49,0,6,79.6,39,10.2,5,127.1,7,1,8.2,4,35,34,5.7,5.8,0.9
Victor Rosa,158629,HB,UCONN,9,-2.3,3,71.4,100.0,1,1,0,0.0,0,0,146,0,76.3,67.2,66.7,51.4,58.9,0.0,0,0,12,22.9,19,83,1,5,68.7,57,0.0,0,74.1,7,0,3.6,3,15,33,6.6,3.0,0.26
Damien Martinez,162437,HB,OREGON ST,9,0.4,1,42.9,,0,0,0,0.0,0,0,265,1,73.1,87.3,83.1,18.0,52.2,0.0,0,0,30,18.0,24,133,0,3,75.9,101,1.5,2,70.5,7,0,3.8,5,55,62,20.7,18.3,0.54
Ramon Brown,162786,HB,MARYLAND,8,-2.7,2,100.0,,0,0,0,0.0,0,2,215,0,78.5,78.5,67.1,9.7,70.4,0.0,0,0,15,17.0,8,47,0,7,76.6,36,23.4,11,92.3,7,0,6.4,3,43,62,8.9,6.1,1.19
Octavian Smith Jr.,162805,WR,MARYLAND,7,7.0,0,57.1,,0,0,0,0.0,0,3,215,0,74.9,70.7,62.5,,60.6,0.0,0,1,17,0.0,0,50,0,4,98.0,49,94.0,47,69.3,7,1,6.0,3,33,19,4.8,8.3,0.67
KD Hutchinson,163045,WR,W KENTUCKY,3,10.7,0,71.4,,0,0,0,0.0,0,3,346,0,76.3,65.7,74.0,,72.8,0.0,0,1,25,0.0,0,14,0,5,100.0,14,100.0,14,50.6,7,0,0.0,0,48,33,6.6,9.6,3.43
Jordan Williams,163339,WR,COLO STATE,5,19.3,0,14.3,100.0,1,1,0,0.0,0,0,144,0,66.7,61.0,48.8,,49.6,0.0,0,1,10,0.0,0,79,0,1,92.4,73,69.6,55,0.0,7,0,30.4,24,10,0,0.0,10.0,0.14
Patrick Herbert,100625,TE,OREGON,9,9.1,0,71.4,,0,0,0,0.0,0,3,264,0,76.3,65.7,59.2,75.1,55.8,33.8,27,1,40,7.5,6,80,0,5,85.0,68,52.5,42,113.7,7,1,6.3,5,88,50,10.0,17.6,1.29
Shawn Naim,100268,WR,AKRON,8,9.4,1,71.4,100.0,1,1,0,0.0,0,2,102,0,76.3,65.7,64.6,,66.0,0.0,0,0,15,0.0,0,35,0,5,94.3,33,8.6,3,86.6,7,0,91.4,32,42,9,1.8,8.4,1.27
Antavious Willis,100883,HB,SO MISS,7,-3.0,2,100.0,,0,0,0,0.0,0,2,296,0,79.3,35.9,61.8,72.7,65.9,0.0,0,0,9,14.8,4,27,0,7,77.8,21,22.2,6,83.3,7,0,11.1,3,28,49,7.0,4.0,1.33
Xavier Brown,156371,HB,VIRGINIA,8,0.7,0,83.3,,0,0,0,0.0,0,0,335,0,76.3,82.7,71.7,59.6,55.1,0.0,0,0,8,26.3,21,80,1,5,73.8,59,2.5,2,81.3,6,0,6.3,5,21,41,8.2,4.2,0.36
Colston Loveland,158540,TE,MICHIGAN,9,2.0,1,83.3,100.0,1,1,0,16.7,1,1,222,0,53.4,66.2,48.2,29.5,51.1,59.3,35,0,16,5.1,3,59,1,5,86.4,51,28.8,17,93.8,6,0,11.9,7,39,28,5.6,7.8,0.76
Alec Sinkfield,57476,HB,BOSTON COL,4,-2.0,0,83.3,,0,0,0,0.0,0,1,121,0,76.3,69.1,65.5,78.4,67.3,0.0,0,0,16,12.9,4,31,0,5,83.9,26,3.2,1,81.9,6,0,0.0,0,22,35,7.0,4.4,0.85
Jawhar Jordan,99595,HB,LOUISVILLE,9,3.2,1,83.3,,0,0,0,0.0,0,3,210,0,76.3,72.2,77.2,50.0,59.9,0.0,0,0,15,39.5,49,124,0,5,58.1,72,0.8,1,102.1,6,0,4.0,5,51,45,9.0,10.2,0.71
Mohamed Ibrahim,55226,HB,MINNESOTA,8,-0.2,1,100.0,,0,0,0,0.0,0,2,225,0,77.5,84.9,87.3,40.0,62.4,0.0,0,0,17,24.1,28,116,0,6,72.4,84,1.7,2,96.5,6,0,0.0,0,43,44,7.3,7.2,0.51
Charvis Thornton,97246,HB,LA TECH,9,-1.5,1,66.7,100.0,1,1,0,0.0,0,0,208,0,76.3,83.3,71.4,50.9,49.6,0.0,0,0,7,14.8,13,88,0,4,79.5,70,1.1,1,70.1,6,0,4.5,4,10,17,4.3,2.5,0.14
Jaylen Jones,144085,WR,VA TECH,5,9.8,2,50.0,,0,0,0,40.0,2,2,337,0,12.8,64.1,47.3,,48.7,0.0,0,0,20,0.0,0,47,1,3,91.5,43,17.0,8,69.4,6,0,80.9,38,37,15,5.0,12.3,0.86
Alex Bauman,158407,TE,TULANE,7,9.7,0,66.7,0.0,0,1,0,20.0,1,3,319,0,49.8,65.7,50.9,36.5,56.9,47.1,40,0,20,18.8,16,85,2,4,78.8,67,40.0,34,97.2,6,0,7.1,6,57,13,3.3,14.3,0.85
Daverrick Jenkins,156664,WR,ARK STATE,5,13.0,0,83.3,100.0,1,1,0,0.0,0,2,113,0,50.3,65.7,58.7,,58.2,0.0,0,0,53,0.0,0,47,0,5,87.2,41,21.3,10,118.8,6,0,78.7,37,82,16,3.2,16.4,2.0
Titus Lyons,156861,TE,TEXAS ST,5,6.8,0,66.7,,0,0,0,0.0,0,2,314,0,76.3,65.7,58.9,68.4,52.8,78.0,46,0,24,1.7,1,59,0,4,91.5,54,6.8,4,81.9,6,0,11.9,7,35,28,7.0,8.8,0.65
Caleb Fauria,131676,TE,COLORADO,7,5.2,0,50.0,0.0,0,1,0,0.0,0,1,143,0,73.1,64.1,48.2,54.7,49.6,78.8,67,0,15,23.5,20,85,0,3,72.9,62,17.6,15,59.7,6,0,2.4,2,23,4,1.3,7.7,0.37
Umari Hatcher,144048,WR,SYRACUSE,8,25.3,0,50.0,50.0,1,2,0,25.0,1,2,304,0,39.5,64.1,58.1,,58.8,0.0,0,0,16,0.0,0,40,1,3,100.0,40,7.5,3,112.5,6,1,92.5,37,42,5,1.7,14.0,1.05
Janari Dean,124164,HB,SO MISS,8,0.2,1,83.3,,0,0,0,0.0,0,1,296,0,76.3,81.9,61.3,16.2,57.4,0.0,0,0,11,13.2,9,68,0,5,82.4,56,10.3,7,87.5,6,0,0.0,0,30,28,5.6,6.0,0.54
Tykee Ogle-Kellogg,84493,WR,UTSA,4,15.8,0,33.3,,0,0,0,0.0,0,2,331,0,70.7,62.9,58.6,,58.1,0.0,0,0,14,0.0,0,37,0,2,94.6,35,2.7,1,81.9,6,1,97.3,36,16,0,0.0,8.0,0.46
Rodney Hammond Jr.,144024,HB,PITTSBURGH,4,3.5,0,66.7,100.0,1,1,0,0.0,0,1,268,0,74.9,61.3,76.3,34.5,65.0,0.0,0,1,49,21.6,8,37,0,4,78.4,29,8.1,3,54.9,6,0,2.7,1,53,55,13.8,13.3,1.83
Jordan Byrd,83748,HB,S DIEGO ST,9,-0.2,0,66.7,,0,0,0,20.0,1,1,284,0,45.4,51.6,68.9,62.2,48.0,0.0,0,0,15,22.4,22,98,1,4,72.4,71,5.1,5,117.4,6,1,0.0,0,29,25,6.3,7.3,0.41
Jostein Clarke,102516,WR,UTEP,4,10.3,0,66.7,50.0,1,2,0,20.0,1,1,330,0,45.4,65.0,52.9,,52.6,0.0,0,0,13,0.0,0,40,0,4,100.0,40,10.0,4,77.1,6,0,90.0,36,28,6,1.5,7.0,0.7
Latrele Palmer,102437,HB,JAMES MAD,8,1.7,0,83.3,0.0,0,1,0,0.0,0,2,197,0,76.3,53.3,65.8,56.3,60.9,0.0,0,1,13,26.4,28,106,1,5,73.6,78,0.0,0,56.3,6,0,0.9,1,42,31,6.2,8.4,0.54
Hank Beatty,158198,WR,ILLINOIS,7,1.2,0,100.0,100.0,1,1,0,0.0,0,2,187,0,77.5,71.9,62.3,,61.9,0.0,0,0,8,0.0,0,30,0,6,100.0,30,96.7,29,80.6,6,0,3.3,1,20,13,2.2,3.3,0.67
Gee Scott Jr.,129756,TE,OHIO STATE,7,5.2,0,66.7,0.0,0,2,0,0.0,0,1,260,0,76.3,65.7,49.5,47.4,51.6,59.0,23,0,4,7.7,3,39,1,4,82.1,32,33.3,13,109.7,6,1,7.7,3,12,6,1.5,3.0,0.38
Alex Fontenot,57186,HB,COLORADO,3,-1.3,1,66.7,,0,0,0,0.0,0,2,143,0,74.9,45.2,68.8,84.4,63.5,0.0,0,0,15,17.0,8,47,0,4,80.9,38,0.0,0,80.6,6,0,6.4,3,33,46,11.5,8.3,0.87
