player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ihmir Smith-Marsette,61324,WR,CAR,8,0.0,0,100.0,,0,0,0,0.0,0,1,5,0,64.7,87.4,51.1,,59.0,0.0,0,0,14,0.0,0,22,2,1,86.4,19,59.1,13,118.8,1,0,40.9,9,14,14,14.0,14.0,0.74
Jake Browning,46401,QB,CIN,4,-7.0,0,100.0,,0,0,0,0.0,0,0,7,1,64.7,55.3,70.1,60.9,62.0,0.0,0,0,-7,1.0,1,100,5,1,1.0,1,0.0,0,79.2,1,0,0.0,0,-7,0,0.0,-7.0,-7.0
Dare Ogunbowale,12329,HB,HST,3,10.0,0,100.0,,0,0,0,0.0,0,0,13,0,64.7,68.2,49.1,18.4,53.2,0.0,0,0,14,17.4,4,23,0,1,82.6,19,26.1,6,118.8,1,0,4.3,1,14,4,4.0,14.0,0.74
Giovanni Ricci,13756,TE,CAR,2,-1.0,0,100.0,,0,0,0,0.0,0,0,5,0,64.7,61.2,50.9,70.2,58.2,16.7,1,0,2,16.7,1,6,0,1,83.3,5,50.0,3,79.2,1,0,0.0,0,2,3,3.0,2.0,0.4
Gunner Olszewski,95015,WR,NYG,2,-1.0,0,100.0,,0,0,0,0.0,0,0,21,1,64.7,20.7,28.1,,29.9,0.0,0,0,0,0.0,0,3,0,1,100.0,3,33.3,1,79.2,1,0,66.7,2,0,1,1.0,0.0,0.0
Michael Burton,9601,FB,DEN,12,3.0,0,100.0,100.0,1,1,1,0.0,0,1,10,0,64.7,71.1,62.2,80.9,51.1,11.8,6,0,3,35.3,18,51,2,1,58.8,30,5.9,3,79.2,1,0,19.6,10,3,0,0.0,3.0,0.1
Ross Dwelley,20994,TE,SF,10,0.0,0,100.0,,0,0,0,0.0,0,1,28,0,64.7,61.2,52.8,69.6,58.2,45.5,10,0,12,4.5,1,22,0,1,95.5,21,40.9,9,116.7,1,0,13.6,3,12,12,12.0,12.0,0.57
James Robinson,22425,HB,GB,1,-3.0,0,100.0,,0,0,0,0.0,0,0,12,0,64.7,64.6,59.1,,63.1,50.0,1,0,-2,0.0,0,2,0,1,100.0,2,0.0,0,79.2,1,0,0.0,0,-2,1,1.0,-2.0,-1.0
Jesper Horsted,91465,TE,LV,3,1.0,0,100.0,,0,0,0,0.0,0,0,23,0,64.7,61.2,56.3,67.4,56.0,42.9,3,0,4,14.3,1,7,0,1,85.7,6,42.9,3,83.3,1,0,14.3,1,4,3,3.0,4.0,0.67
Kwamie Lassiter II,23226,WR,CIN,1,-2.0,0,100.0,,0,0,0,0.0,0,0,7,0,64.7,61.2,58.4,,60.1,0.0,0,0,2,0.0,0,2,0,1,100.0,2,0.0,0,79.2,1,0,100.0,2,2,4,4.0,2.0,1.0
