player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jacoby Brissett,10725,QB,CLV,8,8.18,0,285,8,73.9,211,231,10.5,2.91,3,12,4.9,62.3,144,76,7.7,258,90.5,12,85,,,,38.8,77.8,67.7,71.3,,,90.5,,2,5,275,21.1,85.8,6.2,16,11,3,12,7,13,4.7,1700,7.4,73.5,185,201,9.1,2.68,3,9,4.2,62.2,125,64,8.1,222,77.9,11,65,,,,31.0,74.6,65.9,67.9,,,91.0,,2,4,233,23.4,82.5,6.8,15,6,3,8,6,10,4.3,1298,6.5,84.8,46,54,10.4,3.63,1,3,5.0,70.4,38,19,2.6,63,22.1,1,31,,,,82.5,77.3,79.3,74.7,,,68.7,,1,1,70,5.3,102.7,1.6,1,8,0,6,1,3,4.3,564,10.4,0,95.0,20,24,-3.0,2.66,1,0,0.0,79.2,19,7,0.0,27,9.5,0,11,,,,77.0,63.8,75.9,62.0,,,63.5,,1,0,28,0.0,94.8,0.0,0,3,0,2,0,0,0.0,162,6.8,3.98
Kirk Cousins,7102,QB,MIN,7,5.71,0,284,18,76.7,206,235,7.9,2.74,3,8,3.1,63.8,150,92,5.1,255,89.8,8,88,,,,65.6,73.8,40.7,71.5,,,77.2,,4,5,276,15.2,87.4,5.5,14,6,2,20,9,9,3.3,1591,6.8,75.9,158,177,6.4,2.46,2,7,3.7,64.4,114,63,5.0,191,67.3,6,62,,,,56.9,68.5,33.1,64.9,60.0,,89.4,,3,4,206,17.5,81.0,5.8,11,3,2,12,4,7,3.4,1154,6.5,84.2,76,87,6.8,3.01,1,1,1.1,70.1,61,33,4.7,93,32.7,3,34,,,,84.9,79.7,80.5,80.3,,,47.4,,2,1,99,9.1,110.3,3.2,3,3,0,8,7,2,2.0,580,6.7,0,92.9,28,29,-3.3,1.71,0,0,0.0,86.2,25,4,3.8,29,10.2,1,8,,,,77.2,69.6,76.1,69.1,60.0,,,,1,0,29,0.0,110.2,0.0,0,0,0,0,2,0,0.0,143,4.9,0.15
Geno Smith,7820,QB,SEA,8,13.21,0,280,29,77.6,219,232,9.6,2.8,4,17,6.7,71.6,166,89,2.4,263,93.9,4,95,,,,90.8,88.7,44.2,85.1,59.0,,81.6,,0,3,284,21.3,109.0,7.2,19,12,0,9,13,10,3.5,1894,8.2,73.9,165,172,9.3,2.63,2,12,6.4,68.6,118,68,3.3,197,70.4,4,59,,,,90.3,82.6,37.3,79.0,,,79.4,,0,3,213,23.5,99.7,8.1,16,9,0,5,9,8,3.8,1250,7.3,90.1,71,77,7.3,2.97,2,5,5.9,81.8,63,22,1.6,83,29.6,1,37,,,,84.2,89.2,80.2,86.1,59.0,,71.4,,0,0,91,13.6,120.5,3.6,3,3,0,4,4,2,2.2,674,8.8,0,94.1,17,17,-3.2,1.76,0,0,0.0,88.2,15,1,6.3,17,6.1,1,1,,,,75.1,66.2,74.7,65.6,,,,,0,0,20,0.0,79.2,0.0,0,0,0,0,0,0,0.0,30,1.8,1.48
Daniel Jones,39395,QB,NYG,8,19.3,0,276,21,75.8,178,197,7.8,3.32,4,3,1.4,62.9,124,123,8.1,252,91.3,11,84,,,,41.8,64.0,5.5,60.9,57.7,,71.9,,2,2,272,18.7,87.8,9.1,23,32,0,13,6,10,3.7,1295,6.6,72.4,127,144,7.2,2.95,6,2,1.3,58.3,84,77,8.7,171,62.0,8,47,,,,41.0,51.7,0.0,49.7,,,64.1,,2,2,181,19.5,77.0,8.8,15,12,0,9,3,8,4.4,868,6.0,87.5,72,76,5.5,3.54,0,1,1.1,77.6,59,48,6.3,105,38.0,4,41,,,,59.5,83.8,81.3,79.0,57.7,,77.8,,0,0,120,18.8,108.9,8.6,9,20,0,4,3,2,1.7,531,7.0,0,95.2,21,23,-3.5,1.68,2,0,0.0,82.6,19,2,5.0,24,8.7,1,4,,,,77.2,66.3,76.0,65.6,,,,,0,0,29,50.0,85.5,4.2,1,0,0,0,0,0,0.0,104,4.5,0.96
Lamar Jackson,46416,QB,BLT,8,11.28,0,272,3,71.6,194,214,10.4,3.2,7,12,5.4,60.3,129,87,7.2,251,92.3,10,78,,,,58.1,77.6,65.7,66.3,,,90.9,,1,6,264,19.5,89.6,6.8,17,20,1,11,13,8,3.0,1475,6.9,70.9,141,154,9.7,3.0,6,6,3.7,59.1,91,61,9.0,179,65.8,9,54,,,,48.5,69.2,61.9,56.7,,,88.9,,0,4,188,21.3,86.1,7.3,13,12,1,6,9,8,4.3,965,6.3,80.6,72,81,8.6,3.32,2,6,7.1,70.4,57,29,1.7,93,34.2,1,33,,,,84.8,85.4,80.5,78.7,,,86.3,,1,2,98,13.8,109.6,4.3,4,8,0,6,6,1,1.0,670,8.3,0,100.0,19,21,-1.4,2.03,1,0,0.0,90.5,19,3,0.0,21,7.7,0,9,,,,75.6,57.7,75.0,57.7,,,,,0,0,22,0.0,130.2,0.0,0,0,0,1,2,1,4.5,160,7.6,2.0
Jared Goff,10635,QB,DET,7,0.88,0,270,11,72.6,215,229,9.7,2.79,2,10,4.1,61.1,140,87,10.3,250,92.6,16,85,,,,48.5,66.2,86.4,65.9,,,52.6,,0,6,266,14.9,91.2,5.2,13,8,1,11,12,13,4.9,1740,7.6,74.0,177,187,8.2,2.58,2,5,2.5,63.6,119,69,9.2,204,75.6,12,60,,,,40.1,61.1,86.0,60.7,,,53.7,,0,4,218,14.5,88.5,4.9,10,7,1,7,7,10,4.6,1337,7.1,77.2,57,62,9.7,3.1,0,5,7.7,64.5,40,18,9.1,66,24.4,4,30,,,,82.4,78.0,79.2,77.1,,,58.3,,0,2,69,16.7,107.4,4.5,3,1,0,5,5,3,4.3,567,9.1,0,100.0,19,20,-3.6,1.64,0,0,0.0,95.0,19,0,0.0,20,7.4,0,5,,,,75.4,68.5,74.9,67.8,,,,,0,0,21,,100.8,0.0,0,0,0,1,0,0,0.0,164,8.2,2.0
Carson Wentz,10636,QB,WAS,6,-5.42,0,266,32,70.7,184,202,9.8,2.72,7,12,5.4,58.9,119,84,8.5,235,88.3,11,65,,,,62.5,62.3,60.9,61.0,,,60.0,,2,5,255,27.4,84.6,9.8,23,10,0,9,10,9,3.5,1321,6.5,75.2,149,160,8.3,2.53,5,7,4.0,63.8,102,65,8.9,187,70.3,10,52,,,,72.8,63.6,57.1,61.7,,,62.8,,1,4,200,29.2,83.8,10.2,19,8,0,5,6,6,3.0,1018,6.4,71.4,63,72,7.8,2.8,2,5,6.3,58.3,42,24,6.7,79,29.7,3,19,,,,50.2,60.9,80.0,60.0,,,63.5,,2,2,87,16.7,84.9,5.1,4,3,0,5,4,4,4.6,471,6.5,0,96.4,28,30,-2.8,1.76,0,0,0.0,83.3,25,5,7.4,31,11.7,2,6,,,,77.7,66.2,76.4,62.0,,,65.6,,1,1,32,0.0,76.1,0.0,0,1,0,1,0,1,3.1,168,5.6,0.18
Russell Wilson,7077,QB,DEN,7,-10.04,0,265,10,69.0,187,206,11.3,2.85,6,9,4.0,55.8,115,81,10.9,242,91.3,14,66,,,,78.3,62.7,40.8,61.0,,,68.5,,1,4,261,28.4,80.2,9.5,23,13,1,11,5,8,3.1,1564,7.6,75.2,161,177,9.2,2.7,5,7,3.7,61.0,108,63,10.7,208,78.5,13,54,,,,75.4,65.7,37.0,64.0,,,68.5,,1,3,224,28.6,85.0,8.7,18,13,1,9,5,5,2.2,1261,7.1,58.7,46,51,12.4,3.03,2,2,3.6,51.0,26,19,3.7,57,21.5,1,19,,,,81.6,54.6,78.7,55.2,,,58.3,,0,1,61,26.3,78.4,8.8,5,1,0,3,1,3,4.9,434,8.5,0,95.0,20,22,-3.1,1.95,1,0,0.0,86.4,19,1,0.0,23,8.7,0,7,,,,76.1,64.7,75.3,65.8,,,58.3,,0,0,24,0.0,106.6,0.0,0,1,0,1,1,0,0.0,131,6.0,1.39
Derek Carr,8671,QB,LV,7,12.92,0,259,23,72.5,193,217,10.1,2.81,1,8,3.5,61.3,133,84,5.0,239,92.3,7,82,,,,48.3,66.4,36.7,65.3,,,67.0,,6,5,255,17.9,85.5,6.3,15,7,0,17,8,10,3.9,1543,7.1,72.8,169,192,8.9,2.6,2,7,3.4,60.4,116,65,5.7,207,79.9,7,66,,,,42.2,63.6,32.5,63.1,,,63.9,,5,4,220,15.4,84.1,4.8,10,5,0,16,8,10,4.5,1218,6.3,78.6,42,45,9.3,3.22,0,1,2.0,73.3,33,22,0.0,52,20.1,0,19,,,,81.1,67.0,78.5,65.2,60.0,,66.5,,1,1,56,22.7,98.5,9.6,5,2,0,2,1,1,1.8,401,8.9,0,88.9,18,20,-2.7,1.73,1,0,0.0,80.0,16,3,0.0,20,7.7,0,3,,,,75.4,50.9,75.0,51.6,60.0,,,,0,0,21,0.0,99.2,0.0,0,0,0,1,1,1,4.8,76,3.8,2.57
Davis Mills,52269,QB,HST,7,7.7,0,254,13,69.4,196,210,8.7,2.5,5,7,3.2,59.5,125,94,8.1,227,89.4,11,57,,,,75.9,68.5,35.9,68.5,,,55.9,,5,6,239,17.0,79.9,7.0,16,1,0,4,8,4,1.7,1382,6.6,71.3,160,172,6.5,2.37,4,4,2.2,61.0,105,71,7.9,185,72.8,9,37,,,,89.9,61.5,29.9,62.1,,,54.1,,4,6,192,15.5,72.6,5.9,11,2,0,4,6,3,1.6,932,5.4,77.0,61,64,9.4,2.63,1,3,4.3,68.8,44,25,6.4,69,27.2,3,24,,,,45.4,80.6,79.5,78.7,,,,,1,0,75,20.0,106.9,7.2,5,0,0,1,2,1,1.3,570,8.9,0,100.0,25,26,-3.4,1.94,0,0,0.0,92.3,24,2,4.0,27,10.6,1,4,,,,77.0,67.7,75.9,68.7,,,57.9,,0,0,28,0.0,85.9,0.0,0,1,0,1,0,0,0.0,120,4.6,3.49
Jalen Hurts,40291,QB,PHI,7,-8.61,0,254,24,77.8,158,175,9.8,3.04,5,9,4.8,64.0,112,77,8.9,216,85.0,11,85,,,,80.3,85.9,41.5,86.5,,,70.0,,2,1,228,20.8,108.5,7.4,16,25,0,10,9,4,1.8,1609,9.2,81.7,126,134,7.3,2.75,4,7,5.0,70.1,94,51,8.7,163,64.2,9,57,,,,76.2,84.4,35.6,85.4,,,70.5,,1,1,170,21.6,99.6,6.7,11,18,0,3,3,2,1.2,1115,8.3,78.8,66,78,8.2,2.97,2,2,2.3,61.5,48,30,7.7,91,35.8,4,34,,,,84.9,76.1,80.5,75.4,,,60.4,,1,1,99,16.7,114.5,5.5,5,7,0,9,7,2,2.0,684,8.8,0,94.1,34,37,-2.6,1.64,1,0,0.0,81.1,30,4,6.3,38,15.0,2,6,,,,79.2,64.7,77.3,64.2,,,,,0,1,41,0.0,85.8,0.0,0,0,0,2,1,0,0.0,190,5.1,0.45
