player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ke'Travion Hargrove,146841,HB,MEMPHIS,2,11,1,1,39.5,17,0,43,0,0,1,31,25.6,1,2,218,0,2,74.0,73.7,73.0,,68.1,57.7,72.0,60.0,17,0,0,0,2,14,0,0,0,11,1,43,31,2.82,3.9,0.0,9
BJ Harris,146874,HB,C MICHIGAN,2,11,1,0,0.0,0,0,32,0,0,1,20,16.5,0,0,134,1,8,23.9,51.0,75.9,,74.5,55.2,51.3,59.2,9,0,0,0,9,15,0,0,0,11,0,32,20,1.82,2.9,0.0,3
Joseph Himon II,162843,HB,NWESTERN,5,11,1,0,0.0,0,0,27,0,2,1,18,27.3,0,5,256,0,6,73.9,67.4,78.8,,29.9,66.2,73.0,59.0,6,0,123,7,53,16,0,0,9,18,0,27,18,1.64,2.5,2.32,5
Brock Lampe,145846,TE,N ILLINOIS,5,11,0,0,0.0,0,0,39,0,0,0,33,0.0,1,7,254,1,6,27.0,62.8,82.3,,71.0,70.6,56.4,60.3,10,1,63,4,24,96,0,0,4,15,1,39,33,3.0,3.5,2.63,1
A.J. Henning,129580,WR,NWESTERN,5,11,0,1,26.2,17,0,65,1,3,0,25,24.4,1,5,256,1,1,52.8,56.6,28.1,,,54.2,75.7,34.1,17,2,115,17,153,47,0,0,30,28,1,65,25,2.27,5.9,0.75,8
Isaiah Newell,131746,HB,OREGON ST,5,11,3,0,0.0,0,0,45,0,0,3,25,62.0,1,3,265,0,3,74.0,68.0,75.7,,75.1,56.1,69.0,56.1,11,0,0,0,6,25,0,0,0,11,0,45,25,2.27,4.1,0.0,7
Chris Johnson Jr.,175378,HB,MIAMI FL,2,11,4,2,61.6,45,0,73,0,0,4,63,208.3,2,3,220,0,4,73.5,72.9,72.8,,26.4,56.3,73.8,,24,0,0,0,6,11,0,0,0,11,1,73,63,5.73,6.6,0.0,7
Andrew Paul,124736,HB,GEORGIA,3,11,0,0,0.0,0,0,49,0,0,0,24,0.0,0,1,173,0,4,74.0,56.5,75.9,,71.9,58.0,58.2,47.8,9,0,7,1,21,16,0,0,1,12,0,49,24,2.18,4.5,0.33,7
Connor Bazelak,99135,QB,BOWL GREEN,4,9,3,1,40.0,16,0,31,0,0,2,7,17.3,2,4,122,2,2,74.6,53.0,82.0,50.1,,,64.8,60.0,16,0,0,0,0,91,9,2,0,9,1,40,7,0.64,3.6,,2
McCae Hillstead,174761,QB,UTAH ST,4,6,3,1,21.7,18,0,48,0,0,2,22,122.2,3,4,329,0,1,73.7,77.1,80.7,75.3,,54.3,68.8,60.0,18,0,0,0,1,59,35,5,0,6,0,83,32,2.91,7.5,0.0,1
Aaron Young,97161,HB,RUTGERS,2,11,5,1,20.5,16,0,78,0,0,5,71,293.4,3,5,278,0,1,73.5,73.3,72.0,,25.0,58.1,73.5,,16,0,0,0,2,11,0,0,0,11,1,78,71,6.45,7.1,0.0,10
Behren Morton,144747,QB,TEXAS TECH,3,6,0,0,0.0,0,0,6,0,0,0,9,0.0,0,2,315,1,1,72.8,56.6,80.4,56.7,,,55.4,60.1,7,0,0,0,0,74,22,5,0,6,0,28,20,1.82,2.5,,2
Will Rogers,124184,QB,MISS STATE,5,7,1,0,0.0,0,1,1,0,0,0,6,0.0,2,2,227,2,1,61.9,72.2,83.6,73.1,,57.6,53.5,60.5,15,1,0,0,1,116,28,4,0,7,0,29,11,1.0,2.6,0.0,0
Jack Shields,156830,QB,DOMINION,4,7,1,1,90.4,66,0,56,0,0,1,1,2.0,1,1,263,1,1,46.9,43.9,78.8,44.1,,,53.3,60.0,66,0,0,0,0,49,17,4,0,7,1,73,2,0.18,6.6,,2
Damarius Good,98554,HB,TEXAS ST,1,11,3,2,37.1,39,0,105,0,0,3,52,128.9,5,5,314,1,1,24.3,76.8,72.3,,,58.9,75.2,58.1,24,0,0,0,2,17,0,0,0,11,0,105,52,4.73,9.5,0.0,10
Gunnar Gundy,144649,QB,OKLA STATE,3,6,1,0,0.0,0,0,9,0,0,0,5,0.0,3,4,262,0,0,71.7,54.5,28.4,51.8,,,63.6,60.0,21,1,0,0,0,38,59,5,0,6,0,68,31,2.82,6.2,,2
Keyjuan Brown,174695,HB,LOUISVILLE,1,11,4,0,0.0,0,0,65,0,0,4,46,152.1,2,6,210,0,3,73.5,76.3,73.7,,75.0,56.6,74.9,59.8,14,0,0,0,5,13,0,0,0,11,1,65,46,4.18,5.9,0.0,8
Carter Bradley,77685,QB,S ALABAMA,5,0,4,0,0.0,0,0,0,0,0,0,,100.0,4,8,288,3,0,39.7,63.2,66.2,58.3,,,77.7,60.0,13,2,0,0,0,143,84,11,0,0,1,84,39,3.55,7.6,,0
CJ Ogbonna,149182,QB,BUFFALO,3,11,1,0,0.0,0,0,43,0,0,1,23,19.0,0,2,126,0,11,73.4,75.7,71.6,60.6,,,69.6,60.0,9,0,0,0,0,14,0,0,0,11,1,43,23,2.09,3.9,,0
John Mateer,158516,QB,WASH STATE,4,10,5,0,0.0,0,0,45,0,0,3,24,65.5,3,5,341,0,9,72.7,91.5,74.4,90.3,,87.9,73.2,60.0,15,0,9,1,1,24,15,1,1,11,2,60,32,2.91,5.5,9.0,1
Cash Jones,155211,HB,GEORGIA,5,11,0,0,0.0,0,0,33,0,4,0,11,19.0,1,2,173,0,2,74.1,72.6,77.0,,72.6,87.8,66.2,60.0,13,0,87,10,34,15,0,0,11,21,1,33,11,1.0,3.0,2.56,9
Grant Wells,97784,QB,VA TECH,2,7,1,0,0.0,0,0,14,0,0,0,5,0.0,1,2,337,0,2,72.8,60.5,79.4,58.5,,,62.2,60.0,10,1,0,0,0,52,21,4,0,7,1,35,18,1.64,3.2,,2
