player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Noah Kim,129623,QB,MICH STATE,5,64.9,154,162,10.0,2.68,2,11,6.4,56.2,91,0,50,9.0,169,9,49,223,65.2,60.8,56.7,70.7,0,6,181,2,8.0,73.8,2.4,4,3,1,5,6,10,5.5,1090,6.7
Carson Beck,124010,QB,GEORGIA,5,80.3,152,162,7.7,2.35,2,4,2.3,71.6,116,0,28,4.9,176,6,73,173,63.3,89.7,88.9,64.6,3,2,185,0,10.7,109.7,1.7,3,11,1,4,7,2,1.1,1505,9.3
Brennan Armstrong,77696,QB,NC STATE,5,68.8,154,161,9.7,2.87,0,7,4.1,58.4,94,0,61,11.3,198,12,51,248,58.4,65.3,65.1,60.1,3,6,208,0,11.5,70.7,3.5,7,30,1,3,5,6,2.9,971,6.0
Joe Milton III,82151,QB,TENNESSEE,5,71.9,153,160,9.7,2.43,4,6,3.7,63.1,101,0,40,8.2,171,9,58,307,64.0,69.7,62.2,80.2,1,3,177,0,15.0,95.8,3.5,6,5,0,2,9,5,2.8,1160,7.3
Preston Stone,124716,QB,SMU,5,67.1,149,160,11.4,2.99,0,9,5.2,58.1,93,0,50,7.0,181,7,57,287,75.6,72.4,71.6,61.2,0,5,195,0,16.0,91.3,4.4,8,13,1,10,11,8,4.1,1186,7.4
Byrum Brown,156206,QB,USF,5,65.8,155,160,11.1,2.92,3,4,2.3,61.3,98,0,81,3.9,210,4,57,327,46.1,62.4,48.3,79.1,1,3,227,1,30.9,96.0,11.9,25,25,0,1,9,7,3.1,1226,7.7
Emory Jones,82111,QB,CINCINNATI,5,69.9,153,160,9.8,2.66,0,3,1.8,62.5,100,0,67,6.5,193,7,67,138,69.5,68.9,64.9,67.2,2,6,204,0,14.9,91.3,5.2,10,22,0,5,10,6,2.9,1226,7.7
Bo Nix,97790,QB,OREGON,5,86.8,159,160,6.4,2.39,0,5,3.0,80.0,128,0,15,7.2,175,10,68,264,75.4,88.7,86.0,70.7,0,1,182,0,20.0,131.9,1.7,3,9,0,1,15,2,1.1,1405,8.8
Drew Allar,164157,QB,PENN STATE,5,76.0,146,158,6.4,2.71,4,3,1.9,64.6,102,0,43,8.1,170,9,64,266,76.8,90.1,86.4,75.4,0,0,172,0,9.3,103.7,2.4,4,8,0,8,9,1,0.6,1092,6.9
JT Daniels,83578,QB,RICE,5,71.4,147,157,8.6,2.53,7,5,3.0,62.4,98,0,53,6.7,169,7,56,275,74.6,77.3,79.8,54.6,1,4,178,4,15.1,109.9,4.7,8,4,0,2,13,5,2.8,1461,9.3
Dillon Gabriel,86272,QB,OKLAHOMA,5,81.7,153,157,9.0,2.38,2,7,4.2,74.5,117,0,36,6.4,173,8,78,261,53.8,85.9,83.4,71.9,0,2,183,1,5.6,132.9,1.2,2,8,0,2,15,7,3.8,1589,10.1
Rocco Becht,157567,QB,IOWA STATE,5,67.8,146,152,8.4,2.48,1,8,5.1,60.5,92,0,57,7.1,163,7,48,193,63.5,71.9,74.6,51.2,1,5,168,1,3.5,88.3,1.2,2,9,0,4,9,3,1.8,1085,7.1
Carter Bradley,77685,QB,S ALABAMA,5,75.4,138,151,8.0,2.5,7,3,1.9,64.2,97,0,52,6.7,174,7,56,288,39.7,63.2,58.3,77.7,1,5,185,2,23.1,91.3,6.9,12,11,0,5,8,7,3.8,1153,7.6
Will Rogers,124184,QB,MISS STATE,5,70.4,135,150,8.2,2.52,6,9,5.9,60.0,90,1,48,5.3,169,5,51,227,61.9,72.2,73.1,53.5,1,4,172,1,29.2,86.6,8.3,14,4,0,8,7,5,2.9,1084,7.2
Sam Hartman,77618,QB,NOTRE DAME,6,77.3,132,148,10.0,2.93,3,12,7.7,64.9,96,1,50,5.9,163,6,67,258,49.2,82.4,83.4,59.0,6,0,172,2,10.0,128.7,3.1,5,10,2,5,14,6,3.5,1458,9.9
Quinn Ewers,127253,QB,TEXAS,5,72.7,143,148,9.0,2.39,3,4,2.6,65.5,97,0,34,6.7,170,7,74,311,74.8,79.3,75.7,74.5,0,1,177,1,26.5,114.6,5.3,9,13,1,1,10,2,1.1,1358,9.2
Cameron Ward,133244,QB,WASH STATE,4,82.1,134,143,8.0,2.66,2,7,4.8,74.8,107,0,44,2.7,164,3,67,341,29.2,88.2,84.9,73.6,1,0,167,1,20.5,135.3,5.5,9,12,0,6,13,5,3.0,1393,9.7
Caleb Williams,144622,QB,USC,5,80.3,137,143,9.5,3.01,0,9,6.0,74.1,106,0,45,3.6,159,4,76,326,38.9,90.7,90.0,72.8,0,1,166,2,13.3,147.6,3.8,6,8,0,6,21,7,4.2,1617,11.3
Thomas Castellanos,158433,QB,BOSTON COL,5,71.5,137,143,10.2,3.1,0,8,5.1,58.0,83,0,49,15.3,169,15,47,121,70.4,71.6,67.7,69.5,1,4,185,2,22.4,93.9,6.5,11,14,0,5,10,8,4.3,1092,7.6
Jaxson Dart,146409,QB,OLE MISS,5,75.0,132,143,10.8,2.72,3,8,5.4,63.6,91,0,48,8.1,163,8,67,226,67.3,91.2,86.7,83.3,4,2,169,0,20.8,118.2,6.1,10,9,1,3,11,4,2.4,1484,10.4
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,4,79.9,134,142,7.0,2.6,4,8,5.4,72.5,103,0,39,3.7,153,4,62,144,74.0,64.3,67.1,50.4,0,7,160,2,10.3,107.6,2.6,4,7,0,4,11,9,5.6,1357,9.6
Devin Leary,77628,QB,KENTUCKY,5,70.0,130,142,10.9,2.53,6,8,5.3,57.0,81,0,41,11.0,148,10,53,202,60.0,80.9,78.3,70.3,4,5,157,0,9.8,91.6,2.7,4,2,0,2,10,6,3.8,1132,8.0
Brady Cook,124199,QB,MISSOURI,5,82.1,134,141,8.8,2.24,4,11,7.3,73.8,104,0,37,5.5,154,6,62,229,65.8,88.7,87.6,69.0,0,0,163,2,24.3,132.9,5.8,9,3,1,2,11,2,1.2,1466,10.4
Keyone Jenkins,170403,QB,FIU,5,70.7,133,140,10.6,2.85,2,10,6.9,59.3,83,0,61,11.7,172,11,54,166,55.7,76.3,72.7,71.1,0,6,177,3,29.5,82.8,10.5,18,14,0,5,5,10,5.6,1251,8.9
Graham Mertz,97994,QB,FLORIDA,5,87.9,132,138,6.6,2.83,2,6,4.1,79.0,109,0,44,6.0,162,7,58,163,63.2,82.6,88.4,48.2,1,2,174,2,27.3,111.3,7.4,12,12,0,3,6,1,0.6,1198,8.7
Darren Grainger,78496,QB,GA STATE,5,79.2,130,138,9.1,2.58,0,8,5.5,67.4,93,0,50,9.7,150,10,50,175,47.5,88.9,88.9,70.4,3,2,158,3,10.0,104.9,3.3,5,7,1,4,7,6,3.8,1186,8.6
T.J. Finley,124093,QB,TEXAS ST,5,81.3,128,137,10.2,2.61,3,11,7.8,72.3,99,0,46,4.8,160,5,61,314,36.0,84.8,85.2,62.6,3,1,165,1,30.4,126.0,8.8,14,8,0,3,10,5,3.0,1393,10.2
Garrett Shrader,98212,QB,SYRACUSE,5,71.2,132,136,11.0,2.85,1,9,6.2,64.0,87,0,52,7.4,175,7,60,304,44.0,80.2,76.2,72.1,0,4,185,0,25.0,97.9,7.4,13,25,0,3,8,9,4.9,1148,8.4
Jack Plummer,83543,QB,LOUISVILLE,5,75.8,124,135,10.4,2.89,2,11,7.5,63.7,86,0,52,8.5,157,8,56,210,36.8,74.9,72.8,67.4,1,6,169,3,13.5,107.2,4.5,7,15,0,8,11,7,4.1,1406,10.4
Alan Bowman,77679,QB,OKLA STATE,5,67.8,118,135,8.8,2.64,1,3,2.1,53.3,72,0,33,10.0,140,8,37,262,75.4,63.9,61.5,66.5,0,3,145,0,9.1,65.3,2.1,3,2,0,16,2,5,3.4,748,5.5
Taylen Green,145996,QB,BOISE ST,5,61.2,129,135,9.8,2.62,0,7,4.9,52.6,71,0,36,10.1,145,8,42,120,77.6,68.7,59.9,78.3,1,4,152,2,8.3,72.7,2.1,3,7,1,4,4,6,3.9,947,7.0
DJ Irons,145585,QB,AKRON,5,74.6,126,133,8.8,2.89,3,5,3.6,65.4,87,0,67,7.4,166,7,37,102,44.8,64.1,58.8,68.0,1,3,175,0,19.4,77.3,7.8,13,18,1,2,3,7,4.0,721,5.4
Rocky Lombardi,60452,QB,N ILLINOIS,5,64.8,128,132,10.4,2.64,0,6,4.3,55.3,73,0,46,12.0,151,10,44,254,31.7,55.1,52.5,62.8,0,4,159,1,26.1,69.2,7.9,12,7,0,4,3,10,6.3,827,6.3
Drake Maye,143969,QB,N CAROLINA,4,84.7,124,132,9.4,2.78,2,10,7.2,72.7,96,0,48,8.6,161,9,59,245,76.6,90.6,90.1,72.1,2,4,167,1,18.8,100.2,5.6,9,19,0,4,5,3,1.8,1187,9.0
Gavin Hardison,100827,QB,UTEP,5,68.9,122,130,12.2,3.17,1,8,5.6,56.2,73,0,46,13.1,146,11,41,330,76.9,76.5,73.0,71.6,1,7,160,2,26.1,69.6,8.2,12,4,0,6,5,6,3.8,947,7.3
Tanner Mordecai,77656,QB,WISCONSIN,4,76.9,121,129,8.1,2.88,5,7,5.3,65.9,85,0,34,8.6,150,8,47,349,76.4,79.1,79.6,59.5,1,3,153,2,14.7,80.6,3.3,5,16,0,2,2,3,2.0,872,6.8
Riley Leonard,143862,QB,DUKE,5,73.0,115,128,8.1,2.84,4,2,1.5,61.7,79,0,57,6.0,151,5,58,154,65.6,82.6,68.3,88.2,0,1,160,0,8.8,87.8,3.3,5,18,2,7,3,3,1.9,912,7.1
