player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mackensie Alexander,10688,CB,MIN,11,332,0,18,1,10.6,61.1,98.0,7.9,4.8,0,1,5.6,45.4,0,35,0.0,0,1,101.2,11,100,30.1,102,1,7,18,1,128,50,1.5,11.6,0,4,6.0,64.3,95.1,9.2,5.9,0,3,10.7,48.5,0,73,15.4,2,3,106.4,18,175,52.7,184,4,7,28,1,261,177,1.6,14.5
T.J. Green,10691,CB,ATL,6,80,0,2,0,17.9,71.4,100.0,3.6,2.6,0,1,14.3,37.7,0,38,0.0,0,1,148.8,5,22,27.5,22,0,3,7,2,80,3,4.4,16.0,0,1,7.0,100.0,100.0,10.4,10.4,0,0,0.0,61.2,0,18,25.0,2,0,104.2,5,55,68.8,55,2,5,5,0,45,10,0.9,9.0
Sean Davis,10692,S,CIN,2,13,0,7,0,-6.0,100.0,100.0,5.0,5.0,0,0,0.0,41.8,0,18,,0,0,118.8,1,7,53.8,7,0,0,1,0,18,24,3.6,18.0,0,0,,,100.0,,,0,0,,60.3,0,,,0,0,0.0,0,6,46.2,6,0,0,0,0,0,0,0.0,
Vonn Bell,10695,S,CIN,11,432,0,7,0,6.5,75.0,93.5,17.8,13.4,0,1,12.5,58.5,0,14,22.2,2,0,131.8,6,115,26.6,123,3,7,8,1,53,49,0.5,8.8,0,5,5.5,80.8,96.1,11.2,9.0,0,1,3.8,77.9,0,29,9.4,3,0,96.8,21,247,57.2,257,7,24,26,0,188,98,0.8,9.0
James Bradberry,10696,CB,NYG,11,473,0,21,0,11.8,55.6,100.0,10.5,5.8,0,2,11.1,49.4,1,49,25.0,1,1,101.9,10,112,23.7,112,1,3,18,3,160,70,1.5,16.0,0,3,9.3,67.6,100.0,11.8,8.0,1,7,18.9,75.0,2,58,10.0,3,6,75.5,25,304,64.3,304,4,24,37,1,272,104,0.9,10.9
Kevin Byard,10698,S,TEN,12,516,0,31,0,9.7,60.0,93.8,23.3,14.0,0,1,10.0,84.8,1,22,11.1,1,1,80.0,6,150,29.1,160,2,8,10,2,67,33,0.5,11.2,0,3,8.5,65.2,99.3,18.9,12.3,0,3,13.0,73.6,3,41,9.5,2,3,85.7,15,299,57.9,301,5,16,23,2,220,115,0.8,14.7
Maliek Collins,10701,DI,HST,11,1,0,13,0,,,0.0,,,0,0,,62.7,0,,0.0,0,0,0.0,0,0,0.0,64,1,1,0,0,0,0,,,0,1,,,0.6,,,0,0,,58.6,1,,50.0,1,0,0.0,0,1,100.0,176,1,0,0,0,0,0,0.0,
Jonathan Bullard,10706,DI,ATL,8,3,0,2,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,24,1,1,0,0,0,0,,,0,0,,,2.9,,,0,0,,58.5,0,,,0,0,0.0,0,2,66.7,68,0,0,0,0,0,0,0.0,
Daryl Worley,10711,S,DET,2,17,0,11,0,20.3,50.0,90.9,4.0,2.0,0,0,0.0,25.8,0,59,100.0,1,0,135.4,2,10,58.8,11,0,0,4,1,64,24,8.0,32.0,0,0,,,75.0,,,0,0,,62.2,0,,100.0,1,0,0.0,0,6,35.3,8,0,0,0,0,0,0,0.0,
Kendall Fuller,10718,CB,WAS,11,447,0,32,0,12.2,56.3,99.0,10.7,6.0,1,2,12.5,53.5,0,41,0.0,0,1,82.6,9,104,23.3,105,1,8,16,0,129,22,1.3,14.3,0,3,7.5,73.3,97.2,8.2,6.0,0,8,17.8,77.1,0,40,11.1,4,8,99.4,33,282,63.1,290,8,29,45,1,311,147,1.2,9.4
